Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,0.5550,0.5650,0.5450,0.5600,0.5600,494700,
12 Jun 2026,0.5450,0.5550,0.5350,0.5500,0.5500,228400,
5 Jun 2026,0.5500,0.5600,0.5500,0.5500,0.5500,214500,
29 May 2026,0.5550,0.5600,0.5350,0.5450,0.5450,648400,
22 May 2026,0.5700,0.5700,0.5550,0.5550,0.5550,547900,
15 May 2026,0.5800,0.5900,0.5650,0.5700,0.5700,400300,
8 May 2026,0.5750,0.5950,0.5750,0.5800,0.5800,266900,
1 May 2026,0.6100,0.6100,0.5700,0.5700,0.5530,786000,
28 Apr 2026,,,,,,,0.0180 Dividend
24 Apr 2026,0.6200,0.6200,0.6000,0.6100,0.5919,878900,
17 Apr 2026,0.6050,0.6250,0.5900,0.6200,0.6016,1116100,
10 Apr 2026,0.5750,0.6100,0.5750,0.6100,0.5919,898600,
3 Apr 2026,0.5600,0.5850,0.5550,0.5700,0.5530,619200,
27 Mar 2026,0.5700,0.5800,0.5350,0.5600,0.5433,1391700,
20 Mar 2026,0.5700,0.5800,0.5600,0.5750,0.5579,613900,
13 Mar 2026,0.5650,0.5900,0.5350,0.5700,0.5530,1409300,
6 Mar 2026,0.6150,0.6150,0.5600,0.5700,0.5530,3070000,
27 Feb 2026,0.6400,0.6750,0.6050,0.6150,0.5967,5683600,
20 Feb 2026,0.6250,0.6500,0.6200,0.6400,0.6210,2096100,
13 Feb 2026,0.5950,0.6300,0.5950,0.6300,0.6113,1916100,
6 Feb 2026,0.6000,0.6100,0.5900,0.5950,0.5773,1374300,
30 Jan 2026,0.6250,0.6250,0.6000,0.6000,0.5821,3201400,
23 Jan 2026,0.6350,0.6450,0.6150,0.6250,0.6064,1909900,
16 Jan 2026,0.6400,0.6800,0.6300,0.6400,0.6210,2681600,
9 Jan 2026,0.5900,0.6500,0.5900,0.6400,0.6210,1538500,
2 Jan 2026,0.5800,0.5900,0.5750,0.5900,0.5724,232100,
26 Dec 2025,0.5850,0.5900,0.5800,0.5850,0.5676,198100,
19 Dec 2025,0.5800,0.5850,0.5600,0.5850,0.5676,595200,
12 Dec 2025,0.5850,0.5850,0.5700,0.5850,0.5676,292800,
5 Dec 2025,0.5800,0.6100,0.5750,0.5850,0.5676,413400,
28 Nov 2025,0.6200,0.6250,0.5750,0.5800,0.5627,1341400,
21 Nov 2025,0.6500,0.6500,0.6150,0.6200,0.6016,1087300,
14 Nov 2025,0.6750,0.6800,0.6450,0.6500,0.6307,1682000,
7 Nov 2025,0.6900,0.7100,0.6700,0.6850,0.6646,1006700,
31 Oct 2025,0.7000,0.7300,0.6900,0.6900,0.6695,1795100,
24 Oct 2025,0.6600,0.7150,0.6600,0.7000,0.6792,2977600,
17 Oct 2025,0.7000,0.7100,0.6550,0.6550,0.6355,3334600,
10 Oct 2025,0.6700,0.7200,0.6500,0.7100,0.6889,4544400,
3 Oct 2025,0.6600,0.6850,0.6550,0.6700,0.6501,1553200,
26 Sep 2025,0.7250,0.7300,0.6600,0.6600,0.6404,3564300,
19 Sep 2025,0.7333,0.7958,0.7083,0.7250,0.7034,13502140,
12 Sep 2025,0.6333,0.7375,0.6333,0.7333,0.7115,15508440,
5 Sep 2025,0.6083,0.6375,0.6083,0.6333,0.6145,4510200,
29 Aug 2025,0.6458,0.6500,0.5958,0.6125,0.5733,5730960,
28 Aug 2025,,,,,,,0.0225 Dividend
22 Aug 2025,0.6042,0.6542,0.6000,0.6417,0.6006,9699240,
15 Aug 2025,0.5625,0.6583,0.5583,0.6000,0.5616,22275000,
8 Aug 2025,0.4667,0.5375,0.4625,0.5292,0.4953,6546480,
1 Aug 2025,0.4667,0.4792,0.4417,0.4625,0.4329,1357440,
25 Jul 2025,0.4542,0.4833,0.4500,0.4750,0.4446,2499720,
18 Jul 2025,0.4083,0.4625,0.4042,0.4542,0.4251,2879760,
11 Jul 2025,0.3958,0.4125,0.3958,0.4083,0.3822,1093440,
4 Jul 2025,0.3917,0.4167,0.3917,0.3958,0.3705,1637880,
27 Jun 2025,0.3875,0.4000,0.3875,0.3917,0.3666,1158360,
20 Jun 2025,0.3875,0.3958,0.3833,0.3917,0.3666,701400,
13 Jun 2025,0.3750,0.3917,0.3750,0.3917,0.3666,816840,
6 Jun 2025,0.3667,0.3833,0.3667,0.3833,0.3588,262320,
30 May 2025,0.3625,0.3708,0.3625,0.3667,0.3432,1002240,
23 May 2025,0.3625,0.3625,0.3542,0.3625,0.3393,1586160,
16 May 2025,0.3500,0.3667,0.3458,0.3625,0.3393,926160,
9 May 2025,0.3417,0.3583,0.3417,0.3500,0.3276,1188840,
2 May 2025,0.3292,0.3458,0.3250,0.3458,0.3140,653040,
28 Apr 2025,,,,,,,0.0100 Dividend
25 Apr 2025,0.3333,0.3417,0.3292,0.3333,0.3026,324120,
18 Apr 2025,0.3167,0.3417,0.3167,0.3375,0.3064,237840,
11 Apr 2025,0.3208,0.3292,0.3042,0.3167,0.2875,1678920,
4 Apr 2025,0.3542,0.3583,0.3375,0.3375,0.3064,702600,
28 Mar 2025,0.3542,0.3583,0.3500,0.3542,0.3216,336240,
21 Mar 2025,0.3500,0.3667,0.3458,0.3583,0.3253,801720,
14 Mar 2025,0.3458,0.3625,0.3417,0.3500,0.3178,733560,
7 Mar 2025,0.3458,0.3500,0.3333,0.3417,0.3102,530760,
28 Feb 2025,0.3750,0.3792,0.3417,0.3458,0.3140,1385280,
21 Feb 2025,0.3708,0.3833,0.3667,0.3750,0.3405,1006440,
14 Feb 2025,0.3625,0.3833,0.3625,0.3750,0.3405,1783320,
7 Feb 2025,0.3708,0.3750,0.3583,0.3625,0.3291,1083600,
31 Jan 2025,0.3708,0.3917,0.3625,0.3792,0.3443,1066920,
24 Jan 2025,0.3583,0.3833,0.3542,0.3708,0.3367,3599760,
17 Jan 2025,0.3375,0.3542,0.3292,0.3500,0.3178,1853400,
10 Jan 2025,0.3250,0.3458,0.3208,0.3375,0.3064,2320080,
3 Jan 2025,0.3250,0.3292,0.3208,0.3250,0.2951,260520,
27 Dec 2024,0.3208,0.3292,0.3208,0.3250,0.2951,186240,
20 Dec 2024,0.3250,0.3250,0.3167,0.3208,0.2913,334440,
13 Dec 2024,0.3292,0.3292,0.3208,0.3250,0.2951,82920,
6 Dec 2024,0.3250,0.3292,0.3250,0.3292,0.2989,265800,
29 Nov 2024,0.3292,0.3292,0.3167,0.3250,0.2951,91680,
22 Nov 2024,0.3167,0.3417,0.3167,0.3250,0.2951,2765160,
15 Nov 2024,0.3208,0.3208,0.3125,0.3167,0.2875,708120,
8 Nov 2024,0.3208,0.3250,0.3167,0.3167,0.2875,298680,
1 Nov 2024,0.3208,0.3208,0.3167,0.3208,0.2913,147360,
25 Oct 2024,0.3292,0.3375,0.3208,0.3208,0.2913,550920,
18 Oct 2024,0.3250,0.3292,0.3208,0.3250,0.2951,436560,
11 Oct 2024,0.3208,0.3250,0.3125,0.3250,0.2951,435480,
4 Oct 2024,0.3208,0.3250,0.3042,0.3167,0.2875,1016160,
27 Sep 2024,0.3250,0.3250,0.3125,0.3208,0.2913,378840,
20 Sep 2024,0.3125,0.3250,0.3125,0.3250,0.2951,1130760,
13 Sep 2024,0.3167,0.3167,0.3083,0.3125,0.2837,996480,
6 Sep 2024,0.3125,0.3167,0.3083,0.3167,0.2875,580800,
30 Aug 2024,0.3208,0.3292,0.3125,0.3125,0.2770,661080,
29 Aug 2024,,,,,,,0.0075 Dividend
23 Aug 2024,0.3167,0.3208,0.3167,0.3208,0.2844,314760,
