Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,0.9050,0.9300,0.8550,0.8650,0.8650,4129600,
12 Jun 2026,0.8750,0.9050,0.8550,0.9050,0.9050,3417000,
5 Jun 2026,0.8500,0.8750,0.8500,0.8750,0.8750,2367800,
29 May 2026,0.8550,0.8550,0.8250,0.8500,0.8500,3762800,
22 May 2026,0.8500,0.8650,0.8450,0.8550,0.8550,4794000,
15 May 2026,0.8300,0.8650,0.8300,0.8500,0.8500,4994800,
8 May 2026,0.8350,0.8450,0.8200,0.8300,0.8300,4529200,
1 May 2026,0.8450,0.8500,0.8300,0.8350,0.8350,5109400,
24 Apr 2026,0.8350,0.8500,0.8200,0.8450,0.8450,5015400,
17 Apr 2026,0.8300,0.8400,0.8150,0.8350,0.8350,2561500,
10 Apr 2026,0.8300,0.8400,0.8050,0.8150,0.8150,3854600,
3 Apr 2026,0.8000,0.8350,0.7900,0.8300,0.8300,4376900,
27 Mar 2026,0.7650,0.8000,0.7500,0.8000,0.8000,3757200,
20 Mar 2026,0.7450,0.7700,0.7400,0.7650,0.7650,2610200,
13 Mar 2026,0.7500,0.7500,0.7250,0.7400,0.7400,3091500,
6 Mar 2026,0.7450,0.7650,0.7200,0.7400,0.7400,4386400,
27 Feb 2026,0.7650,0.7700,0.7450,0.7550,0.7550,1471700,
20 Feb 2026,0.7650,0.7700,0.7500,0.7600,0.7600,1213400,
13 Feb 2026,0.7550,0.7750,0.7550,0.7550,0.7550,1444800,
6 Feb 2026,0.7600,0.7650,0.7450,0.7600,0.7600,3333700,
30 Jan 2026,0.7400,0.7700,0.7250,0.7600,0.7600,3039200,
23 Jan 2026,0.7500,0.7500,0.7300,0.7350,0.7350,1675600,
16 Jan 2026,0.7350,0.7550,0.7250,0.7500,0.7500,3295300,
9 Jan 2026,0.7500,0.7500,0.7250,0.7300,0.7300,1657100,
2 Jan 2026,0.7350,0.7500,0.7300,0.7450,0.7450,3065300,
26 Dec 2025,0.7400,0.7400,0.7300,0.7300,0.7300,599800,
19 Dec 2025,0.7400,0.7400,0.7200,0.7350,0.7350,1930900,
12 Dec 2025,0.7600,0.7600,0.7300,0.7350,0.7350,2720500,
5 Dec 2025,0.7850,0.7850,0.7450,0.7600,0.7428,1517200,
2 Dec 2025,,,,,,,0.0177 Dividend
28 Nov 2025,0.7800,0.8000,0.7800,0.7850,0.7672,1467000,
21 Nov 2025,0.7850,0.7950,0.7750,0.7800,0.7623,1929200,
14 Nov 2025,0.7600,0.8000,0.7600,0.7850,0.7672,2051000,
7 Nov 2025,0.7450,0.7700,0.7450,0.7650,0.7476,2457800,
