Date,Open,High,Low,Close,Adj Close,Volume,Notes
12 Jun 2026,2.4600,2.5100,2.4400,2.5000,2.5000,70792223,
5 Jun 2026,2.5000,2.5200,2.4500,2.4700,2.4700,91979853,
29 May 2026,2.5300,2.5400,2.4900,2.5000,2.5000,92332405,
22 May 2026,2.4600,2.5400,2.4300,2.5200,2.5200,113140600,
15 May 2026,2.4900,2.5000,2.4500,2.4600,2.4600,102119195,
8 May 2026,2.5000,2.5400,2.4500,2.4800,2.4800,120058802,
1 May 2026,2.5500,2.5700,2.4700,2.4900,2.4900,96372900,
24 Apr 2026,2.5800,2.6100,2.5400,2.5500,2.5500,104671981,
17 Apr 2026,2.5300,2.6100,2.5200,2.5800,2.5800,109417000,
10 Apr 2026,2.5000,2.5700,2.4900,2.5400,2.5400,114165200,
3 Apr 2026,2.4900,2.5400,2.4700,2.5000,2.4628,135859239,
31 Mar 2026,,,,,,,0.0375 Dividend
27 Mar 2026,2.5400,2.5500,2.4200,2.5000,2.4628,130815405,
20 Mar 2026,2.5400,2.6100,2.5400,2.5700,2.5318,86375400,
13 Mar 2026,2.5700,2.5700,2.5200,2.5400,2.5022,105780400,
6 Mar 2026,2.6700,2.6900,2.5700,2.5900,2.5515,119324674,
27 Feb 2026,2.7100,2.7200,2.6800,2.6900,2.6500,89733456,
20 Feb 2026,2.7100,2.7400,2.6900,2.7000,2.6598,56049200,
13 Feb 2026,2.8200,2.8400,2.6900,2.7000,2.5886,104377800,
12 Feb 2026,,,,,,,0.0753 Dividend
6 Feb 2026,2.8500,2.8700,2.8000,2.8000,2.6844,71578100,
30 Jan 2026,2.8800,2.9000,2.8300,2.8500,2.7324,84414500,
23 Jan 2026,2.8600,2.9200,2.8400,2.8800,2.7611,73607200,
16 Jan 2026,2.8400,2.8900,2.8200,2.8600,2.7420,58483600,
9 Jan 2026,2.8300,2.8800,2.8200,2.8500,2.7324,47762700,
2 Jan 2026,2.8100,2.8500,2.8000,2.8300,2.7132,31432700,
26 Dec 2025,2.7900,2.8000,2.7600,2.8000,2.6844,21652300,
19 Dec 2025,2.7600,2.8000,2.7400,2.7900,2.6748,41036600,
12 Dec 2025,2.7700,2.7800,2.7300,2.7800,2.6653,58065359,
5 Dec 2025,2.8200,2.8400,2.7700,2.7700,2.6557,62051100,
28 Nov 2025,2.8000,2.8400,2.7800,2.8100,2.6940,65293836,
21 Nov 2025,2.7900,2.8300,2.7600,2.7800,2.6653,48653200,
14 Nov 2025,2.8100,2.8500,2.7800,2.8000,2.6844,46318900,
7 Nov 2025,2.8400,2.8600,2.7600,2.8300,2.7132,68933500,
31 Oct 2025,2.8800,2.9000,2.8200,2.8200,2.7036,50706586,
24 Oct 2025,2.8500,2.8900,2.8300,2.8700,2.7515,31999100,
17 Oct 2025,2.8100,2.8600,2.7900,2.8400,2.7228,48357600,
10 Oct 2025,2.8500,2.8900,2.8200,2.8400,2.7228,44052019,
3 Oct 2025,2.7700,2.8600,2.7700,2.8500,2.7324,60888300,
26 Sep 2025,2.8100,2.8300,2.7600,2.7700,2.6557,64566243,
19 Sep 2025,2.8500,2.8700,2.7700,2.7800,2.6653,98912500,
12 Sep 2025,2.7800,2.8600,2.7700,2.8400,2.7228,50661700,
5 Sep 2025,2.7200,2.7800,2.7100,2.7700,2.6557,57017100,
29 Aug 2025,2.7200,2.7500,2.6900,2.7200,2.6077,86694160,
22 Aug 2025,2.6900,2.7200,2.6500,2.6700,2.5598,68446900,
15 Aug 2025,2.7100,2.7500,2.6700,2.6900,2.5695,82805700,
11 Aug 2025,,,,,,,0.0100 Dividend
8 Aug 2025,2.7500,2.8200,2.7000,2.7200,2.5982,80089690,
1 Aug 2025,2.8000,2.8700,2.7400,2.7400,2.6173,82854447,
25 Jul 2025,2.7700,2.8100,2.7700,2.7900,2.6650,48361900,
18 Jul 2025,2.7100,2.8000,2.7100,2.7600,2.6364,55051900,
11 Jul 2025,2.7400,2.7500,2.6800,2.7100,2.5886,56823800,
4 Jul 2025,2.6800,2.7600,2.6600,2.7400,2.6173,74044900,
27 Jun 2025,2.6100,2.7000,2.5800,2.6900,2.5695,59245600,
20 Jun 2025,2.6100,2.6600,2.5900,2.6000,2.4835,55611900,
13 Jun 2025,2.5800,2.6200,2.5600,2.6100,2.4931,57788300,
6 Jun 2025,2.6600,2.6600,2.5500,2.5800,2.4035,59018600,
4 Jun 2025,,,,,,,0.0648 Dividend
30 May 2025,2.5900,2.6500,2.5700,2.6500,2.4687,98720400,
23 May 2025,2.6100,2.6200,2.5700,2.5900,2.4128,35834000,
16 May 2025,2.6600,2.6700,2.5800,2.6300,2.4501,38603800,
9 May 2025,2.6500,2.7200,2.6100,2.6400,2.4594,44361400,
2 May 2025,2.6700,2.7100,2.6100,2.6600,2.4780,36842600,
25 Apr 2025,2.6300,2.7000,2.5900,2.6600,2.4780,47875500,
18 Apr 2025,2.5200,2.6500,2.5000,2.6300,2.4501,44356200,
11 Apr 2025,2.6200,2.6300,2.4000,2.5000,2.3290,127603100,
4 Apr 2025,2.6700,2.7500,2.6700,2.7300,2.5432,80896400,
28 Mar 2025,2.6500,2.6900,2.6300,2.6700,2.4873,60750400,
21 Mar 2025,2.6300,2.6700,2.5900,2.6400,2.4594,80067400,
14 Mar 2025,2.5200,2.6300,2.4900,2.6200,2.4408,88086400,
7 Mar 2025,2.5700,2.5900,2.5200,2.5300,2.3569,62763600,
28 Feb 2025,2.5100,2.5700,2.4900,2.5700,2.3942,80098000,
21 Feb 2025,2.5800,2.5900,2.5100,2.5200,2.3476,61288200,
14 Feb 2025,2.6400,2.6600,2.5500,2.5500,2.3062,51454100,
13 Feb 2025,,,,,,,0.0768 Dividend
7 Feb 2025,2.5500,2.6600,2.5400,2.6400,2.3876,57862400,
31 Jan 2025,2.5800,2.6500,2.5500,2.5900,2.3423,41213500,
24 Jan 2025,2.6100,2.6500,2.5600,2.5800,2.3333,47537900,
17 Jan 2025,2.5500,2.6500,2.5300,2.6100,2.3604,57965986,
10 Jan 2025,2.6500,2.6600,2.5500,2.5700,2.3243,47977100,
3 Jan 2025,2.5700,2.6500,2.5500,2.6400,2.3876,29837200,
27 Dec 2024,2.5300,2.5900,2.5100,2.5700,2.3243,17165100,
20 Dec 2024,2.5600,2.5700,2.5100,2.5200,2.2790,47392600,
13 Dec 2024,2.6000,2.6000,2.5500,2.5500,2.3062,42011500,
6 Dec 2024,2.6500,2.6600,2.5800,2.5900,2.3423,38064000,
29 Nov 2024,2.5600,2.6400,2.5600,2.6200,2.3695,69045581,
22 Nov 2024,2.5900,2.6100,2.5500,2.5600,2.3152,61212961,
15 Nov 2024,2.6200,2.6300,2.5600,2.5700,2.3243,54659300,
8 Nov 2024,2.6800,2.7100,2.5800,2.6100,2.3604,105103500,
1 Nov 2024,2.7600,2.7600,2.6500,2.6700,2.4147,51760000,
25 Oct 2024,2.8100,2.8300,2.7100,2.7500,2.4870,48335800,
18 Oct 2024,2.8000,2.8300,2.7500,2.8100,2.5413,46512583,
11 Oct 2024,2.8600,2.8600,2.7700,2.7900,2.5232,55063700,
4 Oct 2024,2.8800,2.9200,2.8500,2.8700,2.5956,65526543,
27 Sep 2024,2.8700,2.9200,2.8300,2.8800,2.6046,77455000,
20 Sep 2024,2.9100,2.9900,2.8600,2.8600,2.5865,80977500,
13 Sep 2024,2.9000,2.9300,2.8800,2.9100,2.6317,53936600,
6 Sep 2024,2.8800,2.9200,2.7700,2.9100,2.6317,72531400,
30 Aug 2024,2.8600,2.8900,2.8300,2.8800,2.6046,60047912,
23 Aug 2024,2.7400,2.8400,2.7400,2.8400,2.5684,66967200,
16 Aug 2024,2.6500,2.7400,2.6100,2.7200,2.4599,52996700,
9 Aug 2024,2.7500,2.7600,2.6100,2.6500,2.3298,60481551,
6 Aug 2024,,,,,,,0.0752 Dividend
2 Aug 2024,2.6800,2.8000,2.6500,2.7800,2.4441,75060030,
26 Jul 2024,2.7000,2.7100,2.6300,2.6600,2.3386,27065200,
19 Jul 2024,2.7200,2.7500,2.6600,2.7000,2.3738,42456500,
12 Jul 2024,2.5500,2.7400,2.5300,2.7200,2.3914,56518300,
5 Jul 2024,2.5500,2.5900,2.5300,2.5500,2.2419,49085400,
28 Jun 2024,2.5300,2.5800,2.5200,2.5600,2.2507,57610900,
21 Jun 2024,2.5700,2.5800,2.5200,2.5300,2.2243,53297000,
14 Jun 2024,2.6300,2.6300,2.5500,2.5700,2.2595,59096600,
7 Jun 2024,2.6400,2.6900,2.6200,2.6500,2.3298,61606900,
31 May 2024,2.6500,2.6600,2.6000,2.6100,2.2947,108065000,
24 May 2024,2.6400,2.6900,2.6100,2.6500,2.3298,47784807,
17 May 2024,2.5900,2.6900,2.5800,2.6500,2.3298,49766800,
10 May 2024,2.5700,2.6200,2.5600,2.6000,2.2859,43055500,
3 May 2024,2.6000,2.6300,2.5300,2.5400,2.2331,63630200,
26 Apr 2024,2.5600,2.6600,2.5300,2.6000,2.2859,90656100,
19 Apr 2024,2.6900,2.6900,2.5400,2.5600,2.2507,102330400,
12 Apr 2024,2.7600,2.7900,2.6900,2.7000,2.3738,42775600,
5 Apr 2024,2.7700,2.7900,2.7200,2.7600,2.4265,49749300,
29 Mar 2024,2.7400,2.8300,2.7200,2.7700,2.4353,47679600,
22 Mar 2024,2.6600,2.7700,2.6500,2.7400,2.4090,52990200,
15 Mar 2024,2.7500,2.7700,2.6600,2.6600,2.3386,62646100,
8 Mar 2024,2.7300,2.7600,2.6900,2.7300,2.4002,43175500,
1 Mar 2024,2.7600,2.8200,2.6900,2.7200,2.3914,83605200,
23 Feb 2024,2.7700,2.8100,2.7200,2.7900,2.4529,56245801,
16 Feb 2024,2.7900,2.8000,2.6500,2.7800,2.4441,76549400,
9 Feb 2024,2.8500,2.8500,2.6800,2.7600,2.3623,100940900,
8 Feb 2024,,,,,,,0.0744 Dividend
2 Feb 2024,2.9000,2.9400,2.8300,2.8700,2.4564,77591200,
26 Jan 2024,2.8900,2.9700,2.8800,2.8900,2.4735,43766500,
19 Jan 2024,2.9600,2.9900,2.8600,2.8800,2.4650,50457000,
12 Jan 2024,2.9300,2.9800,2.8600,2.9600,2.5335,50527700,
5 Jan 2024,3.0300,3.0400,2.9100,2.9400,2.5163,38489000,
29 Dec 2023,2.9700,3.0500,2.9400,3.0300,2.5934,41818600,
22 Dec 2023,2.9400,2.9800,2.8900,2.9700,2.5420,54272500,
15 Dec 2023,2.8500,3.0000,2.8200,2.9700,2.5420,106600206,
8 Dec 2023,2.8300,2.8600,2.7900,2.8500,2.4393,49945000,
1 Dec 2023,2.8300,2.8500,2.7900,2.8300,2.4222,119905500,
24 Nov 2023,2.7900,2.8400,2.7500,2.8300,2.4222,68369400,
17 Nov 2023,2.6900,2.8000,2.6600,2.8000,2.3965,72055500,
10 Nov 2023,2.7300,2.7500,2.6600,2.6900,2.3024,58630300,
3 Nov 2023,2.5100,2.7300,2.5100,2.7000,2.3109,72008800,
27 Oct 2023,2.4800,2.5600,2.4700,2.5100,2.1483,48973800,
20 Oct 2023,2.7000,2.7200,2.4700,2.4800,2.1226,90319300,
13 Oct 2023,2.6500,2.7400,2.6300,2.6900,2.3024,52724900,
6 Oct 2023,2.7500,2.7600,2.6200,2.6400,2.2596,59189800,
29 Sep 2023,2.7700,2.8100,2.7000,2.7500,2.3537,51942463,
22 Sep 2023,2.8300,2.8400,2.7400,2.7700,2.3708,48690365,
15 Sep 2023,2.7800,2.8500,2.7700,2.8300,2.4222,62894800,
8 Sep 2023,2.7600,2.8100,2.7400,2.7800,2.3794,44494600,
1 Sep 2023,2.7500,2.8000,2.7200,2.7700,2.3708,89603600,
25 Aug 2023,2.7000,2.7600,2.6700,2.7500,2.3537,49964300,
18 Aug 2023,2.7300,2.7400,2.6700,2.7100,2.3195,54205000,
11 Aug 2023,2.7200,2.8000,2.7200,2.7500,2.3401,42725000,
7 Aug 2023,,,,,,,0.0158 Dividend
4 Aug 2023,2.8500,2.8600,2.7200,2.7200,2.3145,72979400,
28 Jul 2023,2.8100,2.8600,2.7800,2.8500,2.4252,53054700,
21 Jul 2023,2.8100,2.8200,2.7500,2.8100,2.3911,51289800,
14 Jul 2023,2.6800,2.8200,2.6500,2.8200,2.3996,70444300,
7 Jul 2023,2.7300,2.7600,2.6500,2.6700,2.2720,47086900,
30 Jun 2023,2.6700,2.7400,2.6600,2.7200,2.3145,42704900,
23 Jun 2023,2.7600,2.7700,2.6600,2.6700,2.2720,42626100,
16 Jun 2023,2.6300,2.7800,2.6300,2.7600,2.3486,73736500,
9 Jun 2023,2.7300,2.7400,2.6100,2.6300,2.2380,70388200,
2 Jun 2023,2.7100,2.7400,2.6700,2.7000,2.2975,56274615,
26 May 2023,2.7900,2.8100,2.6800,2.7000,2.2473,68245353,
23 May 2023,,,,,,,0.0614 Dividend
19 May 2023,2.8600,2.8800,2.7600,2.8000,2.3305,79274700,
12 May 2023,2.8700,2.8900,2.8400,2.8600,2.3805,44054900,
5 May 2023,2.8600,2.9100,2.7900,2.8600,2.3805,45697600,
28 Apr 2023,2.8900,2.8900,2.8000,2.8600,2.3805,60834589,
21 Apr 2023,2.8700,2.8900,2.8300,2.8800,2.3971,38462900,
14 Apr 2023,2.8800,2.9000,2.8200,2.8800,2.3971,36731800,
7 Apr 2023,2.8700,2.9300,2.8600,2.8700,2.3888,49652285,
31 Mar 2023,2.7800,2.8700,2.7700,2.8600,2.3805,72981853,
24 Mar 2023,2.8000,2.8300,2.7500,2.7700,2.3056,51024152,
17 Mar 2023,2.7000,2.8200,2.6600,2.8000,2.3305,72611578,
10 Mar 2023,2.7900,2.7900,2.6700,2.6900,2.2390,50308100,
3 Mar 2023,2.7800,2.8300,2.7600,2.7800,2.3139,52251355,
24 Feb 2023,2.7900,2.8300,2.7300,2.8000,2.3305,41304600,
17 Feb 2023,2.7700,2.8300,2.7300,2.7800,2.3139,49459400,
10 Feb 2023,2.9700,2.9900,2.7500,2.7700,2.2426,63944900,
9 Feb 2023,,,,,,,0.0793 Dividend
3 Feb 2023,2.9200,3.0100,2.8700,3.0000,2.4288,61908700,
27 Jan 2023,2.8000,2.9200,2.8000,2.9100,2.3559,44096600,
20 Jan 2023,2.7600,2.8200,2.7400,2.8000,2.2669,43924300,
13 Jan 2023,2.7700,2.7900,2.7200,2.7400,2.2183,45265600,
6 Jan 2023,2.7400,2.8000,2.7000,2.7300,2.2102,39373800,
30 Dec 2022,2.6900,2.7500,2.6700,2.7400,2.2183,20031000,
23 Dec 2022,2.7100,2.7300,2.6500,2.6900,2.1778,34202500,
16 Dec 2022,2.7500,2.8000,2.7000,2.7100,2.1940,43431900,
9 Dec 2022,2.7600,2.8100,2.7200,2.7500,2.2264,26868400,
2 Dec 2022,2.7200,2.8300,2.7000,2.7500,2.2264,52654400,
25 Nov 2022,2.7400,2.7800,2.6800,2.7100,2.1940,47904300,
18 Nov 2022,2.7800,2.8300,2.7100,2.7500,2.2264,65324400,
11 Nov 2022,2.5600,2.7800,2.5400,2.7600,2.2345,49200900,
4 Nov 2022,2.6500,2.6900,2.5000,2.5600,2.0726,67324647,
28 Oct 2022,2.4700,2.6700,2.4700,2.6300,2.1292,50437300,
21 Oct 2022,2.6000,2.6600,2.4500,2.4700,1.9997,73298100,
14 Oct 2022,2.6700,2.6700,2.6000,2.6100,2.1130,60713271,
7 Oct 2022,2.6600,2.7200,2.6300,2.6900,2.1778,40033100,
