Date,Open,High,Low,Close,Adj Close,Volume,Notes
12 Jun 2026,0.5150,0.5150,0.5100,0.5150,0.5150,14950000,
5 Jun 2026,0.5300,0.5350,0.5100,0.5100,0.5100,64529900,
29 May 2026,0.5150,0.5400,0.5100,0.5300,0.5300,70409300,
22 May 2026,0.5200,0.5250,0.5050,0.5150,0.5150,53653300,
15 May 2026,0.5300,0.5350,0.5200,0.5200,0.5200,33253700,
8 May 2026,0.5400,0.5450,0.5250,0.5300,0.5300,77211500,
1 May 2026,0.5300,0.5400,0.5250,0.5400,0.5400,32369200,
24 Apr 2026,0.5400,0.5400,0.5250,0.5300,0.5300,29176000,
17 Apr 2026,0.5300,0.5400,0.5300,0.5400,0.5400,24584100,
10 Apr 2026,0.5150,0.5350,0.5150,0.5350,0.5350,47358400,
3 Apr 2026,0.5050,0.5200,0.5000,0.5150,0.5150,35942800,
27 Mar 2026,0.5150,0.5150,0.5050,0.5050,0.5050,40214500,
20 Mar 2026,0.5150,0.5300,0.5100,0.5150,0.5150,32630500,
13 Mar 2026,0.5100,0.5250,0.4950,0.5150,0.5150,53453200,
6 Mar 2026,0.5400,0.5400,0.5000,0.5150,0.5150,92646600,
27 Feb 2026,0.5500,0.5650,0.5350,0.5500,0.5500,134417200,
20 Feb 2026,0.5350,0.5500,0.5300,0.5500,0.5500,45181060,
13 Feb 2026,0.5350,0.5500,0.5250,0.5350,0.5158,94800300,
10 Feb 2026,,,,,,,0.0197 Dividend
6 Feb 2026,0.5200,0.5350,0.5200,0.5350,0.5158,87994600,
30 Jan 2026,0.5150,0.5250,0.5100,0.5200,0.5014,61483900,
23 Jan 2026,0.5150,0.5200,0.5100,0.5150,0.4966,34099400,
16 Jan 2026,0.5100,0.5150,0.5050,0.5150,0.4966,25201244,
9 Jan 2026,0.4950,0.5150,0.4900,0.5050,0.4869,50200800,
2 Jan 2026,0.4900,0.4950,0.4850,0.4950,0.4773,23684500,
26 Dec 2025,0.4800,0.4900,0.4750,0.4900,0.4724,43277740,
19 Dec 2025,0.4750,0.4800,0.4700,0.4750,0.4580,35511700,
12 Dec 2025,0.4700,0.4750,0.4650,0.4750,0.4580,25693200,
5 Dec 2025,0.4650,0.4700,0.4650,0.4700,0.4532,19284800,
28 Nov 2025,0.4650,0.4700,0.4600,0.4700,0.4532,37276500,
21 Nov 2025,0.4650,0.4700,0.4600,0.4650,0.4483,21175200,
14 Nov 2025,0.4650,0.4700,0.4600,0.4650,0.4483,41380217,
7 Nov 2025,0.4650,0.4700,0.4600,0.4600,0.4435,32953400,
31 Oct 2025,0.4600,0.4700,0.4600,0.4600,0.4435,36802300,
24 Oct 2025,0.4600,0.4650,0.4550,0.4600,0.4435,35128300,
17 Oct 2025,0.4650,0.4700,0.4550,0.4600,0.4435,33612296,
10 Oct 2025,0.4750,0.4750,0.4650,0.4650,0.4483,27044400,
3 Oct 2025,0.4650,0.4750,0.4600,0.4750,0.4580,36005500,
26 Sep 2025,0.4600,0.4650,0.4550,0.4600,0.4435,37715200,
19 Sep 2025,0.4550,0.4600,0.4500,0.4550,0.4387,27114300,
12 Sep 2025,0.4500,0.4600,0.4450,0.4550,0.4387,31325100,
5 Sep 2025,0.4450,0.4500,0.4450,0.4450,0.4291,16390100,
29 Aug 2025,0.4350,0.4500,0.4350,0.4450,0.4291,51915200,
22 Aug 2025,0.4250,0.4400,0.4200,0.4350,0.4194,39736100,
15 Aug 2025,0.4250,0.4300,0.4200,0.4250,0.4098,17542600,
8 Aug 2025,0.4500,0.4500,0.4200,0.4250,0.3918,59990252,
5 Aug 2025,,,,,,,0.0197 Dividend
1 Aug 2025,0.4400,0.4500,0.4350,0.4450,0.4103,61583900,
25 Jul 2025,0.4350,0.4400,0.4300,0.4400,0.4057,55675600,
18 Jul 2025,0.4200,0.4350,0.4150,0.4350,0.4011,40228100,
11 Jul 2025,0.4150,0.4200,0.4150,0.4200,0.3872,20984200,
4 Jul 2025,0.3950,0.4200,0.3950,0.4150,0.3826,45583900,
27 Jun 2025,0.3900,0.4000,0.3900,0.3950,0.3642,26916375,
20 Jun 2025,0.3900,0.3950,0.3900,0.3900,0.3596,26467300,
13 Jun 2025,0.3950,0.3950,0.3900,0.3900,0.3596,19039000,
6 Jun 2025,0.3950,0.3950,0.3900,0.3950,0.3642,26279800,
30 May 2025,0.3950,0.4000,0.3900,0.3900,0.3596,23254100,
23 May 2025,0.3950,0.4000,0.3900,0.3950,0.3642,18270000,
16 May 2025,0.3950,0.4000,0.3900,0.4000,0.3688,36677900,
9 May 2025,0.4000,0.4050,0.3900,0.3950,0.3642,28692900,
2 May 2025,0.4050,0.4050,0.4000,0.4050,0.3734,12006600,
25 Apr 2025,0.4150,0.4150,0.4000,0.4050,0.3734,31701400,
18 Apr 2025,0.4000,0.4150,0.3950,0.4150,0.3826,19109900,
11 Apr 2025,0.4150,0.4150,0.3800,0.3950,0.3642,78984900,
4 Apr 2025,0.4250,0.4250,0.4150,0.4250,0.3918,28225500,
28 Mar 2025,0.4250,0.4250,0.4200,0.4250,0.3918,25777300,
21 Mar 2025,0.4250,0.4300,0.4200,0.4250,0.3918,33304000,
14 Mar 2025,0.4250,0.4300,0.4200,0.4300,0.3964,38740000,
7 Mar 2025,0.4400,0.4400,0.4250,0.4250,0.3918,55060000,
28 Feb 2025,0.4450,0.4450,0.4350,0.4400,0.4057,33737700,
21 Feb 2025,0.4450,0.4450,0.4400,0.4450,0.4103,17188900,
14 Feb 2025,0.4400,0.4450,0.4400,0.4450,0.3989,30819700,
10 Feb 2025,,,,,,,0.0125 Dividend
7 Feb 2025,0.4550,0.4550,0.4500,0.4500,0.4034,28256100,
31 Jan 2025,0.4550,0.4600,0.4500,0.4550,0.4078,17119600,
24 Jan 2025,0.4600,0.4600,0.4500,0.4550,0.4078,14455400,
17 Jan 2025,0.4500,0.4600,0.4450,0.4600,0.4123,19822300,
10 Jan 2025,0.4550,0.4550,0.4500,0.4500,0.4034,40718400,
3 Jan 2025,0.4500,0.4550,0.4450,0.4550,0.4078,11579900,
27 Dec 2024,0.4500,0.4500,0.4450,0.4500,0.4034,23980800,
20 Dec 2024,0.4500,0.4550,0.4400,0.4450,0.3989,42450700,
13 Dec 2024,0.4500,0.4550,0.4450,0.4450,0.3989,17038700,
6 Dec 2024,0.4500,0.4550,0.4450,0.4500,0.4034,25134600,
29 Nov 2024,0.4450,0.4500,0.4400,0.4500,0.4034,37567900,
22 Nov 2024,0.4450,0.4500,0.4400,0.4450,0.3989,20726400,
15 Nov 2024,0.4450,0.4500,0.4400,0.4400,0.3944,34378900,
8 Nov 2024,0.4450,0.4500,0.4400,0.4450,0.3989,37206400,
1 Nov 2024,0.4500,0.4550,0.4400,0.4450,0.3989,47067600,
25 Oct 2024,0.4650,0.4700,0.4450,0.4500,0.4034,80319600,
18 Oct 2024,0.4650,0.4700,0.4600,0.4700,0.4213,22434500,
11 Oct 2024,0.4650,0.4700,0.4600,0.4650,0.4168,27463500,
4 Oct 2024,0.4700,0.4700,0.4600,0.4600,0.4123,55654000,
27 Sep 2024,0.4700,0.4700,0.4600,0.4700,0.4213,32101800,
