Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,0.2300,0.2300,0.2250,0.2250,0.2250,27400,
12 Jun 2026,0.2150,0.2150,0.2100,0.2100,0.2100,40000,
5 Jun 2026,0.2500,0.2500,0.2150,0.2150,0.2150,202000,
29 May 2026,0.2500,0.2500,0.2500,0.2500,0.2500,0,
22 May 2026,0.2200,0.2500,0.2000,0.2500,0.2500,36800,
15 May 2026,0.2300,0.2300,0.2200,0.2200,0.2200,75400,
8 May 2026,0.2350,0.2350,0.2200,0.2300,0.2300,244400,
1 May 2026,0.2300,0.2300,0.2300,0.2300,0.2300,678000,
24 Apr 2026,0.2350,0.2350,0.2250,0.2300,0.2300,214100,
17 Apr 2026,0.2250,0.2350,0.2250,0.2350,0.2350,3900,
10 Apr 2026,0.2300,0.2350,0.2250,0.2250,0.2250,144800,
3 Apr 2026,0.2250,0.2300,0.2250,0.2300,0.2300,652600,
27 Mar 2026,0.2300,0.2300,0.2250,0.2250,0.2250,81300,
20 Mar 2026,0.2250,0.2300,0.2250,0.2300,0.2300,69400,
13 Mar 2026,0.2250,0.2350,0.2250,0.2250,0.2250,388700,
6 Mar 2026,0.2300,0.2300,0.2250,0.2300,0.2300,93500,
27 Feb 2026,0.2300,0.2350,0.2250,0.2300,0.2300,595200,
20 Feb 2026,0.2300,0.2350,0.2200,0.2300,0.2300,765800,
13 Feb 2026,0.2300,0.2400,0.2300,0.2300,0.2300,51600,
6 Feb 2026,0.2300,0.2300,0.2300,0.2300,0.2300,0,
30 Jan 2026,0.2350,0.2400,0.2300,0.2300,0.2300,303400,
23 Jan 2026,0.2350,0.2450,0.2300,0.2300,0.2300,277700,
16 Jan 2026,0.2350,0.2400,0.2300,0.2400,0.2400,79000,
9 Jan 2026,0.2400,0.2450,0.2350,0.2400,0.2400,119500,
2 Jan 2026,0.2350,0.2400,0.2300,0.2400,0.2400,129000,
26 Dec 2025,0.2300,0.2350,0.2300,0.2350,0.2350,155000,
19 Dec 2025,0.2500,0.2500,0.2350,0.2400,0.2319,39000,
17 Dec 2025,,,,,,,0.0084 Dividend
12 Dec 2025,0.2450,0.2500,0.2450,0.2500,0.2416,131600,
5 Dec 2025,0.2450,0.2550,0.2400,0.2450,0.2368,189000,
28 Nov 2025,0.2450,0.2450,0.2400,0.2400,0.2319,84000,
21 Nov 2025,0.2400,0.2400,0.2350,0.2400,0.2319,205600,
14 Nov 2025,0.2350,0.2400,0.2350,0.2400,0.2319,215700,
7 Nov 2025,0.2300,0.2450,0.2300,0.2400,0.2319,174800,
31 Oct 2025,0.2350,0.2350,0.2300,0.2300,0.2223,178900,
24 Oct 2025,0.2350,0.2450,0.2300,0.2400,0.2319,455900,
17 Oct 2025,0.2250,0.2350,0.2250,0.2350,0.2271,3900,
10 Oct 2025,0.2300,0.2300,0.2200,0.2250,0.2174,455200,
3 Oct 2025,0.2150,0.2350,0.2150,0.2350,0.2271,1681200,
26 Sep 2025,0.2200,0.2200,0.2200,0.2200,0.2126,122100,
19 Sep 2025,0.2200,0.2250,0.2200,0.2200,0.2126,485500,
12 Sep 2025,0.2250,0.2300,0.2150,0.2150,0.2002,329500,
11 Sep 2025,,,,,,,0.0084 Dividend
5 Sep 2025,0.2250,0.2250,0.2200,0.2250,0.2095,397200,
29 Aug 2025,0.2250,0.2300,0.2250,0.2250,0.2095,253000,
