Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,4.3000,4.4300,4.2400,4.3500,4.3500,200581600,
12 Jun 2026,4.2400,4.3400,4.1500,4.2700,4.2700,210517300,
5 Jun 2026,4.3000,4.3700,4.2700,4.2900,4.2900,162510159,
29 May 2026,4.6000,4.6400,4.3300,4.3400,4.3400,275906609,
22 May 2026,4.8300,5.0500,4.5900,4.5900,4.5900,295621616,
15 May 2026,4.7400,4.8700,4.6700,4.8200,4.8200,143390700,
8 May 2026,4.6700,4.7400,4.5500,4.6900,4.6900,207827940,
1 May 2026,4.6100,4.6700,4.4600,4.5900,4.5900,167845458,
24 Apr 2026,4.8000,4.8700,4.5500,4.6300,4.6300,228032251,
17 Apr 2026,4.9000,4.9300,4.7500,4.8100,4.8100,200141960,
10 Apr 2026,5.0400,5.0700,4.8300,4.8800,4.8800,134144708,
3 Apr 2026,4.9400,5.1000,4.9300,4.9900,4.9900,85512474,
27 Mar 2026,5.0500,5.0900,4.9100,4.9900,4.9900,105502500,
20 Mar 2026,4.9500,5.2700,4.9500,5.2100,5.2100,139331600,
13 Mar 2026,4.9500,5.0500,4.9000,4.9600,4.9600,99590100,
6 Mar 2026,4.8900,5.0500,4.8600,5.0000,5.0000,142548164,
27 Feb 2026,5.1000,5.1500,4.9600,5.0400,5.0400,97243600,
20 Feb 2026,4.9000,5.1000,4.8300,5.0400,5.0400,70152800,
13 Feb 2026,4.7600,5.0300,4.7200,4.9100,4.9100,123971500,
6 Feb 2026,4.6800,4.9500,4.6100,4.7200,4.7200,146123092,
30 Jan 2026,4.4700,4.6500,4.4400,4.5900,4.5900,98823943,
23 Jan 2026,4.4800,4.5700,4.4200,4.4400,4.4400,90575200,
16 Jan 2026,4.4700,4.5400,4.4200,4.4900,4.4900,78733300,
9 Jan 2026,4.6000,4.6000,4.3900,4.4600,4.4600,126300600,
2 Jan 2026,4.6000,4.6000,4.5500,4.5800,4.5800,30326250,
26 Dec 2025,4.5700,4.6000,4.5000,4.5800,4.5800,38674137,
19 Dec 2025,4.6700,4.7100,4.4800,4.5400,4.5400,115484200,
12 Dec 2025,4.6100,4.6600,4.5500,4.6600,4.6600,93851510,
5 Dec 2025,4.7400,4.7500,4.5400,4.5800,4.5800,106267760,
28 Nov 2025,4.7700,4.8300,4.7000,4.7300,4.7300,107026368,
21 Nov 2025,4.8500,4.9200,4.7100,4.7400,4.6600,118536700,
20 Nov 2025,,,,,,,0.0820 Dividend
14 Nov 2025,4.6000,4.9200,4.5000,4.8600,4.7780,135290516,
7 Nov 2025,4.2800,4.7300,4.2000,4.6300,4.5519,184721300,
31 Oct 2025,4.3200,4.3600,4.2300,4.2500,4.1783,84296570,
24 Oct 2025,4.2100,4.3600,4.2100,4.3100,4.2373,68373300,
17 Oct 2025,4.2400,4.2900,4.1800,4.2100,4.1390,84076032,
10 Oct 2025,4.2500,4.3000,4.1700,4.2600,4.1881,91530200,
3 Oct 2025,4.2600,4.2700,4.0600,4.2500,4.1783,195663800,
26 Sep 2025,4.4000,4.4000,4.2200,4.2600,4.1881,177355072,
19 Sep 2025,4.3400,4.4500,4.2900,4.4100,4.3356,145305007,
12 Sep 2025,4.3900,4.3900,4.2800,4.3400,4.2668,98207400,
5 Sep 2025,4.3200,4.4200,4.2800,4.3900,4.3159,87334600,
29 Aug 2025,4.2100,4.3500,4.2100,4.3100,4.2373,134818670,
22 Aug 2025,4.1200,4.2100,4.0900,4.2000,4.1291,129893600,
15 Aug 2025,3.9800,4.1200,3.9100,4.1000,4.0308,109509200,
8 Aug 2025,3.9000,4.0300,3.9000,3.9800,3.9128,66839200,
