Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,1.5900,1.6000,1.5600,1.5800,1.5800,7701900,
12 Jun 2026,1.5600,1.6000,1.5400,1.6000,1.6000,10708700,
5 Jun 2026,1.5800,1.5900,1.5500,1.5600,1.5600,8278400,
29 May 2026,1.5900,1.6000,1.5600,1.5800,1.5800,8065100,
22 May 2026,1.5400,1.6000,1.5100,1.5900,1.5900,12122300,
15 May 2026,1.5700,1.5700,1.5300,1.5400,1.5145,8733600,
15 May 2026,,,,,,,0.0260 Dividend
8 May 2026,1.5100,1.5900,1.4900,1.5700,1.5440,24051200,
1 May 2026,1.5100,1.5300,1.4800,1.5100,1.4850,8750500,
24 Apr 2026,1.5100,1.5300,1.5000,1.5100,1.4850,3598800,
17 Apr 2026,1.4700,1.5200,1.4600,1.5100,1.4850,5759300,
10 Apr 2026,1.4300,1.4700,1.4200,1.4700,1.4457,5343700,
3 Apr 2026,1.4200,1.4400,1.4100,1.4300,1.4063,3773400,
27 Mar 2026,1.4400,1.4500,1.4100,1.4200,1.3965,11241200,
20 Mar 2026,1.4100,1.4600,1.3900,1.4500,1.4260,15246100,
13 Mar 2026,1.4300,1.4300,1.3700,1.3900,1.3670,10851000,
6 Mar 2026,1.4800,1.4900,1.4100,1.4400,1.4162,12741000,
27 Feb 2026,1.4900,1.5200,1.4800,1.5100,1.4850,8010500,
20 Feb 2026,1.5000,1.5100,1.4800,1.4900,1.4653,4219000,
13 Feb 2026,,,,,,,0.0253 Dividend
13 Feb 2026,1.5400,1.5500,1.5000,1.5000,1.4509,4866700,
6 Feb 2026,1.5000,1.5500,1.4700,1.5300,1.4799,13040900,
30 Jan 2026,1.5300,1.5400,1.5000,1.5000,1.4509,6517400,
23 Jan 2026,1.5200,1.5500,1.5100,1.5300,1.4799,5867000,
16 Jan 2026,1.5100,1.5400,1.5100,1.5300,1.4799,7013400,
9 Jan 2026,1.5100,1.5300,1.5000,1.5200,1.4703,5408200,
2 Jan 2026,1.4900,1.5200,1.4700,1.5100,1.4606,4781000,
26 Dec 2025,1.4700,1.4900,1.4600,1.4900,1.4413,5508800,
19 Dec 2025,1.4600,1.4900,1.4500,1.4700,1.4219,8776000,
12 Dec 2025,1.4500,1.4600,1.4300,1.4600,1.4122,5018700,
5 Dec 2025,1.4500,1.4700,1.4400,1.4600,1.4122,5900000,
28 Nov 2025,1.4100,1.4600,1.4100,1.4600,1.4122,11859700,
21 Nov 2025,1.4100,1.4300,1.3900,1.4200,1.3735,11053100,
14 Nov 2025,1.4100,1.4300,1.3800,1.4100,1.3404,12107340,
13 Nov 2025,,,,,,,0.0244 Dividend
7 Nov 2025,1.3800,1.4100,1.3700,1.4100,1.3404,8554600,
31 Oct 2025,1.3800,1.4000,1.3700,1.3800,1.3119,10767900,
24 Oct 2025,1.3600,1.3800,1.3500,1.3800,1.3119,12960000,
17 Oct 2025,1.3600,1.3700,1.3500,1.3500,1.2834,9519900,
10 Oct 2025,1.3600,1.3700,1.3600,1.3600,1.2929,5516600,
3 Oct 2025,1.3500,1.3700,1.3500,1.3600,1.2929,9449500,
26 Sep 2025,1.3800,1.3800,1.3500,1.3500,1.2834,5008996,
19 Sep 2025,1.3900,1.4000,1.3400,1.3800,1.3119,17814400,
12 Sep 2025,1.3800,1.3900,1.3700,1.3900,1.3214,8130300,
5 Sep 2025,1.3500,1.3800,1.3400,1.3700,1.3024,7062000,
29 Aug 2025,1.3500,1.3600,1.3400,1.3500,1.2834,6885000,
22 Aug 2025,1.3500,1.3600,1.3300,1.3500,1.2834,5716500,
15 Aug 2025,1.3500,1.3600,1.3400,1.3500,1.2834,4626100,
8 Aug 2025,,,,,,,0.0228 Dividend
8 Aug 2025,1.3500,1.3700,1.3400,1.3500,1.2620,7266700,
1 Aug 2025,1.3700,1.4000,1.3500,1.3500,1.2620,9927300,
25 Jul 2025,1.3600,1.4000,1.3600,1.3700,1.2807,10457700,
18 Jul 2025,1.3400,1.3800,1.3300,1.3600,1.2714,63130098,
11 Jul 2025,1.3300,1.3400,1.3100,1.3300,1.2433,4850300,
4 Jul 2025,1.3200,1.3400,1.3100,1.3300,1.2433,4886300,
27 Jun 2025,1.2900,1.3200,1.2800,1.3200,1.2340,4863400,
20 Jun 2025,1.3100,1.3300,1.2900,1.2900,1.2059,7161500,
13 Jun 2025,1.3100,1.3300,1.3000,1.3100,1.2246,4162600,
6 Jun 2025,1.3000,1.3100,1.2900,1.3100,1.2246,4041500,
30 May 2025,1.2900,1.3100,1.2700,1.3000,1.2153,5678400,
23 May 2025,1.2600,1.2900,1.2600,1.2700,1.1872,5276700,
16 May 2025,,,,,,,0.0253 Dividend
16 May 2025,1.2800,1.2900,1.2500,1.2600,1.1546,3962600,
9 May 2025,1.2400,1.2800,1.2400,1.2700,1.1638,4551500,
2 May 2025,1.2500,1.2500,1.2200,1.2400,1.1363,4333800,
25 Apr 2025,1.2300,1.2600,1.2300,1.2400,1.1363,3614500,
18 Apr 2025,1.2100,1.2500,1.2100,1.2400,1.1363,1422700,
11 Apr 2025,1.2500,1.2500,1.1600,1.2100,1.1088,9005000,
4 Apr 2025,1.2700,1.2800,1.2500,1.2700,1.1638,2879500,
28 Mar 2025,1.2600,1.2800,1.2600,1.2700,1.1638,3339700,
21 Mar 2025,1.2600,1.2600,1.2400,1.2600,1.1546,2651300,
14 Mar 2025,1.2400,1.2600,1.2200,1.2600,1.1546,4263900,
7 Mar 2025,1.2400,1.2500,1.2300,1.2500,1.1455,4216400,
28 Feb 2025,1.2600,1.2700,1.2300,1.2300,1.1271,6531800,
21 Feb 2025,1.2600,1.2700,1.2500,1.2600,1.1546,2085400,
14 Feb 2025,1.2600,1.2700,1.2500,1.2500,1.1455,2105800,
7 Feb 2025,1.2900,1.3000,1.2600,1.2600,1.1331,4729100,
7 Feb 2025,,,,,,,0.0240 Dividend
31 Jan 2025,1.2700,1.3000,1.2600,1.2900,1.1601,2799400,
24 Jan 2025,1.2800,1.2800,1.2600,1.2700,1.1421,2332800,
17 Jan 2025,1.2700,1.2800,1.2500,1.2700,1.1421,2295700,
10 Jan 2025,1.2800,1.2900,1.2700,1.2700,1.1421,1986000,
3 Jan 2025,1.2600,1.2800,1.2500,1.2800,1.1511,1365000,
27 Dec 2024,1.2400,1.2700,1.2400,1.2600,1.1331,1142400,
20 Dec 2024,1.2500,1.2600,1.2300,1.2400,1.1151,5146900,
13 Dec 2024,1.2600,1.2600,1.2400,1.2400,1.1151,4455400,
6 Dec 2024,1.2700,1.2700,1.2500,1.2600,1.1331,4078000,
29 Nov 2024,1.2400,1.2700,1.2400,1.2700,1.1421,3476200,
22 Nov 2024,1.2500,1.2600,1.2400,1.2400,1.1151,4304400,
15 Nov 2024,1.2700,1.2900,1.2500,1.2500,1.1032,5298200,
13 Nov 2024,,,,,,,0.0240 Dividend
8 Nov 2024,1.2700,1.2900,1.2600,1.2600,1.1121,8531000,
1 Nov 2024,1.2700,1.2800,1.2600,1.2700,1.1209,3101100,
25 Oct 2024,1.3000,1.3000,1.2700,1.2700,1.1209,3135900,
18 Oct 2024,1.2900,1.3000,1.2800,1.2900,1.1385,6200800,
11 Oct 2024,1.3100,1.3200,1.2800,1.2800,1.1297,4560000,
4 Oct 2024,1.3300,1.3400,1.3000,1.3000,1.1474,6151900,
27 Sep 2024,1.3400,1.3500,1.3200,1.3300,1.1738,4617600,
20 Sep 2024,1.3200,1.3700,1.3200,1.3300,1.1738,8710300,
