Date,Open,High,Low,Close,Adj Close,Volume,Notes
12 Jun 2026,1.4800,1.5500,1.4400,1.5400,1.5400,3050600,
5 Jun 2026,1.5300,1.6100,1.5000,1.5000,1.5000,6483000,
29 May 2026,1.6500,1.6900,1.5000,1.5500,1.5500,8454600,
22 May 2026,1.9100,1.9500,1.5700,1.6500,1.6500,13052000,
15 May 2026,1.8100,1.9400,1.7800,1.9000,1.9000,8787800,
8 May 2026,2.0000,2.1400,1.8000,1.8200,1.8200,12368700,
4 May 2026,,,,,,,0.0322 Dividend
1 May 2026,1.9100,2.1900,1.8600,2.0700,2.0700,16505200,
24 Apr 2026,1.8700,1.9700,1.8200,1.9100,1.9100,9909200,
17 Apr 2026,1.9000,1.9800,1.8400,1.8600,1.8600,10039300,
10 Apr 2026,1.9100,2.0100,1.8100,1.9300,1.9300,18522700,
3 Apr 2026,1.7000,1.9200,1.7000,1.8800,1.8800,16696300,
27 Mar 2026,1.6500,1.7300,1.4900,1.7000,1.7000,14996700,
20 Mar 2026,1.5700,1.7100,1.5500,1.6600,1.6600,16185000,
13 Mar 2026,1.4400,1.5800,1.4000,1.5600,1.5600,14228800,
6 Mar 2026,1.3100,1.4200,1.2900,1.4100,1.4100,13783500,
27 Feb 2026,1.4900,1.5100,1.2900,1.3200,1.3200,13364800,
20 Feb 2026,1.4700,1.5200,1.4700,1.4900,1.4900,2409300,
13 Feb 2026,1.4300,1.5200,1.4000,1.4700,1.4700,7860200,
6 Feb 2026,1.4500,1.4800,1.3700,1.4500,1.4500,7741500,
30 Jan 2026,1.3300,1.5000,1.3300,1.4400,1.4400,9911200,
23 Jan 2026,1.2800,1.3300,1.2600,1.3300,1.3300,11223600,
16 Jan 2026,1.2900,1.3300,1.2500,1.2800,1.2800,10464500,
9 Jan 2026,1.3500,1.3500,1.2700,1.3000,1.2759,7732600,
5 Jan 2026,,,,,,,0.0250 Dividend
2 Jan 2026,1.3500,1.3700,1.3400,1.3500,1.3250,2783900,
26 Dec 2025,1.3400,1.3600,1.2900,1.3500,1.3250,5278100,
19 Dec 2025,1.3200,1.3900,1.3000,1.3400,1.3152,8015600,
12 Dec 2025,1.3000,1.3600,1.2900,1.3300,1.3054,9899400,
5 Dec 2025,1.4900,1.5100,1.2400,1.3200,1.2956,20420100,
28 Nov 2025,1.5600,1.6000,1.4700,1.4900,1.4624,17386264,
21 Nov 2025,1.3600,1.6000,1.3600,1.5500,1.5213,22068200,
14 Nov 2025,1.4100,1.5300,1.3500,1.3700,1.3446,30374800,
7 Nov 2025,1.4200,1.4600,1.3700,1.4100,1.3839,16371100,
31 Oct 2025,1.4300,1.4900,1.3700,1.4300,1.4035,17207500,
24 Oct 2025,1.2700,1.4400,1.2700,1.4100,1.3839,16579059,
17 Oct 2025,1.2700,1.3100,1.2300,1.2800,1.2563,10404600,
10 Oct 2025,1.1300,1.3300,1.1100,1.2700,1.2465,22304000,
3 Oct 2025,1.1200,1.1500,1.1000,1.1100,1.0894,7385600,
26 Sep 2025,1.1300,1.1600,1.1100,1.1300,1.1091,10539600,
19 Sep 2025,1.1300,1.1400,1.1000,1.1300,1.1091,8122800,
12 Sep 2025,1.1500,1.1700,1.1100,1.1300,1.1091,9675900,
