Date,Open,High,Low,Close,Adj Close,Volume,Notes
12 Jun 2026,0.4100,0.4100,0.4050,0.4050,0.4050,1287200,
5 Jun 2026,0.4050,0.4150,0.4050,0.4100,0.4100,3701800,
29 May 2026,0.4100,0.4100,0.4000,0.4050,0.4050,2136400,
22 May 2026,0.4100,0.4100,0.4000,0.4100,0.4100,1872200,
15 May 2026,0.4150,0.4200,0.4050,0.4100,0.4100,6041300,
8 May 2026,0.3950,0.4300,0.3950,0.4150,0.4150,7823000,
1 May 2026,0.3950,0.4000,0.3900,0.3950,0.3950,1329900,
24 Apr 2026,0.3950,0.4000,0.3900,0.3950,0.3950,816800,
17 Apr 2026,0.3850,0.3950,0.3850,0.3900,0.3900,2312800,
10 Apr 2026,0.3950,0.3950,0.3800,0.3850,0.3850,3098100,
3 Apr 2026,0.3900,0.3950,0.3850,0.3950,0.3950,754900,
27 Mar 2026,0.3900,0.3950,0.3850,0.3900,0.3900,2167700,
20 Mar 2026,0.3900,0.3950,0.3850,0.3900,0.3900,1451600,
13 Mar 2026,0.3900,0.3950,0.3800,0.3900,0.3900,2508300,
6 Mar 2026,0.3950,0.4000,0.3850,0.3950,0.3950,3628900,
27 Feb 2026,0.4150,0.4200,0.3900,0.4000,0.4000,4848700,
20 Feb 2026,0.4200,0.4200,0.4100,0.4150,0.4150,1400800,
13 Feb 2026,0.4100,0.4250,0.4050,0.4200,0.4200,2638900,
6 Feb 2026,0.4300,0.4350,0.4050,0.4100,0.4005,2675000,
4 Feb 2026,,,,,,,0.0100 Dividend
30 Jan 2026,0.4300,0.4300,0.4200,0.4300,0.4200,2801500,
23 Jan 2026,0.4050,0.4400,0.4000,0.4300,0.4200,10599400,
16 Jan 2026,0.3950,0.4100,0.3950,0.4050,0.3956,2994300,
9 Jan 2026,0.3900,0.4000,0.3900,0.3950,0.3858,3343300,
2 Jan 2026,0.3900,0.3950,0.3850,0.3900,0.3809,1101800,
26 Dec 2025,0.3900,0.3950,0.3900,0.3900,0.3809,794200,
19 Dec 2025,0.3900,0.3950,0.3850,0.3900,0.3809,2079800,
12 Dec 2025,0.3850,0.3900,0.3850,0.3900,0.3809,543300,
5 Dec 2025,0.3850,0.3900,0.3850,0.3900,0.3809,479200,
28 Nov 2025,0.3850,0.3900,0.3800,0.3850,0.3760,1129100,
21 Nov 2025,0.3850,0.3900,0.3800,0.3850,0.3760,1220300,
14 Nov 2025,0.3800,0.3950,0.3800,0.3850,0.3760,1716100,
7 Nov 2025,0.4000,0.4000,0.3800,0.3800,0.3712,1964700,
31 Oct 2025,0.3750,0.4150,0.3750,0.3950,0.3858,4664200,
24 Oct 2025,0.3700,0.3750,0.3650,0.3700,0.3614,1018800,
17 Oct 2025,0.3750,0.3800,0.3700,0.3700,0.3614,1149800,
