Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,1.2200,1.2400,1.1900,1.2300,1.2300,98407400,
12 Jun 2026,1.1800,1.2200,1.1600,1.2200,1.2200,61849000,
5 Jun 2026,1.2000,1.2000,1.1600,1.1800,1.1800,85660900,
29 May 2026,1.1800,1.2100,1.1700,1.2000,1.2000,68702700,
22 May 2026,1.1600,1.2000,1.1400,1.1800,1.1800,96734600,
15 May 2026,1.1900,1.2000,1.1600,1.1700,1.1700,111723300,
8 May 2026,1.2200,1.2400,1.1800,1.1900,1.1723,97089000,
8 May 2026,,,,,,,0.0182 Dividend
1 May 2026,1.2600,1.2600,1.2100,1.2200,1.2018,63892300,
24 Apr 2026,1.2500,1.2800,1.2400,1.2600,1.2412,70300900,
17 Apr 2026,1.1800,1.2700,1.1700,1.2500,1.2314,107463700,
10 Apr 2026,1.1600,1.2000,1.1600,1.1900,1.1723,70713600,
3 Apr 2026,1.1500,1.1800,1.1400,1.1600,1.1427,69366700,
27 Mar 2026,1.1900,1.2000,1.1400,1.1600,1.1427,118042320,
20 Mar 2026,1.2000,1.2300,1.1900,1.2100,1.1920,81929400,
13 Mar 2026,1.2200,1.2300,1.1900,1.2000,1.1821,103021000,
6 Mar 2026,1.2800,1.2900,1.2200,1.2400,1.2215,109790000,
27 Feb 2026,1.2800,1.3000,1.2800,1.2900,1.2708,50698100,
20 Feb 2026,1.2900,1.3000,1.2700,1.2900,1.2708,32786100,
13 Feb 2026,1.3100,1.3300,1.2900,1.3000,1.2806,61104300,
6 Feb 2026,1.3400,1.3400,1.3000,1.3100,1.2731,75660400,
2 Feb 2026,,,,,,,0.0182 Dividend
30 Jan 2026,1.3600,1.3700,1.3400,1.3500,1.3120,66200500,
23 Jan 2026,1.3600,1.3700,1.3400,1.3600,1.3217,42308400,
16 Jan 2026,1.3500,1.3600,1.3400,1.3600,1.3217,37875619,
9 Jan 2026,1.3200,1.3500,1.3100,1.3500,1.3120,45034300,
2 Jan 2026,1.3000,1.3300,1.3000,1.3200,1.2828,27143600,
26 Dec 2025,1.2900,1.3000,1.2800,1.3000,1.2634,16801900,
19 Dec 2025,1.2900,1.2900,1.2800,1.2900,1.2537,28631870,
12 Dec 2025,1.2900,1.3000,1.2700,1.2900,1.2537,26169900,
5 Dec 2025,1.3200,1.3300,1.2800,1.2900,1.2537,49432300,
28 Nov 2025,1.2800,1.3300,1.2800,1.3200,1.2828,55388100,
21 Nov 2025,1.2800,1.3000,1.2700,1.2800,1.2440,51315300,
14 Nov 2025,1.3100,1.3300,1.2800,1.2900,1.2537,63414986,
7 Nov 2025,1.3500,1.3600,1.2800,1.3100,1.2560,103883200,
4 Nov 2025,,,,,,,0.0181 Dividend
31 Oct 2025,1.3100,1.3700,1.3000,1.3400,1.2848,146067400,
24 Oct 2025,1.2700,1.3100,1.2600,1.3000,1.2464,51302000,
17 Oct 2025,1.2500,1.2800,1.2400,1.2600,1.2081,72844109,
10 Oct 2025,1.2800,1.2900,1.2500,1.2600,1.2081,66949900,
3 Oct 2025,1.2400,1.3000,1.2400,1.2800,1.2272,83119700,
26 Sep 2025,1.2500,1.2600,1.2300,1.2400,1.1889,66174775,
19 Sep 2025,1.2700,1.2900,1.2400,1.2400,1.1889,81929000,
