Date,Open,High,Low,Close,Adj Close,Volume,Notes
12 Jun 2026,0.9800,0.9950,0.9750,0.9900,0.9900,18782300,
5 Jun 2026,0.9950,1.0200,0.9700,0.9850,0.9850,45297600,
29 May 2026,1.0200,1.0300,0.9800,0.9950,0.9683,40986100,
26 May 2026,,,,,,,0.0271 Dividend
22 May 2026,1.0200,1.0200,1.0000,1.0200,0.9926,26170300,
15 May 2026,1.0100,1.0300,1.0000,1.0200,0.9926,21506500,
8 May 2026,1.0100,1.0200,1.0000,1.0000,0.9732,24674800,
1 May 2026,1.0100,1.0200,0.9950,1.0100,0.9829,18665300,
24 Apr 2026,1.0000,1.0200,0.9950,1.0100,0.9829,22388800,
17 Apr 2026,0.9900,1.0200,0.9900,1.0100,0.9829,39152950,
10 Apr 2026,0.9700,0.9950,0.9650,0.9950,0.9683,44507800,
3 Apr 2026,0.9700,0.9750,0.9550,0.9700,0.9440,23670800,
27 Mar 2026,0.9750,0.9750,0.9600,0.9750,0.9488,30062800,
20 Mar 2026,0.9650,0.9800,0.9650,0.9800,0.9537,14353800,
13 Mar 2026,0.9600,0.9750,0.9500,0.9700,0.9440,31434000,
6 Mar 2026,0.9800,0.9850,0.9650,0.9700,0.9440,41026800,
27 Feb 2026,0.9900,0.9950,0.9600,0.9900,0.9634,46340200,
20 Feb 2026,0.9850,0.9900,0.9750,0.9900,0.9634,10175500,
13 Feb 2026,0.9850,0.9950,0.9750,0.9850,0.9586,30643500,
6 Feb 2026,0.9800,0.9850,0.9750,0.9850,0.9586,15373800,
30 Jan 2026,0.9850,0.9900,0.9700,0.9800,0.9537,25945200,
23 Jan 2026,0.9650,0.9850,0.9550,0.9800,0.9537,30246700,
16 Jan 2026,0.9600,0.9650,0.9550,0.9650,0.9391,22265400,
9 Jan 2026,0.9600,0.9650,0.9550,0.9650,0.9391,22496400,
2 Jan 2026,0.9650,0.9700,0.9550,0.9600,0.9342,13589500,
26 Dec 2025,0.9500,0.9650,0.9500,0.9650,0.9391,15072100,
19 Dec 2025,0.9550,0.9550,0.9450,0.9500,0.9245,19046300,
12 Dec 2025,0.9550,0.9600,0.9450,0.9500,0.9245,25924100,
5 Dec 2025,0.9700,0.9700,0.9500,0.9550,0.9294,23289500,
28 Nov 2025,0.9450,0.9700,0.9400,0.9650,0.9391,28656100,
21 Nov 2025,0.9550,0.9600,0.9400,0.9450,0.9196,32839500,
