Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,3.7000,3.8900,3.7000,3.8100,3.8100,1000500,
12 Jun 2026,3.5300,3.7000,3.5000,3.7000,3.7000,1119600,
5 Jun 2026,3.5500,3.5600,3.4800,3.5200,3.5200,398300,
29 May 2026,3.4800,3.5500,3.4700,3.5500,3.5500,741400,
22 May 2026,3.4500,3.5000,3.3800,3.4900,3.4900,915800,
15 May 2026,3.6000,3.6100,3.4400,3.4600,3.4600,787400,
8 May 2026,3.6900,3.6900,3.5500,3.6000,3.6000,802300,
1 May 2026,4.1000,4.1400,3.5800,3.6900,3.3268,2186100,
30 Apr 2026,,,,,,,0.4065 Dividend
24 Apr 2026,4.1300,4.1500,4.1000,4.1000,3.6965,1221300,
17 Apr 2026,4.1500,4.2100,4.1100,4.1300,3.7235,1436600,
10 Apr 2026,3.9600,4.1500,3.9400,4.1400,3.7325,1419000,
3 Apr 2026,3.9400,3.9700,3.9000,3.9600,3.5702,708200,
27 Mar 2026,3.9000,3.9500,3.8300,3.9400,3.5522,697100,
20 Mar 2026,3.8500,3.9500,3.8300,3.9000,3.5161,918500,
13 Mar 2026,3.8400,3.8800,3.7600,3.8400,3.4620,1240700,
6 Mar 2026,3.8000,4.0400,3.7500,3.8500,3.4711,3328600,
27 Feb 2026,3.3300,3.8200,3.3200,3.8100,3.4350,2205700,
20 Feb 2026,3.3200,3.3500,3.3100,3.3200,2.9932,269400,
13 Feb 2026,3.2800,3.3400,3.2700,3.3200,2.9932,345800,
6 Feb 2026,3.2700,3.3000,3.2600,3.2700,2.9481,265700,
30 Jan 2026,3.2800,3.3000,3.2600,3.2700,2.9481,405200,
23 Jan 2026,3.2700,3.2800,3.2500,3.2800,2.9572,265000,
16 Jan 2026,3.2400,3.2700,3.2300,3.2700,2.9481,466100,
9 Jan 2026,3.2000,3.2500,3.1900,3.2400,2.9211,541700,
2 Jan 2026,3.1900,3.2100,3.1900,3.2000,2.8850,102500,
26 Dec 2025,3.1600,3.2000,3.1500,3.1800,2.8670,161200,
19 Dec 2025,3.1700,3.1700,3.1400,3.1600,2.8490,202200,
12 Dec 2025,3.1700,3.1900,3.1600,3.1600,2.8490,145500,
5 Dec 2025,3.1800,3.2000,3.1600,3.1700,2.8580,207600,
28 Nov 2025,3.1300,3.1800,3.1200,3.1800,2.8670,246200,
21 Nov 2025,3.1900,3.2000,3.1100,3.1300,2.8219,758600,
14 Nov 2025,3.2300,3.2500,3.1900,3.2000,2.8850,371900,
7 Nov 2025,3.2300,3.2500,3.1700,3.2300,2.9121,816000,
31 Oct 2025,3.2500,3.2800,3.1800,3.1900,2.8760,690800,
24 Oct 2025,3.2000,3.2400,3.1800,3.2200,2.9031,363200,
17 Oct 2025,3.2000,3.2400,3.1600,3.2200,2.9031,422400,
10 Oct 2025,3.2200,3.2600,3.2000,3.2200,2.9031,226600,
3 Oct 2025,3.2200,3.2700,3.1600,3.2200,2.9031,553500,
26 Sep 2025,3.3000,3.3000,3.1700,3.2200,2.9031,554200,
19 Sep 2025,3.2200,3.4000,3.2200,3.3300,3.0022,588000,
12 Sep 2025,3.1800,3.2300,3.1700,3.2200,2.9031,373400,
5 Sep 2025,3.1600,3.1900,3.1400,3.1800,2.8670,255900,
