Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,3.2000,3.2800,3.1700,3.2600,3.2600,25388000,
12 Jun 2026,3.0200,3.2400,3.0000,3.1700,3.1700,20889300,
5 Jun 2026,3.0600,3.1000,3.0200,3.0200,3.0200,9394200,
29 May 2026,3.1200,3.1500,3.0100,3.0500,3.0500,10484500,
22 May 2026,3.0500,3.1400,3.0000,3.1000,3.1000,14937800,
15 May 2026,3.1100,3.1100,3.0000,3.0500,3.0500,15410300,
8 May 2026,3.0200,3.2000,3.0000,3.0900,3.0900,23487100,
4 May 2026,,,,,,,0.0380 Dividend
1 May 2026,3.0200,3.0500,2.9700,3.0300,3.0300,8437700,
24 Apr 2026,3.0700,3.1100,2.9900,3.0200,3.0200,11822900,
17 Apr 2026,3.1100,3.1500,3.0300,3.0500,3.0500,17401700,
10 Apr 2026,2.8900,3.2500,2.8900,3.0900,3.0900,33416500,
3 Apr 2026,2.7500,2.9200,2.7500,2.8800,2.8800,17235400,
27 Mar 2026,2.6600,2.7900,2.6000,2.7600,2.7600,24792600,
20 Mar 2026,2.6000,2.6800,2.5800,2.6700,2.6700,15342200,
13 Mar 2026,2.5800,2.6100,2.5100,2.5800,2.5800,19651000,
6 Mar 2026,2.6300,2.6600,2.5400,2.5900,2.5900,38099200,
27 Feb 2026,2.6800,2.7000,2.6000,2.6300,2.6300,17187300,
20 Feb 2026,2.6800,2.7000,2.6500,2.6800,2.6800,12910500,
13 Feb 2026,2.9200,2.9700,2.6700,2.6800,2.6800,40801600,
6 Feb 2026,2.7200,2.9200,2.6900,2.9000,2.9000,17256400,
30 Jan 2026,2.7500,2.7800,2.7000,2.7200,2.7200,9620000,
23 Jan 2026,2.7100,2.7800,2.6800,2.7500,2.7500,11937100,
16 Jan 2026,2.6700,2.7700,2.6600,2.7100,2.7100,11733300,
9 Jan 2026,2.6300,2.6900,2.6300,2.6600,2.6600,9241500,
2 Jan 2026,2.6200,2.6400,2.6100,2.6300,2.6300,3598200,
26 Dec 2025,2.6100,2.6300,2.5900,2.6100,2.6100,6144000,
19 Dec 2025,2.6100,2.6100,2.5100,2.5900,2.5900,13349800,
12 Dec 2025,2.6500,2.6500,2.5500,2.6100,2.6100,15998600,
5 Dec 2025,2.7200,2.7300,2.6100,2.6600,2.6600,20916400,
28 Nov 2025,2.6700,2.7300,2.6500,2.7200,2.7200,11922900,
21 Nov 2025,2.6800,2.7300,2.6600,2.6700,2.6700,14708400,
14 Nov 2025,2.5700,2.7300,2.5600,2.6800,2.6800,28549200,
7 Nov 2025,2.3300,2.5900,2.3300,2.5600,2.5600,36065800,
31 Oct 2025,2.3100,2.3200,2.2600,2.3200,2.3200,11970000,
24 Oct 2025,2.1400,2.3200,2.1300,2.3000,2.3000,16127900,
17 Oct 2025,2.1200,2.1900,2.1000,2.1400,2.1400,10834400,
10 Oct 2025,2.1200,2.1700,2.1000,2.1400,2.1400,11513600,
3 Oct 2025,2.0900,2.1500,2.0600,2.1200,2.1200,13115200,
26 Sep 2025,2.1200,2.1600,2.0800,2.0800,2.0800,10174600,
19 Sep 2025,2.1000,2.1400,2.0800,2.1100,2.1100,11890200,
12 Sep 2025,2.0400,2.1000,2.0400,2.0900,2.0900,8655100,
5 Sep 2025,2.0300,2.0500,2.0300,2.0300,2.0300,7055700,
29 Aug 2025,2.0600,2.0800,2.0200,2.0300,2.0300,9015300,
22 Aug 2025,2.0900,2.0900,2.0300,2.0600,2.0600,9498100,
15 Aug 2025,2.1000,2.1400,2.0700,2.0900,2.0586,8153300,
14 Aug 2025,,,,,,,0.0320 Dividend
8 Aug 2025,2.0800,2.1300,2.0500,2.1000,2.0685,15214000,
1 Aug 2025,2.1500,2.1800,2.0300,2.0900,2.0586,23812700,
25 Jul 2025,2.0900,2.2300,2.0700,2.1400,2.1078,27776600,
18 Jul 2025,2.0200,2.0900,2.0200,2.0800,2.0488,11512600,
11 Jul 2025,1.9700,2.0400,1.9700,2.0100,1.9798,16312700,
4 Jul 2025,1.8800,2.0100,1.8600,1.9700,1.9404,15666300,
27 Jun 2025,1.8900,1.9000,1.8700,1.8700,1.8419,7812500,
20 Jun 2025,1.8600,1.9000,1.8400,1.8900,1.8616,13499200,
13 Jun 2025,1.8500,1.8600,1.8300,1.8600,1.8321,10663300,
6 Jun 2025,1.8100,1.8600,1.8000,1.8500,1.8222,7582200,
30 May 2025,1.8100,1.8400,1.8000,1.8100,1.7828,10025200,
23 May 2025,1.8200,1.8500,1.8100,1.8100,1.7828,9994700,
16 May 2025,1.8700,1.8800,1.8100,1.8300,1.8025,15378900,
9 May 2025,1.7600,1.8800,1.7600,1.8600,1.8321,23105700,
2 May 2025,,,,,,,0.0320 Dividend
2 May 2025,1.7500,1.7600,1.7200,1.7600,1.7020,18241900,
25 Apr 2025,1.6700,1.7700,1.6700,1.7600,1.7020,25667400,
18 Apr 2025,1.6500,1.6700,1.6400,1.6700,1.6150,13573500,
11 Apr 2025,1.6300,1.6700,1.5700,1.6500,1.5957,15148800,
4 Apr 2025,1.6400,1.6500,1.6300,1.6500,1.5957,4538100,
28 Mar 2025,1.6400,1.6400,1.6200,1.6400,1.5860,4758600,
21 Mar 2025,1.6300,1.6400,1.6200,1.6400,1.5860,5088700,
14 Mar 2025,1.6400,1.6500,1.6200,1.6300,1.5763,8111900,
7 Mar 2025,1.6400,1.6500,1.6300,1.6400,1.5860,5413300,
28 Feb 2025,1.6400,1.6600,1.6300,1.6400,1.5860,10551200,
21 Feb 2025,1.6400,1.6600,1.6300,1.6400,1.5860,10306900,
14 Feb 2025,1.6400,1.6400,1.6200,1.6400,1.5860,8920100,
7 Feb 2025,1.6300,1.6500,1.6200,1.6400,1.5860,4341800,
31 Jan 2025,1.6300,1.6500,1.6300,1.6300,1.5763,2943900,
24 Jan 2025,1.6200,1.6400,1.6100,1.6300,1.5763,4420100,
17 Jan 2025,1.6300,1.6400,1.6100,1.6200,1.5667,7417900,
10 Jan 2025,1.6500,1.6600,1.6200,1.6400,1.5860,5071100,
3 Jan 2025,1.6500,1.6600,1.6200,1.6500,1.5957,3519300,
27 Dec 2024,1.6300,1.6500,1.6200,1.6500,1.5957,2072300,
20 Dec 2024,1.6400,1.6400,1.6100,1.6300,1.5763,6412500,
13 Dec 2024,1.6400,1.6600,1.6200,1.6400,1.5860,4426300,
6 Dec 2024,1.6500,1.6800,1.6300,1.6400,1.5860,13989000,
29 Nov 2024,1.6500,1.6600,1.6200,1.6500,1.5957,5259200,
22 Nov 2024,1.6300,1.6800,1.6300,1.6500,1.5957,8269900,
15 Nov 2024,1.6400,1.6500,1.6200,1.6300,1.5763,9493800,
8 Nov 2024,1.6000,1.6500,1.5900,1.6500,1.5957,16564700,
1 Nov 2024,1.5800,1.6000,1.5500,1.6000,1.5473,7271700,
25 Oct 2024,1.5900,1.5900,1.5600,1.5800,1.5280,9386800,
18 Oct 2024,1.5800,1.6000,1.5700,1.5900,1.5376,8553900,
11 Oct 2024,1.5500,1.5800,1.5400,1.5800,1.5280,12762900,
4 Oct 2024,1.5100,1.5500,1.5100,1.5400,1.4893,13558000,
27 Sep 2024,1.5000,1.5200,1.5000,1.5000,1.4506,6333800,
20 Sep 2024,1.5000,1.5100,1.5000,1.5100,1.4603,3293300,
13 Sep 2024,1.5000,1.5100,1.4900,1.5000,1.4506,4549400,
6 Sep 2024,1.5100,1.5200,1.4900,1.5000,1.4506,7164900,
30 Aug 2024,1.5100,1.5200,1.5000,1.5100,1.4603,7174700,
23 Aug 2024,1.5200,1.5300,1.5000,1.5100,1.4603,5385500,
16 Aug 2024,1.5400,1.5600,1.5000,1.5200,1.4396,10545200,
15 Aug 2024,,,,,,,0.0320 Dividend
9 Aug 2024,1.5200,1.5500,1.5000,1.5400,1.4585,17787800,
2 Aug 2024,1.5100,1.5400,1.4900,1.5300,1.4491,11357900,
26 Jul 2024,1.4800,1.5100,1.4800,1.5000,1.4207,11220100,
19 Jul 2024,1.4900,1.5000,1.4700,1.4700,1.3922,8402000,
12 Jul 2024,1.4900,1.5000,1.4700,1.4900,1.4112,7412300,
5 Jul 2024,1.4900,1.5000,1.4700,1.4900,1.4112,11328900,
28 Jun 2024,1.4900,1.5100,1.4900,1.4900,1.4112,4848900,
21 Jun 2024,1.5200,1.5200,1.4900,1.4900,1.4112,4319200,
14 Jun 2024,1.5200,1.5300,1.5000,1.5100,1.4301,3068300,
7 Jun 2024,1.5000,1.5300,1.4900,1.5200,1.4396,6290700,
31 May 2024,1.5100,1.5200,1.4900,1.4900,1.4112,5600800,
24 May 2024,1.5000,1.5100,1.4800,1.5000,1.4207,7316400,
17 May 2024,1.5000,1.5200,1.4900,1.5000,1.4207,8305900,
10 May 2024,1.5200,1.5300,1.5000,1.5000,1.4207,6504400,
3 May 2024,1.5300,1.5800,1.5200,1.5200,1.4101,7163600,
3 May 2024,,,,,,,0.0320 Dividend
