Date,Open,High,Low,Close,Adj Close,Volume,Notes
19 Jun 2026,5.1450,5.3200,5.1450,5.2800,5.2800,5868716,
12 Jun 2026,5.1200,5.1490,5.0280,5.1200,5.1200,7958559,
5 Jun 2026,5.1200,5.2420,5.1200,5.1300,5.1300,5896897,
29 May 2026,5.1710,5.2000,5.0770,5.1200,5.1200,5316663,
22 May 2026,5.0680,5.1750,5.0500,5.1600,5.1600,6584247,
15 May 2026,5.0000,5.1050,5.0000,5.0700,5.0700,6800015,
8 May 2026,4.9930,5.0300,4.9600,4.9930,4.9930,7154265,
1 May 2026,4.9890,4.9900,4.9200,4.9790,4.9790,6748495,
24 Apr 2026,5.0230,5.0480,4.9590,4.9700,4.9700,7210560,
17 Apr 2026,5.0190,5.0750,4.9910,5.0230,5.0230,6323586,
10 Apr 2026,4.9460,5.0450,4.9460,5.0300,5.0300,7390165,
3 Apr 2026,4.8780,5.0160,4.8710,4.9450,4.9450,8690590,
27 Mar 2026,4.9030,4.9410,4.8250,4.9000,4.9000,8181308,
20 Mar 2026,4.8370,5.0090,4.8360,4.9500,4.9500,5836276,
13 Mar 2026,4.8000,4.8750,4.7050,4.8360,4.8360,12580589,
6 Mar 2026,4.9560,4.9650,4.7760,4.8520,4.8520,15612253,
27 Feb 2026,5.0250,5.0500,4.9590,4.9970,4.9970,7390441,
20 Feb 2026,4.9790,5.0300,4.9310,5.0100,5.0100,3607862,
13 Feb 2026,5.0350,5.0790,4.9400,4.9450,4.8616,14916064,
11 Feb 2026,,,,,,,0.0850 Dividend
6 Feb 2026,5.0000,5.0880,4.9470,5.0200,4.9353,9124679,
30 Jan 2026,4.9760,5.1090,4.9400,4.9960,4.9117,16806906,
23 Jan 2026,4.9340,4.9860,4.8710,4.9700,4.8862,7273559,
16 Jan 2026,4.8400,4.9340,4.8400,4.9270,4.8439,11184227,
9 Jan 2026,4.7550,4.8590,4.7550,4.8200,4.7387,9890415,
2 Jan 2026,4.7120,4.7590,4.7120,4.7440,4.6640,5304582,
26 Dec 2025,4.6790,4.7600,4.6680,4.7110,4.6315,4573058,
19 Dec 2025,4.6650,4.6800,4.6250,4.6520,4.5735,4144875,
12 Dec 2025,4.6170,4.6850,4.5750,4.6670,4.5883,4212404,
5 Dec 2025,4.6200,4.6650,4.6030,4.6070,4.5293,7562217,
28 Nov 2025,4.5560,4.7500,4.5460,4.6200,4.5421,5817124,
21 Nov 2025,4.5990,4.6240,4.5360,4.5440,4.4674,5575386,
14 Nov 2025,4.5480,4.6550,4.5200,4.5970,4.5195,4949041,
7 Nov 2025,4.4980,4.5760,4.4310,4.5380,4.4615,4949849,
31 Oct 2025,4.4900,4.5390,4.4800,4.4900,4.4143,4496766,
24 Oct 2025,4.3830,4.4780,4.3830,4.4660,4.3907,6626274,
17 Oct 2025,4.4400,4.4780,4.3800,4.3830,4.3091,6710927,
10 Oct 2025,4.4710,4.5340,4.4710,4.4850,4.4094,4644841,
3 Oct 2025,4.3400,4.4810,4.3340,4.4700,4.3946,4566663,
26 Sep 2025,4.3770,4.4300,4.3220,4.3350,4.2619,4330698,
19 Sep 2025,4.4260,4.4260,4.3590,4.3630,4.2894,4921172,
12 Sep 2025,4.3970,4.4330,4.3500,4.4060,4.3317,5533994,
5 Sep 2025,4.3390,4.3850,4.3100,4.3800,4.3061,4162494,
29 Aug 2025,4.3210,4.3390,4.2880,4.3250,4.2521,4100464,
22 Aug 2025,4.2880,4.3100,4.2300,4.3020,4.2294,3562486,
15 Aug 2025,4.3520,4.3630,4.2500,4.2650,4.1070,6894527,
12 Aug 2025,,,,,,,0.0890 Dividend
8 Aug 2025,4.2450,4.3680,4.2400,4.3520,4.1908,5028269,
1 Aug 2025,4.3320,4.3670,4.2450,4.2450,4.0878,4177571,
25 Jul 2025,4.2770,4.3800,4.2770,4.3260,4.1658,5721238,
18 Jul 2025,4.1610,4.2800,4.1600,4.2760,4.1176,3352204,
11 Jul 2025,4.0980,4.1880,4.0980,4.1730,4.0184,4195166,
4 Jul 2025,4.0490,4.1100,4.0400,4.0910,3.9395,2408134,
27 Jun 2025,3.9700,4.0530,3.9350,4.0390,3.8894,2866293,
20 Jun 2025,3.9980,4.0120,3.9700,3.9850,3.8374,2018872,
13 Jun 2025,4.0060,4.0300,3.9800,3.9800,3.8326,1814470,
6 Jun 2025,3.9850,4.0140,3.9550,4.0030,3.8547,1425062,
30 May 2025,3.9600,4.0120,3.9470,3.9850,3.8374,3048281,
23 May 2025,3.9810,3.9860,3.9380,3.9590,3.8124,1985995,
16 May 2025,3.9380,3.9850,3.9250,3.9710,3.8239,3444068,
9 May 2025,3.9050,3.9470,3.8900,3.9380,3.7921,2979652,
2 May 2025,3.8650,3.9080,3.8500,3.8920,3.7478,3780713,
25 Apr 2025,3.7650,3.8800,3.7500,3.8600,3.7170,5823744,
18 Apr 2025,3.5900,3.7400,3.5700,3.7360,3.5976,6206434,
11 Apr 2025,3.6000,3.7300,3.3930,3.5300,3.3992,20490355,
4 Apr 2025,3.9840,3.9840,3.8230,3.8310,3.6891,4765415,
28 Mar 2025,3.9350,4.0120,3.9300,3.9840,3.8364,5445435,
21 Mar 2025,3.8430,3.9450,3.8430,3.9250,3.7796,2974902,
14 Mar 2025,3.9100,3.9200,3.8010,3.8330,3.6910,3264447,
7 Mar 2025,3.8990,3.9410,3.8900,3.9080,3.7632,3982570,
28 Feb 2025,3.9250,3.9500,3.8870,3.8870,3.7430,4746974,
21 Feb 2025,3.8800,3.9450,3.8800,3.9240,3.7787,1920352,
