Date,Open,High,Low,Close,Adj Close,Volume,Notes
12 Jun 2026,4983.9199,5026.7598,4939.5298,4958.8501,4958.8501,682512900,
5 Jun 2026,5048.8198,5150.6899,5027.2998,5049.9600,5049.9600,1445918500,
29 May 2026,5092.6802,5102.0698,4978.7998,5037.8599,5037.8599,1637644200,
22 May 2026,4974.8999,5073.1099,4956.5298,5068.1499,5068.1499,1853128500,
15 May 2026,4929.3799,5015.0898,4908.7598,4989.0801,4989.0801,1987409400,
8 May 2026,4941.2402,4960.1401,4891.8301,4921.8999,4921.8999,1642663400,
1 May 2026,4919.1899,4930.0200,4853.7798,4912.6899,4912.6899,1388801000,
24 Apr 2026,5001.4800,5021.0698,4903.7202,4922.8599,4922.8599,1601978600,
17 Apr 2026,4977.4399,5039.1099,4965.4800,4997.9302,4997.9302,1572124100,
10 Apr 2026,4950.2300,5022.3301,4943.4302,4989.4102,4989.4102,1266533900,
3 Apr 2026,4855.3198,5010.5698,4855.3198,4947.5000,4947.5000,1251083400,
27 Mar 2026,4839.0400,4934.5400,4817.1099,4898.1802,4898.1802,1570641100,
20 Mar 2026,4831.2998,5017.0000,4830.5200,4948.8701,4948.8701,1452850300,
13 Mar 2026,4778.3799,4869.4502,4697.5200,4842.2700,4842.2700,1674904000,
6 Mar 2026,4912.7202,4952.3599,4770.5400,4848.2500,4848.2500,2132021400,
27 Feb 2026,5034.7900,5041.3301,4943.1401,4995.0698,4995.0698,1917403900,
20 Feb 2026,4936.7202,5024.5698,4920.9600,5017.6001,5017.6001,825123300,
13 Feb 2026,4935.1299,5021.2700,4928.9502,4937.7798,4937.7798,1496789200,
6 Feb 2026,4913.2598,4980.5698,4861.8198,4934.4102,4934.4102,1434133500,
30 Jan 2026,4896.0698,4933.8799,4854.0498,4905.1299,4905.1299,1392109200,
23 Jan 2026,4834.4600,4895.1499,4790.4302,4891.4502,4891.4502,1161581700,
16 Jan 2026,4750.4399,4849.1001,4750.0801,4849.1001,4849.1001,1033735500,
9 Jan 2026,4670.0400,4765.2900,4668.6899,4744.6602,4744.6602,1128324600,
2 Jan 2026,4643.8799,4669.2900,4631.3999,4656.1201,4656.1201,562454000,
26 Dec 2025,4593.8599,4647.4502,4590.9702,4636.1499,4636.1499,510949100,
19 Dec 2025,4575.9199,4603.3301,4545.7700,4569.7798,4569.7798,1151638200,
12 Dec 2025,4528.4302,4586.4502,4492.4600,4586.4502,4586.4502,1035900800,
5 Dec 2025,4531.5498,4561.2100,4511.8799,4531.3599,4531.3599,1144872200,
28 Nov 2025,4481.4502,4534.7100,4459.8301,4523.9600,4523.9600,2111577000,
21 Nov 2025,4533.2202,4546.7402,4461.1401,4469.1401,4469.1401,1362899000,
14 Nov 2025,4481.2798,4575.9102,4457.1401,4546.0698,4546.0698,1629874900,
7 Nov 2025,4437.3799,4520.4902,4372.6401,4492.2402,4492.2402,1538903100,
31 Oct 2025,4439.8999,4478.1499,4417.0000,4428.6201,4428.6201,1287556500,
24 Oct 2025,4378.2300,4443.5801,4373.3799,4422.2100,4422.2100,1000041400,
17 Oct 2025,4377.2300,4417.2402,4311.6499,4328.9302,4328.9302,1399969000,
10 Oct 2025,4416.5098,4474.1201,4411.8799,4427.0601,4427.0601,1255217500,
3 Oct 2025,4272.7700,4416.8999,4264.9902,4411.9502,4411.9502,1730230400,
26 Sep 2025,4307.5801,4315.7002,4265.9800,4265.9800,4265.9800,1314586500,
19 Sep 2025,4342.2202,4348.6401,4298.9399,4302.7100,4302.7100,1451151700,
12 Sep 2025,4318.9302,4375.3301,4287.5200,4344.2402,4344.2402,1195770500,
5 Sep 2025,4270.8599,4320.3701,4252.2700,4307.0801,4307.0801,1272180400,
29 Aug 2025,4272.7598,4277.3901,4227.4399,4269.7002,4269.7002,1504335200,
22 Aug 2025,4235.4502,4253.8901,4181.9902,4253.0200,4253.0200,1235268500,
15 Aug 2025,4238.9399,4282.7998,4210.5098,4230.5298,4230.5298,1373296900,
8 Aug 2025,4152.1802,4265.4399,4144.8901,4239.8301,4239.8301,1435565300,
1 Aug 2025,4268.0200,4270.5601,4151.4399,4153.8301,4153.8301,1509627000,
25 Jul 2025,4199.1201,4274.3198,4191.8701,4261.0601,4261.0601,1480040500,
18 Jul 2025,4091.3301,4192.1899,4090.9800,4189.5000,4189.5000,1256282800,
11 Jul 2025,4017.8301,4102.9702,4011.8799,4087.8101,4087.8101,1350231600,
4 Jul 2025,3970.0901,4024.3301,3958.0400,4013.6201,4013.6201,1356251500,
27 Jun 2025,3859.8301,3966.2000,3845.7800,3966.2000,3966.2000,1473824000,
20 Jun 2025,3903.8999,3931.8101,3883.4299,3883.4299,3883.4299,1322417400,
13 Jun 2025,3934.3201,3945.9199,3898.4600,3911.4199,3911.4199,1151546900,
6 Jun 2025,3904.4199,3934.2900,3871.5400,3934.2900,3934.2900,1305498600,
30 May 2025,3880.9600,3921.1699,3861.8501,3894.6101,3894.6101,1459172600,
23 May 2025,3897.4700,3903.1599,3857.1101,3882.4199,3882.4199,1300810700,
16 May 2025,3936.1599,3956.2600,3861.4600,3897.8701,3897.8701,1356940500,
9 May 2025,3856.0200,3879.5601,3836.7000,3876.1599,3876.1599,1284008400,
2 May 2025,3821.3701,3850.0200,3797.1699,3845.1399,3845.1399,1039413300,
25 Apr 2025,3730.1399,3851.3799,3729.6001,3823.7800,3823.7800,1415688100,
18 Apr 2025,3567.2100,3722.5300,3548.9099,3720.3301,3720.3301,1153352600,
11 Apr 2025,3600.8899,3688.1899,3372.3799,3512.5300,3512.5300,3184915200,
4 Apr 2025,3950.7700,3980.2800,3820.0000,3825.8601,3825.8601,1607718800,
28 Mar 2025,3938.5801,4005.1799,3920.6201,3972.4299,3972.4299,1286262600,
21 Mar 2025,3860.0901,3941.9800,3848.2800,3926.4500,3926.4500,1582405200,
14 Mar 2025,3911.3101,3922.6599,3805.7000,3836.0200,3836.0200,1715858600,
7 Mar 2025,3895.3701,3932.0701,3888.6001,3914.4800,3914.4800,1683546500,
28 Feb 2025,3929.7900,3951.6399,3889.0400,3895.7000,3895.7000,2015051600,
21 Feb 2025,3887.3701,3949.6499,3881.0000,3929.9399,3929.9399,1426302400,
14 Feb 2025,3891.0801,3921.3000,3854.8601,3877.5000,3877.5000,1474234200,
7 Feb 2025,3802.4199,3863.8501,3797.8301,3861.4199,3861.4199,1307628600,
31 Jan 2025,3799.3601,3876.3201,3790.7500,3855.8201,3855.8201,854441500,
24 Jan 2025,3809.9800,3819.6599,3779.0701,3804.2600,3804.2600,1075276400,
17 Jan 2025,3789.5801,3819.1799,3765.4099,3810.7800,3810.7800,1146856400,
10 Jan 2025,3821.6799,3886.9800,3785.6799,3801.5601,3801.5601,1119190100,
3 Jan 2025,3773.6101,3821.7300,3769.6599,3801.8301,3801.8301,641686400,
27 Dec 2024,3730.5500,3785.2100,3715.5200,3771.6299,3771.6299,508685600,
20 Dec 2024,3811.7100,3824.1599,3719.9299,3719.9299,3719.9299,1270648600,
13 Dec 2024,3791.6201,3821.1599,3785.3601,3810.3501,3810.3501,1195729800,
6 Dec 2024,3760.3899,3842.7100,3746.1101,3796.1599,3796.1599,1345755700,
29 Nov 2024,3760.1899,3764.8999,3699.7700,3739.2900,3739.2900,2005663500,
22 Nov 2024,3735.4199,3766.9299,3727.9399,3746.0200,3746.0200,1552422600,
15 Nov 2024,3743.3999,3760.8401,3670.7000,3744.7000,3744.7000,1354520600,
8 Nov 2024,3572.1899,3742.8201,3555.2700,3724.3701,3724.3701,1827063800,
1 Nov 2024,3595.8201,3599.7000,3524.3301,3555.4299,3555.4299,1240150300,
25 Oct 2024,3640.2800,3640.2800,3582.3601,3593.4099,3593.4099,1192562800,
18 Oct 2024,3587.5801,3644.1799,3577.5601,3640.1899,3640.1899,1304302200,
11 Oct 2024,3601.4099,3624.1799,3572.7100,3573.7600,3573.7600,1568834100,
4 Oct 2024,3570.5400,3604.5601,3566.0000,3589.1299,3589.1299,1917390700,
27 Sep 2024,3623.9199,3652.6201,3559.8601,3573.3601,3573.3601,1906168000,
20 Sep 2024,3562.5500,3636.2100,3543.8701,3624.7600,3624.7600,1739977500,
13 Sep 2024,3443.3799,3572.8401,3441.8401,3562.6499,3562.6499,1532941200,
6 Sep 2024,3442.7100,3486.9800,3412.4700,3454.4700,3454.4700,1592410600,
