Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1360,0.1360,0.1360,0.1360,0.1360,0,
31 Jul 2026,0.1360,0.1360,0.1360,0.1360,0.1360,289600,
24 Jul 2026,0.1360,0.1360,0.1360,0.1360,0.1360,3000,
17 Jul 2026,0.1360,0.1360,0.1360,0.1360,0.1360,59800,
10 Jul 2026,0.1370,0.1370,0.1360,0.1360,0.1360,90800,
3 Jul 2026,0.1610,0.1610,0.1350,0.1350,0.1350,35000,
26 Jun 2026,0.1260,0.1610,0.1260,0.1610,0.1610,60100,
19 Jun 2026,0.1300,0.1310,0.1260,0.1260,0.1260,283900,
12 Jun 2026,0.1280,0.1280,0.1280,0.1280,0.1280,0,
5 Jun 2026,0.1270,0.1280,0.1270,0.1280,0.1280,66800,
29 May 2026,0.1260,0.1300,0.1250,0.1270,0.1270,208300,
22 May 2026,0.1250,0.1260,0.1250,0.1260,0.1260,24900,
15 May 2026,0.1460,0.1460,0.1210,0.1250,0.1250,50700,
8 May 2026,0.1100,0.1460,0.1100,0.1460,0.1460,247500,
1 May 2026,0.1170,0.1170,0.1100,0.1100,0.1100,3300,
24 Apr 2026,0.1170,0.1170,0.1170,0.1170,0.1170,0,
17 Apr 2026,0.1300,0.1580,0.0960,0.1170,0.1170,90500,
10 Apr 2026,0.1410,0.1410,0.0770,0.1300,0.1300,67600,
3 Apr 2026,0.1300,0.1300,0.0760,0.0760,0.0760,3300,
27 Mar 2026,0.1300,0.1300,0.1300,0.1300,0.1300,0,
20 Mar 2026,0.1300,0.1300,0.1300,0.1300,0.1300,0,
13 Mar 2026,0.1300,0.1300,0.1300,0.1300,0.1300,0,
6 Mar 2026,0.1290,0.1300,0.1290,0.1300,0.1300,83400,
27 Feb 2026,0.1340,0.1590,0.1230,0.1590,0.1590,10000,
20 Feb 2026,0.1340,0.1340,0.1340,0.1340,0.1340,8000,
13 Feb 2026,0.1340,0.1340,0.1210,0.1340,0.1340,4000,
6 Feb 2026,0.1340,0.1340,0.1340,0.1340,0.1340,0,
30 Jan 2026,0.1340,0.1340,0.1340,0.1340,0.1340,0,
23 Jan 2026,0.1340,0.1340,0.1340,0.1340,0.1340,6000,
16 Jan 2026,0.1360,0.1360,0.1310,0.1320,0.1320,400,
9 Jan 2026,0.1360,0.1360,0.1360,0.1360,0.1360,0,
2 Jan 2026,0.1300,0.1360,0.1300,0.1360,0.1360,3300,
26 Dec 2025,0.1300,0.1300,0.1300,0.1300,0.1300,0,
19 Dec 2025,0.1400,0.1400,0.1300,0.1300,0.1300,53500,
12 Dec 2025,0.1380,0.1410,0.1380,0.1400,0.1400,80200,
5 Dec 2025,0.1420,0.1420,0.1340,0.1380,0.1380,20900,
28 Nov 2025,0.1580,0.1580,0.1580,0.1580,0.1580,0,
21 Nov 2025,0.1580,0.1580,0.1580,0.1580,0.1580,0,
14 Nov 2025,0.1580,0.1580,0.1580,0.1580,0.1580,0,
7 Nov 2025,0.1580,0.1580,0.1580,0.1580,0.1580,0,
31 Oct 2025,0.1450,0.1650,0.1450,0.1580,0.1580,126300,
24 Oct 2025,0.1210,0.1680,0.1210,0.1630,0.1630,333100,
17 Oct 2025,0.1320,0.1320,0.1210,0.1210,0.1210,9200,
10 Oct 2025,0.1320,0.1320,0.1320,0.1320,0.1320,0,
3 Oct 2025,0.1320,0.1320,0.1320,0.1320,0.1320,0,
26 Sep 2025,0.1340,0.1340,0.1320,0.1320,0.1320,8300,
19 Sep 2025,0.1500,0.1500,0.1320,0.1340,0.1340,16600,
12 Sep 2025,0.1300,0.1500,0.1280,0.1500,0.1500,99600,
5 Sep 2025,0.1200,0.1300,0.1200,0.1300,0.1300,95900,
29 Aug 2025,0.1000,0.1430,0.1000,0.1200,0.1200,17404400,
22 Aug 2025,0.1100,0.1150,0.0950,0.1000,0.1000,174200,
15 Aug 2025,0.1110,0.1290,0.0980,0.1100,0.1100,72300,
8 Aug 2025,0.1090,0.1250,0.1090,0.1240,0.1240,800,
1 Aug 2025,0.1130,0.1200,0.1100,0.1120,0.1120,255100,
