Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.3800,0.3800,0.3750,0.3800,0.3800,35600,
31 Jul 2026,0.4000,0.4000,0.3800,0.3800,0.3800,77800,
24 Jul 2026,0.4250,0.4300,0.4100,0.4100,0.4100,36900,
17 Jul 2026,0.4250,0.4250,0.4250,0.4250,0.4250,0,
10 Jul 2026,0.4350,0.4350,0.4250,0.4250,0.4250,1000,
3 Jul 2026,0.4550,0.4550,0.4300,0.4350,0.4350,80900,
26 Jun 2026,0.4600,0.4600,0.4550,0.4550,0.4550,500,
19 Jun 2026,0.4600,0.4600,0.4600,0.4600,0.4600,58100,
12 Jun 2026,0.4650,0.4750,0.4600,0.4600,0.4600,27500,
5 Jun 2026,0.4500,0.5050,0.4500,0.4650,0.4650,275200,
29 May 2026,0.4350,0.4550,0.4350,0.4500,0.4500,43600,
22 May 2026,0.4350,0.4500,0.4350,0.4350,0.4350,109900,
15 May 2026,0.4650,0.4700,0.4350,0.4350,0.4350,70300,
8 May 2026,0.4800,0.4800,0.4650,0.4650,0.4650,97200,
1 May 2026,0.4800,0.4800,0.4600,0.4700,0.4700,188700,
29 Apr 2026,,,,,,,0.0224 Dividend
24 Apr 2026,0.4500,0.4800,0.4500,0.4800,0.4574,120600,
17 Apr 2026,0.4750,0.4750,0.4500,0.4550,0.4336,4400,
10 Apr 2026,0.4300,0.4650,0.4300,0.4650,0.4431,42800,
3 Apr 2026,0.4300,0.4300,0.4300,0.4300,0.4098,9900,
27 Mar 2026,0.4550,0.4550,0.4300,0.4300,0.4098,37500,
20 Mar 2026,0.4750,0.4750,0.4200,0.4550,0.4336,73200,
13 Mar 2026,0.4800,0.4800,0.4750,0.4750,0.4526,18400,
6 Mar 2026,0.5100,0.5100,0.4800,0.4800,0.4574,68800,
27 Feb 2026,0.5100,0.5300,0.5000,0.5000,0.4765,45500,
20 Feb 2026,0.4850,0.5300,0.4850,0.5100,0.4860,166700,
13 Feb 2026,0.4700,0.4950,0.4700,0.4950,0.4717,10800,
6 Feb 2026,0.4300,0.4700,0.4300,0.4700,0.4479,89300,
30 Jan 2026,0.4300,0.4500,0.4300,0.4500,0.4288,60700,
23 Jan 2026,0.4250,0.4300,0.4250,0.4250,0.4050,187200,
16 Jan 2026,0.4200,0.4250,0.4200,0.4250,0.4050,66400,
9 Jan 2026,0.4200,0.4200,0.4150,0.4200,0.4002,121900,
2 Jan 2026,0.4050,0.4200,0.4000,0.4200,0.4002,147900,
26 Dec 2025,0.4000,0.4000,0.4000,0.4000,0.3812,19500,
19 Dec 2025,0.4000,0.4000,0.4000,0.4000,0.3812,20000,
12 Dec 2025,0.4000,0.4000,0.3950,0.4000,0.3812,125400,
5 Dec 2025,0.4100,0.4150,0.4000,0.4000,0.3812,548600,
28 Nov 2025,0.3950,0.4100,0.3950,0.4050,0.3859,255900,
21 Nov 2025,0.3950,0.3950,0.3950,0.3950,0.3764,2400,
14 Nov 2025,0.3950,0.4050,0.3900,0.3900,0.3716,155100,
7 Nov 2025,0.3800,0.3900,0.3800,0.3800,0.3621,9300,
31 Oct 2025,0.3850,0.3850,0.3800,0.3800,0.3621,6500,
24 Oct 2025,0.3900,0.3900,0.3850,0.3850,0.3669,21900,
17 Oct 2025,0.3850,0.3900,0.3850,0.3900,0.3716,10500,
10 Oct 2025,0.3800,0.3800,0.3800,0.3800,0.3621,2000,
3 Oct 2025,0.3850,0.3850,0.3750,0.3800,0.3621,143600,
26 Sep 2025,0.3850,0.3850,0.3800,0.3850,0.3669,5200,
19 Sep 2025,0.3850,0.3900,0.3800,0.3900,0.3716,225800,
12 Sep 2025,0.4000,0.4050,0.3800,0.3800,0.3621,68600,
5 Sep 2025,0.4050,0.4050,0.3950,0.3950,0.3764,28900,
29 Aug 2025,0.4000,0.4100,0.4000,0.4050,0.3859,96100,
22 Aug 2025,0.3500,0.4000,0.3500,0.4000,0.3812,341700,
15 Aug 2025,0.3900,0.4000,0.3550,0.3600,0.3431,541500,
8 Aug 2025,0.3900,0.3900,0.3900,0.3900,0.3716,0,
1 Aug 2025,0.3950,0.3950,0.3900,0.3900,0.3716,22000,
25 Jul 2025,0.3800,0.3950,0.3800,0.3950,0.3764,20000,
18 Jul 2025,0.3750,0.3900,0.3750,0.3750,0.3574,4600,
11 Jul 2025,0.3750,0.3750,0.3750,0.3750,0.3574,36900,
4 Jul 2025,0.3750,0.3750,0.3750,0.3750,0.3574,500,
27 Jun 2025,0.3800,0.3850,0.3750,0.3750,0.3574,12900,
20 Jun 2025,0.3800,0.4000,0.3700,0.3800,0.3621,369300,
13 Jun 2025,0.3400,0.3850,0.3400,0.3800,0.3621,204100,
6 Jun 2025,0.3250,0.3400,0.3250,0.3350,0.3192,1600,
30 May 2025,0.3250,0.3250,0.3250,0.3250,0.3097,10000,
23 May 2025,0.3250,0.3400,0.3200,0.3400,0.3240,40100,
16 May 2025,0.3150,0.3150,0.3150,0.3150,0.3002,0,
9 May 2025,0.3200,0.3200,0.3150,0.3150,0.3002,18000,
2 May 2025,0.3300,0.3400,0.3250,0.3250,0.3097,7000,
30 Apr 2025,,,,,,,0.0213 Dividend
25 Apr 2025,0.3150,0.3300,0.3150,0.3300,0.2948,39400,
18 Apr 2025,0.3250,0.3250,0.3250,0.3250,0.2903,0,
11 Apr 2025,0.3100,0.3250,0.3050,0.3250,0.2903,31700,
4 Apr 2025,0.3100,0.3200,0.3100,0.3200,0.2858,100,
28 Mar 2025,0.3250,0.3350,0.3100,0.3100,0.2769,26500,
21 Mar 2025,0.3250,0.3250,0.3000,0.3150,0.2814,30500,
14 Mar 2025,0.3050,0.3250,0.3000,0.3250,0.2903,134400,
7 Mar 2025,0.3150,0.3200,0.3150,0.3200,0.2858,174200,
28 Feb 2025,0.2800,0.3050,0.2800,0.3000,0.2680,71800,
21 Feb 2025,0.2800,0.2800,0.2800,0.2800,0.2501,6200,
14 Feb 2025,0.2850,0.2850,0.2700,0.2800,0.2501,11300,
7 Feb 2025,0.2950,0.2950,0.2950,0.2950,0.2635,200,
31 Jan 2025,0.2950,0.2950,0.2950,0.2950,0.2635,0,
24 Jan 2025,0.3100,0.3100,0.2950,0.2950,0.2635,1100,
17 Jan 2025,0.3100,0.3100,0.3100,0.3100,0.2769,0,
10 Jan 2025,0.3150,0.3250,0.3100,0.3100,0.2769,48000,
3 Jan 2025,0.2750,0.3300,0.2750,0.3250,0.2903,5200,
