Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0800,0.0800,0.0800,0.0800,0.0800,0,
31 Jul 2026,0.0650,0.0800,0.0650,0.0800,0.0800,1900,
24 Jul 2026,0.0650,0.0650,0.0360,0.0650,0.0650,900,
17 Jul 2026,0.0650,0.0650,0.0650,0.0650,0.0650,0,
10 Jul 2026,0.0750,0.0750,0.0500,0.0650,0.0650,5100,
3 Jul 2026,0.0750,0.0750,0.0450,0.0750,0.0750,7000,
26 Jun 2026,0.0850,0.0850,0.0750,0.0750,0.0750,111100,
19 Jun 2026,0.0850,0.0850,0.0850,0.0850,0.0850,0,
12 Jun 2026,0.0950,0.0950,0.0850,0.0850,0.0850,200000,
5 Jun 2026,0.0950,0.0950,0.0950,0.0950,0.0950,0,
29 May 2026,0.0850,0.0950,0.0850,0.0950,0.0950,30000,
22 May 2026,0.0880,0.0880,0.0840,0.0850,0.0850,44500,
15 May 2026,0.0910,0.0950,0.0880,0.0880,0.0880,542300,
8 May 2026,0.0880,0.0910,0.0850,0.0910,0.0910,237600,
1 May 2026,0.0880,0.0880,0.0870,0.0880,0.0880,200000,
24 Apr 2026,0.0880,0.0880,0.0880,0.0880,0.0880,560000,
17 Apr 2026,0.0930,0.0930,0.0850,0.0880,0.0880,295800,
10 Apr 2026,0.0930,0.0930,0.0930,0.0930,0.0930,0,
3 Apr 2026,0.0900,0.0930,0.0900,0.0930,0.0930,126000,
27 Mar 2026,0.0970,0.0970,0.0800,0.0950,0.0950,664000,
20 Mar 2026,0.0850,0.1050,0.0850,0.0980,0.0980,2551000,
13 Mar 2026,0.0850,0.0850,0.0750,0.0850,0.0850,1034300,
6 Mar 2026,0.0790,0.1200,0.0790,0.0850,0.0850,14366100,
27 Feb 2026,0.0630,0.0810,0.0620,0.0790,0.0790,744600,
20 Feb 2026,0.0500,0.0690,0.0500,0.0620,0.0620,57200,
13 Feb 2026,0.0590,0.0690,0.0450,0.0450,0.0450,56200,
6 Feb 2026,0.0400,0.0600,0.0400,0.0500,0.0500,15900,
30 Jan 2026,0.0400,0.0450,0.0400,0.0450,0.0450,2100,
23 Jan 2026,0.0530,0.0550,0.0440,0.0550,0.0550,226200,
16 Jan 2026,0.0330,0.0440,0.0330,0.0440,0.0440,42700,
9 Jan 2026,0.0290,0.0420,0.0290,0.0330,0.0330,854900,
2 Jan 2026,0.0290,0.0290,0.0290,0.0290,0.0290,0,
26 Dec 2025,0.0290,0.0290,0.0290,0.0290,0.0290,0,
19 Dec 2025,0.0300,0.0300,0.0290,0.0290,0.0290,30000,
12 Dec 2025,0.0280,0.0280,0.0280,0.0280,0.0280,0,
5 Dec 2025,0.0280,0.0280,0.0280,0.0280,0.0280,24000,
28 Nov 2025,0.0250,0.0280,0.0250,0.0280,0.0280,80000,
21 Nov 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
14 Nov 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
7 Nov 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
31 Oct 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
24 Oct 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
17 Oct 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
10 Oct 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
3 Oct 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
26 Sep 2025,0.0250,0.0250,0.0250,0.0250,0.0250,0,
19 Sep 2025,0.0480,0.0480,0.0250,0.0250,0.0250,2900,
12 Sep 2025,0.0480,0.0480,0.0480,0.0480,0.0480,0,
5 Sep 2025,0.0490,0.0490,0.0480,0.0480,0.0480,6000,
