Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.2150,0.2150,0.2150,0.2150,0.2150,80000,
31 Jul 2026,0.2350,0.2350,0.2050,0.2100,0.2100,881700,
24 Jul 2026,0.2400,0.2500,0.2350,0.2350,0.2350,460100,
17 Jul 2026,0.2500,0.2600,0.2450,0.2450,0.2450,231900,
10 Jul 2026,0.2500,0.2500,0.2500,0.2500,0.2500,287500,
3 Jul 2026,0.2650,0.2650,0.2500,0.2600,0.2600,116200,
26 Jun 2026,0.2550,0.2550,0.2400,0.2450,0.2450,606600,
19 Jun 2026,0.2650,0.2700,0.2550,0.2650,0.2650,299300,
12 Jun 2026,0.2550,0.2600,0.2350,0.2450,0.2450,508300,
5 Jun 2026,0.2750,0.2750,0.2550,0.2650,0.2650,511000,
29 May 2026,0.2750,0.2850,0.2600,0.2700,0.2700,766200,
22 May 2026,0.2900,0.3100,0.2550,0.2700,0.2700,5703200,
15 May 2026,0.3150,0.3200,0.2700,0.2900,0.2900,6750400,
8 May 2026,0.2250,0.3350,0.2200,0.3100,0.3100,62190566,
1 May 2026,0.2150,0.2500,0.2150,0.2200,0.2200,1194500,
24 Apr 2026,0.2000,0.2450,0.2000,0.2200,0.2200,2473700,
17 Apr 2026,0.1700,0.2050,0.1700,0.1970,0.1970,778300,
10 Apr 2026,0.1710,0.1790,0.1700,0.1700,0.1700,931100,
3 Apr 2026,0.1720,0.1720,0.1710,0.1710,0.1710,190000,
27 Mar 2026,0.1770,0.1770,0.1710,0.1730,0.1730,243500,
20 Mar 2026,0.1780,0.1780,0.1720,0.1720,0.1720,13000,
13 Mar 2026,0.1710,0.1780,0.1710,0.1780,0.1780,82700,
6 Mar 2026,0.1720,0.1900,0.1710,0.1710,0.1710,252100,
27 Feb 2026,0.1730,0.1740,0.1710,0.1710,0.1710,278600,
20 Feb 2026,0.1800,0.1800,0.1800,0.1800,0.1800,0,
13 Feb 2026,0.1720,0.1800,0.1720,0.1800,0.1800,86400,
6 Feb 2026,0.1830,0.1830,0.1700,0.1720,0.1720,567000,
30 Jan 2026,0.1900,0.1940,0.1800,0.1830,0.1830,1074000,
23 Jan 2026,0.1940,0.1980,0.1920,0.1930,0.1930,82900,
16 Jan 2026,0.1950,0.2000,0.1940,0.1940,0.1940,57600,
9 Jan 2026,0.1980,0.1990,0.1960,0.1970,0.1970,53400,
2 Jan 2026,0.1930,0.1980,0.1920,0.1980,0.1980,96900,
26 Dec 2025,0.1950,0.1990,0.1940,0.1940,0.1940,213000,
19 Dec 2025,0.1930,0.1990,0.1920,0.1950,0.1950,235700,
12 Dec 2025,0.1990,0.2050,0.1900,0.1900,0.1900,238700,
5 Dec 2025,0.1990,0.2050,0.1900,0.1990,0.1990,235000,
28 Nov 2025,0.2000,0.2000,0.1900,0.1900,0.1900,307300,
21 Nov 2025,0.1920,0.1980,0.1920,0.1980,0.1980,70300,
14 Nov 2025,0.2000,0.2000,0.1900,0.1920,0.1920,13000,
7 Nov 2025,0.2000,0.2050,0.1900,0.2000,0.2000,719300,
6 Nov 2025,,,,,,,0.0025 Dividend
31 Oct 2025,0.2050,0.2050,0.2050,0.2050,0.2024,194500,
24 Oct 2025,0.2000,0.2100,0.2000,0.2100,0.2074,359100,
17 Oct 2025,0.2050,0.2050,0.2000,0.2000,0.1975,84400,
10 Oct 2025,0.2100,0.2100,0.2050,0.2050,0.2024,67000,
3 Oct 2025,0.2000,0.2150,0.2000,0.2050,0.2024,386200,
26 Sep 2025,0.2100,0.2100,0.2000,0.2000,0.1975,110700,
19 Sep 2025,0.2100,0.2100,0.2000,0.2100,0.2074,340600,
12 Sep 2025,0.2150,0.2150,0.2000,0.2100,0.2074,1003200,
5 Sep 2025,0.2000,0.2150,0.2000,0.2150,0.2123,1351000,
29 Aug 2025,0.1920,0.2050,0.1920,0.2000,0.1975,1492900,
22 Aug 2025,0.1930,0.1980,0.1860,0.1910,0.1886,478200,
15 Aug 2025,0.1910,0.1970,0.1880,0.1880,0.1856,379300,
8 Aug 2025,0.2050,0.2050,0.1920,0.1920,0.1896,230900,
1 Aug 2025,0.2050,0.2050,0.1950,0.2050,0.2024,83200,
25 Jul 2025,0.2100,0.2100,0.1960,0.2050,0.2024,99200,
18 Jul 2025,0.1950,0.2100,0.1950,0.2100,0.2074,92000,
11 Jul 2025,0.1950,0.1950,0.1920,0.1930,0.1906,94000,
4 Jul 2025,0.1940,0.1970,0.1940,0.1970,0.1945,114000,
27 Jun 2025,0.1900,0.1990,0.1900,0.1940,0.1916,93300,
20 Jun 2025,0.1920,0.1920,0.1920,0.1920,0.1896,0,
13 Jun 2025,0.2100,0.2100,0.1900,0.1920,0.1896,116000,
6 Jun 2025,0.2100,0.2100,0.2100,0.2100,0.2074,0,
30 May 2025,0.2100,0.2100,0.2100,0.2100,0.2074,0,
23 May 2025,0.2100,0.2100,0.2000,0.2100,0.2074,65000,
16 May 2025,0.2150,0.2150,0.2000,0.2100,0.2074,455900,
9 May 2025,0.1700,0.2150,0.1700,0.2150,0.2123,279700,
2 May 2025,0.1480,0.1480,0.1480,0.1480,0.1462,0,
25 Apr 2025,0.1810,0.1810,0.1480,0.1480,0.1462,80000,
18 Apr 2025,0.1720,0.1810,0.1710,0.1810,0.1787,61600,
11 Apr 2025,0.1710,0.1720,0.1710,0.1720,0.1699,58100,
4 Apr 2025,0.1850,0.1850,0.1750,0.1760,0.1738,27500,
28 Mar 2025,0.1810,0.1980,0.1810,0.1850,0.1827,307800,
21 Mar 2025,0.1760,0.1820,0.1760,0.1820,0.1797,77000,
14 Mar 2025,0.1810,0.1820,0.1750,0.1760,0.1738,116900,
7 Mar 2025,0.1840,0.1870,0.1810,0.1820,0.1797,143300,
