Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,10.0000,10.1500,10.0000,10.1500,10.1500,800,
31 Jul 2026,10.4500,10.4500,9.9700,10.1500,10.1500,20400,
24 Jul 2026,10.1000,10.6000,10.1000,10.4000,10.4000,3600,
17 Jul 2026,10.2400,10.3500,10.1000,10.1000,10.1000,14200,
10 Jul 2026,10.2700,10.3000,10.2100,10.2400,10.2400,6600,
3 Jul 2026,10.4000,10.4100,10.2600,10.2600,10.2600,6300,
26 Jun 2026,10.3900,10.4100,10.2500,10.3500,10.3500,4900,
19 Jun 2026,10.3200,10.5000,10.2100,10.4100,10.4100,9400,
12 Jun 2026,10.2000,10.3000,9.9000,10.2900,10.2900,11400,
5 Jun 2026,11.4000,11.4000,9.6200,10.2000,10.2000,70100,
29 May 2026,11.5100,11.9000,11.4000,11.5000,11.5000,31600,
22 May 2026,11.5800,11.6000,11.2000,11.5600,11.5600,14900,
15 May 2026,11.7000,11.7000,11.3800,11.5900,11.5900,5000,
8 May 2026,11.7600,11.8500,11.6000,11.6900,11.6900,10300,
1 May 2026,11.7100,11.7600,11.6900,11.7600,11.7600,7400,
24 Apr 2026,11.5200,12.1600,11.5200,12.0000,12.0000,20700,
17 Apr 2026,10.8300,11.5000,10.8300,11.4200,11.4200,9200,
10 Apr 2026,10.7000,10.8500,10.5600,10.8500,10.8500,11500,
3 Apr 2026,10.7500,10.8000,10.6000,10.7000,10.7000,12800,
27 Mar 2026,11.3600,11.7500,10.7400,10.7900,10.7900,24000,
20 Mar 2026,11.1500,11.6800,10.7500,11.6000,11.6000,13800,
13 Mar 2026,11.1000,11.3000,10.9100,11.1000,11.1000,22100,
6 Mar 2026,11.2000,11.5100,11.0000,11.1000,11.1000,18400,
27 Feb 2026,11.3000,11.4800,10.8500,11.0000,11.0000,59400,
20 Feb 2026,11.0500,11.8000,11.0000,11.2900,11.2900,29100,
13 Feb 2026,11.7100,11.8000,10.7500,11.2000,11.2000,29100,
12 Feb 2026,,,,,,,0.2600 Dividend
6 Feb 2026,12.0000,12.0500,11.4300,11.8000,11.5400,41100,
30 Jan 2026,12.0400,12.0600,11.9300,11.9600,11.6965,13400,
