Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.2550,0.2600,0.2450,0.2450,0.2450,794900,
31 Jul 2026,0.2700,0.2750,0.2450,0.2500,0.2500,2902700,
24 Jul 2026,0.2250,0.2850,0.2250,0.2750,0.2750,14957600,
17 Jul 2026,0.2300,0.2400,0.2150,0.2200,0.2200,71154300,
10 Jul 2026,0.1880,0.2250,0.1800,0.2100,0.2100,23913400,
3 Jul 2026,0.1890,0.1890,0.1880,0.1880,0.1880,2078100,
26 Jun 2026,0.1960,0.1970,0.1710,0.1900,0.1900,316000,
19 Jun 2026,0.1980,0.1980,0.1960,0.1960,0.1960,89500,
12 Jun 2026,0.2000,0.2000,0.1960,0.2000,0.2000,1222000,
5 Jun 2026,0.2000,0.2050,0.1980,0.2000,0.2000,634800,
29 May 2026,0.2000,0.2000,0.1990,0.2000,0.2000,425100,
22 May 2026,0.2000,0.2050,0.1980,0.2050,0.2050,783100,
15 May 2026,0.2000,0.2050,0.1970,0.2000,0.2000,1027600,
13 May 2026,,,,,,,0.0030 Dividend
8 May 2026,0.2050,0.2050,0.1980,0.2050,0.2020,1063900,
1 May 2026,0.2100,0.2100,0.2050,0.2050,0.2020,439500,
24 Apr 2026,0.2050,0.2250,0.2050,0.2200,0.2168,2895900,
17 Apr 2026,0.2000,0.2100,0.1980,0.2050,0.2020,2105000,
10 Apr 2026,0.1740,0.2000,0.1740,0.2000,0.1971,804400,
3 Apr 2026,0.1770,0.1830,0.1700,0.1830,0.1803,469600,
27 Mar 2026,0.1850,0.1850,0.1760,0.1770,0.1744,497300,
20 Mar 2026,0.1930,0.1980,0.1870,0.1880,0.1852,595300,
13 Mar 2026,0.1890,0.1970,0.1890,0.1930,0.1902,1075800,
6 Mar 2026,0.2100,0.2100,0.1820,0.1910,0.1882,2039700,
27 Feb 2026,0.2200,0.2250,0.2150,0.2150,0.2119,1606700,
20 Feb 2026,0.2200,0.2250,0.2200,0.2200,0.2168,1831000,
13 Feb 2026,0.2250,0.2300,0.2200,0.2200,0.2168,3910200,
6 Feb 2026,0.2200,0.2300,0.2150,0.2200,0.2168,6869500,
30 Jan 2026,0.2050,0.2550,0.2050,0.2200,0.2168,14594500,
23 Jan 2026,0.2000,0.2200,0.1960,0.2000,0.1971,4125600,
16 Jan 2026,0.1950,0.2100,0.1950,0.2050,0.2020,1695600,
9 Jan 2026,0.1920,0.2000,0.1910,0.1950,0.1921,464000,
2 Jan 2026,0.1860,0.1950,0.1860,0.1890,0.1862,421600,
26 Dec 2025,0.1860,0.1940,0.1850,0.1860,0.1833,56400,
19 Dec 2025,0.1880,0.1950,0.1810,0.1940,0.1912,58100,
12 Dec 2025,0.1830,0.1880,0.1800,0.1880,0.1852,223200,
5 Dec 2025,0.1790,0.1900,0.1780,0.1900,0.1872,485200,
28 Nov 2025,0.1850,0.1850,0.1800,0.1800,0.1774,165000,
21 Nov 2025,0.1890,0.1900,0.1800,0.1800,0.1774,710100,
14 Nov 2025,0.1900,0.1940,0.1870,0.1890,0.1862,206100,
7 Nov 2025,0.1940,0.1940,0.1940,0.1940,0.1912,41200,
31 Oct 2025,0.1920,0.1940,0.1880,0.1940,0.1912,536900,
24 Oct 2025,0.1880,0.1980,0.1880,0.1920,0.1892,289900,
17 Oct 2025,0.2000,0.2100,0.1910,0.1910,0.1882,2097100,
10 Oct 2025,0.1980,0.2200,0.1900,0.2050,0.2020,1170700,
3 Oct 2025,0.1970,0.1980,0.1900,0.1970,0.1941,228200,
26 Sep 2025,0.2050,0.2150,0.2000,0.2000,0.1971,936400,
19 Sep 2025,0.2100,0.2100,0.2000,0.2000,0.1971,133400,
12 Sep 2025,0.2100,0.2200,0.2000,0.2100,0.2069,1439400,
5 Sep 2025,0.2000,0.2150,0.1980,0.2050,0.2020,997700,
29 Aug 2025,0.2000,0.2200,0.1960,0.2100,0.2069,1653900,
22 Aug 2025,0.1920,0.2100,0.1750,0.2000,0.1971,2472400,
15 Aug 2025,0.2150,0.2400,0.1900,0.1900,0.1872,5671200,
8 Aug 2025,0.2100,0.2150,0.2000,0.2150,0.2119,2140700,
1 Aug 2025,0.2350,0.2350,0.1950,0.2100,0.2069,3496200,
25 Jul 2025,0.2400,0.2450,0.2250,0.2350,0.2316,5346700,
18 Jul 2025,0.2050,0.2550,0.1980,0.2350,0.2316,14491500,
11 Jul 2025,0.1950,0.2100,0.1900,0.2000,0.1971,2859500,
4 Jul 2025,0.1640,0.2200,0.1630,0.1920,0.1892,1769600,
27 Jun 2025,0.1460,0.1690,0.1460,0.1640,0.1616,1104800,
20 Jun 2025,0.1430,0.1590,0.1430,0.1480,0.1458,883200,
13 Jun 2025,0.1420,0.1450,0.1390,0.1430,0.1409,707000,
6 Jun 2025,0.1400,0.1420,0.1370,0.1400,0.1380,236300,
30 May 2025,0.1340,0.1430,0.1340,0.1400,0.1380,538800,
23 May 2025,0.1330,0.1390,0.1330,0.1380,0.1360,165900,
16 May 2025,0.1350,0.1410,0.1280,0.1400,0.1380,240600,
13 May 2025,,,,,,,0.0030 Dividend
9 May 2025,0.1290,0.1390,0.1280,0.1350,0.1301,481400,
2 May 2025,0.1300,0.1300,0.1270,0.1280,0.1233,190100,
25 Apr 2025,0.1270,0.1330,0.1270,0.1310,0.1262,333500,
18 Apr 2025,0.1300,0.1340,0.1230,0.1270,0.1224,273700,
11 Apr 2025,0.1300,0.1300,0.1230,0.1280,0.1233,627700,
4 Apr 2025,0.1300,0.1350,0.1300,0.1330,0.1281,314000,
28 Mar 2025,0.1350,0.1360,0.1300,0.1300,0.1253,120000,
21 Mar 2025,0.1280,0.1350,0.1280,0.1350,0.1301,138700,
14 Mar 2025,0.1330,0.1340,0.1280,0.1280,0.1233,251900,
7 Mar 2025,0.1360,0.1360,0.1220,0.1310,0.1262,924900,
28 Feb 2025,0.1400,0.1450,0.1380,0.1400,0.1349,773500,
21 Feb 2025,0.1350,0.1390,0.1350,0.1370,0.1320,360600,
14 Feb 2025,0.1370,0.1370,0.1330,0.1350,0.1301,81200,
7 Feb 2025,0.1370,0.1400,0.1350,0.1370,0.1320,578300,
31 Jan 2025,0.1360,0.1370,0.1360,0.1370,0.1320,236600,
24 Jan 2025,0.1350,0.1390,0.1350,0.1360,0.1310,164100,
17 Jan 2025,0.1370,0.1390,0.1350,0.1360,0.1310,315300,
10 Jan 2025,0.1340,0.1420,0.1340,0.1370,0.1320,1131200,
3 Jan 2025,0.1350,0.1350,0.1300,0.1330,0.1281,224200,
27 Dec 2024,0.1300,0.1350,0.1250,0.1350,0.1301,267100,
20 Dec 2024,0.1270,0.1310,0.1250,0.1270,0.1224,169200,
13 Dec 2024,0.1250,0.1290,0.1230,0.1290,0.1243,219600,
6 Dec 2024,0.1200,0.1260,0.1200,0.1230,0.1185,443400,
29 Nov 2024,0.1240,0.1240,0.1190,0.1200,0.1156,351000,
22 Nov 2024,0.1240,0.1240,0.1190,0.1200,0.1156,520000,
15 Nov 2024,0.1210,0.1240,0.1210,0.1220,0.1175,369100,
8 Nov 2024,0.1180,0.1220,0.1160,0.1200,0.1156,631000,
1 Nov 2024,0.1190,0.1210,0.1180,0.1180,0.1137,563200,
25 Oct 2024,0.1220,0.1230,0.1160,0.1220,0.1175,717300,
18 Oct 2024,0.1190,0.1210,0.1170,0.1210,0.1166,368800,
11 Oct 2024,0.1180,0.1250,0.1180,0.1210,0.1166,694100,
4 Oct 2024,0.1190,0.1250,0.1170,0.1170,0.1127,664300,
27 Sep 2024,0.1220,0.1220,0.1180,0.1190,0.1147,115400,
20 Sep 2024,0.1210,0.1290,0.1210,0.1220,0.1175,340700,
13 Sep 2024,0.1160,0.1210,0.1160,0.1210,0.1166,162500,
6 Sep 2024,0.1150,0.1160,0.1150,0.1160,0.1118,581000,
30 Aug 2024,0.1160,0.1180,0.1140,0.1150,0.1108,154500,
23 Aug 2024,0.1150,0.1180,0.1130,0.1180,0.1137,323100,
16 Aug 2024,0.1160,0.1160,0.1100,0.1100,0.1060,36400,
9 Aug 2024,0.1140,0.1160,0.1100,0.1160,0.1118,79900,
2 Aug 2024,0.1150,0.1170,0.1130,0.1150,0.1108,56000,
26 Jul 2024,0.1130,0.1170,0.1130,0.1170,0.1127,38600,
19 Jul 2024,0.1120,0.1200,0.1120,0.1130,0.1089,97000,
12 Jul 2024,0.1110,0.1180,0.1110,0.1160,0.1118,44900,
5 Jul 2024,0.1090,0.1110,0.1090,0.1110,0.1069,24000,
28 Jun 2024,0.1100,0.1100,0.1090,0.1090,0.1050,21600,
21 Jun 2024,0.1100,0.1110,0.1100,0.1100,0.1060,44200,
14 Jun 2024,0.1110,0.1110,0.1100,0.1100,0.1060,27800,
7 Jun 2024,0.1110,0.1200,0.1110,0.1110,0.1069,98200,
31 May 2024,0.1110,0.1150,0.1090,0.1110,0.1069,134000,
24 May 2024,0.1200,0.1200,0.1070,0.1130,0.1089,207200,
17 May 2024,0.1030,0.1180,0.1030,0.1090,0.1050,50100,
13 May 2024,,,,,,,0.0030 Dividend
10 May 2024,0.1170,0.1310,0.1160,0.1170,0.1098,615000,
3 May 2024,0.1170,0.1170,0.1170,0.1170,0.1098,0,
26 Apr 2024,0.1130,0.1170,0.1100,0.1170,0.1098,43700,
19 Apr 2024,0.1150,0.1160,0.1100,0.1100,0.1033,212700,
12 Apr 2024,0.1160,0.1180,0.1150,0.1150,0.1080,124200,
5 Apr 2024,0.1170,0.1190,0.1150,0.1160,0.1089,324700,
29 Mar 2024,0.1120,0.1170,0.1120,0.1150,0.1080,98800,
22 Mar 2024,0.1140,0.1160,0.1100,0.1120,0.1051,191100,
15 Mar 2024,0.1130,0.1160,0.1130,0.1130,0.1061,255300,
8 Mar 2024,0.1170,0.1170,0.1130,0.1130,0.1061,85700,
1 Mar 2024,0.1110,0.1190,0.1110,0.1170,0.1098,599100,
23 Feb 2024,0.1180,0.1180,0.1110,0.1180,0.1108,26400,
16 Feb 2024,0.1080,0.1180,0.1080,0.1180,0.1108,56800,
9 Feb 2024,0.1100,0.1150,0.1080,0.1150,0.1080,112100,
2 Feb 2024,0.1100,0.1190,0.1100,0.1170,0.1098,294700,
26 Jan 2024,0.1140,0.1140,0.1100,0.1100,0.1033,61500,
19 Jan 2024,0.1090,0.1180,0.1090,0.1110,0.1042,77400,
12 Jan 2024,0.1130,0.1130,0.1090,0.1090,0.1023,217500,
5 Jan 2024,0.1140,0.1140,0.1050,0.1130,0.1061,597400,
29 Dec 2023,0.1190,0.1190,0.1070,0.1140,0.1070,238200,
22 Dec 2023,0.1170,0.1200,0.1060,0.1190,0.1117,127700,
15 Dec 2023,0.1130,0.1170,0.1090,0.1170,0.1098,163500,
8 Dec 2023,0.1160,0.1160,0.1130,0.1130,0.1061,26200,
1 Dec 2023,0.1150,0.1160,0.1100,0.1160,0.1089,88800,
24 Nov 2023,0.1160,0.1160,0.1090,0.1140,0.1070,247800,
17 Nov 2023,0.1060,0.1090,0.1060,0.1080,0.1014,33100,
10 Nov 2023,0.1140,0.1140,0.1000,0.1060,0.0995,35100,
3 Nov 2023,0.1140,0.1140,0.1130,0.1140,0.1070,6000,
27 Oct 2023,0.1190,0.1190,0.1140,0.1140,0.1070,8000,
