Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.4450,0.4450,0.4450,0.4450,0.4450,0,
31 Jul 2026,0.4400,0.4450,0.4400,0.4450,0.4450,2100,
24 Jul 2026,0.4600,0.4600,0.4000,0.4400,0.4400,99600,
17 Jul 2026,0.4500,0.4600,0.4500,0.4600,0.4600,10300,
10 Jul 2026,0.4000,0.4500,0.4000,0.4500,0.4500,1400,
3 Jul 2026,0.3650,0.4600,0.3650,0.4600,0.4600,63500,
26 Jun 2026,0.4500,0.4600,0.4150,0.4600,0.4600,60300,
19 Jun 2026,0.4500,0.4500,0.4150,0.4500,0.4500,400,
12 Jun 2026,0.4550,0.4550,0.4200,0.4500,0.4500,6500,
5 Jun 2026,0.4600,0.4600,0.4550,0.4550,0.4550,300,
29 May 2026,0.4500,0.4500,0.4200,0.4500,0.4500,2700,
22 May 2026,0.4500,0.4500,0.4500,0.4500,0.4500,5900,
15 May 2026,0.4500,0.4500,0.4500,0.4500,0.4500,10000,
8 May 2026,0.4050,0.4500,0.4050,0.4500,0.4500,12000,
1 May 2026,0.4450,0.4450,0.4450,0.4450,0.4450,0,
24 Apr 2026,0.4450,0.4450,0.4450,0.4450,0.4450,0,
17 Apr 2026,0.4450,0.4450,0.4450,0.4450,0.4450,0,
10 Apr 2026,0.4450,0.4450,0.3950,0.4450,0.4450,7000,
3 Apr 2026,0.4600,0.4600,0.3900,0.4450,0.4450,13900,
27 Mar 2026,0.4600,0.4600,0.4600,0.4600,0.4600,0,
20 Mar 2026,0.4450,0.4600,0.3700,0.4600,0.4600,134100,
13 Mar 2026,0.4450,0.4500,0.3850,0.4450,0.4450,21600,
9 Mar 2026,,,,,,,0.0007 Dividend
6 Mar 2026,0.4300,0.4450,0.4200,0.4450,0.4443,21400,
27 Feb 2026,0.4200,0.4450,0.3500,0.4450,0.4443,31800,
20 Feb 2026,0.4400,0.4400,0.4400,0.4400,0.4393,0,
13 Feb 2026,0.4250,0.4400,0.4250,0.4400,0.4393,6600,
6 Feb 2026,0.4800,0.4800,0.4050,0.4250,0.4243,39500,
30 Jan 2026,0.4850,0.4850,0.4100,0.4800,0.4792,20300,
23 Jan 2026,0.4400,0.4900,0.4400,0.4850,0.4842,17800,
16 Jan 2026,0.4800,0.4800,0.4400,0.4500,0.4493,2100,
9 Jan 2026,0.4350,0.4800,0.3750,0.4800,0.4792,270500,
2 Jan 2026,0.4350,0.4350,0.4350,0.4350,0.4343,0,
26 Dec 2025,0.4400,0.4400,0.4000,0.4350,0.4343,4600,
19 Dec 2025,0.4400,0.4400,0.4400,0.4400,0.4393,0,
12 Dec 2025,0.4400,0.4400,0.4200,0.4400,0.4393,1100,
5 Dec 2025,0.4400,0.4400,0.4400,0.4400,0.4393,0,
28 Nov 2025,0.4400,0.4400,0.4400,0.4400,0.4393,0,
21 Nov 2025,0.4400,0.4400,0.4400,0.4400,0.4393,0,
