Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.9000,0.9150,0.8800,0.8800,0.8800,2350300,
31 Jul 2026,0.8700,0.9300,0.8700,0.9000,0.9000,6857600,
24 Jul 2026,0.8450,0.8750,0.8450,0.8750,0.8750,2823400,
17 Jul 2026,0.8350,0.8500,0.8300,0.8350,0.8350,2975600,
10 Jul 2026,0.7950,0.8450,0.7900,0.8350,0.8350,3883300,
3 Jul 2026,0.8450,0.8500,0.7900,0.7950,0.7950,3001600,
2 Jul 2026,,,,,,,0.0196 Dividend
26 Jun 2026,0.8700,0.8900,0.8150,0.8450,0.8250,4811200,
19 Jun 2026,0.9050,0.9300,0.8550,0.8650,0.8445,4105400,
12 Jun 2026,0.8750,0.9050,0.8550,0.9050,0.8836,3417000,
5 Jun 2026,0.8500,0.8750,0.8500,0.8750,0.8543,2367800,
29 May 2026,0.8550,0.8550,0.8250,0.8500,0.8299,3762800,
22 May 2026,0.8500,0.8650,0.8450,0.8550,0.8348,4794000,
15 May 2026,0.8300,0.8650,0.8300,0.8500,0.8299,4994800,
8 May 2026,0.8350,0.8450,0.8200,0.8300,0.8104,4529200,
1 May 2026,0.8450,0.8500,0.8300,0.8350,0.8153,5109400,
24 Apr 2026,0.8350,0.8500,0.8200,0.8450,0.8250,5015400,
17 Apr 2026,0.8300,0.8400,0.8150,0.8350,0.8153,2561500,
10 Apr 2026,0.8300,0.8400,0.8050,0.8150,0.7957,3854600,
3 Apr 2026,0.8000,0.8350,0.7900,0.8300,0.8104,4376900,
27 Mar 2026,0.7650,0.8000,0.7500,0.8000,0.7811,3757200,
20 Mar 2026,0.7450,0.7700,0.7400,0.7650,0.7469,2610200,
13 Mar 2026,0.7500,0.7500,0.7250,0.7400,0.7225,3091500,
6 Mar 2026,0.7450,0.7650,0.7200,0.7400,0.7225,4386400,
27 Feb 2026,0.7650,0.7700,0.7450,0.7550,0.7371,1471700,
20 Feb 2026,0.7650,0.7700,0.7500,0.7600,0.7420,1213400,
13 Feb 2026,0.7550,0.7750,0.7550,0.7550,0.7371,1444800,
6 Feb 2026,0.7600,0.7650,0.7450,0.7600,0.7420,3333700,
30 Jan 2026,0.7400,0.7700,0.7250,0.7600,0.7420,3039200,
23 Jan 2026,0.7500,0.7500,0.7300,0.7350,0.7176,1675600,
16 Jan 2026,0.7350,0.7550,0.7250,0.7500,0.7323,3295300,
9 Jan 2026,0.7500,0.7500,0.7250,0.7300,0.7127,1657100,
2 Jan 2026,0.7350,0.7500,0.7300,0.7450,0.7274,3065300,
26 Dec 2025,0.7400,0.7400,0.7300,0.7300,0.7127,599800,
19 Dec 2025,0.7400,0.7400,0.7200,0.7350,0.7176,1930900,
12 Dec 2025,0.7600,0.7600,0.7300,0.7350,0.7176,2720500,
5 Dec 2025,0.7850,0.7850,0.7450,0.7600,0.7420,1517200,
2 Dec 2025,,,,,,,0.0177 Dividend
28 Nov 2025,0.7800,0.8000,0.7800,0.7850,0.7490,1467000,
21 Nov 2025,0.7850,0.7950,0.7750,0.7800,0.7443,1929200,
14 Nov 2025,0.7600,0.8000,0.7600,0.7850,0.7490,2051000,
7 Nov 2025,0.7450,0.7700,0.7450,0.7650,0.7300,2457800,
31 Oct 2025,0.7350,0.7550,0.7350,0.7450,0.7109,3494100,
24 Oct 2025,0.7150,0.7400,0.7150,0.7400,0.7061,2083200,
17 Oct 2025,0.6950,0.7200,0.6900,0.7150,0.6822,2197900,
10 Oct 2025,0.7100,0.7150,0.6900,0.7000,0.6679,2380000,
3 Oct 2025,0.7100,0.7300,0.7000,0.7100,0.6775,4269400,
26 Sep 2025,0.7200,0.7300,0.6900,0.7050,0.6727,4749100,
19 Sep 2025,0.7400,0.7450,0.7150,0.7150,0.6822,2105500,
12 Sep 2025,0.7150,0.7450,0.7150,0.7400,0.7061,1537300,
