Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.5450,0.5500,0.5400,0.5500,0.5500,17700,
31 Jul 2026,0.5550,0.5600,0.5450,0.5500,0.5500,412000,
24 Jul 2026,0.5550,0.5550,0.5400,0.5400,0.5400,312400,
17 Jul 2026,0.5700,0.5700,0.5400,0.5550,0.5550,321300,
10 Jul 2026,0.5450,0.5700,0.5350,0.5700,0.5700,249700,
3 Jul 2026,0.5650,0.5650,0.5300,0.5600,0.5600,218600,
26 Jun 2026,0.5700,0.5800,0.5500,0.5500,0.5500,261800,
19 Jun 2026,0.5750,0.5800,0.5650,0.5700,0.5700,141900,
12 Jun 2026,0.5700,0.5800,0.5600,0.5700,0.5700,443700,
5 Jun 2026,0.5700,0.5950,0.5650,0.5850,0.5850,91600,
29 May 2026,0.6000,0.6100,0.5700,0.5850,0.5850,474600,
22 May 2026,0.6200,0.6250,0.6050,0.6050,0.6050,1385500,
15 May 2026,0.6250,0.6300,0.6200,0.6250,0.6250,836100,
8 May 2026,0.6200,0.6250,0.6100,0.6250,0.6250,956000,
4 May 2026,,,,,,,0.0135 Dividend
1 May 2026,0.6200,0.6300,0.6050,0.6200,0.6200,1282900,
24 Apr 2026,0.6150,0.6200,0.6100,0.6200,0.6200,516300,
17 Apr 2026,0.6050,0.6200,0.6000,0.6200,0.6200,1150300,
10 Apr 2026,0.5850,0.6100,0.5800,0.6050,0.6050,508000,
3 Apr 2026,0.5900,0.5900,0.5700,0.5800,0.5800,752100,
27 Mar 2026,0.5700,0.5950,0.5350,0.5950,0.5950,1728100,
20 Mar 2026,0.6150,0.6350,0.5650,0.5700,0.5700,3893900,
13 Mar 2026,0.6200,0.6250,0.6000,0.6150,0.6150,5136400,
6 Mar 2026,0.6200,0.6450,0.6200,0.6200,0.6200,3338000,
27 Feb 2026,0.6800,0.6850,0.6400,0.6550,0.6550,2438100,
20 Feb 2026,0.6700,0.6900,0.6700,0.6750,0.6750,872800,
13 Feb 2026,0.6550,0.6900,0.6550,0.6650,0.6650,2033000,
6 Feb 2026,0.6650,0.6950,0.6400,0.6500,0.6500,4081800,
30 Jan 2026,0.6550,0.6850,0.6500,0.6700,0.6700,6492900,
23 Jan 2026,0.6250,0.6600,0.6150,0.6500,0.6500,7946400,
16 Jan 2026,0.6250,0.6350,0.6150,0.6250,0.6250,5746100,
9 Jan 2026,0.6250,0.6300,0.6150,0.6250,0.6250,7596300,
2 Jan 2026,0.6250,0.6350,0.6200,0.6250,0.6250,5481600,
26 Dec 2025,0.6200,0.6200,0.6100,0.6100,0.6100,2389600,
19 Dec 2025,0.6200,0.6250,0.6150,0.6200,0.6200,4083600,
12 Dec 2025,0.6250,0.6250,0.6150,0.6200,0.6200,1733200,
5 Dec 2025,0.6300,0.6300,0.6150,0.6200,0.6200,1514300,
28 Nov 2025,0.6250,0.6300,0.6200,0.6300,0.6300,1873200,
21 Nov 2025,0.6200,0.6350,0.6100,0.6200,0.6200,3850700,
14 Nov 2025,0.6300,0.6350,0.6100,0.6200,0.6200,3248300,
7 Nov 2025,0.6300,0.6500,0.6200,0.6350,0.6350,1063200,
31 Oct 2025,0.6600,0.6700,0.6250,0.6300,0.6300,1513900,
24 Oct 2025,0.6200,0.6650,0.6200,0.6600,0.6600,3472100,
17 Oct 2025,0.6100,0.6400,0.6000,0.6150,0.6150,3652600,
10 Oct 2025,0.6400,0.6450,0.6100,0.6200,0.6200,2684900,
3 Oct 2025,0.6250,0.6550,0.6200,0.6400,0.6400,4426700,
26 Sep 2025,0.6200,0.6300,0.5950,0.6200,0.6200,3598400,
19 Sep 2025,0.5900,0.6400,0.5800,0.6150,0.6150,7782200,
12 Sep 2025,0.5900,0.5950,0.5650,0.5900,0.5900,2812700,
5 Sep 2025,0.6000,0.6150,0.5750,0.5800,0.5800,1808900,
29 Aug 2025,0.6050,0.6100,0.5800,0.6000,0.6000,1937300,
22 Aug 2025,0.5600,0.6250,0.5300,0.6050,0.6050,5343600,
15 Aug 2025,0.6300,0.6600,0.5450,0.5650,0.5650,6929000,
8 Aug 2025,0.6450,0.7050,0.6050,0.6200,0.6200,9736800,
1 Aug 2025,0.7150,0.7150,0.6250,0.6450,0.6450,8526500,
25 Jul 2025,0.6900,0.7200,0.6650,0.7150,0.7150,9080500,
18 Jul 2025,0.5850,0.6950,0.5850,0.6850,0.6850,17281700,
11 Jul 2025,0.4550,0.5950,0.4550,0.5700,0.5700,15803400,
4 Jul 2025,0.4300,0.4550,0.4250,0.4500,0.4500,7539400,
27 Jun 2025,0.4150,0.4250,0.4000,0.4250,0.4250,5468200,
20 Jun 2025,0.4050,0.4400,0.4000,0.4200,0.4200,4309000,
13 Jun 2025,0.3800,0.4050,0.3750,0.4050,0.4050,5144400,
6 Jun 2025,0.3500,0.3800,0.3500,0.3800,0.3800,3060800,
30 May 2025,0.3450,0.3550,0.3450,0.3550,0.3550,1494200,
23 May 2025,0.3500,0.3600,0.3450,0.3550,0.3550,3542900,
16 May 2025,0.3350,0.3500,0.3300,0.3500,0.3500,3175600,
9 May 2025,0.3300,0.3300,0.3200,0.3300,0.3300,144700,
2 May 2025,0.3450,0.3450,0.3200,0.3300,0.3300,2318500,
30 Apr 2025,,,,,,,0.0130 Dividend
25 Apr 2025,0.3300,0.3450,0.3250,0.3450,0.3316,1546500,
18 Apr 2025,0.3300,0.3300,0.3250,0.3300,0.3172,187100,
11 Apr 2025,0.3400,0.3400,0.3050,0.3300,0.3172,1840500,
4 Apr 2025,0.3650,0.3700,0.3450,0.3550,0.3412,1279000,
28 Mar 2025,0.3650,0.3750,0.3600,0.3650,0.3508,1265700,
21 Mar 2025,0.3500,0.3650,0.3500,0.3650,0.3508,849000,
14 Mar 2025,0.3650,0.3700,0.3500,0.3550,0.3412,1046100,
7 Mar 2025,0.3500,0.3650,0.3400,0.3600,0.3460,1264800,
28 Feb 2025,0.3400,0.3500,0.3350,0.3400,0.3268,2494100,
21 Feb 2025,0.3400,0.3500,0.3350,0.3450,0.3316,1856400,
14 Feb 2025,0.3400,0.3450,0.3350,0.3400,0.3268,961500,
7 Feb 2025,0.3400,0.3450,0.3350,0.3350,0.3220,495600,
31 Jan 2025,0.3450,0.3450,0.3400,0.3450,0.3316,510500,
24 Jan 2025,0.3400,0.3450,0.3350,0.3450,0.3316,743600,
17 Jan 2025,0.3400,0.3450,0.3350,0.3400,0.3268,886900,
10 Jan 2025,0.3450,0.3450,0.3400,0.3450,0.3316,933400,
3 Jan 2025,0.3450,0.3500,0.3400,0.3500,0.3364,156800,
27 Dec 2024,0.3450,0.3500,0.3400,0.3450,0.3316,320800,
20 Dec 2024,0.3500,0.3500,0.3400,0.3500,0.3364,307300,
13 Dec 2024,0.3450,0.3500,0.3450,0.3450,0.3316,127400,
6 Dec 2024,0.3500,0.3500,0.3450,0.3500,0.3364,154200,
29 Nov 2024,0.3600,0.3650,0.3450,0.3450,0.3316,951200,
22 Nov 2024,0.3550,0.3650,0.3500,0.3600,0.3460,1454300,
15 Nov 2024,0.3500,0.3600,0.3400,0.3600,0.3460,914300,
8 Nov 2024,0.3450,0.3550,0.3400,0.3550,0.3412,280300,
1 Nov 2024,0.3550,0.3550,0.3350,0.3450,0.3316,286200,
25 Oct 2024,0.3550,0.3600,0.3500,0.3500,0.3364,428300,
18 Oct 2024,0.3550,0.3600,0.3450,0.3550,0.3412,297000,
11 Oct 2024,0.3450,0.3500,0.3400,0.3500,0.3364,208000,
4 Oct 2024,0.3450,0.3600,0.3400,0.3450,0.3316,730100,
27 Sep 2024,0.3400,0.3450,0.3350,0.3450,0.3316,1280300,
20 Sep 2024,0.3300,0.3400,0.3300,0.3400,0.3268,540500,
13 Sep 2024,0.3300,0.3350,0.3200,0.3300,0.3172,989800,
6 Sep 2024,0.3350,0.3400,0.3250,0.3300,0.3172,900600,
30 Aug 2024,0.3300,0.3400,0.3200,0.3300,0.3172,566200,
23 Aug 2024,0.3450,0.3500,0.3250,0.3250,0.3124,1153100,
16 Aug 2024,0.3550,0.3600,0.3450,0.3450,0.3316,1482400,
