Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.6100,0.6150,0.6100,0.6150,0.6150,5100,
31 Jul 2026,0.6100,0.6100,0.6100,0.6100,0.6100,0,
24 Jul 2026,0.6100,0.6250,0.6100,0.6100,0.6100,300,
17 Jul 2026,0.6400,0.6400,0.6100,0.6100,0.6100,25900,
10 Jul 2026,0.6100,0.6400,0.6100,0.6400,0.6400,1800,
3 Jul 2026,0.6100,0.6100,0.6100,0.6100,0.6100,1000,
26 Jun 2026,0.6250,0.6350,0.6100,0.6100,0.6100,20200,
19 Jun 2026,0.6250,0.6300,0.6050,0.6250,0.6250,1400,
12 Jun 2026,0.6300,0.6350,0.6050,0.6250,0.6250,5600,
5 Jun 2026,0.6150,0.6300,0.6150,0.6300,0.6300,34000,
29 May 2026,0.6150,0.6150,0.6150,0.6150,0.6150,2200,
22 May 2026,0.6100,0.6300,0.6100,0.6300,0.6300,26900,
15 May 2026,0.6200,0.6700,0.5950,0.6100,0.6100,56900,
8 May 2026,0.6250,0.6450,0.6000,0.6200,0.6200,40800,
8 May 2026,,,,,,,0.0200 Dividend
1 May 2026,0.6150,0.6250,0.6050,0.6250,0.6052,16000,
24 Apr 2026,0.5900,0.6150,0.5900,0.6150,0.5955,14300,
17 Apr 2026,0.6150,0.6150,0.5800,0.6150,0.5955,12600,
10 Apr 2026,0.5800,0.6150,0.5750,0.6150,0.5955,1100,
3 Apr 2026,0.6150,0.6200,0.5800,0.5800,0.5616,49600,
27 Mar 2026,0.5750,0.6200,0.5750,0.6200,0.6003,200,
20 Mar 2026,0.6350,0.6350,0.5750,0.5750,0.5567,78300,
13 Mar 2026,0.6350,0.6350,0.6350,0.6350,0.6148,221400,
6 Mar 2026,0.6400,0.6400,0.5800,0.5950,0.5761,32400,
27 Feb 2026,0.5800,0.6750,0.5800,0.6400,0.6197,97700,
20 Feb 2026,0.5600,0.5750,0.5600,0.5750,0.5567,23300,
13 Feb 2026,0.5700,0.5750,0.5600,0.5600,0.5422,26000,
6 Feb 2026,0.5700,0.5750,0.5700,0.5700,0.5519,26000,
30 Jan 2026,0.5900,0.5900,0.5550,0.5750,0.5567,17900,
23 Jan 2026,0.5550,0.5900,0.5450,0.5900,0.5713,15700,
16 Jan 2026,0.5800,0.5800,0.5450,0.5550,0.5374,25000,
9 Jan 2026,0.5400,0.5800,0.5350,0.5800,0.5616,27300,
2 Jan 2026,0.5400,0.5400,0.5400,0.5400,0.5229,6800,
26 Dec 2025,0.5450,0.5450,0.5400,0.5400,0.5229,7800,
19 Dec 2025,0.5400,0.5450,0.5400,0.5450,0.5277,19500,
12 Dec 2025,0.5400,0.5500,0.5400,0.5400,0.5229,43800,
5 Dec 2025,0.5400,0.5550,0.5400,0.5500,0.5325,12300,
28 Nov 2025,0.5450,0.5550,0.5400,0.5400,0.5229,42100,
21 Nov 2025,0.5500,0.5550,0.5450,0.5550,0.5374,21000,
14 Nov 2025,0.5550,0.5650,0.5450,0.5500,0.5325,30000,
7 Nov 2025,0.5250,0.5550,0.5050,0.5500,0.5325,63100,
31 Oct 2025,0.5200,0.5250,0.5200,0.5250,0.5083,5900,
24 Oct 2025,0.5300,0.5300,0.5200,0.5200,0.5035,1400,
17 Oct 2025,0.5200,0.5200,0.5200,0.5200,0.5035,59600,
10 Oct 2025,0.5300,0.5300,0.5200,0.5200,0.5035,17400,
3 Oct 2025,0.5200,0.5200,0.5200,0.5200,0.5035,900,
26 Sep 2025,0.5200,0.5200,0.5200,0.5200,0.5035,12200,
19 Sep 2025,0.5150,0.5200,0.5150,0.5200,0.5035,3600,
12 Sep 2025,0.5100,0.5200,0.5100,0.5200,0.5035,7700,
