Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.7950,0.8050,0.7850,0.7900,0.7900,4236000,
31 Jul 2026,0.7800,0.8050,0.7800,0.7950,0.7950,9061600,
24 Jul 2026,0.7700,0.7900,0.7650,0.7800,0.7800,9795700,
17 Jul 2026,0.7750,0.7850,0.7650,0.7700,0.7700,7645300,
10 Jul 2026,0.7700,0.7750,0.7600,0.7750,0.7750,9299800,
3 Jul 2026,0.7750,0.7800,0.7650,0.7650,0.7650,10385500,
26 Jun 2026,0.7850,0.7900,0.7750,0.7750,0.7750,4765900,
19 Jun 2026,0.7750,0.7950,0.7700,0.7850,0.7850,5819100,
12 Jun 2026,0.7650,0.7800,0.7650,0.7700,0.7700,4717400,
5 Jun 2026,0.7700,0.7800,0.7600,0.7750,0.7750,7569600,
29 May 2026,0.7750,0.7800,0.7650,0.7700,0.7700,4121000,
22 May 2026,0.7800,0.7850,0.7650,0.7700,0.7700,7864500,
15 May 2026,0.8000,0.8000,0.7800,0.7800,0.7800,4759900,
8 May 2026,0.8100,0.8100,0.7950,0.8000,0.8000,6391600,
1 May 2026,0.8200,0.8200,0.7850,0.8100,0.8100,8063000,
24 Apr 2026,0.8300,0.8350,0.8100,0.8200,0.8200,3864000,
17 Apr 2026,0.8250,0.8400,0.8200,0.8350,0.8350,6203700,
10 Apr 2026,0.8100,0.8350,0.8100,0.8300,0.8300,5572200,
3 Apr 2026,0.8150,0.8250,0.8000,0.8150,0.8150,6427400,
27 Mar 2026,0.8050,0.8150,0.7800,0.8150,0.8150,8349500,
20 Mar 2026,0.8000,0.8250,0.7950,0.8050,0.8050,8703200,
13 Mar 2026,0.8150,0.8250,0.7950,0.8100,0.8100,6965300,
6 Mar 2026,0.8500,0.8500,0.8100,0.8250,0.8250,8444400,
27 Feb 2026,0.8700,0.8800,0.8600,0.8600,0.8600,5699400,
20 Feb 2026,0.8600,0.8750,0.8600,0.8700,0.8700,2844800,
13 Feb 2026,0.8600,0.8700,0.8500,0.8650,0.8650,4788100,
6 Feb 2026,0.8650,0.8850,0.8450,0.8600,0.8600,8872200,
6 Feb 2026,,,,,,,0.0282 Dividend
30 Jan 2026,0.8400,0.8700,0.8400,0.8650,0.8374,10096200,
23 Jan 2026,0.8500,0.8600,0.8400,0.8550,0.8278,4139400,
16 Jan 2026,0.8400,0.8650,0.8400,0.8550,0.8278,9976300,
9 Jan 2026,0.8250,0.8400,0.8250,0.8400,0.8132,4251900,
2 Jan 2026,0.8200,0.8350,0.8200,0.8350,0.8084,3095200,
26 Dec 2025,0.8150,0.8250,0.8150,0.8200,0.7939,2987600,
19 Dec 2025,0.8300,0.8400,0.8100,0.8100,0.7842,12782400,
12 Dec 2025,0.8350,0.8400,0.8250,0.8350,0.8084,5637000,
5 Dec 2025,0.8350,0.8450,0.8300,0.8400,0.8132,6097100,
28 Nov 2025,0.8200,0.8350,0.8200,0.8350,0.8084,4143400,
21 Nov 2025,0.8300,0.8350,0.8100,0.8200,0.7939,6064900,
14 Nov 2025,0.8200,0.8400,0.8200,0.8300,0.8036,8541800,
7 Nov 2025,0.8300,0.8350,0.8100,0.8200,0.7939,9244800,
31 Oct 2025,0.8250,0.8400,0.8200,0.8250,0.7987,6342600,
24 Oct 2025,0.8150,0.8250,0.8050,0.8250,0.7987,2996800,
17 Oct 2025,0.8150,0.8250,0.8050,0.8150,0.7890,6245100,
10 Oct 2025,0.8250,0.8300,0.8200,0.8200,0.7939,5041400,
3 Oct 2025,0.8100,0.8250,0.8050,0.8250,0.7987,7083600,
26 Sep 2025,0.8050,0.8150,0.8050,0.8050,0.7793,5671100,
19 Sep 2025,0.8250,0.8300,0.8050,0.8050,0.7793,10452149,
12 Sep 2025,0.8100,0.8300,0.8050,0.8250,0.7987,6436300,
5 Sep 2025,0.8000,0.8200,0.7950,0.8100,0.7842,7371200,
29 Aug 2025,0.7950,0.8150,0.7950,0.7950,0.7697,9397600,
22 Aug 2025,0.7850,0.7900,0.7800,0.7850,0.7600,4783600,
