Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0490,0.0490,0.0490,0.0490,0.0490,0,
31 Jul 2026,0.0450,0.0490,0.0450,0.0490,0.0490,170000,
24 Jul 2026,0.0480,0.0480,0.0450,0.0450,0.0450,147000,
17 Jul 2026,0.0450,0.0670,0.0450,0.0480,0.0480,270600,
10 Jul 2026,0.0570,0.0570,0.0570,0.0570,0.0570,0,
3 Jul 2026,0.0450,0.0570,0.0450,0.0570,0.0570,170200,
26 Jun 2026,0.0330,0.0530,0.0320,0.0410,0.0410,160300,
19 Jun 2026,0.0600,0.0600,0.0600,0.0600,0.0600,0,
12 Jun 2026,0.0360,0.0600,0.0360,0.0600,0.0600,18500,
5 Jun 2026,0.0510,0.0510,0.0510,0.0510,0.0510,0,
29 May 2026,0.0510,0.0510,0.0510,0.0510,0.0510,12100,
22 May 2026,0.0630,0.0630,0.0510,0.0510,0.0510,139800,
15 May 2026,0.0500,0.0690,0.0500,0.0630,0.0630,2979400,
8 May 2026,0.0530,0.0540,0.0520,0.0520,0.0520,903400,
1 May 2026,0.0510,0.0530,0.0500,0.0520,0.0520,433200,
24 Apr 2026,0.0530,0.0590,0.0450,0.0510,0.0510,853700,
17 Apr 2026,0.0520,0.0530,0.0450,0.0530,0.0530,58700,
10 Apr 2026,0.0500,0.0590,0.0440,0.0520,0.0520,111600,
3 Apr 2026,0.0520,0.0520,0.0500,0.0500,0.0500,10800,
27 Mar 2026,0.0570,0.0570,0.0400,0.0540,0.0540,17400,
20 Mar 2026,0.0570,0.0570,0.0570,0.0570,0.0570,200,
13 Mar 2026,0.0570,0.0570,0.0570,0.0570,0.0570,100,
6 Mar 2026,0.0600,0.0600,0.0390,0.0570,0.0570,151400,
27 Feb 2026,0.0530,0.0600,0.0490,0.0600,0.0600,24100,
20 Feb 2026,0.0600,0.0600,0.0500,0.0530,0.0530,128600,
13 Feb 2026,0.0590,0.0600,0.0380,0.0600,0.0600,24200,
6 Feb 2026,0.0590,0.0600,0.0590,0.0590,0.0590,180100,
30 Jan 2026,0.0590,0.0590,0.0590,0.0590,0.0590,0,
23 Jan 2026,0.0550,0.0590,0.0550,0.0590,0.0590,74100,
16 Jan 2026,0.0600,0.0600,0.0500,0.0550,0.0550,104200,
9 Jan 2026,0.0600,0.0610,0.0430,0.0600,0.0600,120500,
2 Jan 2026,0.0620,0.0620,0.0430,0.0620,0.0620,53700,
26 Dec 2025,0.0610,0.0610,0.0610,0.0610,0.0610,0,
19 Dec 2025,0.0610,0.0610,0.0610,0.0610,0.0610,0,
12 Dec 2025,0.0620,0.0620,0.0360,0.0610,0.0610,3900,
5 Dec 2025,0.0620,0.0620,0.0320,0.0620,0.0620,200100,
28 Nov 2025,0.0570,0.0870,0.0540,0.0620,0.0620,336500,
21 Nov 2025,0.0630,0.0630,0.0450,0.0590,0.0590,52300,
14 Nov 2025,0.0630,0.0630,0.0460,0.0630,0.0630,48000,
7 Nov 2025,0.0570,0.0680,0.0420,0.0630,0.0630,53600,
31 Oct 2025,0.0550,0.0600,0.0550,0.0580,0.0580,95100,
24 Oct 2025,0.0690,0.0690,0.0480,0.0600,0.0600,200,
17 Oct 2025,0.0660,0.0830,0.0660,0.0690,0.0690,200,
10 Oct 2025,0.0600,0.0660,0.0600,0.0660,0.0660,1100,
3 Oct 2025,0.0400,0.0660,0.0400,0.0600,0.0600,160000,
26 Sep 2025,0.0660,0.0660,0.0660,0.0660,0.0660,0,
19 Sep 2025,0.0660,0.0660,0.0660,0.0660,0.0660,100,
12 Sep 2025,0.0550,0.0670,0.0550,0.0660,0.0660,180200,
5 Sep 2025,0.0520,0.0550,0.0520,0.0530,0.0530,195300,
29 Aug 2025,0.0520,0.0520,0.0520,0.0520,0.0520,100,
22 Aug 2025,0.0550,0.0660,0.0510,0.0510,0.0510,12100,
15 Aug 2025,0.0560,0.0600,0.0550,0.0550,0.0550,166000,
8 Aug 2025,0.0520,0.0600,0.0510,0.0560,0.0560,242400,
1 Aug 2025,0.0700,0.0700,0.0700,0.0700,0.0700,5600,
25 Jul 2025,0.0570,0.0700,0.0540,0.0700,0.0700,493500,
18 Jul 2025,0.0560,0.0690,0.0560,0.0590,0.0590,342000,
11 Jul 2025,0.0610,0.0650,0.0560,0.0560,0.0560,60400,
4 Jul 2025,0.0610,0.0610,0.0610,0.0610,0.0610,0,
27 Jun 2025,0.0600,0.0610,0.0600,0.0610,0.0610,10500,
20 Jun 2025,0.0550,0.0780,0.0530,0.0600,0.0600,232700,
13 Jun 2025,0.0790,0.0790,0.0510,0.0520,0.0520,2400,
6 Jun 2025,0.0790,0.0790,0.0790,0.0790,0.0790,0,
30 May 2025,0.0500,0.0790,0.0500,0.0790,0.0790,13000,
23 May 2025,0.0800,0.0800,0.0800,0.0800,0.0800,0,
16 May 2025,0.0800,0.0800,0.0800,0.0800,0.0800,0,
9 May 2025,0.0800,0.0800,0.0800,0.0800,0.0800,0,
2 May 2025,0.0800,0.0800,0.0800,0.0800,0.0800,0,
25 Apr 2025,0.0800,0.0800,0.0800,0.0800,0.0800,0,
18 Apr 2025,0.0800,0.0800,0.0800,0.0800,0.0800,0,
11 Apr 2025,0.0850,0.0850,0.0330,0.0800,0.0800,10300,
4 Apr 2025,0.0720,0.0720,0.0720,0.0720,0.0720,0,
28 Mar 2025,0.0720,0.0720,0.0720,0.0720,0.0720,0,
21 Mar 2025,0.0600,0.0720,0.0600,0.0720,0.0720,400,
14 Mar 2025,0.0660,0.0660,0.0600,0.0600,0.0600,85000,
7 Mar 2025,0.0650,0.0660,0.0640,0.0660,0.0660,113900,
28 Feb 2025,0.0650,0.0720,0.0650,0.0720,0.0720,100,
21 Feb 2025,0.0710,0.0720,0.0650,0.0650,0.0650,101400,
14 Feb 2025,0.0630,0.0850,0.0630,0.0710,0.0710,50800,
7 Feb 2025,0.0720,0.0730,0.0690,0.0710,0.0710,75400,
31 Jan 2025,0.0740,0.0740,0.0720,0.0720,0.0720,300,
24 Jan 2025,0.0670,0.0750,0.0670,0.0750,0.0750,100,
17 Jan 2025,0.0590,0.0680,0.0590,0.0670,0.0670,110800,
10 Jan 2025,0.0650,0.0680,0.0620,0.0620,0.0620,332100,
3 Jan 2025,0.0750,0.0750,0.0620,0.0680,0.0680,50900,
27 Dec 2024,0.0610,0.0700,0.0610,0.0700,0.0700,100,
20 Dec 2024,0.0680,0.0680,0.0610,0.0610,0.0610,59900,
13 Dec 2024,0.0650,0.0650,0.0650,0.0650,0.0650,0,
6 Dec 2024,0.0660,0.0660,0.0630,0.0650,0.0650,123400,
29 Nov 2024,0.0590,0.0660,0.0590,0.0660,0.0660,10000,
22 Nov 2024,0.0750,0.0750,0.0590,0.0590,0.0590,24200,
15 Nov 2024,0.0590,0.0790,0.0590,0.0750,0.0750,1600,
8 Nov 2024,0.0650,0.0750,0.0600,0.0700,0.0700,148700,
1 Nov 2024,0.0650,0.0650,0.0650,0.0650,0.0650,0,
25 Oct 2024,0.0800,0.0800,0.0600,0.0650,0.0650,140800,
18 Oct 2024,0.0700,0.0840,0.0700,0.0800,0.0800,500,
11 Oct 2024,0.0700,0.0780,0.0700,0.0700,0.0700,65700,
4 Oct 2024,0.0760,0.0760,0.0720,0.0720,0.0720,23700,
27 Sep 2024,0.0710,0.0780,0.0640,0.0760,0.0760,12100,
20 Sep 2024,0.0680,0.0750,0.0650,0.0710,0.0710,148000,
13 Sep 2024,0.0790,0.0790,0.0570,0.0680,0.0680,60200,
6 Sep 2024,0.0680,0.0790,0.0680,0.0790,0.0790,106000,
30 Aug 2024,0.0790,0.0790,0.0790,0.0790,0.0790,0,
23 Aug 2024,0.0790,0.0790,0.0790,0.0790,0.0790,0,
16 Aug 2024,0.0690,0.0790,0.0690,0.0790,0.0790,6700,
9 Aug 2024,0.0750,0.0800,0.0660,0.0660,0.0660,300400,
2 Aug 2024,0.0800,0.0800,0.0700,0.0750,0.0750,19400,
26 Jul 2024,0.0740,0.0800,0.0740,0.0790,0.0790,170100,
19 Jul 2024,0.0780,0.0780,0.0750,0.0750,0.0750,57400,
12 Jul 2024,0.0750,0.0780,0.0690,0.0780,0.0780,55300,
5 Jul 2024,0.0780,0.0780,0.0750,0.0750,0.0750,82800,
28 Jun 2024,0.0760,0.0790,0.0760,0.0780,0.0780,27300,
21 Jun 2024,0.0780,0.0810,0.0760,0.0760,0.0760,314500,
14 Jun 2024,0.0820,0.0820,0.0760,0.0790,0.0790,452100,
7 Jun 2024,0.0790,0.0820,0.0770,0.0820,0.0820,207500,
31 May 2024,0.0790,0.0810,0.0770,0.0790,0.0790,1226600,
24 May 2024,0.0790,0.0840,0.0790,0.0810,0.0810,2721700,
17 May 2024,0.0760,0.0820,0.0750,0.0800,0.0800,1320100,
10 May 2024,0.0790,0.0820,0.0760,0.0810,0.0810,912600,
3 May 2024,0.0760,0.0790,0.0760,0.0790,0.0790,552300,
26 Apr 2024,0.0760,0.0840,0.0740,0.0780,0.0780,734500,
19 Apr 2024,0.0810,0.0840,0.0740,0.0760,0.0760,1802800,
12 Apr 2024,0.0840,0.0930,0.0830,0.0850,0.0850,6333500,
5 Apr 2024,0.0840,0.0840,0.0800,0.0830,0.0830,639100,
29 Mar 2024,0.0800,0.0850,0.0780,0.0850,0.0850,470000,
22 Mar 2024,0.0810,0.0840,0.0730,0.0800,0.0800,1251900,
15 Mar 2024,0.0840,0.0860,0.0800,0.0840,0.0840,924000,
8 Mar 2024,0.0860,0.0860,0.0830,0.0840,0.0840,1419400,
1 Mar 2024,0.0830,0.0860,0.0830,0.0860,0.0860,754700,
23 Feb 2024,0.0850,0.0870,0.0820,0.0850,0.0850,1436900,
16 Feb 2024,0.0860,0.0880,0.0820,0.0850,0.0850,635700,
9 Feb 2024,0.0840,0.0860,0.0820,0.0850,0.0850,1003000,
2 Feb 2024,0.0870,0.0870,0.0820,0.0850,0.0850,1876900,
26 Jan 2024,0.0850,0.0870,0.0820,0.0860,0.0860,1404100,
19 Jan 2024,0.0860,0.0960,0.0830,0.0840,0.0840,2865200,
12 Jan 2024,0.0840,0.0910,0.0820,0.0880,0.0880,2132500,
5 Jan 2024,0.0850,0.0890,0.0830,0.0870,0.0870,1623700,
29 Dec 2023,0.0860,0.0880,0.0830,0.0850,0.0850,2476400,
22 Dec 2023,0.0860,0.1030,0.0800,0.0860,0.0860,6359500,
15 Dec 2023,0.0820,0.0900,0.0800,0.0850,0.0850,634300,
8 Dec 2023,0.0890,0.0890,0.0860,0.0870,0.0870,25000,
1 Dec 2023,0.0840,0.0890,0.0840,0.0890,0.0890,100200,
24 Nov 2023,0.0810,0.0840,0.0780,0.0840,0.0840,398600,
17 Nov 2023,0.0830,0.0840,0.0810,0.0810,0.0810,353600,
10 Nov 2023,0.0840,0.0890,0.0800,0.0830,0.0830,1316900,
3 Nov 2023,0.0860,0.0940,0.0820,0.0850,0.0850,1736300,
2 Nov 2023,,,,,,,0.0074 Dividend
27 Oct 2023,0.0820,0.0900,0.0820,0.0880,0.0806,844300,
20 Oct 2023,0.0950,0.0950,0.0870,0.0880,0.0806,2637800,
13 Oct 2023,0.0910,0.0960,0.0820,0.0940,0.0860,8646400,
6 Oct 2023,0.0910,0.1070,0.0910,0.0940,0.0860,11445300,
29 Sep 2023,0.0890,0.0910,0.0870,0.0910,0.0833,694000,
22 Sep 2023,0.0840,0.0900,0.0820,0.0890,0.0815,713300,
15 Sep 2023,0.0910,0.0910,0.0810,0.0840,0.0769,912100,
8 Sep 2023,0.0920,0.0920,0.0700,0.0900,0.0824,750800,
1 Sep 2023,0.0920,0.0930,0.0880,0.0880,0.0806,229400,
25 Aug 2023,0.0900,0.0920,0.0890,0.0920,0.0842,762900,
18 Aug 2023,0.0910,0.0910,0.0810,0.0900,0.0824,970300,
11 Aug 2023,0.0890,0.0920,0.0890,0.0920,0.0842,785400,
4 Aug 2023,0.0940,0.0940,0.0890,0.0940,0.0860,986000,
28 Jul 2023,0.0920,0.0930,0.0900,0.0900,0.0824,1139600,
21 Jul 2023,0.0950,0.0960,0.0930,0.0940,0.0860,1625500,
14 Jul 2023,0.0920,0.0960,0.0920,0.0930,0.0851,1130800,
7 Jul 2023,0.0910,0.0950,0.0910,0.0920,0.0842,1034300,
30 Jun 2023,0.0890,0.0990,0.0890,0.0990,0.0906,911900,
23 Jun 2023,0.0910,0.0980,0.0900,0.0910,0.0833,1533100,
16 Jun 2023,0.0920,0.0970,0.0920,0.0960,0.0879,1975100,
9 Jun 2023,0.0990,0.1020,0.0930,0.0940,0.0860,4372100,
2 Jun 2023,0.1020,0.1030,0.0990,0.0990,0.0906,3377200,
