Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.2400,1.2900,1.2300,1.2900,1.2900,4076600,
31 Jul 2026,1.3000,1.3100,1.1900,1.2400,1.2400,12985800,
24 Jul 2026,1.1700,1.3300,1.1700,1.2800,1.2800,15154900,
17 Jul 2026,1.2300,1.2400,1.1500,1.1600,1.1600,8318600,
10 Jul 2026,1.2400,1.2800,1.1300,1.2200,1.2200,13764800,
3 Jul 2026,1.1100,1.2300,1.0900,1.2100,1.2100,13457600,
26 Jun 2026,1.1800,1.2100,1.0800,1.1100,1.1100,8060400,
19 Jun 2026,1.2200,1.3300,1.1500,1.1700,1.1700,16175800,
12 Jun 2026,1.1400,1.1900,1.0500,1.1700,1.1700,15574300,
5 Jun 2026,1.2400,1.2800,1.1600,1.1800,1.1800,11208000,
29 May 2026,1.3100,1.3300,1.1900,1.2200,1.2200,10471700,
22 May 2026,1.3000,1.3500,1.2700,1.2900,1.2900,11278700,
15 May 2026,1.4100,1.5100,1.3100,1.3200,1.3200,24112700,
13 May 2026,,,,,,,0.0350 Dividend
8 May 2026,1.3600,1.4600,1.3200,1.4100,1.3773,22842100,
1 May 2026,1.3500,1.3700,1.2900,1.3500,1.3187,11910000,
24 Apr 2026,1.4500,1.4700,1.3300,1.3400,1.3089,15282600,
17 Apr 2026,1.4200,1.5300,1.4200,1.4500,1.4164,15977700,
10 Apr 2026,1.4400,1.5400,1.3900,1.4500,1.4164,28726300,
3 Apr 2026,1.3600,1.5800,1.3600,1.4400,1.4066,29699400,
27 Mar 2026,1.4400,1.5500,1.2900,1.3800,1.3480,43698700,
20 Mar 2026,1.6900,1.7700,1.4900,1.5200,1.4848,42057000,
13 Mar 2026,1.8400,1.8800,1.7000,1.7100,1.6704,29463300,
6 Mar 2026,1.8500,2.1200,1.8400,1.8900,1.8462,60228300,
27 Feb 2026,1.4500,1.8200,1.4500,1.7300,1.6899,57725000,
20 Feb 2026,1.3000,1.4600,1.2900,1.4100,1.3773,17769000,
13 Feb 2026,1.3000,1.3500,1.2800,1.2900,1.2601,22187900,
6 Feb 2026,1.3100,1.3600,1.2200,1.2700,1.2406,42578100,
30 Jan 2026,1.3000,1.5700,1.3000,1.4300,1.3969,61615100,
23 Jan 2026,1.2100,1.3400,1.1700,1.2600,1.2308,44410100,
16 Jan 2026,1.0500,1.2500,1.0500,1.1600,1.1331,45113600,
9 Jan 2026,1.0500,1.0600,1.0000,1.0200,0.9964,17205900,
2 Jan 2026,1.0800,1.0900,1.0200,1.0300,1.0061,13048500,
26 Dec 2025,1.0400,1.1600,1.0100,1.0900,1.0647,27145700,
19 Dec 2025,1.0300,1.1200,1.0300,1.0900,1.0647,21976300,
12 Dec 2025,1.0200,1.0400,0.9750,1.0300,1.0061,24608800,
