Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.6600,0.6650,0.6500,0.6600,0.6600,3836200,
31 Jul 2026,0.6550,0.6700,0.6450,0.6600,0.6600,10138800,
24 Jul 2026,0.6500,0.6600,0.6450,0.6550,0.6550,7475000,
17 Jul 2026,0.6450,0.6600,0.6450,0.6550,0.6550,6813900,
10 Jul 2026,0.6500,0.6600,0.6450,0.6500,0.6500,7749600,
3 Jul 2026,0.6350,0.6600,0.6350,0.6500,0.6500,9022100,
26 Jun 2026,0.6350,0.6500,0.6300,0.6350,0.6350,7899500,
19 Jun 2026,0.6550,0.6600,0.6300,0.6350,0.6350,20978200,
12 Jun 2026,0.6450,0.6600,0.6400,0.6500,0.6500,10927600,
5 Jun 2026,0.6450,0.6550,0.6400,0.6450,0.6450,6821000,
29 May 2026,0.6550,0.6600,0.6400,0.6450,0.6450,10031900,
22 May 2026,0.6600,0.6650,0.6450,0.6550,0.6550,10208400,
15 May 2026,0.6750,0.6800,0.6550,0.6600,0.6600,7443800,
8 May 2026,0.6700,0.6800,0.6600,0.6750,0.6750,6108200,
1 May 2026,0.6850,0.6850,0.6650,0.6650,0.6650,6771300,
24 Apr 2026,0.6850,0.6950,0.6750,0.6850,0.6850,4929100,
17 Apr 2026,0.6650,0.6900,0.6600,0.6850,0.6850,7513500,
10 Apr 2026,0.6450,0.6750,0.6450,0.6650,0.6650,9143000,
3 Apr 2026,0.6500,0.6600,0.6400,0.6450,0.6450,7752600,
27 Mar 2026,0.6400,0.6550,0.6200,0.6500,0.6500,10719800,
20 Mar 2026,0.6500,0.6700,0.6400,0.6450,0.6450,12693300,
13 Mar 2026,0.6750,0.6750,0.6400,0.6500,0.6500,13940700,
6 Mar 2026,0.6850,0.6850,0.6600,0.6750,0.6750,16897300,
27 Feb 2026,0.7250,0.7300,0.6800,0.6850,0.6850,18260500,
20 Feb 2026,0.7200,0.7250,0.7050,0.7200,0.7200,6860300,
13 Feb 2026,0.7650,0.7750,0.7150,0.7150,0.7150,17871400,
