Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.0600,1.0700,1.0500,1.0700,1.0700,5502200,
31 Jul 2026,1.0200,1.0700,1.0100,1.0600,1.0600,22053000,
24 Jul 2026,1.0200,1.0300,1.0000,1.0200,1.0200,14964800,
17 Jul 2026,1.0300,1.0600,1.0200,1.0200,1.0200,32518600,
10 Jul 2026,1.0300,1.0400,1.0200,1.0300,1.0300,12385000,
3 Jul 2026,1.0400,1.0400,1.0200,1.0300,1.0300,10468200,
26 Jun 2026,1.0400,1.0500,1.0100,1.0400,1.0400,18001100,
19 Jun 2026,1.0100,1.0500,1.0000,1.0400,1.0400,29865400,
12 Jun 2026,1.0000,1.0100,0.9800,1.0100,1.0100,19272800,
5 Jun 2026,1.0200,1.0200,1.0000,1.0100,1.0100,11699400,
29 May 2026,1.0200,1.0400,1.0100,1.0100,1.0100,17064310,
22 May 2026,1.0300,1.0300,1.0100,1.0200,1.0200,16697000,
15 May 2026,1.0400,1.0500,1.0200,1.0300,1.0300,11999600,
8 May 2026,1.0500,1.0600,1.0200,1.0400,1.0400,21034400,
1 May 2026,1.0400,1.0600,1.0300,1.0500,1.0500,11942900,
24 Apr 2026,1.0500,1.0600,1.0200,1.0400,1.0400,21282000,
17 Apr 2026,1.0100,1.0700,1.0000,1.0500,1.0500,40193100,
10 Apr 2026,1.0200,1.0500,1.0000,1.0200,1.0200,46842400,
3 Apr 2026,1.0400,1.0500,1.0100,1.0200,1.0200,26194000,
27 Mar 2026,1.0700,1.0800,1.0200,1.0600,1.0600,27183900,
20 Mar 2026,1.0400,1.0900,1.0300,1.0800,1.0800,42970900,
13 Mar 2026,1.0600,1.0700,1.0000,1.0300,1.0300,68267500,
6 Mar 2026,1.2000,1.2000,1.0300,1.0900,1.0900,77652700,
3 Mar 2026,,,,,,,0.0144 Dividend
27 Feb 2026,1.2700,1.2800,1.2000,1.2100,1.1948,31839600,
20 Feb 2026,1.2800,1.2800,1.2600,1.2600,1.2442,4412900,
13 Feb 2026,1.3000,1.3200,1.2600,1.2900,1.2738,11804500,
12 Feb 2026,,,,,,,0.0390 Dividend
6 Feb 2026,1.2500,1.3100,1.2500,1.2900,1.2353,14216500,
30 Jan 2026,1.2700,1.2800,1.2300,1.2400,1.1875,10976200,
23 Jan 2026,1.2400,1.2800,1.2200,1.2700,1.2162,13919200,
16 Jan 2026,1.2100,1.2400,1.2100,1.2300,1.1779,6448500,
9 Jan 2026,1.2300,1.2400,1.2100,1.2200,1.1683,8060800,
2 Jan 2026,1.2200,1.2400,1.2100,1.2300,1.1779,5646900,
26 Dec 2025,1.2400,1.2400,1.2100,1.2200,1.1683,6087500,
19 Dec 2025,1.2100,1.2600,1.1900,1.2200,1.1683,16235088,
12 Dec 2025,1.1900,1.2100,1.1900,1.2000,1.1491,5149900,
5 Dec 2025,1.1800,1.2000,1.1400,1.1900,1.1396,15839400,
28 Nov 2025,1.1800,1.2100,1.1800,1.1900,1.1396,13763800,
21 Nov 2025,1.1800,1.2100,1.1700,1.1800,1.1300,14359000,
14 Nov 2025,1.2200,1.2300,1.1800,1.1800,1.1300,9663800,
7 Nov 2025,1.2100,1.2300,1.1700,1.2300,1.1779,13444400,
31 Oct 2025,1.1900,1.2300,1.1800,1.2100,1.1587,13035440,
24 Oct 2025,1.1600,1.1900,1.1600,1.1900,1.1396,4635700,
17 Oct 2025,1.1400,1.1800,1.1400,1.1600,1.1108,10453300,
10 Oct 2025,1.1900,1.1900,1.1600,1.1600,1.1108,8643700,
3 Oct 2025,1.1700,1.2000,1.1600,1.1900,1.1396,13043700,
26 Sep 2025,1.1600,1.1800,1.1500,1.1700,1.1204,7220700,
19 Sep 2025,1.1500,1.1700,1.1400,1.1500,1.1013,10902700,
12 Sep 2025,1.1500,1.1700,1.1300,1.1500,1.1013,10304200,
8 Sep 2025,,,,,,,0.0397 Dividend
5 Sep 2025,1.1800,1.2000,1.1700,1.1900,1.1016,12874760,
29 Aug 2025,1.1700,1.1900,1.1600,1.1800,1.0923,17315000,
22 Aug 2025,1.1800,1.1900,1.1500,1.1700,1.0830,11725700,
15 Aug 2025,1.1400,1.1900,1.1400,1.1800,1.0923,12672500,
8 Aug 2025,1.1500,1.1500,1.1300,1.1400,1.0553,14582500,
1 Aug 2025,1.1600,1.2000,1.1400,1.1500,1.0645,18450100,
25 Jul 2025,1.1400,1.1600,1.1300,1.1600,1.0738,11371800,
18 Jul 2025,1.0800,1.1500,1.0800,1.1400,1.0553,19362700,
11 Jul 2025,1.0800,1.0900,1.0600,1.0800,0.9997,13137900,
4 Jul 2025,1.0600,1.1000,1.0400,1.0900,1.0090,17323000,
27 Jun 2025,1.0100,1.0600,0.9900,1.0500,0.9720,13703000,
20 Jun 2025,1.0100,1.0500,1.0000,1.0100,0.9349,6458500,
13 Jun 2025,1.0000,1.0300,1.0000,1.0100,0.9349,5691200,
6 Jun 2025,0.9900,1.0200,0.9800,1.0100,0.9349,10981000,
30 May 2025,0.9650,0.9900,0.9550,0.9850,0.9118,10767400,
23 May 2025,0.9750,0.9750,0.9550,0.9700,0.8979,6251900,
16 May 2025,0.9800,0.9950,0.9650,0.9750,0.9025,6566400,
9 May 2025,0.9800,0.9850,0.9650,0.9750,0.9025,7051900,
2 May 2025,0.9450,0.9800,0.9350,0.9800,0.9072,8570300,
25 Apr 2025,0.9450,0.9550,0.9300,0.9500,0.8794,7833300,
18 Apr 2025,0.9200,0.9450,0.9000,0.9300,0.8609,6329200,
11 Apr 2025,0.9350,0.9350,0.8200,0.9100,0.8424,28730000,
4 Apr 2025,0.9650,0.9700,0.9400,0.9450,0.8748,13218900,
28 Mar 2025,0.9700,0.9800,0.9550,0.9650,0.8933,15422000,
21 Mar 2025,0.9400,0.9750,0.9400,0.9650,0.8933,20978300,
14 Mar 2025,0.9550,0.9600,0.9350,0.9400,0.8701,28835935,
7 Mar 2025,0.9600,0.9700,0.9550,0.9550,0.8840,18426900,
28 Feb 2025,0.9900,0.9950,0.9600,0.9600,0.8886,19858400,
21 Feb 2025,1.0700,1.0700,0.9850,0.9950,0.9210,19005200,
18 Feb 2025,,,,,,,0.0320 Dividend
14 Feb 2025,1.0400,1.0800,1.0300,1.0600,0.9516,16938200,
7 Feb 2025,1.0100,1.0500,1.0000,1.0400,0.9336,16357500,
31 Jan 2025,1.0500,1.0600,1.0100,1.0200,0.9157,12675100,
24 Jan 2025,1.0500,1.0800,1.0300,1.0400,0.9336,10435100,
17 Jan 2025,1.0800,1.0900,1.0400,1.0400,0.9336,13130800,
10 Jan 2025,1.0800,1.1000,1.0800,1.0800,0.9696,5797100,
3 Jan 2025,1.0800,1.0900,1.0600,1.0800,0.9696,2231200,
27 Dec 2024,1.0600,1.0900,1.0600,1.0800,0.9696,2966900,
20 Dec 2024,1.0700,1.1100,1.0500,1.0600,0.9516,7301300,
13 Dec 2024,1.1300,1.1400,1.0700,1.0700,0.9606,8093500,
6 Dec 2024,1.1000,1.1400,1.0700,1.1400,1.0234,11136400,
29 Nov 2024,1.0600,1.1100,1.0600,1.1000,0.9875,7903400,
22 Nov 2024,1.0900,1.1000,1.0400,1.0600,0.9516,10604200,
15 Nov 2024,1.0500,1.1000,1.0300,1.1000,0.9875,10076200,
8 Nov 2024,1.0800,1.0900,1.0500,1.0500,0.9426,12007900,
1 Nov 2024,1.1100,1.1500,1.0700,1.0800,0.9696,14856629,
25 Oct 2024,1.1400,1.1500,1.0900,1.1200,1.0055,8788700,
18 Oct 2024,1.1400,1.1500,1.1200,1.1400,1.0234,4474600,
11 Oct 2024,1.1400,1.1500,1.1100,1.1400,1.0234,10581100,
4 Oct 2024,1.1400,1.1600,1.1200,1.1500,1.0324,8622000,
27 Sep 2024,1.1500,1.1600,1.1200,1.1400,1.0234,13535300,
20 Sep 2024,1.1400,1.1800,1.1300,1.1500,1.0324,10601000,
13 Sep 2024,1.1200,1.1500,1.1200,1.1400,1.0234,7982100,
6 Sep 2024,1.1300,1.1600,1.1000,1.1400,1.0234,9286400,
30 Aug 2024,1.0900,1.1400,1.0900,1.1300,1.0144,11772600,
23 Aug 2024,1.0700,1.1100,1.0600,1.0900,0.9785,12672500,
19 Aug 2024,,,,,,,0.0364 Dividend
16 Aug 2024,1.0400,1.1200,1.0300,1.1100,0.9638,14850400,
9 Aug 2024,1.1000,1.1000,1.0200,1.0400,0.9030,14180700,
2 Aug 2024,1.0400,1.1000,1.0300,1.1000,0.9551,14219800,
26 Jul 2024,1.0400,1.0500,1.0200,1.0400,0.9030,6106500,
19 Jul 2024,1.0400,1.0500,1.0300,1.0300,0.8943,5565700,
12 Jul 2024,1.0000,1.0500,1.0000,1.0400,0.9030,4949700,
5 Jul 2024,0.9800,1.0500,0.9800,1.0000,0.8683,10465200,
28 Jun 2024,1.0200,1.0200,0.9800,0.9800,0.8509,13273400,
21 Jun 2024,1.0200,1.0500,1.0100,1.0300,0.8943,8892200,
14 Jun 2024,1.0200,1.0300,1.0000,1.0200,0.8857,7895500,
7 Jun 2024,1.0600,1.0800,1.0100,1.0200,0.8857,11240800,
31 May 2024,1.0400,1.0700,1.0300,1.0600,0.9204,13100600,
24 May 2024,1.0700,1.0900,1.0300,1.0500,0.9117,5926900,
17 May 2024,1.0500,1.1000,1.0200,1.0700,0.9291,11739700,
10 May 2024,1.0400,1.0700,1.0000,1.0400,0.9030,18753913,
3 May 2024,0.9950,1.0400,0.9950,1.0300,0.8943,6528400,
26 Apr 2024,0.9850,1.0000,0.9600,0.9900,0.8596,12325700,
19 Apr 2024,1.0300,1.0300,0.9700,0.9850,0.8553,15164400,
12 Apr 2024,1.0300,1.0500,1.0200,1.0300,0.8943,10358900,
5 Apr 2024,1.0500,1.0500,1.0200,1.0300,0.8943,13754300,
29 Mar 2024,1.0500,1.0600,1.0300,1.0500,0.9117,11552800,
22 Mar 2024,1.0400,1.0500,1.0200,1.0300,0.8943,12559100,
15 Mar 2024,1.0200,1.0600,1.0200,1.0400,0.9030,8603600,
8 Mar 2024,1.0500,1.0600,1.0200,1.0200,0.8857,11348700,
1 Mar 2024,1.0600,1.0600,1.0100,1.0400,0.9030,16402300,
23 Feb 2024,1.1200,1.1300,1.0600,1.0600,0.9204,9374200,
19 Feb 2024,,,,,,,0.0309 Dividend
16 Feb 2024,1.1400,1.1500,1.1100,1.1500,0.9717,9055800,
9 Feb 2024,1.0800,1.1400,1.0800,1.1300,0.9548,16721300,
2 Feb 2024,1.0800,1.0900,1.0200,1.0900,0.9210,16226300,
