Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,2.4900,2.5000,2.4600,2.4900,2.4900,35982100,
31 Jul 2026,2.4400,2.5100,2.4200,2.4900,2.4900,144673800,
24 Jul 2026,2.4900,2.4900,2.4300,2.4400,2.4400,128537212,
17 Jul 2026,2.4300,2.4800,2.4000,2.4700,2.4700,136389200,
10 Jul 2026,2.4000,2.4400,2.3800,2.4400,2.4400,96111000,
3 Jul 2026,2.4200,2.4300,2.3400,2.4000,2.4000,115192800,
26 Jun 2026,2.3500,2.4300,2.3100,2.4000,2.4000,165882019,
19 Jun 2026,2.3600,2.3800,2.2900,2.3500,2.3500,191491100,
12 Jun 2026,2.2500,2.3500,2.2300,2.3400,2.3400,162914000,
5 Jun 2026,2.2700,2.3000,2.2400,2.2700,2.2700,112435600,
29 May 2026,2.3100,2.3200,2.2600,2.2700,2.2700,150875358,
22 May 2026,2.2600,2.3200,2.2100,2.2900,2.2900,154268255,
15 May 2026,2.3300,2.3300,2.2400,2.2700,2.2700,158020597,
8 May 2026,2.3800,2.3800,2.2800,2.3200,2.3200,171204706,
1 May 2026,2.4400,2.4500,2.3300,2.3600,2.3600,154304976,
27 Apr 2026,,,,,,,0.0398 Dividend
24 Apr 2026,2.3900,2.5100,2.3700,2.4800,2.4402,154117909,
17 Apr 2026,2.3400,2.4200,2.3400,2.3900,2.3516,136427600,
10 Apr 2026,2.3100,2.3900,2.3000,2.3500,2.3123,107986800,
3 Apr 2026,2.2600,2.3500,2.2600,2.3200,2.2828,112219793,
27 Mar 2026,2.3600,2.3700,2.2500,2.3000,2.2631,162444697,
20 Mar 2026,2.3300,2.4200,2.3200,2.3900,2.3516,111676700,
13 Mar 2026,2.3200,2.3600,2.2900,2.3400,2.3024,139971000,
6 Mar 2026,2.4200,2.5000,2.3600,2.3800,2.3418,153760138,
27 Feb 2026,2.4500,2.5700,2.4300,2.4500,2.4107,184669420,
20 Feb 2026,2.4200,2.4600,2.4000,2.4200,2.3812,60705200,
13 Feb 2026,,,,,,,0.0461 Dividend
13 Feb 2026,2.4700,2.5000,2.4100,2.4200,2.3812,164180100,
6 Feb 2026,2.4000,2.4900,2.3500,2.4500,2.3657,167130200,
30 Jan 2026,2.3600,2.3900,2.3100,2.3900,2.3078,174363400,
23 Jan 2026,2.4100,2.4200,2.3500,2.3600,2.2788,96759600,
16 Jan 2026,2.4200,2.4400,2.3900,2.4100,2.3271,105005984,
9 Jan 2026,2.3800,2.4300,2.3600,2.4100,2.3271,106438500,
2 Jan 2026,2.3600,2.4000,2.3500,2.3800,2.2981,45974720,
26 Dec 2025,2.3500,2.3700,2.3400,2.3600,2.2788,46641300,
19 Dec 2025,2.3100,2.3600,2.3000,2.3400,2.2595,141502851,
12 Dec 2025,2.3200,2.3300,2.2900,2.3300,2.2498,120213900,
5 Dec 2025,2.3500,2.3600,2.3100,2.3300,2.2498,80543200,
28 Nov 2025,2.3500,2.3900,2.3400,2.3500,2.2691,140992188,
21 Nov 2025,2.3200,2.3800,2.3100,2.3300,2.2498,106562900,
14 Nov 2025,2.3200,2.3800,2.3000,2.3200,2.2402,136148400,
7 Nov 2025,2.3700,2.3700,2.2700,2.3200,2.2402,197782700,
31 Oct 2025,2.4000,2.4400,2.3500,2.3700,2.2884,121940138,
24 Oct 2025,2.4000,2.4300,2.3800,2.4000,2.3174,81580200,
17 Oct 2025,2.3200,2.3900,2.3100,2.3800,2.2981,117235800,
10 Oct 2025,2.3600,2.3900,2.3300,2.3400,2.2595,79433419,
3 Oct 2025,2.2700,2.3800,2.2700,2.3500,2.2691,144474830,
26 Sep 2025,2.3200,2.3300,2.2500,2.2600,2.1822,111382783,
19 Sep 2025,2.3300,2.3600,2.2700,2.2900,2.2112,132392400,
12 Sep 2025,2.2800,2.3700,2.2700,2.3400,2.2595,84541300,
5 Sep 2025,2.2800,2.2900,2.2300,2.2600,2.1822,77655779,
29 Aug 2025,2.2700,2.2800,2.2500,2.2800,2.2015,108665657,
22 Aug 2025,2.1900,2.2700,2.1700,2.2500,2.1726,127452580,
15 Aug 2025,2.2600,2.2800,2.1800,2.2000,2.1243,93928500,
12 Aug 2025,,,,,,,0.0697 Dividend
8 Aug 2025,2.2000,2.2700,2.2000,2.2600,2.1152,113297322,
1 Aug 2025,2.2100,2.2400,2.1900,2.1900,2.0497,94042170,
25 Jul 2025,2.2000,2.2500,2.1900,2.2100,2.0684,101278300,
18 Jul 2025,2.2100,2.2400,2.1800,2.2000,2.0591,99884500,
11 Jul 2025,2.2000,2.2200,2.1700,2.2100,2.0684,118281200,
4 Jul 2025,2.1700,2.2500,2.1500,2.2000,2.0591,157189191,
27 Jun 2025,2.1600,2.1900,2.1200,2.1800,2.0403,202980000,
20 Jun 2025,2.1300,2.1900,2.1100,2.1700,2.0310,124020700,
13 Jun 2025,2.1100,2.1400,2.0700,2.1300,1.9936,67750500,
6 Jun 2025,2.1000,2.1100,2.0600,2.1100,1.9748,83668154,
30 May 2025,2.0900,2.1000,2.0500,2.0900,1.9561,178056056,
23 May 2025,2.0600,2.0800,2.0300,2.0700,1.9374,100686900,
16 May 2025,2.1000,2.1200,2.0200,2.0600,1.9280,98795900,
9 May 2025,2.1500,2.1600,2.0200,2.1000,1.9655,116666367,
2 May 2025,2.1500,2.2000,2.1200,2.1500,2.0123,88527900,
25 Apr 2025,2.1100,2.1800,2.0800,2.1400,2.0029,95509900,
18 Apr 2025,2.0600,2.1300,2.0400,2.1200,1.9842,102604200,
11 Apr 2025,2.0900,2.0900,1.9600,2.0400,1.9093,248106500,
4 Apr 2025,2.1000,2.2000,2.0900,2.1400,2.0029,176102500,
28 Mar 2025,2.0900,2.1400,2.0700,2.1000,1.9655,160220959,
21 Mar 2025,2.1400,2.1400,2.0600,2.0800,1.9468,174808000,
14 Mar 2025,2.0100,2.1400,1.9900,2.1300,1.9936,180384251,
7 Mar 2025,1.9600,2.0200,1.9500,2.0100,1.8812,129680000,
28 Feb 2025,1.9400,1.9900,1.9400,1.9700,1.8438,132988900,
21 Feb 2025,1.9700,1.9900,1.9400,1.9500,1.8251,108670300,
14 Feb 2025,1.9800,2.0000,1.9300,1.9700,1.8438,102608200,
12 Feb 2025,,,,,,,0.0329 Dividend
7 Feb 2025,1.9300,1.9900,1.9200,1.9800,1.8225,103495400,
31 Jan 2025,1.9400,1.9700,1.9200,1.9500,1.7949,62839393,
24 Jan 2025,1.9700,1.9900,1.9200,1.9500,1.7949,105546500,
17 Jan 2025,1.9300,2.0000,1.9000,1.9600,1.8041,121922500,
10 Jan 2025,1.9800,2.0000,1.9300,1.9400,1.7857,106877300,
