Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1150,0.1150,0.1150,0.1150,0.1150,0,
31 Jul 2026,0.0960,0.1150,0.0950,0.1150,0.1150,7200,
24 Jul 2026,0.1140,0.1140,0.1140,0.1140,0.1140,0,
17 Jul 2026,0.1070,0.1140,0.0940,0.1140,0.1140,79900,
10 Jul 2026,0.1030,0.1110,0.0880,0.1070,0.1070,44700,
3 Jul 2026,0.1060,0.1060,0.1010,0.1030,0.1030,109800,
26 Jun 2026,0.1060,0.1120,0.1050,0.1060,0.1060,42300,
19 Jun 2026,0.1090,0.1140,0.1060,0.1100,0.1100,18500,
12 Jun 2026,0.1080,0.1140,0.1050,0.1140,0.1140,32300,
5 Jun 2026,0.1200,0.1200,0.1060,0.1080,0.1080,6100,
29 May 2026,0.1200,0.1200,0.1060,0.1200,0.1200,3100,
22 May 2026,0.1200,0.1200,0.1200,0.1200,0.1200,0,
15 May 2026,0.1110,0.1200,0.1070,0.1200,0.1200,341000,
8 May 2026,0.1150,0.1190,0.1090,0.1120,0.1120,523000,
1 May 2026,0.1060,0.1160,0.1060,0.1120,0.1120,51400,
24 Apr 2026,0.1070,0.1150,0.1060,0.1060,0.1060,57000,
17 Apr 2026,0.1080,0.1180,0.1070,0.1070,0.1070,130000,
10 Apr 2026,0.1070,0.1160,0.1070,0.1150,0.1150,197700,
3 Apr 2026,0.1070,0.1160,0.1050,0.1130,0.1130,145600,
27 Mar 2026,0.1080,0.1150,0.1080,0.1100,0.1100,191200,
20 Mar 2026,0.1110,0.1120,0.1080,0.1100,0.1100,64000,
13 Mar 2026,0.1140,0.1140,0.1100,0.1100,0.1100,30500,
6 Mar 2026,0.1080,0.1200,0.1080,0.1200,0.1200,891200,
27 Feb 2026,0.1150,0.1160,0.1080,0.1100,0.1100,295700,
20 Feb 2026,0.1140,0.1140,0.1070,0.1070,0.1070,162000,
13 Feb 2026,0.1320,0.1330,0.1060,0.1120,0.1120,629400,
6 Feb 2026,0.1380,0.1380,0.1120,0.1320,0.1320,59000,
30 Jan 2026,0.1310,0.1400,0.1210,0.1380,0.1380,356100,
30 Jan 2026,,,,,,,0.0050 Dividend
23 Jan 2026,0.1320,0.1330,0.1300,0.1300,0.1250,61600,
16 Jan 2026,0.1430,0.1430,0.1290,0.1320,0.1269,126100,
9 Jan 2026,0.1290,0.1610,0.1050,0.1430,0.1375,196200,
2 Jan 2026,0.1290,0.1350,0.1280,0.1300,0.1250,603700,
26 Dec 2025,0.1270,0.1300,0.1230,0.1250,0.1202,212500,
19 Dec 2025,0.1210,0.1300,0.1200,0.1270,0.1221,189700,
12 Dec 2025,0.1290,0.1370,0.1200,0.1210,0.1163,367000,
5 Dec 2025,0.1370,0.1370,0.1100,0.1290,0.1240,234500,
28 Nov 2025,0.1270,0.1500,0.1270,0.1370,0.1317,724100,
21 Nov 2025,0.1220,0.1300,0.1220,0.1300,0.1250,4100,
14 Nov 2025,0.1220,0.1230,0.1140,0.1220,0.1173,23000,
7 Nov 2025,0.1110,0.1220,0.1110,0.1220,0.1173,33100,
31 Oct 2025,0.1120,0.1220,0.1120,0.1220,0.1173,58200,
24 Oct 2025,0.1180,0.1180,0.1180,0.1180,0.1135,0,
17 Oct 2025,0.1170,0.1220,0.1130,0.1180,0.1135,204600,
10 Oct 2025,0.1170,0.1170,0.1170,0.1170,0.1125,0,
3 Oct 2025,0.1170,0.1170,0.1170,0.1170,0.1125,0,
26 Sep 2025,0.1140,0.1190,0.1140,0.1170,0.1125,138200,
19 Sep 2025,0.1190,0.1220,0.1150,0.1220,0.1173,95700,
12 Sep 2025,0.1180,0.1200,0.1170,0.1190,0.1144,73200,
5 Sep 2025,0.1200,0.1210,0.1170,0.1180,0.1135,38600,
29 Aug 2025,0.1190,0.1210,0.1170,0.1190,0.1144,142400,
22 Aug 2025,0.1150,0.1200,0.1150,0.1170,0.1125,85600,
15 Aug 2025,0.1170,0.1220,0.1170,0.1170,0.1125,192700,
8 Aug 2025,0.1180,0.1190,0.1180,0.1190,0.1144,97800,
1 Aug 2025,0.1210,0.1220,0.1150,0.1220,0.1173,346100,
25 Jul 2025,0.1180,0.1210,0.1170,0.1210,0.1163,196400,
18 Jul 2025,0.1110,0.1210,0.1110,0.1180,0.1135,531400,
11 Jul 2025,0.1100,0.1140,0.1100,0.1110,0.1067,213000,
4 Jul 2025,0.1090,0.1180,0.1090,0.1180,0.1135,197200,
27 Jun 2025,0.1100,0.1100,0.1060,0.1090,0.1048,198100,
20 Jun 2025,0.1150,0.1150,0.1070,0.1100,0.1058,219900,
13 Jun 2025,0.1100,0.1170,0.1090,0.1150,0.1106,509100,
6 Jun 2025,0.1120,0.1150,0.1030,0.1150,0.1106,24100,
30 May 2025,0.1150,0.1150,0.1020,0.1130,0.1087,13100,
23 May 2025,0.1080,0.1270,0.1060,0.1150,0.1106,244500,
16 May 2025,0.1190,0.1190,0.1000,0.1180,0.1135,20600,
9 May 2025,0.1080,0.1190,0.1000,0.1190,0.1144,67100,
2 May 2025,0.1050,0.1140,0.0810,0.1130,0.1087,65000,
25 Apr 2025,0.1050,0.1050,0.1050,0.1050,0.1010,0,
18 Apr 2025,0.1050,0.1050,0.1050,0.1050,0.1010,0,
11 Apr 2025,0.0940,0.1050,0.0940,0.1050,0.1010,117200,
4 Apr 2025,0.1060,0.1080,0.1010,0.1040,0.1000,130800,
28 Mar 2025,0.1040,0.1070,0.1040,0.1060,0.1019,3000,
21 Mar 2025,0.1050,0.1080,0.1040,0.1040,0.1000,63000,
14 Mar 2025,0.1090,0.1090,0.1090,0.1090,0.1048,1000,
7 Mar 2025,0.1170,0.1170,0.1050,0.1050,0.1010,128500,
28 Feb 2025,0.1190,0.1200,0.1070,0.1200,0.1154,552100,
21 Feb 2025,0.1110,0.1110,0.1090,0.1090,0.1048,103000,
14 Feb 2025,0.1090,0.1190,0.1040,0.1140,0.1096,473100,
7 Feb 2025,0.1100,0.1100,0.1040,0.1040,0.1000,498000,
3 Feb 2025,,,,,,,0.0100 Dividend
31 Jan 2025,0.1170,0.1190,0.1150,0.1150,0.1010,81100,
24 Jan 2025,0.1170,0.1190,0.1150,0.1190,0.1045,336300,
17 Jan 2025,0.1190,0.1230,0.1160,0.1170,0.1027,207700,
10 Jan 2025,0.1170,0.1200,0.1170,0.1190,0.1045,494200,
3 Jan 2025,0.1160,0.1170,0.1150,0.1170,0.1027,19900,
27 Dec 2024,0.1150,0.1160,0.1140,0.1160,0.1018,387900,
20 Dec 2024,0.1170,0.1190,0.1150,0.1160,0.1018,101000,
13 Dec 2024,0.1220,0.1220,0.1150,0.1200,0.1054,170400,
6 Dec 2024,0.1220,0.1220,0.1220,0.1220,0.1071,0,
29 Nov 2024,0.1130,0.1250,0.1120,0.1220,0.1071,1164100,
22 Nov 2024,0.1250,0.1250,0.1130,0.1250,0.1097,82000,
15 Nov 2024,0.1240,0.1250,0.1160,0.1250,0.1097,179500,
8 Nov 2024,0.1210,0.1240,0.1060,0.1240,0.1089,20200,
1 Nov 2024,0.1190,0.1210,0.1130,0.1210,0.1062,21100,
25 Oct 2024,0.1130,0.1200,0.1130,0.1190,0.1045,188400,
18 Oct 2024,0.1150,0.1240,0.1150,0.1170,0.1027,219200,
11 Oct 2024,0.1190,0.1260,0.1170,0.1260,0.1106,114700,
4 Oct 2024,0.1190,0.1280,0.1180,0.1260,0.1106,227800,
27 Sep 2024,0.1180,0.1250,0.1040,0.1210,0.1062,661800,
20 Sep 2024,0.1080,0.1280,0.1080,0.1220,0.1071,1952900,
13 Sep 2024,0.1010,0.1090,0.1010,0.1080,0.0948,678300,
6 Sep 2024,0.1010,0.1050,0.1010,0.1010,0.0887,10800,
30 Aug 2024,0.1020,0.1070,0.1020,0.1060,0.0931,86700,
23 Aug 2024,0.0980,0.1060,0.0970,0.0980,0.0860,88700,
16 Aug 2024,0.1050,0.1050,0.0910,0.1030,0.0904,350900,
9 Aug 2024,0.0960,0.1050,0.0940,0.1050,0.0922,1002000,
2 Aug 2024,0.1000,0.1090,0.1000,0.1000,0.0878,295300,
26 Jul 2024,0.1000,0.1190,0.0950,0.0960,0.0843,415400,
19 Jul 2024,0.1040,0.1040,0.0910,0.0930,0.0816,218300,
12 Jul 2024,0.1050,0.1070,0.0710,0.1070,0.0939,740100,
5 Jul 2024,0.0890,0.1120,0.0890,0.1060,0.0931,235200,
28 Jun 2024,0.0890,0.0900,0.0760,0.0890,0.0781,11300,
21 Jun 2024,0.0990,0.0990,0.0760,0.0890,0.0781,84300,
14 Jun 2024,0.0720,0.0990,0.0720,0.0990,0.0869,22100,
7 Jun 2024,0.0770,0.0770,0.0720,0.0720,0.0632,4000,
31 May 2024,0.0770,0.0770,0.0770,0.0770,0.0676,30100,
24 May 2024,0.0770,0.0780,0.0750,0.0770,0.0676,76700,
17 May 2024,0.0710,0.0800,0.0700,0.0770,0.0676,43800,
10 May 2024,0.0700,0.0750,0.0700,0.0710,0.0623,5000,
3 May 2024,0.0750,0.0790,0.0700,0.0700,0.0615,34300,
26 Apr 2024,0.0710,0.0750,0.0710,0.0750,0.0658,10000,
19 Apr 2024,0.0720,0.0720,0.0660,0.0720,0.0632,638900,
12 Apr 2024,0.0720,0.0750,0.0720,0.0720,0.0632,9000,
5 Apr 2024,0.0690,0.0870,0.0690,0.0830,0.0729,92300,
29 Mar 2024,0.0680,0.0770,0.0680,0.0690,0.0606,12200,
22 Mar 2024,0.0780,0.0780,0.0680,0.0680,0.0597,35100,
15 Mar 2024,0.0790,0.0790,0.0650,0.0780,0.0685,101100,
8 Mar 2024,0.0760,0.0760,0.0750,0.0760,0.0667,126500,
1 Mar 2024,0.0730,0.0790,0.0730,0.0790,0.0694,234000,
23 Feb 2024,0.0790,0.0830,0.0730,0.0730,0.0641,239900,
16 Feb 2024,0.0750,0.0760,0.0750,0.0760,0.0667,15000,
9 Feb 2024,0.0780,0.0840,0.0750,0.0750,0.0658,152100,
2 Feb 2024,0.0800,0.0800,0.0780,0.0780,0.0685,1800,
2 Feb 2024,,,,,,,0.0030 Dividend
26 Jan 2024,0.0790,0.0830,0.0700,0.0820,0.0693,76800,
19 Jan 2024,0.0800,0.0800,0.0710,0.0710,0.0600,15100,
12 Jan 2024,0.0750,0.0800,0.0750,0.0800,0.0676,11100,
5 Jan 2024,0.0840,0.0840,0.0750,0.0750,0.0634,46400,
29 Dec 2023,0.0840,0.0840,0.0840,0.0840,0.0710,0,
22 Dec 2023,0.0660,0.0840,0.0660,0.0840,0.0710,3800,
15 Dec 2023,0.0810,0.0830,0.0510,0.0790,0.0668,67200,
8 Dec 2023,0.0830,0.0830,0.0600,0.0810,0.0684,13400,
