Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1030,0.1070,0.1020,0.1050,0.1050,7103200,
31 Jul 2026,0.1070,0.1070,0.0990,0.1020,0.1020,18968000,
24 Jul 2026,0.1040,0.1110,0.1030,0.1070,0.1070,24361200,
17 Jul 2026,0.1060,0.1170,0.0970,0.1040,0.1040,58724300,
10 Jul 2026,0.1090,0.1110,0.1020,0.1070,0.1070,53007700,
3 Jul 2026,0.1100,0.1130,0.1030,0.1090,0.1090,60905800,
26 Jun 2026,0.1470,0.1510,0.1070,0.1120,0.1120,46836900,
19 Jun 2026,0.1610,0.1660,0.1420,0.1460,0.1460,32988700,
12 Jun 2026,0.1780,0.1830,0.1550,0.1630,0.1630,30926900,
5 Jun 2026,0.1650,0.1940,0.1640,0.1860,0.1860,64174400,
29 May 2026,0.1500,0.1800,0.1480,0.1650,0.1650,32514300,
22 May 2026,0.1570,0.1580,0.1390,0.1470,0.1470,21399000,
15 May 2026,0.1330,0.1610,0.1330,0.1550,0.1550,73239900,
8 May 2026,0.1030,0.1300,0.1000,0.1300,0.1300,83808400,
1 May 2026,0.0860,0.0990,0.0840,0.0990,0.0990,15280000,
24 Apr 2026,0.0860,0.0900,0.0840,0.0870,0.0870,8409000,
17 Apr 2026,0.0780,0.0890,0.0780,0.0850,0.0850,19540000,
10 Apr 2026,0.0740,0.0800,0.0740,0.0790,0.0790,1773100,
3 Apr 2026,0.0760,0.0780,0.0760,0.0770,0.0770,558400,
27 Mar 2026,0.0760,0.0810,0.0740,0.0790,0.0790,6411100,
20 Mar 2026,0.0760,0.0780,0.0750,0.0770,0.0770,4767400,
13 Mar 2026,0.0760,0.0800,0.0750,0.0770,0.0770,4312800,
6 Mar 2026,0.0810,0.0810,0.0770,0.0790,0.0790,3387700,
27 Feb 2026,0.0830,0.0860,0.0820,0.0840,0.0840,5861200,
20 Feb 2026,0.0830,0.0840,0.0810,0.0840,0.0840,1337400,
13 Feb 2026,0.0800,0.0840,0.0800,0.0840,0.0840,1005700,
6 Feb 2026,0.0820,0.0830,0.0790,0.0810,0.0810,1767700,
30 Jan 2026,0.0860,0.0870,0.0830,0.0830,0.0830,3568800,
