Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0250,0.0250,0.0250,0.0250,0.0250,2500,
31 Jul 2026,0.0260,0.0260,0.0250,0.0250,0.0250,2200,
24 Jul 2026,0.0250,0.0250,0.0250,0.0250,0.0250,79000,
17 Jul 2026,0.0250,0.0440,0.0250,0.0250,0.0250,14300,
10 Jul 2026,0.0280,0.0280,0.0270,0.0270,0.0270,72000,
3 Jul 2026,0.0280,0.0280,0.0280,0.0280,0.0280,0,
26 Jun 2026,0.0280,0.0280,0.0280,0.0280,0.0280,100,
19 Jun 2026,0.0350,0.0350,0.0280,0.0280,0.0280,11200,
12 Jun 2026,0.0350,0.0350,0.0350,0.0350,0.0350,0,
5 Jun 2026,0.0350,0.0350,0.0350,0.0350,0.0350,63500,
29 May 2026,0.0350,0.0350,0.0350,0.0350,0.0350,136000,
22 May 2026,0.0310,0.0350,0.0310,0.0350,0.0350,300,
15 May 2026,0.0320,0.0330,0.0310,0.0310,0.0310,1600,
8 May 2026,0.0330,0.0330,0.0330,0.0330,0.0330,10000,
1 May 2026,0.0300,0.0330,0.0300,0.0330,0.0330,30600,
24 Apr 2026,0.0300,0.0300,0.0300,0.0300,0.0300,800,
17 Apr 2026,0.0350,0.0350,0.0300,0.0300,0.0300,4600,
10 Apr 2026,0.0350,0.0350,0.0350,0.0350,0.0350,0,
3 Apr 2026,0.0350,0.0350,0.0350,0.0350,0.0350,0,
27 Mar 2026,0.0350,0.0350,0.0350,0.0350,0.0350,0,
20 Mar 2026,0.0350,0.0350,0.0350,0.0350,0.0350,0,
13 Mar 2026,0.0350,0.0350,0.0350,0.0350,0.0350,150000,
6 Mar 2026,0.0450,0.0450,0.0340,0.0340,0.0340,46000,
27 Feb 2026,0.0450,0.0450,0.0360,0.0450,0.0450,155400,
20 Feb 2026,0.0450,0.0450,0.0450,0.0450,0.0450,0,
13 Feb 2026,0.0450,0.0450,0.0360,0.0450,0.0450,300,
6 Feb 2026,0.0450,0.0450,0.0450,0.0450,0.0450,0,
30 Jan 2026,0.0360,0.0450,0.0360,0.0450,0.0450,2500,
23 Jan 2026,0.0400,0.0400,0.0400,0.0400,0.0400,274500,
16 Jan 2026,0.0530,0.0530,0.0450,0.0450,0.0450,293700,
9 Jan 2026,0.0540,0.0540,0.0450,0.0530,0.0530,6800,
2 Jan 2026,0.0510,0.0540,0.0450,0.0540,0.0540,177900,
26 Dec 2025,0.0450,0.0470,0.0450,0.0470,0.0470,1600,
19 Dec 2025,0.0450,0.0450,0.0450,0.0450,0.0450,0,
12 Dec 2025,0.0490,0.0510,0.0450,0.0450,0.0450,1704300,
5 Dec 2025,0.0480,0.0490,0.0440,0.0470,0.0470,167500,
28 Nov 2025,0.0420,0.0470,0.0420,0.0470,0.0470,616400,
21 Nov 2025,0.0420,0.0480,0.0420,0.0420,0.0420,2459500,
14 Nov 2025,0.0500,0.0500,0.0400,0.0420,0.0420,1760200,
7 Nov 2025,0.0400,0.0520,0.0380,0.0500,0.0500,2900500,
31 Oct 2025,0.0320,0.0390,0.0320,0.0370,0.0370,707500,
24 Oct 2025,0.0330,0.0330,0.0320,0.0320,0.0320,18600,
17 Oct 2025,0.0390,0.0390,0.0330,0.0330,0.0330,184000,
10 Oct 2025,0.0390,0.0400,0.0390,0.0390,0.0390,130300,
