Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.6800,0.6850,0.6750,0.6750,0.6750,73700,
31 Jul 2026,0.6850,0.6850,0.6750,0.6750,0.6750,1173600,
24 Jul 2026,0.6700,0.6850,0.6700,0.6800,0.6800,1050200,
17 Jul 2026,0.6850,0.6850,0.6700,0.6700,0.6700,936600,
10 Jul 2026,0.6800,0.7050,0.6800,0.6850,0.6850,1416500,
3 Jul 2026,0.6750,0.6850,0.6700,0.6800,0.6800,649700,
26 Jun 2026,0.6750,0.6850,0.6600,0.6750,0.6750,781900,
19 Jun 2026,0.6600,0.6850,0.6550,0.6750,0.6750,749700,
12 Jun 2026,0.6500,0.6650,0.6450,0.6600,0.6600,954100,
5 Jun 2026,0.6650,0.6850,0.6500,0.6550,0.6550,1415100,
29 May 2026,0.6650,0.6800,0.6500,0.6700,0.6700,1294300,
22 May 2026,0.6900,0.7000,0.6650,0.6650,0.6650,1818200,
15 May 2026,0.6700,0.7100,0.6450,0.6900,0.6900,3727800,
8 May 2026,0.6950,0.7150,0.6600,0.6650,0.6650,3742200,
7 May 2026,,,,,,,0.0270 Dividend
1 May 2026,0.6900,0.7050,0.6850,0.6900,0.6632,2582300,
24 Apr 2026,0.6750,0.7050,0.6700,0.6900,0.6632,2254600,
17 Apr 2026,0.6650,0.6950,0.6600,0.6800,0.6536,2611100,
10 Apr 2026,0.6450,0.6850,0.6350,0.6700,0.6440,3497100,
3 Apr 2026,0.6250,0.6600,0.6200,0.6450,0.6199,1615500,
27 Mar 2026,0.6350,0.6400,0.6100,0.6300,0.6055,4366300,
20 Mar 2026,0.6400,0.6700,0.6300,0.6400,0.6151,3984000,
13 Mar 2026,0.6650,0.6900,0.6300,0.6350,0.6103,6592800,
6 Mar 2026,0.7400,0.7400,0.6650,0.6750,0.6488,11784600,
27 Feb 2026,0.7700,0.7850,0.7500,0.7600,0.7305,3601400,
20 Feb 2026,0.7500,0.7800,0.7450,0.7600,0.7305,2482600,
13 Feb 2026,0.7400,0.7500,0.7200,0.7450,0.7161,6256000,
6 Feb 2026,0.7350,0.7600,0.7300,0.7350,0.7064,4508000,
30 Jan 2026,0.7700,0.7800,0.7300,0.7300,0.7016,7949200,
23 Jan 2026,0.7850,0.7900,0.7600,0.7750,0.7449,5674300,
