Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.4600,0.4600,0.4500,0.4500,0.4500,25500,
31 Jul 2026,0.4550,0.4600,0.4450,0.4600,0.4600,61200,
24 Jul 2026,0.4550,0.4650,0.4550,0.4550,0.4550,127500,
17 Jul 2026,0.4650,0.4650,0.4550,0.4550,0.4550,5000,
10 Jul 2026,0.4550,0.4650,0.4550,0.4650,0.4650,50100,
3 Jul 2026,0.4500,0.4500,0.4500,0.4500,0.4500,0,
26 Jun 2026,0.4600,0.4650,0.4500,0.4500,0.4500,145500,
19 Jun 2026,0.4550,0.4700,0.4550,0.4600,0.4600,225700,
12 Jun 2026,0.4550,0.4600,0.4450,0.4550,0.4550,361100,
5 Jun 2026,0.4500,0.4600,0.4450,0.4500,0.4500,165100,
29 May 2026,0.4650,0.4650,0.4450,0.4500,0.4500,145500,
22 May 2026,0.4500,0.4900,0.4450,0.4700,0.4700,216600,
15 May 2026,0.4700,0.4750,0.4400,0.4500,0.4500,273500,
8 May 2026,0.4600,0.6000,0.4550,0.4700,0.4700,769400,
7 May 2026,,,,,,,0.0150 Dividend
1 May 2026,0.4550,0.4600,0.4500,0.4600,0.4456,261700,
24 Apr 2026,0.4350,0.4500,0.4350,0.4500,0.4359,267800,
17 Apr 2026,0.4400,0.4450,0.4350,0.4400,0.4263,1090700,
10 Apr 2026,0.4350,0.4400,0.4350,0.4400,0.4263,272700,
3 Apr 2026,0.4350,0.4450,0.4350,0.4400,0.4263,175000,
27 Mar 2026,0.4350,0.4400,0.4300,0.4400,0.4263,242100,
20 Mar 2026,0.4400,0.4450,0.4350,0.4400,0.4263,351000,
13 Mar 2026,0.4400,0.4450,0.4350,0.4400,0.4263,247000,
6 Mar 2026,0.4400,0.4450,0.4300,0.4450,0.4311,312600,
27 Feb 2026,0.4400,0.4450,0.4300,0.4350,0.4214,409500,
20 Feb 2026,0.4400,0.4400,0.4400,0.4400,0.4263,235900,
13 Feb 2026,0.4400,0.4400,0.4400,0.4400,0.4263,97100,
6 Feb 2026,0.4350,0.4450,0.4350,0.4350,0.4214,14200,
30 Jan 2026,0.4400,0.4400,0.4300,0.4400,0.4263,169400,
23 Jan 2026,0.4400,0.4500,0.4400,0.4500,0.4359,323100,
16 Jan 2026,0.4400,0.4450,0.4350,0.4400,0.4263,323200,
9 Jan 2026,0.4400,0.4450,0.4400,0.4450,0.4311,407800,
2 Jan 2026,0.4400,0.4500,0.4400,0.4400,0.4263,243500,
26 Dec 2025,0.4500,0.4500,0.4400,0.4400,0.4263,135000,
19 Dec 2025,0.4500,0.4500,0.4450,0.4500,0.4359,80900,
12 Dec 2025,0.4500,0.4500,0.4450,0.4500,0.4359,76900,
5 Dec 2025,0.4500,0.4550,0.4500,0.4500,0.4359,58200,
28 Nov 2025,0.4500,0.4550,0.4300,0.4350,0.4214,31000,
21 Nov 2025,0.4500,0.4550,0.4450,0.4500,0.4359,481800,
14 Nov 2025,0.4350,0.4550,0.4350,0.4550,0.4408,957500,
7 Nov 2025,0.4450,0.4500,0.4350,0.4450,0.4311,415700,
31 Oct 2025,0.4500,0.4500,0.4450,0.4450,0.4311,156200,
24 Oct 2025,0.4400,0.4600,0.4400,0.4500,0.4359,481300,
17 Oct 2025,0.4500,0.4500,0.4350,0.4400,0.4263,183400,
10 Oct 2025,0.4500,0.4550,0.4400,0.4450,0.4311,271700,
3 Oct 2025,0.4400,0.4550,0.4300,0.4550,0.4408,184300,
26 Sep 2025,0.4350,0.4650,0.4200,0.4200,0.4069,337300,
19 Sep 2025,0.4400,0.5000,0.4250,0.4250,0.4117,197000,
12 Sep 2025,0.4450,0.4500,0.4250,0.4250,0.4117,242400,
5 Sep 2025,0.4300,0.4350,0.4300,0.4350,0.4214,86900,
29 Aug 2025,0.4300,0.4400,0.4300,0.4300,0.4166,25800,
22 Aug 2025,0.4400,0.4400,0.4300,0.4300,0.4166,122800,
21 Aug 2025,,,,,,,0.0110 Dividend
15 Aug 2025,0.4400,0.4550,0.4350,0.4400,0.4153,223700,
8 Aug 2025,0.4500,0.4500,0.4400,0.4400,0.4153,58500,
1 Aug 2025,0.4500,0.4600,0.4400,0.4400,0.4153,145600,
25 Jul 2025,0.4500,0.4700,0.4350,0.4500,0.4248,686600,
18 Jul 2025,0.4400,0.4450,0.4400,0.4450,0.4201,49200,
11 Jul 2025,0.4300,0.4400,0.4300,0.4400,0.4153,144700,
4 Jul 2025,0.4300,0.4350,0.4250,0.4300,0.4059,293500,
27 Jun 2025,0.4050,0.4300,0.4000,0.4300,0.4059,455900,
20 Jun 2025,0.4300,0.4300,0.4150,0.4150,0.3917,29300,
13 Jun 2025,0.4450,0.4500,0.4300,0.4300,0.4059,38700,
6 Jun 2025,0.4400,0.4600,0.4350,0.4450,0.4201,193000,
30 May 2025,0.3900,0.4350,0.3900,0.4350,0.4106,71800,
23 May 2025,0.3950,0.3950,0.3950,0.3950,0.3729,0,
16 May 2025,0.3900,0.4000,0.3850,0.3950,0.3729,395000,
9 May 2025,0.4000,0.4000,0.3700,0.3800,0.3587,503900,
6 May 2025,,,,,,,0.0180 Dividend
2 May 2025,0.3600,0.4100,0.3600,0.4000,0.3606,46100,
25 Apr 2025,0.3600,0.3600,0.3600,0.3600,0.3245,0,
18 Apr 2025,0.3600,0.3600,0.3600,0.3600,0.3245,0,
11 Apr 2025,0.3750,0.3750,0.3500,0.3600,0.3245,498100,
4 Apr 2025,0.3850,0.3850,0.3750,0.3800,0.3426,124300,
28 Mar 2025,0.3900,0.3900,0.3850,0.3850,0.3471,29400,
21 Mar 2025,0.3800,0.3950,0.3750,0.3900,0.3516,228300,
14 Mar 2025,0.3800,0.3800,0.3700,0.3800,0.3426,11400,
7 Mar 2025,0.3800,0.3850,0.3700,0.3850,0.3471,5800,
28 Feb 2025,0.3800,0.4000,0.3700,0.3800,0.3426,154000,
21 Feb 2025,0.3800,0.3800,0.3750,0.3800,0.3426,24600,
14 Feb 2025,0.3650,0.3700,0.3550,0.3700,0.3336,98500,
7 Feb 2025,0.3600,0.3600,0.3600,0.3600,0.3245,21000,
31 Jan 2025,0.3500,0.3550,0.3450,0.3550,0.3200,10700,
24 Jan 2025,0.3450,0.3500,0.3450,0.3500,0.3155,13800,
17 Jan 2025,0.3500,0.3500,0.3300,0.3450,0.3110,1046800,
10 Jan 2025,0.3550,0.3550,0.3450,0.3550,0.3200,345700,
3 Jan 2025,0.3600,0.3600,0.3550,0.3550,0.3200,232700,
27 Dec 2024,0.3600,0.3600,0.3600,0.3600,0.3245,203200,
20 Dec 2024,0.3600,0.3600,0.3600,0.3600,0.3245,172900,
13 Dec 2024,0.3650,0.3650,0.3600,0.3600,0.3245,252000,
6 Dec 2024,0.3650,0.3700,0.3550,0.3650,0.3290,120200,
29 Nov 2024,0.3650,0.3650,0.3650,0.3650,0.3290,0,
22 Nov 2024,0.3650,0.3650,0.3650,0.3650,0.3290,0,
15 Nov 2024,0.3650,0.3650,0.3650,0.3650,0.3290,0,
8 Nov 2024,0.3650,0.3650,0.3650,0.3650,0.3290,0,
1 Nov 2024,0.3750,0.3750,0.3650,0.3650,0.3290,9000,
25 Oct 2024,0.3700,0.3750,0.3700,0.3750,0.3381,50100,
18 Oct 2024,0.3750,0.3750,0.3700,0.3700,0.3336,53200,
11 Oct 2024,0.3750,0.3750,0.3750,0.3750,0.3381,7000,
4 Oct 2024,0.3750,0.3850,0.3700,0.3750,0.3381,92700,
27 Sep 2024,0.3750,0.3800,0.3700,0.3750,0.3381,63700,
20 Sep 2024,0.3750,0.3750,0.3700,0.3750,0.3381,51000,
13 Sep 2024,0.3700,0.3750,0.3700,0.3750,0.3381,23200,
6 Sep 2024,0.3700,0.3850,0.3700,0.3800,0.3426,48100,
30 Aug 2024,0.3700,0.3700,0.3700,0.3700,0.3336,10400,
23 Aug 2024,0.3750,0.3750,0.3750,0.3750,0.3381,0,
19 Aug 2024,,,,,,,0.0110 Dividend
16 Aug 2024,0.3800,0.3800,0.3750,0.3750,0.3281,19600,
9 Aug 2024,0.3650,0.3800,0.3500,0.3800,0.3325,60900,
2 Aug 2024,0.3900,0.3900,0.3500,0.3500,0.3063,448800,
26 Jul 2024,0.3950,0.4050,0.3900,0.3900,0.3413,67900,
19 Jul 2024,0.3950,0.3950,0.3900,0.3950,0.3456,66700,
12 Jul 2024,0.3950,0.3950,0.3900,0.3900,0.3413,27000,
5 Jul 2024,0.3900,0.3950,0.3850,0.3950,0.3456,100600,
28 Jun 2024,0.3700,0.3850,0.3700,0.3850,0.3369,1900,
21 Jun 2024,0.3900,0.3900,0.3700,0.3700,0.3238,76900,
14 Jun 2024,0.3850,0.3900,0.3850,0.3850,0.3369,56300,
7 Jun 2024,0.3650,0.3700,0.3500,0.3650,0.3194,83100,
31 May 2024,0.3650,0.3650,0.3650,0.3650,0.3194,3900,
24 May 2024,0.3500,0.3500,0.3500,0.3500,0.3063,0,
17 May 2024,0.3500,0.3500,0.3500,0.3500,0.3063,0,
10 May 2024,0.3600,0.3600,0.3500,0.3500,0.3063,7000,
3 May 2024,,,,,,,0.0150 Dividend
3 May 2024,0.3700,0.3700,0.3600,0.3600,0.3150,5000,
26 Apr 2024,0.3650,0.3900,0.3650,0.3800,0.3190,54000,
19 Apr 2024,0.3700,0.3700,0.3600,0.3650,0.3064,75300,
12 Apr 2024,0.3750,0.3750,0.3600,0.3650,0.3064,26200,
5 Apr 2024,0.3700,0.3700,0.3700,0.3700,0.3106,0,
29 Mar 2024,0.3600,0.3700,0.3600,0.3700,0.3106,8100,
22 Mar 2024,0.3850,0.3850,0.3600,0.3600,0.3022,2500,
15 Mar 2024,0.3950,0.3950,0.3850,0.3850,0.3232,3000,
8 Mar 2024,0.3900,0.3950,0.3900,0.3950,0.3316,100,
1 Mar 2024,0.3900,0.4000,0.3900,0.3900,0.3274,70900,
23 Feb 2024,0.3700,0.3850,0.3700,0.3850,0.3232,5600,
16 Feb 2024,0.3950,0.3950,0.3700,0.3700,0.3106,600,
9 Feb 2024,0.4000,0.4000,0.3900,0.3900,0.3274,20000,
2 Feb 2024,0.3800,0.4000,0.3800,0.4000,0.3358,20100,
26 Jan 2024,0.3800,0.3800,0.3800,0.3800,0.3190,0,
19 Jan 2024,0.3850,0.4000,0.3800,0.3800,0.3190,28400,
12 Jan 2024,0.3800,0.3850,0.3700,0.3800,0.3190,184500,
5 Jan 2024,0.3800,0.3800,0.3800,0.3800,0.3190,0,
29 Dec 2023,0.3500,0.3800,0.3500,0.3800,0.3190,47800,
22 Dec 2023,0.3500,0.3500,0.3500,0.3500,0.2938,0,
15 Dec 2023,0.3400,0.3550,0.3400,0.3500,0.2938,19100,
8 Dec 2023,0.3350,0.3400,0.3350,0.3400,0.2855,25600,
1 Dec 2023,0.3350,0.3350,0.3350,0.3350,0.2813,0,
24 Nov 2023,0.3350,0.3350,0.3350,0.3350,0.2813,0,
17 Nov 2023,0.3450,0.3450,0.3350,0.3350,0.2813,81600,
10 Nov 2023,0.3450,0.3500,0.3450,0.3450,0.2897,27500,
3 Nov 2023,0.3500,0.3500,0.3400,0.3500,0.2938,25000,
27 Oct 2023,0.3500,0.3500,0.3500,0.3500,0.2938,4900,
20 Oct 2023,0.3550,0.3550,0.3500,0.3500,0.2938,100000,
13 Oct 2023,0.3550,0.3600,0.3500,0.3500,0.2938,33000,
6 Oct 2023,0.3600,0.3600,0.3550,0.3550,0.2980,24000,
29 Sep 2023,0.3600,0.3650,0.3600,0.3650,0.3064,10200,
22 Sep 2023,0.3500,0.3600,0.3500,0.3600,0.3022,27300,
15 Sep 2023,0.3400,0.3500,0.3400,0.3500,0.2938,23900,
8 Sep 2023,0.3550,0.3600,0.3300,0.3300,0.2771,15000,
1 Sep 2023,0.3350,0.3400,0.3350,0.3400,0.2855,162000,
25 Aug 2023,0.3400,0.3400,0.3400,0.3400,0.2855,92100,
18 Aug 2023,,,,,,,0.0110 Dividend
18 Aug 2023,0.3500,0.3650,0.3400,0.3400,0.2855,112600,
11 Aug 2023,0.3450,0.3450,0.3450,0.3450,0.2807,174500,
4 Aug 2023,0.3350,0.3450,0.3300,0.3450,0.2807,57000,
28 Jul 2023,0.3400,0.3500,0.3400,0.3450,0.2807,121000,
21 Jul 2023,0.3300,0.3400,0.3300,0.3400,0.2766,59900,
14 Jul 2023,0.3300,0.3350,0.3200,0.3300,0.2685,228800,
7 Jul 2023,0.3300,0.3300,0.3200,0.3300,0.2685,86200,
30 Jun 2023,0.3200,0.3550,0.3200,0.3300,0.2685,69900,
23 Jun 2023,0.3300,0.3300,0.3200,0.3250,0.2644,67700,
16 Jun 2023,0.3150,0.3300,0.3150,0.3300,0.2685,29500,
9 Jun 2023,0.3100,0.3100,0.3100,0.3100,0.2522,0,
2 Jun 2023,0.3100,0.3150,0.3100,0.3100,0.2522,47600,
26 May 2023,0.3200,0.3250,0.3200,0.3250,0.2644,3900,
19 May 2023,0.3300,0.3300,0.3200,0.3200,0.2603,200,
12 May 2023,0.3300,0.3300,0.3300,0.3300,0.2685,35000,
11 May 2023,,,,,,,0.0120 Dividend
5 May 2023,0.3400,0.3400,0.3200,0.3300,0.2587,180800,
28 Apr 2023,0.3150,0.3400,0.3100,0.3400,0.2666,42600,
21 Apr 2023,0.3250,0.3350,0.3200,0.3350,0.2626,22400,
14 Apr 2023,0.3200,0.3300,0.3050,0.3300,0.2587,83900,
