Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.2600,0.2650,0.2600,0.2650,0.2650,138800,
31 Jul 2026,0.2750,0.2750,0.2600,0.2600,0.2600,415300,
24 Jul 2026,0.2650,0.2750,0.2600,0.2750,0.2750,939500,
17 Jul 2026,0.2550,0.2700,0.2550,0.2650,0.2650,1391000,
10 Jul 2026,0.2450,0.2600,0.2400,0.2550,0.2550,1527600,
3 Jul 2026,0.2450,0.2500,0.2450,0.2450,0.2450,743600,
26 Jun 2026,0.2350,0.2450,0.2350,0.2400,0.2400,1600200,
19 Jun 2026,0.2300,0.2400,0.2300,0.2350,0.2350,1116100,
12 Jun 2026,0.2350,0.2350,0.2250,0.2350,0.2350,554400,
5 Jun 2026,0.2400,0.2400,0.2350,0.2350,0.2350,87500,
29 May 2026,0.2350,0.2400,0.2350,0.2400,0.2400,117900,
22 May 2026,0.2350,0.2500,0.2350,0.2350,0.2350,207600,
15 May 2026,0.2450,0.2450,0.2400,0.2400,0.2400,306400,
8 May 2026,0.2450,0.2550,0.2450,0.2450,0.2450,1196100,
1 May 2026,0.2450,0.2450,0.2400,0.2450,0.2450,310800,
24 Apr 2026,0.2450,0.2450,0.2350,0.2450,0.2450,1219000,
17 Apr 2026,0.2300,0.2500,0.2300,0.2450,0.2450,2293100,
10 Apr 2026,0.2300,0.2400,0.2300,0.2350,0.2350,304500,
3 Apr 2026,0.2350,0.2350,0.2300,0.2300,0.2300,269100,
27 Mar 2026,0.2300,0.2400,0.2250,0.2400,0.2400,2077800,
20 Mar 2026,0.2250,0.2400,0.2250,0.2350,0.2350,4134500,
13 Mar 2026,0.2300,0.2300,0.2200,0.2250,0.2250,719600,
6 Mar 2026,0.2350,0.2500,0.2300,0.2300,0.2300,2967700,
27 Feb 2026,0.2350,0.2400,0.2300,0.2350,0.2350,2256600,
20 Feb 2026,0.2400,0.2400,0.2300,0.2350,0.2350,342400,
13 Feb 2026,0.2250,0.2400,0.2250,0.2400,0.2400,4063500,
6 Feb 2026,0.2200,0.2250,0.2200,0.2250,0.2250,384800,
30 Jan 2026,0.2200,0.2300,0.2200,0.2200,0.2200,233200,
23 Jan 2026,0.2300,0.2300,0.2200,0.2250,0.2250,357800,
16 Jan 2026,0.2300,0.2300,0.2250,0.2300,0.2300,497900,
