Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.4900,0.5150,0.4900,0.5150,0.5150,1496500,
31 Jul 2026,0.4950,0.4950,0.4800,0.4900,0.4900,883000,
24 Jul 2026,0.4950,0.5000,0.4900,0.4950,0.4950,1618900,
17 Jul 2026,0.4800,0.5000,0.4750,0.4950,0.4950,1456300,
10 Jul 2026,0.4750,0.4800,0.4700,0.4800,0.4800,566500,
3 Jul 2026,0.4800,0.4850,0.4650,0.4750,0.4750,809900,
26 Jun 2026,0.4850,0.4850,0.4750,0.4800,0.4800,859700,
19 Jun 2026,0.4900,0.4950,0.4800,0.4850,0.4850,1184500,
12 Jun 2026,0.4900,0.4950,0.4850,0.4900,0.4900,881000,
5 Jun 2026,0.5000,0.5050,0.4900,0.4900,0.4900,937000,
29 May 2026,0.5000,0.5100,0.4950,0.5000,0.5000,1090900,
22 May 2026,0.5000,0.5050,0.4900,0.5000,0.5000,1041800,
15 May 2026,0.5350,0.5400,0.4950,0.4950,0.4950,2677800,
15 May 2026,,,,,,,0.0100 Dividend
8 May 2026,0.5000,0.5500,0.5000,0.5350,0.5247,5867600,
1 May 2026,0.4800,0.5100,0.4700,0.5000,0.4904,7343900,
24 Apr 2026,0.4950,0.5000,0.4750,0.4750,0.4659,5946100,
17 Apr 2026,0.5000,0.5050,0.4900,0.4900,0.4806,3285600,
10 Apr 2026,0.4950,0.5100,0.4900,0.5000,0.4904,1180400,
3 Apr 2026,0.4900,0.5050,0.4850,0.5000,0.4904,1285400,
27 Mar 2026,0.5050,0.5100,0.4900,0.4950,0.4855,1837400,
20 Mar 2026,0.5100,0.5250,0.5050,0.5050,0.4953,1243600,
13 Mar 2026,0.5300,0.5350,0.4950,0.5100,0.5002,3566200,
6 Mar 2026,0.5600,0.5600,0.5250,0.5300,0.5198,4337900,
27 Feb 2026,0.5750,0.5800,0.5600,0.5650,0.5541,3523200,
20 Feb 2026,0.5650,0.5800,0.5650,0.5700,0.5590,3409500,
13 Feb 2026,0.5700,0.5850,0.5600,0.5650,0.5541,5725700,
6 Feb 2026,0.6050,0.6050,0.5650,0.5650,0.5541,8569300,
5 Feb 2026,,,,,,,0.0200 Dividend
30 Jan 2026,0.6150,0.6150,0.5950,0.6000,0.5687,12320800,
23 Jan 2026,0.6000,0.6350,0.5950,0.6150,0.5829,13858000,
16 Jan 2026,0.5650,0.6150,0.5600,0.5950,0.5639,13019500,
9 Jan 2026,0.5550,0.5750,0.5450,0.5650,0.5355,4919100,
2 Jan 2026,0.5550,0.5600,0.5500,0.5550,0.5260,1123000,
26 Dec 2025,0.5550,0.5600,0.5500,0.5600,0.5308,1823000,
19 Dec 2025,0.5600,0.5650,0.5450,0.5550,0.5260,2692800,
12 Dec 2025,0.5650,0.5700,0.5550,0.5600,0.5308,977900,
5 Dec 2025,0.5600,0.5700,0.5500,0.5700,0.5402,2164400,
28 Nov 2025,0.5650,0.5650,0.5500,0.5600,0.5308,5939700,
21 Nov 2025,0.5700,0.5700,0.5500,0.5550,0.5260,8700100,
14 Nov 2025,0.5900,0.5950,0.5500,0.5700,0.5402,26213700,
7 Nov 2025,0.6150,0.6150,0.5800,0.5900,0.5592,27074400,
