Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.1700,1.1700,1.1700,1.1700,1.1700,0,
31 Jul 2026,1.1800,1.1800,1.1700,1.1700,1.1700,300,
24 Jul 2026,1.1800,1.1800,1.1800,1.1800,1.1800,0,
17 Jul 2026,1.1800,1.1800,1.1800,1.1800,1.1800,0,
10 Jul 2026,1.1800,1.1800,1.1800,1.1800,1.1800,0,
3 Jul 2026,1.1900,1.1900,1.1800,1.1800,1.1800,5000,
26 Jun 2026,1.1900,1.1900,1.1900,1.1900,1.1900,0,
19 Jun 2026,1.1900,1.1900,1.1900,1.1900,1.1900,0,
12 Jun 2026,1.2000,1.2000,1.1900,1.1900,1.1900,13800,
5 Jun 2026,1.2000,1.2000,1.2000,1.2000,1.2000,0,
29 May 2026,1.2000,1.2000,1.2000,1.2000,1.2000,0,
22 May 2026,1.2800,1.2800,1.2000,1.2000,1.2000,3500,
15 May 2026,1.2800,1.2800,1.2800,1.2800,1.2800,0,
8 May 2026,1.2400,1.2900,1.2400,1.2800,1.2800,35900,
1 May 2026,1.2000,1.2800,1.2000,1.2600,1.2600,28200,
24 Apr 2026,1.2000,1.2000,1.2000,1.2000,1.2000,0,
17 Apr 2026,1.2200,1.2200,1.2000,1.2000,1.2000,3800,
10 Apr 2026,1.2200,1.2200,1.2200,1.2200,1.2200,100,
3 Apr 2026,1.2200,1.2200,1.2200,1.2200,1.2200,0,
27 Mar 2026,1.2200,1.2200,1.2200,1.2200,1.2200,0,
20 Mar 2026,1.2800,1.2800,1.2200,1.2200,1.2200,1800,
13 Mar 2026,1.2800,1.2800,1.2800,1.2800,1.2800,0,
6 Mar 2026,1.2800,1.2900,1.2800,1.2800,1.2800,8600,
27 Feb 2026,1.2800,1.2800,1.2800,1.2800,1.2800,31500,
20 Feb 2026,1.3400,1.3400,1.3400,1.3400,1.3400,0,
13 Feb 2026,1.2000,1.3500,1.2000,1.3400,1.3400,1400,
6 Feb 2026,1.2000,1.2000,1.2000,1.2000,1.2000,0,
30 Jan 2026,1.2600,1.2600,1.2000,1.2000,1.2000,48700,
23 Jan 2026,1.2900,1.2900,1.2700,1.2700,1.2700,32200,
16 Jan 2026,1.2500,1.2900,1.2500,1.2900,1.2900,6000,
9 Jan 2026,1.2600,1.2800,1.2500,1.2500,1.2500,36700,
2 Jan 2026,1.2600,1.2600,1.2600,1.2600,1.2600,0,
26 Dec 2025,1.2600,1.2600,1.2600,1.2600,1.2600,0,
19 Dec 2025,1.3200,1.3200,1.2600,1.2600,1.2600,1300,
12 Dec 2025,1.3200,1.3200,1.3200,1.3200,1.3200,0,
5 Dec 2025,1.3200,1.3200,1.3200,1.3200,1.3200,0,
28 Nov 2025,1.3200,1.3200,1.3200,1.3200,1.3200,0,
21 Nov 2025,1.3200,1.3500,1.3200,1.3200,1.3200,35300,
14 Nov 2025,1.3300,1.3300,1.3100,1.3200,1.3200,7500,
7 Nov 2025,1.2300,1.4000,1.2300,1.3300,1.3300,48700,
31 Oct 2025,1.2200,1.2200,1.2200,1.2200,1.2200,0,
24 Oct 2025,1.2200,1.2200,1.2200,1.2200,1.2200,0,
17 Oct 2025,1.2200,1.2200,1.2200,1.2200,1.2200,0,
10 Oct 2025,1.2200,1.2200,1.2200,1.2200,1.2200,25000,
3 Oct 2025,1.2000,1.2000,1.2000,1.2000,1.2000,0,
26 Sep 2025,1.2000,1.2000,1.2000,1.2000,1.2000,100,
19 Sep 2025,1.2000,1.2000,1.2000,1.2000,1.2000,0,
12 Sep 2025,1.1700,1.2200,1.1700,1.2000,1.2000,5800,
5 Sep 2025,1.2400,1.2600,1.1400,1.1500,1.1500,12900,
29 Aug 2025,1.1400,1.2500,1.1400,1.2400,1.2400,14300,
22 Aug 2025,1.2200,1.2200,1.1400,1.1400,1.1400,22700,
15 Aug 2025,1.2500,1.2600,1.2000,1.2200,1.2200,8600,
8 Aug 2025,1.2400,1.2500,1.2400,1.2500,1.2500,10100,
1 Aug 2025,1.1900,1.2400,1.1900,1.2400,1.2400,40400,
25 Jul 2025,1.1300,1.1900,1.1300,1.1900,1.1900,27600,
18 Jul 2025,1.1100,1.1300,1.1000,1.1300,1.1300,24500,
11 Jul 2025,1.1100,1.1100,1.0700,1.0700,1.0700,40500,
4 Jul 2025,1.1100,1.1100,1.1100,1.1100,1.1100,4600,
27 Jun 2025,1.1300,1.1300,1.1100,1.1100,1.1100,3000,
20 Jun 2025,1.0800,1.1300,1.0100,1.1300,1.1300,28400,
13 Jun 2025,1.0300,1.0300,1.0300,1.0300,1.0300,100,
6 Jun 2025,0.9800,1.0400,0.9800,1.0300,1.0300,10000,
30 May 2025,1.1800,1.1800,1.1700,1.1700,1.1700,8800,
29 May 2025,,,,,,,0.0500 Dividend
23 May 2025,1.1000,1.2300,1.0800,1.2300,1.1774,100600,
16 May 2025,0.9600,1.0900,0.9600,1.0900,1.0434,62800,
9 May 2025,0.9600,0.9600,0.9600,0.9600,0.9190,0,
2 May 2025,0.9400,0.9600,0.9400,0.9600,0.9190,1900,
25 Apr 2025,0.9300,0.9450,0.9300,0.9400,0.8998,7100,
18 Apr 2025,0.9300,0.9300,0.9300,0.9300,0.8903,0,
11 Apr 2025,0.9300,0.9700,0.9250,0.9300,0.8903,30500,
4 Apr 2025,0.9650,0.9700,0.9250,0.9250,0.8855,100000,
28 Mar 2025,0.9400,0.9700,0.9400,0.9650,0.9238,19600,
21 Mar 2025,0.9400,0.9400,0.9400,0.9400,0.8998,25000,
14 Mar 2025,0.9250,0.9500,0.9250,0.9350,0.8950,60400,
7 Mar 2025,0.9250,0.9700,0.9250,0.9250,0.8855,80000,
28 Feb 2025,0.9000,0.9200,0.9000,0.9150,0.8759,5000,
21 Feb 2025,0.9000,0.9000,0.9000,0.9000,0.8615,0,
14 Feb 2025,0.9000,0.9000,0.9000,0.9000,0.8615,0,
7 Feb 2025,0.9000,0.9000,0.9000,0.9000,0.8615,0,
31 Jan 2025,0.9000,0.9000,0.9000,0.9000,0.8615,0,
24 Jan 2025,0.9000,0.9000,0.9000,0.9000,0.8615,0,
17 Jan 2025,0.9000,0.9000,0.9000,0.9000,0.8615,0,
10 Jan 2025,0.9000,0.9000,0.9000,0.9000,0.8615,0,
3 Jan 2025,0.9000,0.9000,0.9000,0.9000,0.8615,0,
27 Dec 2024,0.9000,0.9000,0.9000,0.9000,0.8615,0,
20 Dec 2024,0.9000,0.9000,0.9000,0.9000,0.8615,0,
13 Dec 2024,0.9000,0.9000,0.9000,0.9000,0.8615,0,
6 Dec 2024,0.8950,0.9000,0.8950,0.9000,0.8615,29700,
29 Nov 2024,0.9000,0.9000,0.9000,0.9000,0.8615,1200,
