Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.3300,1.3600,1.3200,1.3600,1.3600,15295700,
31 Jul 2026,1.3200,1.3600,1.3100,1.3400,1.3400,27922200,
24 Jul 2026,1.3300,1.3500,1.3100,1.3200,1.3200,34890400,
17 Jul 2026,1.3400,1.3500,1.3200,1.3400,1.3400,35845600,
10 Jul 2026,1.3400,1.3600,1.3100,1.3400,1.3400,49010100,
3 Jul 2026,1.3200,1.3500,1.3200,1.3400,1.3400,56328900,
26 Jun 2026,1.3000,1.3300,1.2800,1.3300,1.3300,60326200,
19 Jun 2026,1.3000,1.3200,1.2900,1.3000,1.3000,62602000,
12 Jun 2026,1.2900,1.3000,1.2700,1.2900,1.2900,80540934,
5 Jun 2026,1.3000,1.3100,1.2700,1.2900,1.2900,38686700,
29 May 2026,1.2900,1.3100,1.2800,1.2900,1.2900,49779800,
22 May 2026,1.2800,1.3100,1.2600,1.2800,1.2800,104154900,
15 May 2026,1.4400,1.4400,1.2800,1.2800,1.2800,130485600,
8 May 2026,1.4400,1.4500,1.4100,1.4300,1.4300,40216900,
4 May 2026,,,,,,,0.0459 Dividend
1 May 2026,1.5200,1.5200,1.4600,1.4800,1.4800,39382100,
24 Apr 2026,1.4800,1.5300,1.4700,1.5100,1.5100,60505700,
17 Apr 2026,1.4500,1.4900,1.4400,1.4800,1.4800,27433400,
10 Apr 2026,1.4500,1.4700,1.4300,1.4600,1.4600,35260400,
3 Apr 2026,1.4500,1.4700,1.4400,1.4400,1.4400,32778000,
27 Mar 2026,1.4500,1.4600,1.4300,1.4500,1.4500,58532300,
20 Mar 2026,1.4400,1.4700,1.4300,1.4700,1.4700,60255900,
13 Mar 2026,1.4500,1.4600,1.4000,1.4300,1.4300,59133800,
6 Mar 2026,1.4800,1.5100,1.4400,1.4600,1.4600,108892800,
27 Feb 2026,1.5300,1.5600,1.5100,1.5500,1.5500,61142800,
20 Feb 2026,1.5000,1.5400,1.4800,1.5200,1.5200,33723200,
13 Feb 2026,1.4900,1.5100,1.4700,1.5000,1.5000,38592400,
6 Feb 2026,1.4700,1.5000,1.4600,1.4800,1.4800,45109400,
30 Jan 2026,1.4700,1.4900,1.4700,1.4700,1.4700,46311800,
23 Jan 2026,1.4700,1.4900,1.4500,1.4700,1.4700,51237300,
16 Jan 2026,1.4700,1.4800,1.4500,1.4700,1.4700,18599200,
9 Jan 2026,1.4800,1.4900,1.4500,1.4600,1.4600,30435000,
2 Jan 2026,1.4700,1.4900,1.4600,1.4800,1.4800,15072900,
26 Dec 2025,1.4400,1.4800,1.4400,1.4700,1.4700,18675700,
19 Dec 2025,1.4300,1.4500,1.4300,1.4400,1.4400,27239804,
12 Dec 2025,1.4400,1.4500,1.4200,1.4300,1.4300,40868700,
5 Dec 2025,1.4500,1.4500,1.4300,1.4400,1.4400,23476000,
28 Nov 2025,1.4400,1.4600,1.4400,1.4400,1.4400,29486100,
21 Nov 2025,1.4700,1.4700,1.4400,1.4400,1.4400,47761100,
14 Nov 2025,1.4500,1.4900,1.4400,1.4600,1.4600,45108200,
7 Nov 2025,1.4600,1.4800,1.4400,1.4600,1.4600,55381900,
31 Oct 2025,1.4900,1.5000,1.4500,1.4600,1.4600,57214400,
24 Oct 2025,1.4700,1.5000,1.4600,1.4900,1.4900,55534800,
17 Oct 2025,1.4700,1.4900,1.4600,1.4700,1.4700,45449100,
10 Oct 2025,1.4700,1.5000,1.4600,1.4800,1.4800,37080400,
3 Oct 2025,1.4600,1.4800,1.4400,1.4700,1.4700,68784800,
26 Sep 2025,1.4900,1.5100,1.4500,1.4600,1.4600,42804800,
19 Sep 2025,1.4900,1.5100,1.4800,1.4900,1.4900,68902000,
12 Sep 2025,1.4700,1.4900,1.4600,1.4800,1.4800,46593700,
5 Sep 2025,1.4500,1.4900,1.4400,1.4700,1.4700,63706300,
29 Aug 2025,1.4700,1.4700,1.4200,1.4500,1.4500,88914200,
22 Aug 2025,1.5400,1.5400,1.4400,1.4700,1.4700,101347700,
20 Aug 2025,,,,,,,0.0391 Dividend
15 Aug 2025,1.5600,1.6000,1.5200,1.5400,1.5001,71151500,
8 Aug 2025,1.5200,1.5700,1.5000,1.5600,1.5196,62048800,
1 Aug 2025,1.6400,1.6400,1.5100,1.5200,1.4806,124646700,
25 Jul 2025,1.4500,1.6400,1.4400,1.6400,1.5975,156293800,
18 Jul 2025,1.4200,1.4500,1.4200,1.4500,1.4125,44015600,
11 Jul 2025,1.4400,1.4400,1.4000,1.4200,1.3832,44441200,
4 Jul 2025,1.4300,1.4500,1.4200,1.4400,1.4027,32014300,
27 Jun 2025,1.4300,1.4400,1.4100,1.4300,1.3930,42001500,
20 Jun 2025,1.4100,1.4500,1.4100,1.4400,1.4027,43073000,
13 Jun 2025,1.4200,1.4400,1.4100,1.4100,1.3735,39676900,
6 Jun 2025,1.4300,1.4300,1.4000,1.4100,1.3735,53466600,
30 May 2025,1.4600,1.4700,1.3900,1.4200,1.3832,68859000,
23 May 2025,1.5000,1.5200,1.4600,1.4600,1.4222,34500900,
16 May 2025,1.5200,1.5400,1.4600,1.5000,1.4612,36587300,
9 May 2025,1.4900,1.5300,1.4800,1.5200,1.4806,43524100,
5 May 2025,,,,,,,0.0425 Dividend
2 May 2025,1.5300,1.5500,1.5100,1.5400,1.4587,52138100,
25 Apr 2025,1.4700,1.5500,1.4700,1.5400,1.4587,63088300,
18 Apr 2025,1.4000,1.4800,1.4000,1.4800,1.4019,35383500,
11 Apr 2025,1.4400,1.4400,1.3600,1.3900,1.3166,65547400,
4 Apr 2025,1.4600,1.4900,1.4500,1.4700,1.3924,41796800,
28 Mar 2025,1.4600,1.4800,1.4400,1.4600,1.3829,27671300,
21 Mar 2025,1.4300,1.4600,1.4100,1.4500,1.3735,48498300,
14 Mar 2025,1.4600,1.4600,1.4100,1.4300,1.3545,37685400,
7 Mar 2025,1.3900,1.4700,1.3800,1.4600,1.3829,76594800,
28 Feb 2025,1.3600,1.4200,1.3500,1.3900,1.3166,60776100,
21 Feb 2025,1.3600,1.3800,1.3400,1.3600,1.2882,43810000,
14 Feb 2025,1.3600,1.3900,1.3500,1.3800,1.3072,28349600,
7 Feb 2025,1.4100,1.4100,1.3400,1.3600,1.2882,39799200,
31 Jan 2025,1.3900,1.4200,1.3800,1.4100,1.3356,13650100,
24 Jan 2025,1.4000,1.4200,1.3900,1.3900,1.3166,17105800,
17 Jan 2025,1.4500,1.4500,1.3900,1.3900,1.3166,35441100,
10 Jan 2025,1.4700,1.4800,1.4400,1.4500,1.3735,16784800,
3 Jan 2025,1.4600,1.4800,1.4600,1.4800,1.4019,10114100,
27 Dec 2024,1.4600,1.4700,1.4400,1.4700,1.3924,8056400,
20 Dec 2024,1.4600,1.4800,1.4400,1.4600,1.3829,14939600,
13 Dec 2024,1.4800,1.4900,1.4600,1.4600,1.3829,13861900,
6 Dec 2024,1.4600,1.5000,1.4600,1.4700,1.3924,18186000,
29 Nov 2024,1.4700,1.4900,1.4500,1.4600,1.3829,20862300,
22 Nov 2024,1.4700,1.4800,1.4500,1.4700,1.3924,15381100,
15 Nov 2024,1.4900,1.5000,1.4600,1.4700,1.3924,23680900,
8 Nov 2024,1.4700,1.5000,1.4600,1.4900,1.4114,19997500,
1 Nov 2024,1.4500,1.4900,1.4500,1.4700,1.3924,25315500,
25 Oct 2024,1.4600,1.4700,1.4400,1.4500,1.3735,23606000,
18 Oct 2024,1.4500,1.4800,1.4300,1.4500,1.3735,30101300,
11 Oct 2024,1.4900,1.4900,1.4200,1.4500,1.3735,40470700,
4 Oct 2024,1.5200,1.5300,1.4800,1.4900,1.4114,29146600,
27 Sep 2024,1.5000,1.5200,1.4700,1.5100,1.4303,36507600,
20 Sep 2024,1.4900,1.5000,1.4700,1.5000,1.4208,32530900,
13 Sep 2024,1.4400,1.5100,1.4400,1.4900,1.4114,50161900,
6 Sep 2024,1.4200,1.4600,1.4000,1.4400,1.3640,32477300,
30 Aug 2024,1.3900,1.4200,1.3800,1.4200,1.3451,41282800,
23 Aug 2024,1.4200,1.4300,1.3700,1.3900,1.3166,29862400,
21 Aug 2024,,,,,,,0.0352 Dividend
16 Aug 2024,1.3900,1.4400,1.3800,1.4300,1.3210,46557900,
9 Aug 2024,1.4000,1.4100,1.3500,1.4000,1.2932,38109500,
2 Aug 2024,1.3900,1.4200,1.3700,1.4100,1.3025,26132700,
26 Jul 2024,1.3900,1.4200,1.3700,1.3900,1.2840,21491600,
19 Jul 2024,1.3900,1.4000,1.3700,1.3900,1.2840,21674000,
12 Jul 2024,1.3500,1.4000,1.3400,1.3900,1.2840,24099200,
5 Jul 2024,1.3400,1.3600,1.3300,1.3400,1.2378,17685700,
28 Jun 2024,1.3600,1.3600,1.3200,1.3400,1.2378,24678800,
21 Jun 2024,1.3600,1.3700,1.3300,1.3700,1.2655,23368800,
14 Jun 2024,1.3700,1.3800,1.3200,1.3600,1.2563,36211800,
7 Jun 2024,1.3900,1.4000,1.3700,1.3700,1.2655,25422700,
31 May 2024,1.4000,1.4200,1.3800,1.3900,1.2840,24338200,
24 May 2024,1.3900,1.4100,1.3600,1.4000,1.2932,42269000,
17 May 2024,1.4400,1.4600,1.3900,1.3900,1.2840,62048600,
10 May 2024,1.4500,1.4500,1.4100,1.4400,1.3302,34940800,
6 May 2024,,,,,,,0.0376 Dividend
3 May 2024,1.4900,1.5000,1.4600,1.4800,1.3324,23578800,
26 Apr 2024,1.4500,1.5000,1.4500,1.4800,1.3324,30708345,
19 Apr 2024,1.4800,1.4800,1.4300,1.4500,1.3054,29930700,
12 Apr 2024,1.4800,1.5000,1.4600,1.4800,1.3324,27810700,
5 Apr 2024,1.4100,1.4800,1.4000,1.4700,1.3234,54595200,
29 Mar 2024,1.3900,1.4100,1.3800,1.4000,1.2604,22018600,
22 Mar 2024,1.3900,1.4000,1.3800,1.3800,1.2424,13108600,
15 Mar 2024,1.3500,1.3900,1.3500,1.3900,1.2514,27471100,
8 Mar 2024,1.3700,1.3700,1.3400,1.3500,1.2154,22794900,
1 Mar 2024,1.3900,1.3900,1.3500,1.3600,1.2244,25060800,
23 Feb 2024,1.4100,1.4100,1.3800,1.3900,1.2514,15811000,
16 Feb 2024,1.4000,1.4100,1.3400,1.4100,1.2694,33077900,
9 Feb 2024,1.4100,1.4200,1.3800,1.4000,1.2604,18623300,
2 Feb 2024,1.3900,1.4100,1.3800,1.4100,1.2694,23548100,
26 Jan 2024,1.4000,1.4200,1.3800,1.3900,1.2514,12869100,
19 Jan 2024,1.4000,1.4200,1.3700,1.3900,1.2514,26398100,
12 Jan 2024,1.4200,1.4300,1.3900,1.4100,1.2694,21117100,
5 Jan 2024,1.4000,1.4200,1.4000,1.4200,1.2784,20359800,
29 Dec 2023,1.3800,1.4100,1.3700,1.4000,1.2604,14538500,
22 Dec 2023,1.4000,1.4000,1.3500,1.3800,1.2424,23385400,
15 Dec 2023,1.3500,1.4100,1.3400,1.4100,1.2694,49987000,
8 Dec 2023,1.3000,1.3500,1.2900,1.3500,1.2154,25337100,
1 Dec 2023,1.3400,1.3500,1.2800,1.2900,1.1614,41388000,
24 Nov 2023,1.3400,1.3500,1.3100,1.3400,1.2064,23525100,
17 Nov 2023,1.3200,1.3500,1.3100,1.3300,1.1974,18177900,
10 Nov 2023,1.3300,1.3500,1.3000,1.3200,1.1884,29068700,
3 Nov 2023,1.3000,1.3300,1.3000,1.3200,1.1884,20610200,
27 Oct 2023,1.2800,1.3100,1.2700,1.3000,1.1704,35080200,
20 Oct 2023,1.3300,1.3400,1.2700,1.2800,1.1524,32496700,
13 Oct 2023,1.3000,1.3600,1.2900,1.3300,1.1974,37185600,
6 Oct 2023,1.2900,1.3000,1.2700,1.2900,1.1614,28958800,
29 Sep 2023,1.2700,1.3000,1.2700,1.3000,1.1704,34147500,
22 Sep 2023,1.2800,1.3000,1.2600,1.2800,1.1524,24432600,
15 Sep 2023,1.2600,1.2900,1.2500,1.2800,1.1524,33056600,
8 Sep 2023,1.2700,1.2900,1.2500,1.2500,1.1253,22022100,
1 Sep 2023,1.2700,1.2900,1.2500,1.2700,1.1433,13265800,
25 Aug 2023,1.2600,1.2800,1.2300,1.2700,1.1433,21652400,
21 Aug 2023,,,,,,,0.0290 Dividend
18 Aug 2023,1.2700,1.3000,1.2500,1.2900,1.1352,50329800,
11 Aug 2023,1.2700,1.2700,1.2500,1.2600,1.1088,20871800,
4 Aug 2023,1.2500,1.2700,1.2500,1.2600,1.1088,25378100,
28 Jul 2023,1.2500,1.2600,1.2400,1.2400,1.0912,34529900,
21 Jul 2023,1.2200,1.2600,1.2100,1.2500,1.1000,39351200,
14 Jul 2023,1.1900,1.2300,1.1900,1.2300,1.0824,31411300,
7 Jul 2023,1.1600,1.2000,1.1600,1.2000,1.0560,39357300,
30 Jun 2023,1.1800,1.2000,1.1500,1.1600,1.0208,45471200,
23 Jun 2023,1.1300,1.1800,1.1200,1.1700,1.0296,71339400,
16 Jun 2023,1.0300,1.1400,1.0300,1.1300,0.9944,59588100,
9 Jun 2023,1.0800,1.0900,1.0100,1.0300,0.9064,68291700,
2 Jun 2023,1.1300,1.1300,1.0800,1.0800,0.9504,38490200,
26 May 2023,1.1300,1.1400,1.1000,1.1200,0.9856,29529500,
19 May 2023,1.1800,1.1800,1.1100,1.1300,0.9944,46899800,
12 May 2023,1.1900,1.2100,1.1700,1.1800,1.0384,22854800,
8 May 2023,,,,,,,0.0422 Dividend
5 May 2023,1.1900,1.2300,1.1900,1.2300,1.0453,29304000,
28 Apr 2023,1.2100,1.2200,1.1800,1.1900,1.0113,28451400,
21 Apr 2023,1.2000,1.2200,1.1900,1.2100,1.0283,23916100,
14 Apr 2023,1.1900,1.2100,1.1900,1.2000,1.0198,21071000,
7 Apr 2023,1.1900,1.2100,1.1800,1.1900,1.0113,21684900,
31 Mar 2023,1.1900,1.1900,1.1700,1.1800,1.0028,21634700,
24 Mar 2023,1.1600,1.2000,1.1600,1.1900,1.0113,22534200,
17 Mar 2023,1.1800,1.1900,1.1600,1.1700,0.9943,32522900,
10 Mar 2023,1.2100,1.2100,1.1800,1.1900,1.0113,23058100,
3 Mar 2023,1.2000,1.2300,1.1900,1.2100,1.0283,46167200,
24 Feb 2023,1.1900,1.2000,1.1500,1.2000,1.0198,19993600,
17 Feb 2023,1.2000,1.2000,1.1800,1.1900,1.0113,13378800,
10 Feb 2023,1.1900,1.2000,1.1800,1.2000,1.0198,21726900,
3 Feb 2023,1.2100,1.2100,1.1800,1.1900,1.0113,40959900,
27 Jan 2023,1.1600,1.2200,1.1600,1.2100,1.0283,31853900,
20 Jan 2023,1.1700,1.1800,1.1300,1.1600,0.9858,69671300,
13 Jan 2023,1.2400,1.2400,1.1600,1.1700,0.9943,80718700,
6 Jan 2023,1.2300,1.2400,1.2200,1.2300,1.0453,10902500,
30 Dec 2022,1.2200,1.2400,1.2200,1.2300,1.0453,7107600,
23 Dec 2022,1.2300,1.2400,1.2100,1.2200,1.0368,42799100,
16 Dec 2022,1.2500,1.2600,1.2200,1.2300,1.0453,42715200,
9 Dec 2022,1.2400,1.2700,1.2400,1.2500,1.0623,24997700,
2 Dec 2022,1.2400,1.2500,1.2200,1.2400,1.0538,46557300,
25 Nov 2022,1.2500,1.2600,1.2300,1.2400,1.0538,35867800,
18 Nov 2022,1.3700,1.3700,1.2100,1.2500,1.0623,127865200,
11 Nov 2022,1.3300,1.3800,1.3300,1.3700,1.1643,54732400,
4 Nov 2022,1.2700,1.3400,1.2600,1.3200,1.1218,40411200,
28 Oct 2022,1.2700,1.2800,1.2300,1.2600,1.0708,32690600,
21 Oct 2022,1.2700,1.3000,1.2600,1.2700,1.0793,49993700,
14 Oct 2022,1.2800,1.3100,1.2500,1.2700,1.0793,83857200,
7 Oct 2022,1.3000,1.3100,1.2700,1.2800,1.0878,62477900,
30 Sep 2022,1.3900,1.3900,1.2900,1.3200,1.1218,72746100,
23 Sep 2022,1.4000,1.4100,1.3900,1.4000,1.1898,22141600,
16 Sep 2022,1.3800,1.4200,1.3700,1.4000,1.1898,67193009,
9 Sep 2022,1.3800,1.3900,1.3600,1.3800,1.1728,27337200,
2 Sep 2022,1.4100,1.4200,1.3600,1.3800,1.1728,41387400,
26 Aug 2022,1.4300,1.4300,1.4000,1.4200,1.2068,22194100,
19 Aug 2022,,,,,,,0.0426 Dividend
19 Aug 2022,1.4700,1.5000,1.4200,1.4300,1.2153,46103800,
12 Aug 2022,1.4500,1.4700,1.4300,1.4600,1.2051,20922200,
5 Aug 2022,1.4300,1.4500,1.4200,1.4400,1.1885,20288500,
29 Jul 2022,1.4400,1.4500,1.4200,1.4200,1.1720,15279900,
