Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,3.9000,3.9000,3.8300,3.8300,3.8300,5800,
4 Aug 2026,,,,,,,0.1600 Dividend
31 Jul 2026,3.9000,4.0800,3.8400,3.8400,3.6825,5800,
24 Jul 2026,3.8000,4.1000,3.8000,3.9000,3.7400,87300,
17 Jul 2026,3.7500,3.8000,3.6500,3.6500,3.5003,7900,
10 Jul 2026,3.7500,3.7500,3.6800,3.6800,3.5290,5000,
3 Jul 2026,3.6500,3.7500,3.6500,3.7500,3.5962,13000,
26 Jun 2026,3.8000,3.8000,3.5000,3.6000,3.4523,4500,
19 Jun 2026,3.5200,3.8000,3.5200,3.8000,3.6441,1000,
12 Jun 2026,3.5200,3.5200,3.5200,3.5200,3.3756,0,
5 Jun 2026,3.5200,3.6000,3.5200,3.5200,3.3756,26300,
29 May 2026,3.5200,3.5200,3.5200,3.5200,3.3756,500,
22 May 2026,3.7800,3.7800,3.5200,3.5200,3.3756,1500,
15 May 2026,3.3500,3.4500,3.3500,3.4500,3.3085,200,
8 May 2026,3.3500,3.3500,3.3500,3.3500,3.2126,0,
1 May 2026,3.5500,3.5500,3.3500,3.3500,3.2126,2000,
24 Apr 2026,3.5800,3.6000,3.5500,3.5500,3.4044,3000,
17 Apr 2026,3.5800,3.5800,3.5800,3.5800,3.4331,0,
10 Apr 2026,3.5800,3.5800,3.5800,3.5800,3.4331,100,
3 Apr 2026,3.4300,3.5800,3.4000,3.5800,3.4331,3700,
27 Mar 2026,3.4700,3.5400,3.4300,3.4300,3.2893,1200,
20 Mar 2026,3.4600,3.4600,3.4000,3.4600,3.3181,1000,
13 Mar 2026,3.4700,3.4700,3.4600,3.4600,3.3181,1900,
6 Mar 2026,3.5000,3.5000,3.4700,3.4700,3.3276,3900,
27 Feb 2026,3.4700,3.6000,3.4700,3.5100,3.3660,2500,
20 Feb 2026,3.4700,3.4700,3.4700,3.4700,3.3276,0,
13 Feb 2026,3.4700,3.4800,3.4700,3.4700,3.3276,1100,
6 Feb 2026,3.6000,3.7600,3.4700,3.4700,3.3276,5100,
30 Jan 2026,3.4700,3.6000,3.4700,3.6000,3.4523,2300,
23 Jan 2026,3.4200,3.4700,3.3000,3.4700,3.3276,28500,
16 Jan 2026,3.6900,3.8100,3.6000,3.6000,3.4523,13500,
9 Jan 2026,3.6000,3.6000,3.6000,3.6000,3.4523,200,
2 Jan 2026,3.7400,3.7400,3.6000,3.6000,3.4523,200,
26 Dec 2025,3.5000,3.7400,3.5000,3.7400,3.5866,4000,
19 Dec 2025,3.5000,3.5000,3.5000,3.5000,3.3564,0,
12 Dec 2025,3.5600,3.6200,3.5000,3.5000,3.3564,2300,
5 Dec 2025,3.6000,3.6000,3.5600,3.5600,3.4139,9600,
28 Nov 2025,3.5600,3.5600,3.5600,3.5600,3.4139,0,
21 Nov 2025,3.5000,3.5600,3.5000,3.5600,3.4139,2600,
14 Nov 2025,3.4100,3.5500,3.4000,3.5000,3.3564,2400,
7 Nov 2025,3.4100,3.4100,3.4100,3.4100,3.2701,2200,
31 Oct 2025,3.4100,3.4100,3.4100,3.4100,3.2701,0,
24 Oct 2025,3.4100,3.4100,3.4100,3.4100,3.2701,0,
17 Oct 2025,3.5000,3.5000,3.4000,3.4100,3.2701,8100,
10 Oct 2025,3.4200,3.4200,3.4200,3.4200,3.2797,700,
3 Oct 2025,3.4000,3.4000,3.4000,3.4000,3.2605,100,
26 Sep 2025,3.4900,3.4900,3.3800,3.3800,3.2413,200,
19 Sep 2025,3.5100,3.5100,3.4900,3.4900,3.3468,5100,
12 Sep 2025,3.5200,3.5200,3.4800,3.4800,3.3372,6000,
5 Sep 2025,3.5200,3.5200,3.5100,3.5200,3.3756,5300,
29 Aug 2025,3.5000,3.5100,3.5000,3.5100,3.3660,7600,
22 Aug 2025,3.7700,3.7700,3.7700,3.7700,3.6153,0,
15 Aug 2025,3.7600,3.7700,3.7600,3.7700,3.6153,1300,
8 Aug 2025,3.7100,3.7900,3.7100,3.7700,3.6153,3400,
6 Aug 2025,,,,,,,0.1600 Dividend
1 Aug 2025,3.7500,3.8000,3.7000,3.8000,3.4903,6700,
25 Jul 2025,3.7500,3.7500,3.7100,3.7100,3.4076,25400,
18 Jul 2025,3.2600,3.7500,3.2600,3.7500,3.4443,17100,
11 Jul 2025,3.2800,3.2800,3.2600,3.2600,2.9943,3400,
4 Jul 2025,3.3200,3.3400,3.2800,3.2800,3.0126,6400,
27 Jun 2025,3.3000,3.3200,3.3000,3.3200,3.0494,500,
20 Jun 2025,3.2600,3.3000,3.2600,3.3000,3.0310,7000,
13 Jun 2025,3.2500,3.2600,3.2500,3.2600,2.9943,5200,
