Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,73.8200,74.5500,73.3600,74.4300,74.4300,6215920,
31 Jul 2026,73.5700,75.0000,73.1800,74.0200,74.0200,21858600,
24 Jul 2026,71.9700,73.9400,71.3700,73.9400,73.9400,21819418,
17 Jul 2026,70.3000,73.5500,69.4000,71.9600,71.9600,24217600,
10 Jul 2026,66.5900,70.4500,66.4800,70.4500,70.4500,20405800,
3 Jul 2026,65.4000,66.8000,65.3000,66.7600,66.7600,16707247,
26 Jun 2026,65.4000,67.0000,65.1000,65.4300,65.4300,21103609,
19 Jun 2026,63.3100,66.2500,63.0800,65.9600,65.9600,27781470,
12 Jun 2026,63.0000,64.1000,61.6000,63.2400,63.2400,34508900,
5 Jun 2026,63.1400,65.1900,63.1400,63.7800,63.7800,18893411,
29 May 2026,62.4000,62.8400,61.7100,62.8400,62.8400,18275508,
22 May 2026,59.9700,62.1000,59.9000,62.1000,62.1000,28084860,
15 May 2026,58.5300,60.4200,58.0500,60.2000,60.2000,32481200,
11 May 2026,,,,,,,0.8100 Dividend
8 May 2026,58.8000,59.6000,58.2300,58.6800,57.8700,25681811,
1 May 2026,56.9000,59.0000,56.5600,58.5000,57.6925,27381700,
24 Apr 2026,57.2300,57.5500,56.6500,56.9000,56.1146,21449639,
17 Apr 2026,57.3500,57.8800,57.1300,57.2500,56.4597,23904500,
10 Apr 2026,57.5900,57.8500,57.0100,57.3500,56.5584,23556182,
8 Apr 2026,,,,,,,0.8100 Dividend
3 Apr 2026,56.8500,58.1500,56.5300,57.5500,55.9557,22523513,
27 Mar 2026,55.5000,57.5700,55.4500,57.1500,55.5668,22089274,
20 Mar 2026,55.0100,57.9300,55.0100,57.4000,55.8098,31090240,
13 Mar 2026,54.4000,55.8900,53.5000,55.3100,53.7777,27661326,
6 Mar 2026,56.7000,56.7400,54.6400,55.0000,53.4763,44191666,
27 Feb 2026,58.0700,58.1500,56.9200,57.1200,55.5376,22896700,
20 Feb 2026,57.0100,58.1300,56.8000,57.9900,56.3835,14288000,
13 Feb 2026,58.4100,58.9500,56.8000,57.0600,55.4792,42076300,
6 Feb 2026,59.0100,59.9300,58.4600,59.3000,57.6572,24022500,
