Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,3.8600,3.9800,3.8200,3.8600,3.8600,2368000,
31 Jul 2026,3.4100,4.0200,3.3200,3.9500,3.9500,14316200,
24 Jul 2026,3.5800,3.6100,3.3100,3.4300,3.4300,7155800,
17 Jul 2026,3.7000,3.7500,3.5400,3.6000,3.6000,4548300,
10 Jul 2026,3.6600,3.7600,3.5300,3.7000,3.7000,6332800,
3 Jul 2026,3.7100,3.8400,3.5800,3.6600,3.6600,3707600,
26 Jun 2026,3.6700,3.8500,3.6200,3.6900,3.6900,6244600,
19 Jun 2026,3.7900,3.8800,3.4900,3.6800,3.6800,6906700,
12 Jun 2026,3.8300,3.9000,3.7100,3.7600,3.7600,4893500,
5 Jun 2026,3.9300,3.9900,3.8200,3.8500,3.8500,4977900,
29 May 2026,4.2200,4.3000,3.9000,4.0000,4.0000,6920600,
22 May 2026,4.2000,4.2500,4.0500,4.2200,4.2200,5340300,
15 May 2026,4.2200,4.2700,4.1000,4.2000,4.2000,6878900,
8 May 2026,4.1800,4.2500,4.0500,4.2300,4.2300,4577000,
1 May 2026,4.2000,4.3100,4.1300,4.1800,4.1800,3914000,
24 Apr 2026,4.1000,4.3800,4.0200,4.2200,4.2200,8648800,
17 Apr 2026,4.2700,4.3600,4.0600,4.0700,4.0700,8892600,
10 Apr 2026,4.3100,4.6000,4.2600,4.2900,4.2900,10591200,
3 Apr 2026,4.3400,4.3500,4.1300,4.3400,4.3400,8029600,
27 Mar 2026,4.3000,4.4200,4.1300,4.3500,4.3500,9763600,
20 Mar 2026,4.6900,4.8200,4.3600,4.4100,4.4100,11699400,
19 Mar 2026,,,,,,,0.1050 Dividend
13 Mar 2026,4.2500,4.7800,4.2000,4.6900,4.5852,14707900,
6 Mar 2026,4.1200,4.5300,3.7100,4.3400,4.2430,13339200,
27 Feb 2026,4.2300,4.3500,4.0800,4.1900,4.0964,8206500,
20 Feb 2026,4.1200,4.2200,4.1000,4.2100,4.1159,2924300,
13 Feb 2026,4.2100,4.3600,4.1000,4.1200,4.0280,5473200,
6 Feb 2026,4.1200,4.2900,4.0900,4.2000,4.1062,4048000,
30 Jan 2026,4.0800,4.2100,4.0600,4.1200,4.0280,4487500,
23 Jan 2026,3.9900,4.1900,3.9000,4.0800,3.9889,8819700,
16 Jan 2026,3.9900,4.0100,3.9000,3.9400,3.8520,2875700,
9 Jan 2026,3.9300,3.9900,3.8600,3.9900,3.9009,4064100,
2 Jan 2026,3.9500,4.0000,3.9200,3.9300,3.8422,2006800,
26 Dec 2025,4.0600,4.0700,3.9100,3.9600,3.8715,1558400,
19 Dec 2025,3.9600,4.0800,3.9100,4.0500,3.9595,5274400,
12 Dec 2025,4.0700,4.1000,3.8600,4.0000,3.9106,6815400,
5 Dec 2025,3.4400,4.2200,3.4400,4.1000,4.0084,13519900,
28 Nov 2025,3.4200,3.4600,3.3600,3.4400,3.3631,3217300,
21 Nov 2025,3.5000,3.5900,3.3800,3.4100,3.3338,2664700,
14 Nov 2025,3.3400,3.5000,3.3000,3.5000,3.4218,3187500,
7 Nov 2025,3.5200,3.5500,3.3200,3.3400,3.2654,5375400,
31 Oct 2025,3.4800,3.5600,3.3600,3.5100,3.4316,5003700,
24 Oct 2025,3.4100,3.4800,3.4000,3.4700,3.3925,3585828,
17 Oct 2025,3.2900,3.4300,3.2500,3.3900,3.3143,3354600,
