Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.4850,0.4900,0.4800,0.4850,0.4850,550400,
31 Jul 2026,0.4850,0.4900,0.4750,0.4850,0.4850,1885900,
24 Jul 2026,0.4800,0.4850,0.4800,0.4850,0.4850,1499200,
17 Jul 2026,0.4850,0.4850,0.4800,0.4850,0.4850,1016600,
10 Jul 2026,0.4850,0.4900,0.4800,0.4800,0.4800,1094900,
3 Jul 2026,0.4800,0.4850,0.4700,0.4850,0.4850,2021000,
26 Jun 2026,0.4850,0.4850,0.4750,0.4800,0.4800,3752700,
19 Jun 2026,0.4950,0.4950,0.4800,0.4850,0.4850,3999300,
12 Jun 2026,0.4900,0.4950,0.4850,0.4900,0.4900,1391800,
5 Jun 2026,0.4950,0.4950,0.4900,0.4900,0.4900,1418100,
29 May 2026,0.4850,0.4950,0.4850,0.4950,0.4950,1718600,
22 May 2026,0.4900,0.4900,0.4850,0.4850,0.4850,3041300,
15 May 2026,0.4950,0.4950,0.4850,0.4900,0.4900,1968000,
8 May 2026,0.4950,0.4950,0.4900,0.4900,0.4900,2189200,
1 May 2026,0.4950,0.5000,0.4900,0.4950,0.4950,2039300,
24 Apr 2026,0.5050,0.5050,0.4950,0.4950,0.4950,3137800,
17 Apr 2026,0.5000,0.5050,0.4950,0.5050,0.5050,3394700,
10 Apr 2026,0.4950,0.5100,0.4900,0.5000,0.5000,2893100,
3 Apr 2026,0.4900,0.4950,0.4850,0.4900,0.4900,3771900,
27 Mar 2026,0.4950,0.5000,0.4900,0.4950,0.4950,2540700,
20 Mar 2026,0.5050,0.5100,0.4900,0.4950,0.4950,5047900,
13 Mar 2026,0.5200,0.5200,0.5000,0.5000,0.5000,4873300,
6 Mar 2026,0.5500,0.5550,0.5150,0.5200,0.5200,5245100,
6 Mar 2026,,,,,,,0.0209 Dividend
27 Feb 2026,0.5600,0.5650,0.5550,0.5600,0.5383,5843000,
20 Feb 2026,0.5500,0.5600,0.5500,0.5550,0.5335,1360100,
13 Feb 2026,0.5600,0.5600,0.5500,0.5500,0.5287,3130300,
6 Feb 2026,0.5600,0.5600,0.5500,0.5550,0.5335,2728800,
30 Jan 2026,0.5650,0.5650,0.5550,0.5550,0.5335,4431000,
23 Jan 2026,0.5600,0.5650,0.5600,0.5650,0.5431,1510100,
16 Jan 2026,0.5700,0.5700,0.5600,0.5650,0.5431,3669800,
9 Jan 2026,0.5650,0.5700,0.5650,0.5650,0.5431,2375800,
2 Jan 2026,0.5650,0.5700,0.5650,0.5650,0.5431,1238100,
26 Dec 2025,0.5650,0.5700,0.5600,0.5650,0.5431,1336400,
19 Dec 2025,0.5650,0.5700,0.5650,0.5650,0.5431,2486700,
12 Dec 2025,0.5650,0.5700,0.5650,0.5650,0.5431,1868200,
5 Dec 2025,0.5650,0.5700,0.5650,0.5650,0.5431,847200,
28 Nov 2025,0.5650,0.5700,0.5650,0.5700,0.5479,965300,
21 Nov 2025,0.5700,0.5750,0.5650,0.5650,0.5431,968900,
14 Nov 2025,0.5700,0.5750,0.5700,0.5700,0.5479,897500,
7 Nov 2025,0.5750,0.5800,0.5650,0.5700,0.5479,3069300,
31 Oct 2025,0.5800,0.5850,0.5750,0.5750,0.5527,3392000,
24 Oct 2025,0.5800,0.5850,0.5750,0.5800,0.5576,558700,
17 Oct 2025,0.5750,0.5850,0.5700,0.5800,0.5576,1531500,
10 Oct 2025,0.5850,0.5850,0.5800,0.5800,0.5576,1427700,
3 Oct 2025,0.5800,0.5850,0.5750,0.5850,0.5624,1087000,
26 Sep 2025,0.5850,0.5900,0.5700,0.5750,0.5527,1427100,
19 Sep 2025,0.5900,0.5900,0.5800,0.5800,0.5576,1393500,
12 Sep 2025,0.5850,0.5900,0.5700,0.5900,0.5672,2485100,
5 Sep 2025,0.5700,0.5850,0.5700,0.5850,0.5624,1341000,
29 Aug 2025,0.5650,0.5750,0.5650,0.5700,0.5479,794400,
22 Aug 2025,0.5650,0.5650,0.5550,0.5600,0.5383,1636600,
15 Aug 2025,0.5800,0.5850,0.5600,0.5650,0.5431,2679300,
15 Aug 2025,,,,,,,0.0224 Dividend
8 Aug 2025,0.5700,0.5800,0.5650,0.5800,0.5362,2640300,
1 Aug 2025,0.5800,0.5800,0.5650,0.5700,0.5270,3259300,
25 Jul 2025,0.5700,0.5800,0.5650,0.5750,0.5316,3114400,
18 Jul 2025,0.5700,0.5700,0.5650,0.5650,0.5223,1861900,
11 Jul 2025,0.5650,0.5700,0.5600,0.5700,0.5270,1038700,
4 Jul 2025,0.5650,0.5700,0.5600,0.5650,0.5223,4364400,
27 Jun 2025,0.5650,0.5700,0.5600,0.5700,0.5270,2173200,
20 Jun 2025,0.5650,0.5700,0.5600,0.5650,0.5223,1093600,
13 Jun 2025,0.5650,0.5700,0.5600,0.5650,0.5223,2488500,
6 Jun 2025,0.5700,0.5700,0.5600,0.5650,0.5223,1965500,
30 May 2025,0.5700,0.5750,0.5650,0.5650,0.5223,902700,
23 May 2025,0.5600,0.5650,0.5550,0.5600,0.5177,1177500,
16 May 2025,0.5750,0.5750,0.5500,0.5550,0.5131,2010600,
9 May 2025,0.5700,0.5750,0.5650,0.5700,0.5270,902700,
2 May 2025,0.5700,0.5750,0.5600,0.5700,0.5270,579300,
25 Apr 2025,0.5500,0.5700,0.5500,0.5700,0.5270,1123900,
18 Apr 2025,0.5400,0.5650,0.5400,0.5500,0.5085,1051800,
11 Apr 2025,0.5600,0.5650,0.5200,0.5400,0.4992,4133900,
4 Apr 2025,0.5750,0.5800,0.5600,0.5650,0.5223,1079400,
28 Mar 2025,0.5750,0.5800,0.5600,0.5750,0.5316,1743500,
21 Mar 2025,0.5700,0.5750,0.5650,0.5750,0.5316,551800,
14 Mar 2025,0.5700,0.5700,0.5550,0.5700,0.5270,2611100,
7 Mar 2025,,,,,,,0.0234 Dividend
7 Mar 2025,0.5850,0.6000,0.5700,0.5700,0.5270,2088300,
28 Feb 2025,0.5800,0.5850,0.5750,0.5850,0.5196,1762600,
21 Feb 2025,0.5800,0.6000,0.5800,0.5850,0.5196,1819900,
14 Feb 2025,0.5800,0.5900,0.5800,0.5850,0.5196,608900,
7 Feb 2025,0.5850,0.5850,0.5700,0.5800,0.5151,1719200,
31 Jan 2025,0.5800,0.5850,0.5750,0.5800,0.5151,863900,
24 Jan 2025,0.5900,0.5950,0.5800,0.5800,0.5151,836800,
17 Jan 2025,0.5850,0.5950,0.5800,0.5950,0.5284,476800,
10 Jan 2025,0.5850,0.5900,0.5800,0.5850,0.5196,974800,
3 Jan 2025,0.5750,0.5850,0.5700,0.5850,0.5196,1052000,
27 Dec 2024,0.5850,0.5850,0.5700,0.5700,0.5062,1370500,
20 Dec 2024,0.5950,0.6000,0.5750,0.5750,0.5107,2283000,
13 Dec 2024,0.5800,0.5950,0.5750,0.5900,0.5240,1277500,
6 Dec 2024,0.5900,0.5950,0.5750,0.5850,0.5196,1542200,
29 Nov 2024,0.5800,0.5900,0.5700,0.5900,0.5240,1876500,
22 Nov 2024,0.5700,0.5850,0.5700,0.5800,0.5151,1906500,
15 Nov 2024,0.5750,0.5850,0.5700,0.5700,0.5062,2174100,
8 Nov 2024,0.5950,0.5950,0.5650,0.5700,0.5062,4638900,
1 Nov 2024,0.5950,0.5950,0.5900,0.5900,0.5240,346300,
