Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.4900,0.4950,0.4850,0.4900,0.4900,2943600,
31 Jul 2026,0.5000,0.5000,0.4850,0.4900,0.4900,17409400,
24 Jul 2026,0.4950,0.5050,0.4850,0.4950,0.4950,11737800,
17 Jul 2026,0.4950,0.5000,0.4750,0.4950,0.4950,16351100,
10 Jul 2026,0.5100,0.5200,0.4850,0.4950,0.4950,17190000,
3 Jul 2026,0.5000,0.5150,0.5000,0.5150,0.5150,13409200,
26 Jun 2026,0.4950,0.5100,0.4900,0.5000,0.5000,21203807,
19 Jun 2026,0.4850,0.5000,0.4850,0.4950,0.4950,12773600,
12 Jun 2026,0.4900,0.5000,0.4850,0.4850,0.4850,6995500,
5 Jun 2026,0.4900,0.4900,0.4800,0.4900,0.4900,12191800,
29 May 2026,0.5000,0.5050,0.4800,0.4900,0.4900,15218600,
22 May 2026,0.5050,0.5100,0.4900,0.4950,0.4950,14452000,
15 May 2026,0.5200,0.5250,0.5000,0.5050,0.5050,11096700,
8 May 2026,0.5150,0.5250,0.5100,0.5150,0.5150,10632300,
1 May 2026,0.5200,0.5300,0.5100,0.5150,0.5150,12135700,
24 Apr 2026,0.5200,0.5200,0.5050,0.5200,0.5200,17011200,
17 Apr 2026,0.5150,0.5350,0.5100,0.5200,0.5200,12182600,
10 Apr 2026,0.4950,0.5150,0.4900,0.5100,0.5100,7733500,
3 Apr 2026,0.4850,0.5050,0.4800,0.4900,0.4900,10102100,
27 Mar 2026,0.4850,0.4950,0.4750,0.4850,0.4850,18964700,
20 Mar 2026,0.4900,0.4950,0.4850,0.4850,0.4850,6864300,
13 Mar 2026,0.4850,0.5000,0.4750,0.4850,0.4850,10431000,
6 Mar 2026,0.5150,0.5150,0.4750,0.4900,0.4900,15630200,
27 Feb 2026,0.5250,0.5350,0.5150,0.5150,0.5150,13344100,
20 Feb 2026,0.5200,0.5300,0.5150,0.5200,0.5200,7612100,
13 Feb 2026,0.5200,0.5250,0.5050,0.5200,0.5200,16211300,
11 Feb 2026,,,,,,,0.0180 Dividend
6 Feb 2026,0.5400,0.5400,0.5150,0.5200,0.5022,17789200,
30 Jan 2026,0.5500,0.5550,0.5350,0.5400,0.5215,15079100,
23 Jan 2026,0.5500,0.5550,0.5400,0.5500,0.5311,13143400,
16 Jan 2026,0.5400,0.5650,0.5400,0.5500,0.5311,13538200,
9 Jan 2026,0.5450,0.5750,0.5350,0.5400,0.5215,44954100,
2 Jan 2026,0.5000,0.5100,0.4950,0.5100,0.4925,3470700,
26 Dec 2025,0.4950,0.5050,0.4900,0.5000,0.4829,5499700,
19 Dec 2025,0.5000,0.5100,0.4850,0.4900,0.4732,16233100,
12 Dec 2025,0.4950,0.5150,0.4900,0.5000,0.4829,13074200,
5 Dec 2025,0.5100,0.5150,0.4900,0.4950,0.4780,9494300,
28 Nov 2025,0.4950,0.5200,0.4900,0.5050,0.4877,11176400,
21 Nov 2025,0.5000,0.5050,0.4850,0.4900,0.4732,8978200,
14 Nov 2025,0.5050,0.5200,0.4950,0.4950,0.4780,8138500,
7 Nov 2025,0.5150,0.5200,0.4900,0.5050,0.4877,18147300,
31 Oct 2025,0.5100,0.5450,0.5050,0.5150,0.4973,19719700,
