Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,2.6200,2.6400,2.4800,2.5000,2.5000,3886700,
4 Aug 2026,,,,,,,0.1151 Dividend
31 Jul 2026,2.4600,2.6700,2.4500,2.6200,2.5053,9571200,
24 Jul 2026,2.2900,2.4800,2.2900,2.4500,2.3428,5967600,
17 Jul 2026,2.3200,2.3400,2.2800,2.2900,2.1898,2953700,
10 Jul 2026,2.3000,2.3500,2.3000,2.3200,2.2185,2656200,
3 Jul 2026,2.3600,2.3800,2.2600,2.3000,2.1993,4600700,
26 Jun 2026,2.3500,2.4000,2.3400,2.3800,2.2758,2638700,
19 Jun 2026,2.3700,2.4300,2.3400,2.3500,2.2472,5267000,
12 Jun 2026,2.3700,2.4000,2.3300,2.3700,2.2663,3748800,
5 Jun 2026,2.3800,2.3900,2.3500,2.3700,2.2663,2572700,
29 May 2026,2.3800,2.4000,2.3600,2.3800,2.2758,2868500,
22 May 2026,2.4000,2.4300,2.3700,2.3800,2.2758,2839200,
15 May 2026,2.4100,2.4200,2.3800,2.4200,2.3141,2456600,
8 May 2026,2.4200,2.4800,2.3800,2.4200,2.3141,6634400,
1 May 2026,2.4600,2.5100,2.4000,2.4200,2.3141,5451100,
24 Apr 2026,2.4700,2.5000,2.4500,2.4800,2.3715,3622300,
17 Apr 2026,2.3400,2.4800,2.3400,2.4700,2.3619,3675600,
10 Apr 2026,2.2800,2.3800,2.2700,2.3700,2.2663,2886200,
3 Apr 2026,2.2800,2.3100,2.2300,2.2800,2.1802,4202500,
27 Mar 2026,2.3500,2.3500,2.2800,2.3000,2.1993,5055700,
20 Mar 2026,2.3500,2.4000,2.3300,2.3600,2.2567,3390300,
13 Mar 2026,2.3400,2.4100,2.2800,2.3500,2.2472,7683600,
6 Mar 2026,2.4800,2.4800,2.3300,2.3800,2.2758,8093600,
27 Feb 2026,2.5200,2.5500,2.4900,2.4900,2.3810,7777400,
20 Feb 2026,2.4600,2.5300,2.4300,2.5200,2.4097,4772600,
13 Feb 2026,2.7000,2.7000,2.4400,2.4600,2.3523,12439900,
11 Feb 2026,,,,,,,0.1067 Dividend
6 Feb 2026,2.7300,2.7600,2.6700,2.6800,2.4603,8433500,
30 Jan 2026,2.8000,2.8000,2.7200,2.7300,2.5062,5311500,
23 Jan 2026,2.8000,2.8200,2.7500,2.8000,2.5704,4931300,
16 Jan 2026,2.7900,2.8200,2.7800,2.8000,2.5704,3295918,
9 Jan 2026,2.7300,2.8200,2.7000,2.8100,2.5796,4136800,
2 Jan 2026,2.7000,2.7400,2.6800,2.7300,2.5062,1872500,
26 Dec 2025,2.6600,2.7000,2.6600,2.7000,2.4786,2052200,
19 Dec 2025,2.7200,2.7300,2.6700,2.6700,2.4511,5283100,
12 Dec 2025,2.7700,2.7700,2.7100,2.7400,2.5153,3359100,
5 Dec 2025,2.7700,2.8100,2.7600,2.7800,2.5521,3657800,
28 Nov 2025,2.7300,2.7900,2.7300,2.7700,2.5429,3969300,
21 Nov 2025,2.7600,2.7700,2.7200,2.7300,2.5062,3174200,
14 Nov 2025,2.8100,2.8200,2.7500,2.7500,2.5245,4469200,
7 Nov 2025,2.8600,2.8600,2.7700,2.8100,2.5796,6168400,
31 Oct 2025,2.9100,2.9100,2.8600,2.8600,2.6255,4951900,
