Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.8250,0.8500,0.8250,0.8450,0.8450,183900,
31 Jul 2026,0.8350,0.8850,0.8100,0.8250,0.8250,2021600,
24 Jul 2026,0.8000,0.8450,0.7900,0.8400,0.8400,1952200,
17 Jul 2026,0.8150,0.8150,0.7750,0.7950,0.7950,1016200,
10 Jul 2026,0.7950,0.8250,0.7750,0.8150,0.8150,12919600,
3 Jul 2026,0.7850,0.7950,0.7600,0.7850,0.7850,1517000,
26 Jun 2026,0.8150,0.8200,0.7700,0.7850,0.7850,1749400,
19 Jun 2026,0.8150,0.8550,0.8050,0.8100,0.8100,1659800,
12 Jun 2026,0.8000,0.8200,0.7850,0.8150,0.8150,1961100,
5 Jun 2026,0.8500,0.8550,0.7950,0.8050,0.8050,2283500,
29 May 2026,0.8600,0.8800,0.8400,0.8450,0.8450,1816300,
22 May 2026,0.8300,0.8950,0.8050,0.8600,0.8600,3490200,
15 May 2026,0.8150,0.8700,0.7950,0.8300,0.8300,2584800,
8 May 2026,0.8350,0.8350,0.7900,0.8100,0.8100,2284900,
1 May 2026,0.7640,0.8850,0.7560,0.8250,0.8250,6652525,
29 Apr 2026,,,,,,,0.0100 Dividend
24 Apr 2026,0.7320,0.8000,0.7320,0.7560,0.7464,5581625,
17 Apr 2026,0.6160,0.7680,0.6160,0.7400,0.7306,7363125,
10 Apr 2026,0.5880,0.6240,0.5760,0.6240,0.6161,3201625,
3 Apr 2026,0.5680,0.6000,0.5680,0.5880,0.5805,1638125,
27 Mar 2026,0.5920,0.5960,0.5720,0.5720,0.5647,3748487,
20 Mar 2026,0.6080,0.6200,0.5920,0.6000,0.5924,2056625,
13 Mar 2026,0.6000,0.6200,0.5840,0.6040,0.5963,2768075,
6 Mar 2026,0.6360,0.6440,0.6000,0.6160,0.6082,4005375,
27 Feb 2026,0.5960,0.6480,0.5960,0.6440,0.6358,5585625,
20 Feb 2026,0.5800,0.6120,0.5800,0.5960,0.5884,1597625,
13 Feb 2026,0.5880,0.6400,0.5720,0.5840,0.5766,17431500,
6 Feb 2026,0.5760,0.5760,0.5440,0.5560,0.5489,2590000,
30 Jan 2026,0.6000,0.6040,0.5600,0.5800,0.5726,2859375,
23 Jan 2026,0.6240,0.6280,0.6000,0.6040,0.5963,2044750,
16 Jan 2026,0.6240,0.6440,0.6200,0.6240,0.6161,1376750,
9 Jan 2026,0.6320,0.6400,0.6080,0.6280,0.6200,2139125,
2 Jan 2026,0.6520,0.6560,0.6320,0.6360,0.6279,1660000,
26 Dec 2025,0.5760,0.6560,0.5760,0.6560,0.6477,3653625,
19 Dec 2025,0.5560,0.5840,0.5520,0.5760,0.5687,2108750,
12 Dec 2025,0.5560,0.5680,0.5480,0.5560,0.5489,964375,
5 Dec 2025,0.5560,0.5640,0.5400,0.5560,0.5489,1078875,
28 Nov 2025,0.5480,0.5680,0.5480,0.5560,0.5489,999375,
21 Nov 2025,0.5720,0.5880,0.5480,0.5480,0.5410,2947250,
14 Nov 2025,0.5840,0.5840,0.5680,0.5720,0.5647,2047500,
7 Nov 2025,0.5680,0.6000,0.5680,0.5800,0.5726,4045375,
31 Oct 2025,0.5680,0.5760,0.5400,0.5680,0.5608,1811750,
24 Oct 2025,0.5480,0.5680,0.5480,0.5640,0.5568,1121875,
17 Oct 2025,0.5440,0.5800,0.5440,0.5480,0.5410,2761375,
10 Oct 2025,0.5200,0.5600,0.5200,0.5480,0.5410,1814000,
3 Oct 2025,0.5160,0.5240,0.5160,0.5200,0.5134,231625,
26 Sep 2025,0.5280,0.5400,0.5120,0.5200,0.5134,714375,
19 Sep 2025,0.5320,0.5600,0.5200,0.5200,0.5134,1616625,
12 Sep 2025,0.5400,0.5400,0.5200,0.5280,0.5213,898625,
5 Sep 2025,0.5720,0.6000,0.5360,0.5360,0.5292,1378375,
29 Aug 2025,0.4800,0.5800,0.4800,0.5760,0.5687,633750,
