Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.5800,0.5850,0.5700,0.5800,0.5800,1781800,
31 Jul 2026,0.5900,0.5950,0.5750,0.5750,0.5750,3571400,
24 Jul 2026,0.5800,0.5950,0.5700,0.5900,0.5900,4277500,
17 Jul 2026,0.5750,0.5850,0.5650,0.5750,0.5750,5017300,
10 Jul 2026,0.5700,0.5800,0.5650,0.5750,0.5750,2931800,
3 Jul 2026,0.5750,0.5800,0.5600,0.5700,0.5700,4202300,
26 Jun 2026,0.5750,0.5800,0.5650,0.5700,0.5700,4145200,
19 Jun 2026,0.5650,0.5850,0.5600,0.5750,0.5750,8652300,
12 Jun 2026,0.5650,0.5750,0.5600,0.5650,0.5650,4420200,
5 Jun 2026,0.5650,0.5750,0.5650,0.5700,0.5700,2690300,
29 May 2026,0.5700,0.5850,0.5600,0.5650,0.5650,5999000,
22 May 2026,0.5700,0.5750,0.5600,0.5650,0.5650,3951600,
15 May 2026,0.5800,0.5850,0.5650,0.5700,0.5700,4268300,
8 May 2026,0.5750,0.5900,0.5700,0.5800,0.5800,4343600,
1 May 2026,0.5800,0.5900,0.5700,0.5750,0.5750,3327000,
24 Apr 2026,0.5900,0.5950,0.5800,0.5800,0.5800,3586800,
17 Apr 2026,0.5750,0.5950,0.5750,0.5900,0.5900,6669900,
10 Apr 2026,0.5650,0.5800,0.5600,0.5750,0.5750,3211900,
3 Apr 2026,0.5700,0.5750,0.5600,0.5650,0.5650,4473600,
27 Mar 2026,0.5650,0.5750,0.5500,0.5650,0.5650,6008600,
20 Mar 2026,0.5600,0.5900,0.5600,0.5750,0.5750,9448200,
13 Mar 2026,0.5650,0.5800,0.5500,0.5600,0.5600,8825900,
6 Mar 2026,0.5900,0.5900,0.5500,0.5650,0.5650,7324200,
27 Feb 2026,0.6100,0.6100,0.5900,0.5900,0.5900,6774500,
23 Feb 2026,,,,,,,0.0145 Dividend
20 Feb 2026,0.6250,0.6250,0.6150,0.6250,0.6105,4213300,
13 Feb 2026,0.6200,0.6250,0.6100,0.6250,0.6105,6220700,
6 Feb 2026,0.6050,0.6200,0.6000,0.6200,0.6056,4464700,
30 Jan 2026,0.6150,0.6150,0.6050,0.6100,0.5958,7336900,
23 Jan 2026,0.6150,0.6200,0.6100,0.6150,0.6007,4403100,
16 Jan 2026,0.6150,0.6200,0.6100,0.6150,0.6007,3787400,
9 Jan 2026,0.6100,0.6150,0.6050,0.6150,0.6007,3111300,
2 Jan 2026,0.6100,0.6100,0.6050,0.6050,0.5910,1588700,
26 Dec 2025,0.6100,0.6100,0.6000,0.6000,0.5861,1936800,
19 Dec 2025,0.6100,0.6150,0.6000,0.6050,0.5910,4174100,
12 Dec 2025,0.6100,0.6100,0.6000,0.6100,0.5958,2718700,
5 Dec 2025,0.6050,0.6100,0.6000,0.6100,0.5958,3172200,
28 Nov 2025,0.6050,0.6100,0.6000,0.6050,0.5910,3678967,
21 Nov 2025,0.6100,0.6150,0.6000,0.6050,0.5910,4595200,
14 Nov 2025,0.6100,0.6150,0.6050,0.6100,0.5958,3433800,
7 Nov 2025,0.6100,0.6100,0.6000,0.6050,0.5910,3190000,
31 Oct 2025,0.6150,0.6150,0.6050,0.6050,0.5910,5547400,
24 Oct 2025,0.6100,0.6150,0.6000,0.6150,0.6007,3269700,
17 Oct 2025,0.6050,0.6100,0.6000,0.6000,0.5861,3810300,
10 Oct 2025,0.6100,0.6150,0.6000,0.6050,0.5910,4568000,
3 Oct 2025,0.6100,0.6150,0.6000,0.6100,0.5958,5894000,
26 Sep 2025,0.6150,0.6150,0.6000,0.6100,0.5958,4344600,
19 Sep 2025,0.6050,0.6150,0.6050,0.6150,0.6007,8632200,
12 Sep 2025,0.6000,0.6050,0.5950,0.6050,0.5910,5135200,
5 Sep 2025,0.5850,0.6000,0.5850,0.5950,0.5812,4794900,
29 Aug 2025,0.5850,0.5950,0.5800,0.5900,0.5763,7207300,
22 Aug 2025,0.5800,0.5900,0.5750,0.5800,0.5665,3375300,
15 Aug 2025,0.5800,0.5900,0.5750,0.5800,0.5665,4132400,
8 Aug 2025,0.6000,0.6100,0.5800,0.5800,0.5665,7214900,
6 Aug 2025,,,,,,,0.0225 Dividend
1 Aug 2025,0.6050,0.6150,0.5950,0.5950,0.5596,7500700,
25 Jul 2025,0.6000,0.6100,0.5950,0.6050,0.5690,8753100,
18 Jul 2025,0.5800,0.6100,0.5800,0.6000,0.5643,8812500,
11 Jul 2025,0.5700,0.5850,0.5700,0.5750,0.5408,3942200,
4 Jul 2025,0.5600,0.5750,0.5600,0.5700,0.5361,8243000,
27 Jun 2025,0.5550,0.5650,0.5550,0.5600,0.5267,4616200,
20 Jun 2025,0.5600,0.5650,0.5550,0.5650,0.5314,8823300,
13 Jun 2025,0.5700,0.5750,0.5600,0.5600,0.5267,5032400,
6 Jun 2025,0.5550,0.5700,0.5500,0.5700,0.5361,4624900,
30 May 2025,0.5600,0.5650,0.5500,0.5500,0.5173,3708600,
23 May 2025,0.5650,0.5700,0.5550,0.5600,0.5267,3218400,
16 May 2025,0.5600,0.5700,0.5500,0.5650,0.5314,4209500,
9 May 2025,0.5550,0.5600,0.5400,0.5500,0.5173,4191900,
2 May 2025,0.5600,0.5600,0.5450,0.5550,0.5220,3849200,
25 Apr 2025,0.5350,0.5750,0.5300,0.5600,0.5267,9778800,
18 Apr 2025,0.5200,0.5400,0.5200,0.5400,0.5079,3168100,
11 Apr 2025,0.5450,0.5450,0.4950,0.5150,0.4843,10318000,
4 Apr 2025,0.5650,0.5700,0.5500,0.5550,0.5220,5614300,
28 Mar 2025,0.5700,0.5750,0.5650,0.5650,0.5314,5039200,
21 Mar 2025,0.5750,0.5800,0.5600,0.5700,0.5361,6715100,
14 Mar 2025,0.5450,0.5750,0.5400,0.5700,0.5361,10157100,
7 Mar 2025,0.5450,0.5550,0.5300,0.5450,0.5126,12256600,
28 Feb 2025,0.5600,0.5600,0.5400,0.5450,0.5126,10477500,
21 Feb 2025,0.6000,0.6000,0.5600,0.5600,0.5267,17957500,
19 Feb 2025,,,,,,,0.0208 Dividend
14 Feb 2025,0.6050,0.6100,0.5950,0.6000,0.5446,9737100,
7 Feb 2025,0.6100,0.6150,0.5950,0.6050,0.5491,6616400,
31 Jan 2025,0.6050,0.6100,0.5900,0.6050,0.5491,9348800,
24 Jan 2025,0.6150,0.6250,0.6050,0.6050,0.5491,4532900,
17 Jan 2025,0.6050,0.6150,0.6000,0.6150,0.5582,2183300,
10 Jan 2025,0.6150,0.6200,0.6050,0.6100,0.5536,3345900,
3 Jan 2025,0.6050,0.6200,0.6050,0.6150,0.5582,2229000,
27 Dec 2024,0.6000,0.6100,0.6000,0.6050,0.5491,2665400,
20 Dec 2024,0.6200,0.6250,0.5950,0.5950,0.5400,11737200,
