Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0290,0.0290,0.0290,0.0290,0.0290,0,
31 Jul 2026,0.0300,0.0300,0.0290,0.0290,0.0290,114000,
24 Jul 2026,0.0300,0.0320,0.0260,0.0300,0.0300,350000,
17 Jul 2026,0.0300,0.0300,0.0300,0.0300,0.0300,0,
10 Jul 2026,0.0310,0.0310,0.0270,0.0300,0.0300,29700,
3 Jul 2026,0.0300,0.0350,0.0220,0.0310,0.0310,122100,
26 Jun 2026,0.0300,0.0300,0.0300,0.0300,0.0300,0,
19 Jun 2026,0.0340,0.0340,0.0300,0.0300,0.0300,64100,
12 Jun 2026,0.0350,0.0350,0.0330,0.0330,0.0330,10000,
5 Jun 2026,0.0350,0.0350,0.0350,0.0350,0.0350,0,
29 May 2026,0.0350,0.0350,0.0350,0.0350,0.0350,2900,
22 May 2026,0.0340,0.0350,0.0340,0.0350,0.0350,2000,
15 May 2026,0.0330,0.0350,0.0330,0.0340,0.0340,130000,
8 May 2026,0.0310,0.0330,0.0310,0.0330,0.0330,27200,
1 May 2026,0.0310,0.0310,0.0310,0.0310,0.0310,0,
24 Apr 2026,0.0320,0.0320,0.0300,0.0310,0.0310,101700,
17 Apr 2026,0.0330,0.0330,0.0320,0.0320,0.0320,501900,
10 Apr 2026,0.0340,0.0410,0.0330,0.0340,0.0340,3738100,
3 Apr 2026,0.0340,0.0360,0.0340,0.0360,0.0360,100000,
27 Mar 2026,0.0370,0.0380,0.0340,0.0340,0.0340,771700,
20 Mar 2026,0.0360,0.0430,0.0350,0.0360,0.0360,907200,
13 Mar 2026,0.0300,0.0430,0.0270,0.0420,0.0420,3501900,
6 Mar 2026,0.0480,0.0480,0.0370,0.0370,0.0370,1706100,
27 Feb 2026,0.0510,0.0530,0.0490,0.0490,0.0490,5101500,
20 Feb 2026,0.0500,0.0560,0.0480,0.0510,0.0510,8067600,
13 Feb 2026,0.0560,0.0580,0.0480,0.0500,0.0500,3259000,
6 Feb 2026,0.0500,0.0600,0.0490,0.0560,0.0560,7084500,
30 Jan 2026,0.0630,0.0640,0.0500,0.0500,0.0500,5565100,
23 Jan 2026,0.0510,0.0620,0.0470,0.0600,0.0600,23224600,
16 Jan 2026,0.0400,0.0570,0.0400,0.0510,0.0510,19986900,
9 Jan 2026,0.0430,0.0450,0.0410,0.0410,0.0410,3160800,
2 Jan 2026,0.0430,0.0470,0.0410,0.0440,0.0440,4119700,
26 Dec 2025,0.0440,0.0450,0.0430,0.0430,0.0430,2415700,
19 Dec 2025,0.0430,0.0460,0.0420,0.0440,0.0440,4217800,
