Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0400,0.0400,0.0400,0.0400,0.0400,20100,
31 Jul 2026,0.0390,0.0400,0.0380,0.0390,0.0390,536100,
24 Jul 2026,0.0380,0.0400,0.0360,0.0390,0.0390,1325400,
17 Jul 2026,0.0380,0.0420,0.0370,0.0420,0.0420,23200,
10 Jul 2026,0.0400,0.0400,0.0380,0.0390,0.0390,104500,
3 Jul 2026,0.0380,0.0400,0.0380,0.0400,0.0400,215000,
26 Jun 2026,0.0390,0.0400,0.0390,0.0400,0.0400,767400,
19 Jun 2026,0.0420,0.0420,0.0380,0.0400,0.0400,614700,
12 Jun 2026,0.0400,0.0420,0.0390,0.0420,0.0420,1700200,
5 Jun 2026,0.0410,0.0430,0.0400,0.0430,0.0430,712600,
29 May 2026,0.0410,0.0420,0.0400,0.0400,0.0400,576300,
22 May 2026,0.0420,0.0450,0.0410,0.0410,0.0410,690000,
15 May 2026,0.0420,0.0480,0.0420,0.0420,0.0420,1254400,
8 May 2026,0.0430,0.0460,0.0430,0.0440,0.0440,279900,
1 May 2026,0.0440,0.0450,0.0420,0.0420,0.0420,372300,
24 Apr 2026,0.0430,0.0470,0.0430,0.0450,0.0450,2547400,
17 Apr 2026,0.0420,0.0450,0.0420,0.0440,0.0440,1585400,
10 Apr 2026,0.0410,0.0460,0.0400,0.0430,0.0430,972600,
3 Apr 2026,0.0410,0.0480,0.0410,0.0460,0.0460,760900,
27 Mar 2026,0.0410,0.0470,0.0410,0.0410,0.0410,554400,
20 Mar 2026,0.0450,0.0460,0.0410,0.0420,0.0420,1140300,
13 Mar 2026,0.0440,0.0450,0.0420,0.0430,0.0430,1458300,
6 Mar 2026,0.0480,0.0500,0.0460,0.0460,0.0460,1089800,
27 Feb 2026,0.0500,0.0520,0.0480,0.0510,0.0510,5359200,
20 Feb 2026,0.0480,0.0500,0.0480,0.0480,0.0480,1752100,
13 Feb 2026,0.0550,0.0570,0.0480,0.0480,0.0480,7904700,
6 Feb 2026,0.0540,0.0540,0.0500,0.0530,0.0530,11326200,
30 Jan 2026,0.0600,0.0610,0.0540,0.0540,0.0540,12425500,
23 Jan 2026,0.0610,0.0660,0.0600,0.0600,0.0600,13583500,
16 Jan 2026,0.0550,0.0720,0.0550,0.0620,0.0620,45443000,
9 Jan 2026,0.0450,0.0670,0.0450,0.0540,0.0540,45097300,
2 Jan 2026,0.0420,0.0520,0.0410,0.0460,0.0460,11424200,
26 Dec 2025,0.0420,0.0430,0.0400,0.0420,0.0420,4551400,
19 Dec 2025,0.0400,0.0420,0.0400,0.0410,0.0410,1664900,
12 Dec 2025,0.0380,0.0420,0.0370,0.0400,0.0400,5399700,
5 Dec 2025,0.0400,0.0400,0.0380,0.0380,0.0380,1273100,
28 Nov 2025,0.0390,0.0400,0.0380,0.0400,0.0400,743800,
21 Nov 2025,0.0410,0.0410,0.0390,0.0390,0.0390,189100,
14 Nov 2025,0.0410,0.0420,0.0400,0.0400,0.0400,132300,
7 Nov 2025,0.0420,0.0440,0.0390,0.0390,0.0390,1299200,
31 Oct 2025,0.0400,0.0420,0.0400,0.0400,0.0400,1410300,
24 Oct 2025,0.0380,0.0400,0.0380,0.0400,0.0400,746000,
17 Oct 2025,0.0370,0.0460,0.0360,0.0380,0.0380,7819000,
