Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,2.4200,2.4800,2.3700,2.4600,2.4600,1436400,
31 Jul 2026,2.4300,2.4500,2.3100,2.4300,2.4300,3572000,
24 Jul 2026,2.2800,2.4500,2.2800,2.4100,2.4100,6233000,
17 Jul 2026,2.5300,2.5300,2.2800,2.2800,2.2800,8463100,
10 Jul 2026,2.5600,2.6500,2.4700,2.5300,2.5300,7314000,
3 Jul 2026,2.3500,2.5400,2.3300,2.5300,2.5300,4552800,
26 Jun 2026,2.5200,2.5400,2.3100,2.3300,2.3300,5891900,
19 Jun 2026,2.3500,2.5400,2.3300,2.5300,2.5300,5040900,
12 Jun 2026,2.3500,2.4100,2.2600,2.3200,2.3200,6424600,
5 Jun 2026,2.5833,2.6083,2.3600,2.3700,2.3700,6662120,
29 May 2026,2.5417,2.5833,2.4500,2.5833,2.5833,9884520,
22 May 2026,2.5667,2.6250,2.4583,2.5083,2.5083,8533560,
15 May 2026,2.5250,2.8167,2.4000,2.5667,2.5667,19078680,
8 May 2026,2.6500,2.7417,2.4417,2.5417,2.5417,11235960,
4 May 2026,,,,,,,0.0750 Dividend
1 May 2026,2.6083,2.7333,2.6000,2.7167,2.6417,6461040,
24 Apr 2026,2.6000,2.6417,2.5333,2.6083,2.5363,5960040,
17 Apr 2026,2.6250,2.6917,2.5667,2.6000,2.5282,6411120,
10 Apr 2026,2.4250,2.6667,2.4250,2.6583,2.5849,9192240,
3 Apr 2026,2.5667,2.6250,2.4167,2.4167,2.3499,8710800,
27 Mar 2026,2.6583,2.7667,2.4917,2.5833,2.5120,11822160,
20 Mar 2026,2.5083,2.7250,2.4750,2.6750,2.6012,8881800,
13 Mar 2026,2.5000,2.6000,2.3917,2.5583,2.4877,6698640,
6 Mar 2026,2.6250,2.7083,2.4333,2.5417,2.4715,8928480,
27 Feb 2026,2.6667,2.8583,2.5917,2.7083,2.6336,8468520,
20 Feb 2026,2.4667,2.7333,2.4667,2.6917,2.6174,4162440,
13 Feb 2026,2.3833,2.5250,2.3833,2.4667,2.3986,7180080,
6 Feb 2026,2.2667,2.4500,2.2000,2.3583,2.2932,7723920,
30 Jan 2026,2.3083,2.4000,2.2500,2.2500,2.1879,5122920,
23 Jan 2026,2.1167,2.3500,2.1000,2.3083,2.2446,13305960,
16 Jan 2026,2.0917,2.2083,2.0833,2.1333,2.0744,6732720,
9 Jan 2026,2.0500,2.1250,2.0417,2.0917,2.0339,4071360,
2 Jan 2026,1.9917,2.0667,1.9667,2.0417,1.9853,5719200,
26 Dec 2025,1.9750,2.0167,1.9583,1.9917,1.9367,3784080,
19 Dec 2025,2.0167,2.0250,1.9333,1.9667,1.9124,4653960,
12 Dec 2025,2.0417,2.0667,1.9833,2.0250,1.9691,4214880,
5 Dec 2025,2.1500,2.1750,2.0417,2.0500,1.9934,4290720,
28 Nov 2025,2.1333,2.1917,2.1167,2.1417,2.0825,4241400,
21 Nov 2025,2.1500,2.2250,2.0917,2.1167,2.0582,8797560,
