Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,2.2700,2.2800,2.2300,2.2500,2.2500,10171200,
31 Jul 2026,2.2700,2.2900,2.2500,2.2700,2.2700,20823100,
24 Jul 2026,2.2600,2.2900,2.2400,2.2700,2.2700,23235700,
17 Jul 2026,2.2400,2.2800,2.2300,2.2600,2.2600,19982000,
10 Jul 2026,2.2500,2.2700,2.2100,2.2500,2.2500,30497700,
3 Jul 2026,2.2900,2.2900,2.2100,2.2500,2.2500,25494800,
26 Jun 2026,2.2400,2.2900,2.2100,2.2900,2.2900,26808470,
19 Jun 2026,2.2700,2.2900,2.2100,2.2400,2.2400,32739900,
12 Jun 2026,2.2500,2.2700,2.2200,2.2700,2.2700,26063900,
5 Jun 2026,2.2700,2.2800,2.2400,2.2700,2.2700,16196100,
29 May 2026,2.2600,2.2800,2.2300,2.2700,2.2700,16688300,
22 May 2026,2.2300,2.3000,2.1900,2.2600,2.2600,21826300,
15 May 2026,2.2700,2.2800,2.2200,2.2300,2.2300,13968400,
8 May 2026,2.2900,2.2900,2.2300,2.2600,2.2600,23448300,
4 May 2026,,,,,,,0.0614 Dividend
1 May 2026,2.3200,2.3700,2.3000,2.3400,2.3400,27769200,
24 Apr 2026,2.2800,2.3200,2.2600,2.3200,2.3200,26317800,
17 Apr 2026,2.2300,2.3000,2.2300,2.2900,2.2900,21986132,
10 Apr 2026,2.2000,2.2700,2.2000,2.2400,2.2400,22079200,
3 Apr 2026,2.1800,2.2300,2.1700,2.2000,2.2000,15652700,
27 Mar 2026,2.2300,2.2400,2.1800,2.1800,2.1800,24152600,
20 Mar 2026,2.2100,2.2600,2.2100,2.2500,2.2500,16599000,
13 Mar 2026,2.2300,2.2600,2.1900,2.2100,2.2100,32920800,
6 Mar 2026,2.2900,2.2900,2.2100,2.2500,2.2500,37753600,
27 Feb 2026,2.2800,2.3200,2.2600,2.2900,2.2900,26764900,
20 Feb 2026,2.2700,2.2900,2.2600,2.2700,2.2700,9751700,
13 Feb 2026,2.2700,2.2800,2.2400,2.2600,2.2600,30239000,
6 Feb 2026,2.2400,2.2700,2.2200,2.2500,2.2500,25721800,
30 Jan 2026,2.2700,2.2900,2.2300,2.2400,2.2400,32789200,
23 Jan 2026,2.2600,2.3000,2.2500,2.2600,2.2600,25884700,
16 Jan 2026,2.2600,2.3000,2.2500,2.2600,2.2600,18061200,
9 Jan 2026,2.3200,2.3400,2.2400,2.2600,2.2600,33928000,
2 Jan 2026,2.3100,2.3400,2.3100,2.3200,2.3200,8832400,
26 Dec 2025,2.3000,2.3100,2.2800,2.3100,2.3100,7308800,
19 Dec 2025,2.2800,2.3100,2.2600,2.3000,2.3000,21876500,
12 Dec 2025,2.2700,2.2800,2.2400,2.2800,2.2800,13281500,
5 Dec 2025,2.2900,2.3100,2.2600,2.2600,2.2600,23331000,
28 Nov 2025,2.2200,2.3000,2.2200,2.2800,2.2800,24856800,
21 Nov 2025,2.2500,2.2700,2.2000,2.2100,2.2100,23635700,
14 Nov 2025,2.2900,2.3100,2.2500,2.2600,2.2600,26922800,
7 Nov 2025,2.3500,2.3500,2.2500,2.2800,2.2800,46303000,
31 Oct 2025,,,,,,,0.0596 Dividend
31 Oct 2025,2.4500,2.4700,2.3300,2.3400,2.3400,30250900,
24 Oct 2025,2.4200,2.4600,2.4100,2.4400,2.3794,17279500,
17 Oct 2025,2.3600,2.4300,2.3500,2.4200,2.3599,19726500,
10 Oct 2025,2.3700,2.3900,2.3500,2.3800,2.3209,13921000,
3 Oct 2025,2.3400,2.3800,2.3000,2.3700,2.3111,35954400,
26 Sep 2025,2.3400,2.3500,2.3200,2.3400,2.2819,14947700,
19 Sep 2025,2.4000,2.4000,2.3300,2.3300,2.2721,14816100,
