Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.9900,0.9950,0.9700,0.9800,0.9800,17011500,
31 Jul 2026,0.9800,1.0200,0.9750,0.9900,0.9900,79767800,
24 Jul 2026,0.9650,0.9900,0.9600,0.9850,0.9850,53490400,
17 Jul 2026,0.9700,0.9800,0.9500,0.9700,0.9700,35810700,
10 Jul 2026,0.9700,0.9750,0.9600,0.9650,0.9650,27921400,
3 Jul 2026,0.9750,0.9800,0.9450,0.9650,0.9650,34809800,
26 Jun 2026,0.9700,0.9800,0.9450,0.9750,0.9750,51554100,
19 Jun 2026,0.9850,0.9950,0.9600,0.9700,0.9700,63734600,
12 Jun 2026,0.9700,0.9850,0.9550,0.9850,0.9850,53345400,
5 Jun 2026,1.0000,1.0100,0.9750,0.9850,0.9850,43014300,
29 May 2026,0.9850,1.0000,0.9650,1.0000,1.0000,51565500,
22 May 2026,0.9400,0.9900,0.9250,0.9800,0.9800,67314000,
15 May 2026,0.9900,0.9950,0.9300,0.9400,0.9400,68536300,
14 May 2026,,,,,,,0.0295 Dividend
8 May 2026,0.9700,1.0100,0.9650,0.9950,0.9649,91224800,
1 May 2026,0.9850,0.9950,0.9500,0.9600,0.9310,41782100,
24 Apr 2026,0.9750,1.0000,0.9750,0.9850,0.9552,71462500,
17 Apr 2026,0.9250,0.9800,0.9200,0.9750,0.9455,60376000,
10 Apr 2026,0.8950,0.9350,0.8900,0.9300,0.9019,36858000,
3 Apr 2026,0.8850,0.9150,0.8800,0.8950,0.8679,45012400,
27 Mar 2026,0.9250,0.9300,0.8850,0.8950,0.8679,113690000,
20 Mar 2026,0.9350,0.9650,0.9300,0.9350,0.9067,47865000,
13 Mar 2026,0.9550,0.9550,0.9200,0.9350,0.9067,59574100,
6 Mar 2026,0.9800,1.0000,0.9500,0.9700,0.9407,72738000,
27 Feb 2026,1.0000,1.0200,0.9900,0.9900,0.9600,46904700,
20 Feb 2026,1.0000,1.0100,0.9900,1.0000,0.9697,20305700,
13 Feb 2026,1.0000,1.0100,0.9900,1.0000,0.9697,35427034,
6 Feb 2026,1.0100,1.0300,1.0000,1.0100,0.9794,57244300,
30 Jan 2026,1.0200,1.0300,1.0000,1.0100,0.9794,60003700,
23 Jan 2026,1.0400,1.0500,1.0100,1.0300,0.9988,41190100,
16 Jan 2026,1.0200,1.0500,1.0200,1.0300,0.9988,48204900,
9 Jan 2026,1.0100,1.0300,1.0000,1.0200,0.9891,40525300,
2 Jan 2026,0.9950,1.0100,0.9900,1.0100,0.9794,20194200,
26 Dec 2025,0.9900,0.9950,0.9800,0.9950,0.9649,16933700,
19 Dec 2025,0.9750,0.9950,0.9700,0.9900,0.9600,67368500,
12 Dec 2025,0.9800,0.9800,0.9650,0.9750,0.9455,41373800,
5 Dec 2025,0.9850,0.9900,0.9750,0.9800,0.9503,58274700,
28 Nov 2025,0.9400,0.9850,0.9400,0.9800,0.9503,95558300,
21 Nov 2025,0.9700,0.9700,0.9250,0.9350,0.9067,73696100,
18 Nov 2025,,,,,,,0.0295 Dividend
14 Nov 2025,0.9550,0.9700,0.9500,0.9700,0.9119,79308800,
7 Nov 2025,0.9550,0.9600,0.9250,0.9500,0.8931,100022700,
31 Oct 2025,0.9750,0.9850,0.9500,0.9550,0.8978,58699500,
24 Oct 2025,0.9650,0.9800,0.9600,0.9700,0.9119,40323500,
17 Oct 2025,0.9600,0.9700,0.9450,0.9650,0.9072,36106400,
10 Oct 2025,0.9750,0.9750,0.9550,0.9600,0.9025,39496000,
3 Oct 2025,0.9450,0.9800,0.9350,0.9700,0.9119,69794700,
26 Sep 2025,0.9450,0.9600,0.9350,0.9450,0.8884,38424800,
19 Sep 2025,0.9500,0.9600,0.9400,0.9450,0.8884,54895700,
12 Sep 2025,0.9300,0.9550,0.9250,0.9500,0.8931,71282600,
5 Sep 2025,0.9100,0.9400,0.9050,0.9300,0.8743,89239100,
29 Aug 2025,0.9000,0.9300,0.8950,0.9100,0.8555,95993100,
22 Aug 2025,0.8900,0.9000,0.8800,0.8900,0.8367,51591300,
15 Aug 2025,0.8850,0.9000,0.8700,0.8900,0.8367,54941700,
8 Aug 2025,0.8550,0.8850,0.8550,0.8850,0.8320,59237300,
1 Aug 2025,0.8750,0.9000,0.8550,0.8600,0.8085,63701200,
25 Jul 2025,0.8550,0.8950,0.8550,0.8700,0.8179,83928550,
18 Jul 2025,0.8450,0.8600,0.8400,0.8500,0.7991,48436900,
11 Jul 2025,0.8600,0.8600,0.8150,0.8450,0.7944,58786500,
4 Jul 2025,0.8500,0.8700,0.8450,0.8600,0.8085,66997400,
27 Jun 2025,0.8200,0.8500,0.8100,0.8450,0.7944,46083200,
20 Jun 2025,0.8200,0.8400,0.8050,0.8150,0.7662,58510300,
13 Jun 2025,0.8100,0.8350,0.8050,0.8200,0.7709,53125200,
6 Jun 2025,0.8000,0.8150,0.7800,0.8100,0.7615,56876800,
30 May 2025,0.7850,0.8050,0.7850,0.7950,0.7474,47126800,
23 May 2025,0.8150,0.8150,0.7750,0.7800,0.7333,76514577,
19 May 2025,,,,,,,0.0300 Dividend
16 May 2025,0.8450,0.8650,0.8200,0.8350,0.7568,73178400,
9 May 2025,0.9000,0.9200,0.8250,0.8350,0.7568,129460400,
2 May 2025,0.8900,0.9050,0.8750,0.9000,0.8157,41232400,
25 Apr 2025,0.8850,0.9250,0.8650,0.8900,0.8066,52141400,
18 Apr 2025,0.8200,0.8850,0.8200,0.8800,0.7976,68536500,
11 Apr 2025,0.8950,0.8950,0.7550,0.8050,0.7296,159548200,
4 Apr 2025,0.9150,0.9250,0.8900,0.9150,0.8293,89965500,
28 Mar 2025,0.9250,0.9350,0.9100,0.9150,0.8293,67579100,
21 Mar 2025,0.9200,0.9300,0.9000,0.9250,0.8383,98993100,
14 Mar 2025,0.8400,0.9200,0.8400,0.9150,0.8293,117198600,
7 Mar 2025,0.8400,0.8550,0.8250,0.8400,0.7613,82150800,
28 Feb 2025,0.8550,0.8650,0.8350,0.8350,0.7568,56738600,
21 Feb 2025,0.8600,0.8800,0.8550,0.8600,0.7794,60862100,
14 Feb 2025,0.8800,0.8850,0.8500,0.8600,0.7794,125001900,
7 Feb 2025,0.8850,0.9000,0.8750,0.8850,0.8021,88168400,
31 Jan 2025,0.8800,0.8950,0.8700,0.8850,0.8021,24304500,
24 Jan 2025,0.8900,0.9000,0.8650,0.8800,0.7976,44837100,
17 Jan 2025,0.8700,0.9000,0.8550,0.8850,0.8021,61821300,
10 Jan 2025,0.8950,0.9000,0.8700,0.8700,0.7885,45725000,
3 Jan 2025,0.8850,0.8950,0.8800,0.8950,0.8112,36374900,
27 Dec 2024,0.8600,0.8900,0.8500,0.8850,0.8021,38894000,
20 Dec 2024,0.8900,0.8900,0.8550,0.8550,0.7749,101356500,
13 Dec 2024,0.9100,0.9150,0.8850,0.8900,0.8066,91510500,
6 Dec 2024,0.9150,0.9250,0.9000,0.9100,0.8248,57857600,
29 Nov 2024,0.9100,0.9300,0.8950,0.9100,0.8248,117951739,
22 Nov 2024,0.9550,0.9700,0.9000,0.9100,0.8248,130919700,
15 Nov 2024,1.0100,1.0200,0.9500,0.9550,0.8655,104383800,
13 Nov 2024,,,,,,,0.0332 Dividend
8 Nov 2024,1.0600,1.0900,1.0000,1.0000,0.8762,121543400,
1 Nov 2024,1.0700,1.0900,1.0500,1.0700,0.9376,73249400,
25 Oct 2024,1.1300,1.1400,1.0700,1.0800,0.9463,92735600,
