Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.7600,0.7600,0.7550,0.7600,0.7600,5000,
31 Jul 2026,0.7900,0.7950,0.7600,0.7600,0.7600,30200,
24 Jul 2026,0.7300,0.7700,0.7250,0.7700,0.7700,168200,
17 Jul 2026,0.7250,0.7300,0.7150,0.7300,0.7300,27400,
10 Jul 2026,0.7200,0.7300,0.7150,0.7250,0.7250,12500,
3 Jul 2026,0.7050,0.7250,0.7050,0.7200,0.7200,115700,
26 Jun 2026,0.7000,0.7200,0.7000,0.7050,0.7050,103800,
19 Jun 2026,0.7100,0.7200,0.6900,0.6900,0.6900,235300,
12 Jun 2026,0.7100,0.7150,0.7000,0.7100,0.7100,100600,
5 Jun 2026,0.6900,0.7200,0.6800,0.7200,0.7200,138700,
29 May 2026,0.7000,0.7000,0.6900,0.6900,0.6900,17900,
22 May 2026,0.6800,0.7000,0.6750,0.7000,0.7000,248800,
15 May 2026,0.6850,0.7000,0.6750,0.6750,0.6750,124300,
8 May 2026,0.6750,0.7150,0.6650,0.6900,0.6900,333500,
1 May 2026,0.6650,0.6700,0.6600,0.6700,0.6700,128000,
24 Apr 2026,0.6800,0.6800,0.6700,0.6700,0.6700,112500,
17 Apr 2026,0.6750,0.6800,0.6700,0.6800,0.6800,76700,
10 Apr 2026,0.6450,0.6800,0.6300,0.6800,0.6800,460500,
3 Apr 2026,0.6500,0.6600,0.6450,0.6450,0.6450,148200,
27 Mar 2026,0.6650,0.6650,0.6400,0.6500,0.6500,137900,
20 Mar 2026,0.6650,0.6800,0.6600,0.6750,0.6750,99800,
13 Mar 2026,0.6750,0.6800,0.6200,0.6650,0.6650,78000,
12 Mar 2026,,,,,,,0.0050 Dividend
6 Mar 2026,0.7000,0.7000,0.6800,0.6900,0.6849,330300,
27 Feb 2026,0.6700,0.7150,0.6450,0.7150,0.7097,514400,
20 Feb 2026,0.7600,0.7600,0.6750,0.6750,0.6700,547900,
13 Feb 2026,0.8100,0.8250,0.7750,0.7950,0.7892,240600,
6 Feb 2026,0.8650,0.8750,0.8050,0.8100,0.8040,259200,
30 Jan 2026,0.8200,0.8750,0.8050,0.8550,0.8487,605000,
23 Jan 2026,0.8050,0.8150,0.8000,0.8150,0.8090,106300,
16 Jan 2026,0.8050,0.8100,0.7950,0.8100,0.8040,146200,
9 Jan 2026,0.8050,0.8050,0.7900,0.8000,0.7941,126600,
2 Jan 2026,0.8000,0.8050,0.7950,0.8000,0.7941,116200,
26 Dec 2025,0.8000,0.8050,0.7950,0.8000,0.7941,268700,
19 Dec 2025,0.8200,0.8200,0.7950,0.7950,0.7892,264100,
12 Dec 2025,0.8050,0.8200,0.8000,0.8100,0.8040,124700,
5 Dec 2025,0.8000,0.8150,0.8000,0.8150,0.8090,66900,
28 Nov 2025,0.7900,0.7900,0.7800,0.7900,0.7842,85400,
21 Nov 2025,0.7900,0.7900,0.7600,0.7750,0.7693,255000,
14 Nov 2025,0.7800,0.8100,0.7200,0.7800,0.7743,353500,
