Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,21.7800,22.8800,21.5500,22.3000,22.3000,210600,
31 Jul 2026,20.4000,22.7500,20.2500,21.7800,21.7800,665300,
24 Jul 2026,19.3000,20.9000,19.3000,20.3800,20.3800,570200,
17 Jul 2026,17.1800,19.7000,17.1700,19.3000,19.3000,742500,
10 Jul 2026,16.2500,17.1800,16.1400,17.1800,17.1800,275000,
3 Jul 2026,16.1500,16.2400,16.0600,16.2000,16.2000,82300,
26 Jun 2026,16.0000,16.2400,15.9200,16.1500,16.1500,116300,
19 Jun 2026,15.8000,16.0800,15.7600,15.9900,15.9900,177500,
12 Jun 2026,15.8100,15.8100,15.6700,15.8000,15.8000,115400,
5 Jun 2026,15.7300,15.8500,15.6800,15.8100,15.8100,161400,
29 May 2026,15.7400,15.8200,15.6900,15.7100,15.7100,112900,
22 May 2026,15.6100,15.8000,15.5300,15.7500,15.7500,257700,
15 May 2026,15.7700,15.7800,15.5600,15.6300,15.6300,231400,
8 May 2026,15.5400,15.8400,15.5100,15.7700,15.7700,123000,
1 May 2026,15.6200,15.6600,15.5000,15.5500,15.5500,96600,
24 Apr 2026,15.9500,15.9500,15.5000,15.6100,15.6100,197600,
20 Apr 2026,,,,,,,0.3000 Dividend
17 Apr 2026,15.9200,16.0700,15.7300,16.0500,15.7500,183200,
10 Apr 2026,15.7800,15.9500,15.7200,15.9200,15.6224,130500,
3 Apr 2026,15.7500,15.8900,15.6200,15.8400,15.5439,174500,
27 Mar 2026,15.9000,15.9100,15.6000,15.7500,15.4556,340200,
20 Mar 2026,15.7800,16.1000,15.7800,15.9500,15.6519,161300,
13 Mar 2026,15.8000,16.0000,15.5000,15.7500,15.4556,185700,
6 Mar 2026,16.1600,16.1600,15.6200,15.9100,15.6126,341500,
27 Feb 2026,15.7800,16.2900,15.7800,16.1600,15.8579,237100,
20 Feb 2026,15.6700,15.7900,15.5000,15.7800,15.4850,44000,
13 Feb 2026,15.6600,15.7500,15.5100,15.6700,15.3771,91800,
6 Feb 2026,15.6200,15.7000,15.4300,15.6700,15.3771,133500,
30 Jan 2026,15.6400,15.7200,15.5200,15.6200,15.3280,74900,
23 Jan 2026,15.4500,15.6600,15.3700,15.6500,15.3575,123600,
16 Jan 2026,15.4000,15.5100,15.3600,15.4600,15.1710,109300,
9 Jan 2026,15.3200,15.5400,15.3200,15.4300,15.1416,83000,
2 Jan 2026,15.2500,15.3200,15.2500,15.3200,15.0336,59500,
26 Dec 2025,15.2500,15.3000,15.2200,15.2800,14.9944,65000,
19 Dec 2025,15.2800,15.2800,15.1500,15.2400,14.9551,127400,
12 Dec 2025,15.1500,15.2400,15.1200,15.2200,14.9355,140300,
5 Dec 2025,15.1800,15.1900,15.0600,15.1500,14.8668,127300,
28 Nov 2025,15.0500,15.2100,15.0000,15.1400,14.8570,50100,
21 Nov 2025,15.2000,15.2000,14.9700,14.9800,14.7000,151100,
14 Nov 2025,15.1400,15.2800,15.1000,15.1500,14.8668,186400,
7 Nov 2025,15.2300,15.2800,15.0000,15.1500,14.8668,102500,
31 Oct 2025,15.1500,15.2500,14.9800,15.2400,14.9551,164200,
24 Oct 2025,14.9000,15.2000,14.8400,15.1400,14.8570,100000,
17 Oct 2025,14.8700,15.0000,14.7500,14.8100,14.5332,256000,
10 Oct 2025,15.0500,15.1500,14.9500,14.9600,14.6804,186100,
