Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,5.5300,5.6200,5.4600,5.4900,5.4900,65300,
31 Jul 2026,5.3500,5.5300,5.2900,5.5300,5.5300,230900,
24 Jul 2026,5.1600,5.3200,5.1300,5.2600,5.2600,405900,
17 Jul 2026,5.0400,5.2000,5.0100,5.1400,5.1400,309100,
10 Jul 2026,5.0000,5.0800,4.9300,5.0400,5.0400,262100,
3 Jul 2026,4.8900,5.0000,4.8100,5.0000,5.0000,426400,
26 Jun 2026,4.8900,4.9500,4.8300,4.8900,4.8900,201000,
19 Jun 2026,4.6900,4.9600,4.6900,4.8800,4.8800,620400,
12 Jun 2026,4.6000,4.6900,4.4000,4.6800,4.6800,689400,
5 Jun 2026,4.7000,4.8500,4.6400,4.6500,4.6500,362600,
29 May 2026,4.6900,4.7800,4.6600,4.7200,4.7200,368800,
22 May 2026,4.5500,4.7000,4.4800,4.6900,4.6900,670300,
15 May 2026,4.5400,4.6000,4.5100,4.5500,4.5500,458700,
14 May 2026,,,,,,,0.0257 Dividend
8 May 2026,4.6400,4.6900,4.4400,4.5100,4.4904,630300,
1 May 2026,4.5500,4.6100,4.5400,4.5700,4.5501,346100,
24 Apr 2026,4.6200,4.6700,4.5600,4.5700,4.5501,619300,
17 Apr 2026,4.5400,4.6200,4.4500,4.5900,4.5700,308500,
10 Apr 2026,4.2800,4.5800,4.2000,4.5400,4.5203,408600,
3 Apr 2026,4.1000,4.3200,4.0000,4.2800,4.2614,579500,
27 Mar 2026,4.0900,4.1500,3.8000,4.1000,4.0822,739100,
20 Mar 2026,4.0400,4.1800,3.9200,4.0400,4.0224,359300,
13 Mar 2026,4.3800,4.3900,4.0300,4.0400,4.0224,464800,
12 Mar 2026,,,,,,,0.1143 Dividend
6 Mar 2026,4.6900,4.6900,4.2500,4.4000,4.2909,772000,
27 Feb 2026,4.4000,4.7700,4.3200,4.7600,4.6420,433600,
20 Feb 2026,4.3600,4.5000,4.3100,4.3600,4.2519,77400,
13 Feb 2026,4.4500,4.5700,4.3800,4.4000,4.2909,603600,
6 Feb 2026,4.5000,4.5500,4.3600,4.4000,4.2909,415400,
30 Jan 2026,4.2600,4.4800,4.2400,4.4400,4.3299,522500,
23 Jan 2026,4.2700,4.2900,4.1800,4.2600,4.1544,375200,
16 Jan 2026,4.1200,4.2900,4.0800,4.2400,4.1349,364600,
9 Jan 2026,4.1300,4.2600,4.0700,4.1200,4.0179,772900,
2 Jan 2026,4.0700,4.1100,4.0100,4.1100,4.0081,472100,
26 Dec 2025,3.9700,4.1000,3.9700,4.0900,3.9886,162400,
19 Dec 2025,3.9000,4.0000,3.8300,3.9700,3.8716,711100,
12 Dec 2025,3.7100,3.9100,3.6300,3.9000,3.8033,679800,
5 Dec 2025,3.6600,3.7300,3.6600,3.7100,3.6180,549000,
28 Nov 2025,3.6800,3.7400,3.5600,3.6300,3.5400,1028000,
21 Nov 2025,3.8300,3.8300,3.3800,3.6800,3.5888,2000600,
14 Nov 2025,3.9300,3.9300,3.6700,3.7900,3.6961,1176700,
7 Nov 2025,3.6600,3.7100,3.6100,3.6600,3.5693,975900,
6 Nov 2025,,,,,,,0.0254 Dividend
31 Oct 2025,3.4700,3.6500,3.3800,3.6300,3.5207,1038200,
24 Oct 2025,3.4600,3.4700,3.4000,3.4600,3.3558,498800,
17 Oct 2025,3.4400,3.4600,3.3600,3.3600,3.2588,873500,
10 Oct 2025,3.7000,3.7200,3.4100,3.4600,3.3558,2823000,
3 Oct 2025,3.5900,3.6600,3.5900,3.6400,3.5304,2162600,
26 Sep 2025,3.5400,3.5800,3.5200,3.5400,3.4334,2239200,
19 Sep 2025,3.5000,3.6300,3.4900,3.5200,3.4140,1259400,
12 Sep 2025,3.4000,3.5100,3.3300,3.5100,3.4043,896200,
5 Sep 2025,3.3000,3.3600,3.2700,3.3500,3.2491,1346200,
29 Aug 2025,3.3500,3.3500,3.2900,3.2900,3.1909,1312200,
22 Aug 2025,3.2700,3.3500,3.2300,3.3400,3.2394,808200,
15 Aug 2025,3.2900,3.3500,3.2500,3.3000,3.2006,1418200,
14 Aug 2025,,,,,,,0.0250 Dividend
8 Aug 2025,3.1600,3.2500,3.1300,3.2000,3.0803,647000,
1 Aug 2025,3.3000,3.3200,3.1200,3.1500,3.0321,882800,
25 Jul 2025,3.2100,3.3200,3.2100,3.3000,3.1765,772500,
18 Jul 2025,3.1500,3.2200,3.1500,3.2100,3.0899,464900,
11 Jul 2025,3.0900,3.2100,3.0900,3.1700,3.0514,246200,
4 Jul 2025,3.0800,3.1200,3.0600,3.0900,2.9744,1292300,
27 Jun 2025,3.0000,3.1400,2.9900,3.0900,2.9744,1021500,
20 Jun 2025,3.0000,3.0300,2.9900,3.0200,2.9070,841000,
13 Jun 2025,3.0600,3.1000,2.9900,3.0100,2.8974,635500,
6 Jun 2025,3.0100,3.0700,2.9900,3.0400,2.9263,651300,
30 May 2025,3.0400,3.0500,3.0200,3.0200,2.9070,1544000,
23 May 2025,3.0300,3.0800,3.0200,3.0600,2.9455,977200,
16 May 2025,2.9600,3.0300,2.9600,3.0300,2.9166,340300,
9 May 2025,2.9100,3.0000,2.8700,2.9200,2.8107,564100,
8 May 2025,,,,,,,0.0258 Dividend
2 May 2025,2.8900,3.0100,2.8700,2.9000,2.7668,1456800,
25 Apr 2025,2.7300,2.9200,2.7200,2.8900,2.7573,455900,
18 Apr 2025,2.5700,2.7300,2.5700,2.7300,2.6046,764100,
11 Apr 2025,2.9400,2.9400,2.4500,2.5700,2.4520,1463700,
4 Apr 2025,3.0800,3.0800,2.9300,2.9300,2.7955,1492000,
28 Mar 2025,3.0600,3.1100,3.0400,3.0800,2.9386,419800,
21 Mar 2025,3.0900,3.1000,3.0000,3.0500,2.9099,488400,
14 Mar 2025,3.0400,3.0400,2.8900,2.9500,2.8145,793400,
7 Mar 2025,3.1700,3.2000,3.0200,3.0200,2.8813,735100,
6 Mar 2025,,,,,,,0.0938 Dividend
28 Feb 2025,3.0000,3.1200,2.9200,3.0800,2.8513,1171900,
21 Feb 2025,2.9100,3.0700,2.9000,3.0000,2.7773,630100,
14 Feb 2025,2.8500,2.9600,2.8500,2.9200,2.7032,402500,
7 Feb 2025,2.9200,2.9200,2.7800,2.8300,2.6199,618500,
