Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.6050,0.6050,0.6000,0.6050,0.6050,161600,
31 Jul 2026,0.5650,0.6000,0.5650,0.6000,0.6000,516400,
24 Jul 2026,0.5550,0.5700,0.5550,0.5650,0.5650,183300,
17 Jul 2026,0.4950,0.5550,0.4950,0.5550,0.5550,632800,
10 Jul 2026,0.5050,0.5050,0.4900,0.4900,0.4900,184800,
3 Jul 2026,0.4950,0.5050,0.4900,0.5050,0.5050,267100,
26 Jun 2026,0.5000,0.5100,0.4900,0.4950,0.4950,169300,
19 Jun 2026,0.4750,0.5000,0.4650,0.5000,0.5000,116800,
12 Jun 2026,0.4750,0.4800,0.4750,0.4750,0.4750,92900,
5 Jun 2026,0.4850,0.5000,0.4750,0.4800,0.4800,106000,
29 May 2026,0.4900,0.4950,0.4800,0.4850,0.4850,278900,
22 May 2026,0.5000,0.5000,0.4900,0.4900,0.4900,53800,
15 May 2026,0.5200,0.5200,0.5000,0.5000,0.5000,193900,
8 May 2026,0.5000,0.5200,0.5000,0.5200,0.5200,100400,
1 May 2026,0.4950,0.4950,0.4750,0.4750,0.4750,179300,
24 Apr 2026,0.5000,0.5000,0.4850,0.4850,0.4850,35000,
17 Apr 2026,0.4750,0.5000,0.4750,0.5000,0.5000,93600,
10 Apr 2026,0.4650,0.5000,0.4550,0.4750,0.4750,42800,
3 Apr 2026,0.4550,0.4850,0.4500,0.4500,0.4500,73900,
27 Mar 2026,0.4700,0.4700,0.4600,0.4600,0.4600,5500,
20 Mar 2026,0.4700,0.4750,0.4650,0.4700,0.4700,166600,
13 Mar 2026,0.4800,0.4800,0.4400,0.4700,0.4700,74900,
6 Mar 2026,0.4950,0.4950,0.4500,0.4700,0.4700,85100,
27 Feb 2026,0.5050,0.5050,0.4950,0.4950,0.4950,19300,
20 Feb 2026,0.5150,0.5150,0.4950,0.5050,0.5050,18000,
13 Feb 2026,0.5050,0.5500,0.5000,0.5150,0.5150,103600,
13 Feb 2026,,,,,,,0.0150 Dividend
6 Feb 2026,0.5100,0.5100,0.5050,0.5050,0.4904,33500,
30 Jan 2026,0.5150,0.5150,0.5150,0.5150,0.5001,47700,
23 Jan 2026,0.5000,0.5200,0.5000,0.5150,0.5001,107500,
16 Jan 2026,0.5050,0.5250,0.5050,0.5100,0.4953,247000,
9 Jan 2026,0.5050,0.5100,0.5050,0.5050,0.4904,83000,
2 Jan 2026,0.5250,0.5250,0.5100,0.5100,0.4953,18000,
26 Dec 2025,0.5050,0.5100,0.5050,0.5050,0.4904,117600,
19 Dec 2025,0.5300,0.5300,0.5000,0.5100,0.4953,49000,
12 Dec 2025,0.5050,0.5300,0.5000,0.5300,0.5147,30000,
5 Dec 2025,0.5300,0.5300,0.5050,0.5050,0.4904,10500,
28 Nov 2025,0.5050,0.5300,0.5000,0.5300,0.5147,53400,
21 Nov 2025,0.5250,0.5350,0.5000,0.5000,0.4856,102500,
14 Nov 2025,0.5200,0.5350,0.5100,0.5250,0.5099,36000,
7 Nov 2025,0.5300,0.5500,0.5200,0.5200,0.5050,91100,
31 Oct 2025,0.5400,0.5800,0.5150,0.5400,0.5244,217300,
24 Oct 2025,0.5450,0.5450,0.5250,0.5400,0.5244,65900,
17 Oct 2025,0.5400,0.5450,0.5250,0.5450,0.5293,2900,
10 Oct 2025,0.5600,0.5600,0.5400,0.5400,0.5244,130700,
3 Oct 2025,0.5250,0.5600,0.5200,0.5400,0.5244,217200,
26 Sep 2025,0.5400,0.5400,0.5200,0.5200,0.5050,127200,
19 Sep 2025,0.5600,0.5800,0.5150,0.5400,0.5244,136700,
12 Sep 2025,0.4800,0.6000,0.4800,0.5100,0.4953,573700,
5 Sep 2025,0.4850,0.4900,0.4750,0.4800,0.4662,100300,
