Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.2500,0.2500,0.2500,0.2500,0.2500,0,
31 Jul 2026,0.2350,0.2500,0.2350,0.2500,0.2500,37600,
24 Jul 2026,0.2350,0.2450,0.2350,0.2350,0.2350,70300,
17 Jul 2026,0.2350,0.2350,0.2350,0.2350,0.2350,0,
10 Jul 2026,0.2350,0.2350,0.2350,0.2350,0.2350,6600,
3 Jul 2026,0.2350,0.2350,0.2350,0.2350,0.2350,0,
26 Jun 2026,0.2450,0.2450,0.2350,0.2350,0.2350,156000,
19 Jun 2026,0.2400,0.2450,0.2400,0.2450,0.2450,59000,
12 Jun 2026,0.2550,0.2550,0.2400,0.2400,0.2400,29600,
5 Jun 2026,0.2550,0.2550,0.2550,0.2550,0.2550,0,
29 May 2026,0.2650,0.2650,0.2500,0.2550,0.2550,152700,
22 May 2026,0.2650,0.2650,0.2650,0.2650,0.2650,0,
15 May 2026,0.2650,0.2650,0.2650,0.2650,0.2650,112000,
12 May 2026,,,,,,,0.0050 Dividend
8 May 2026,0.2700,0.2700,0.2600,0.2600,0.2551,49300,
1 May 2026,0.2600,0.2700,0.2600,0.2700,0.2649,315400,
24 Apr 2026,0.2600,0.2700,0.2600,0.2700,0.2649,185000,
17 Apr 2026,0.2500,0.2500,0.2500,0.2500,0.2453,1500,
10 Apr 2026,0.2400,0.2500,0.2400,0.2500,0.2453,500,
3 Apr 2026,0.2450,0.2450,0.2400,0.2400,0.2355,14900,
27 Mar 2026,0.2550,0.2550,0.2450,0.2450,0.2404,220000,
20 Mar 2026,0.2550,0.2550,0.2550,0.2550,0.2502,900,
13 Mar 2026,0.2550,0.2550,0.2550,0.2550,0.2502,0,
6 Mar 2026,0.2600,0.2600,0.2550,0.2550,0.2502,50500,
27 Feb 2026,0.2650,0.2650,0.2600,0.2650,0.2600,224600,
20 Feb 2026,0.2700,0.2700,0.2650,0.2650,0.2600,26100,
13 Feb 2026,0.2650,0.2700,0.2650,0.2700,0.2649,459000,
6 Feb 2026,0.2650,0.2650,0.2650,0.2650,0.2600,523200,
30 Jan 2026,0.2650,0.2700,0.2650,0.2650,0.2600,2334200,
23 Jan 2026,0.2600,0.2650,0.2600,0.2650,0.2600,381000,
16 Jan 2026,0.2500,0.2600,0.2500,0.2600,0.2551,177300,
9 Jan 2026,0.2600,0.2600,0.2500,0.2500,0.2453,583700,
2 Jan 2026,0.2600,0.2600,0.2550,0.2600,0.2551,412200,
26 Dec 2025,0.2600,0.2600,0.2600,0.2600,0.2551,450000,
19 Dec 2025,0.2600,0.2600,0.2550,0.2600,0.2551,805900,
12 Dec 2025,0.2600,0.2600,0.2600,0.2600,0.2551,1342000,
5 Dec 2025,0.2550,0.2700,0.2550,0.2600,0.2551,858900,
28 Nov 2025,0.2600,0.2600,0.2500,0.2550,0.2502,359000,
21 Nov 2025,0.2650,0.2650,0.2550,0.2600,0.2551,516800,
14 Nov 2025,0.2700,0.2700,0.2700,0.2700,0.2649,346700,
7 Nov 2025,0.2750,0.2750,0.2700,0.2700,0.2649,695300,
31 Oct 2025,0.2650,0.2750,0.2650,0.2750,0.2698,567200,
24 Oct 2025,0.2650,0.2700,0.2650,0.2650,0.2600,70500,
17 Oct 2025,0.2650,0.2650,0.2650,0.2650,0.2600,64000,
10 Oct 2025,0.2750,0.2750,0.2600,0.2650,0.2600,1114500,
3 Oct 2025,0.2800,0.2800,0.2700,0.2750,0.2698,755600,
26 Sep 2025,0.2800,0.2800,0.2750,0.2750,0.2698,57000,
19 Sep 2025,0.2650,0.2900,0.2650,0.2800,0.2747,1017600,
12 Sep 2025,0.2700,0.2750,0.2650,0.2650,0.2600,76000,
5 Sep 2025,0.2700,0.2750,0.2650,0.2650,0.2600,936700,
29 Aug 2025,0.2700,0.2750,0.2700,0.2750,0.2698,350000,
