Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
31 Jul 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
24 Jul 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
17 Jul 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
10 Jul 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
3 Jul 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
26 Jun 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
19 Jun 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
12 Jun 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
5 Jun 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
29 May 2026,0.1870,0.1870,0.1700,0.1700,0.1700,11400,
22 May 2026,0.1790,0.1880,0.1780,0.1870,0.1870,27700,
18 May 2026,,,,,,,0.0104 Dividend
15 May 2026,0.1580,0.1790,0.1300,0.1790,0.1156,400,
8 May 2026,0.1600,0.1790,0.1600,0.1790,0.1156,100,
1 May 2026,0.1630,0.1630,0.1490,0.1600,0.1033,11200,
24 Apr 2026,0.1690,0.1690,0.1690,0.1690,0.1091,0,
17 Apr 2026,0.1690,0.1690,0.1690,0.1690,0.1091,0,
10 Apr 2026,0.1690,0.1690,0.1690,0.1690,0.1091,0,
3 Apr 2026,0.1330,0.1690,0.1330,0.1690,0.1091,10000,
27 Mar 2026,0.1330,0.1330,0.1330,0.1330,0.0859,0,
20 Mar 2026,0.1330,0.1330,0.1330,0.1330,0.0859,0,
13 Mar 2026,0.1330,0.1330,0.1330,0.1330,0.0859,0,
6 Mar 2026,0.1330,0.1330,0.1330,0.1330,0.0859,0,
27 Feb 2026,0.1330,0.1330,0.1330,0.1330,0.0859,0,
20 Feb 2026,0.1330,0.1330,0.1330,0.1330,0.0859,0,
13 Feb 2026,0.1330,0.1330,0.1330,0.1330,0.0859,0,
6 Feb 2026,0.1580,0.1880,0.1330,0.1330,0.0859,1200,
30 Jan 2026,0.1580,0.1580,0.1580,0.1580,0.1020,0,
23 Jan 2026,0.1580,0.1580,0.1580,0.1580,0.1020,0,
16 Jan 2026,0.1580,0.1580,0.1580,0.1580,0.1020,0,
9 Jan 2026,0.1580,0.1580,0.1580,0.1580,0.1020,0,
2 Jan 2026,0.1300,0.1660,0.1300,0.1580,0.1020,13100,
26 Dec 2025,0.1440,0.1440,0.1300,0.1300,0.0839,44400,
19 Dec 2025,0.1800,0.1800,0.1800,0.1800,0.1162,0,
12 Dec 2025,0.1800,0.1800,0.1800,0.1800,0.1162,0,
5 Dec 2025,0.1800,0.1800,0.1800,0.1800,0.1162,0,
28 Nov 2025,0.1800,0.1800,0.1800,0.1800,0.1162,0,
21 Nov 2025,0.1800,0.1800,0.1800,0.1800,0.1162,0,
14 Nov 2025,0.1800,0.1800,0.1800,0.1800,0.1162,0,
7 Nov 2025,0.1800,0.1800,0.1800,0.1800,0.1162,0,
31 Oct 2025,0.1650,0.1800,0.1650,0.1800,0.1162,15000,
24 Oct 2025,0.1650,0.1650,0.1650,0.1650,0.1065,0,
17 Oct 2025,0.1650,0.1650,0.1650,0.1650,0.1065,0,
10 Oct 2025,0.1650,0.1650,0.1650,0.1650,0.1065,0,
3 Oct 2025,0.1650,0.1650,0.1650,0.1650,0.1065,0,
26 Sep 2025,0.1650,0.1650,0.1650,0.1650,0.1065,0,
19 Sep 2025,0.3900,0.4100,0.1650,0.1650,0.1065,5700,
16 Sep 2025,,,,,,,0.0188 Dividend
12 Sep 2025,0.3600,0.3600,0.3600,0.3600,0.1638,0,
5 Sep 2025,0.5100,0.5100,0.3600,0.3600,0.1638,10000,
29 Aug 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
22 Aug 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
15 Aug 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
8 Aug 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
1 Aug 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
25 Jul 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
18 Jul 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
11 Jul 2025,0.5100,0.5100,0.5100,0.5100,0.2321,10000,
4 Jul 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
27 Jun 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
20 Jun 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
13 Jun 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
6 Jun 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
30 May 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
23 May 2025,0.5100,0.5100,0.5100,0.5100,0.2321,0,
16 May 2025,,,,,,,0.0203 Dividend
16 May 2025,0.3700,0.5100,0.3700,0.5100,0.2321,700,
9 May 2025,0.3700,0.3700,0.3700,0.3700,0.1274,0,
2 May 2025,0.3700,0.3700,0.3700,0.3700,0.1274,0,
25 Apr 2025,0.3700,0.3700,0.3700,0.3700,0.1274,0,
18 Apr 2025,0.3700,0.3700,0.3700,0.3700,0.1274,0,
11 Apr 2025,0.3700,0.3700,0.3700,0.3700,0.1274,400,
4 Apr 2025,0.3600,0.3600,0.3600,0.3600,0.1239,0,
28 Mar 2025,0.3600,0.3600,0.3600,0.3600,0.1239,0,
21 Mar 2025,0.3600,0.3600,0.3600,0.3600,0.1239,0,
14 Mar 2025,0.5050,0.5050,0.3600,0.3600,0.1239,900,
7 Mar 2025,0.4350,0.5050,0.4300,0.5050,0.1739,16900,
28 Feb 2025,0.3700,0.4350,0.3500,0.4300,0.1480,45900,
21 Feb 2025,0.3650,0.3700,0.3650,0.3700,0.1274,25900,
14 Feb 2025,0.3750,0.4050,0.3750,0.3800,0.1308,95600,
7 Feb 2025,0.3800,0.3800,0.3600,0.3750,0.1291,97300,
31 Jan 2025,0.3650,0.3650,0.3500,0.3500,0.1205,5000,
24 Jan 2025,0.3550,0.3650,0.3500,0.3650,0.1257,31000,
17 Jan 2025,0.3550,0.3550,0.3550,0.3550,0.1222,100,
10 Jan 2025,0.4000,0.4000,0.3550,0.3550,0.1222,52400,
3 Jan 2025,0.4350,0.4550,0.4100,0.4100,0.1412,67700,
27 Dec 2024,0.4450,0.4450,0.4400,0.4450,0.1532,38500,
20 Dec 2024,0.5050,0.5050,0.4700,0.4700,0.1618,20000,
13 Dec 2024,0.4300,0.5750,0.4300,0.5050,0.1739,60000,
6 Dec 2024,0.4550,0.4550,0.4250,0.4450,0.1532,31800,
29 Nov 2024,0.4000,0.4550,0.4000,0.4550,0.1566,107200,
22 Nov 2024,0.4500,0.4500,0.4050,0.4050,0.1394,42700,
15 Nov 2024,0.4900,0.4900,0.4500,0.4700,0.1618,17600,
8 Nov 2024,0.4850,0.5950,0.4800,0.5400,0.1859,218800,
1 Nov 2024,0.4000,0.4850,0.3900,0.4450,0.1532,89200,
25 Oct 2024,0.3900,0.4250,0.3900,0.4000,0.1377,69700,
18 Oct 2024,0.4500,0.4500,0.3600,0.3900,0.1343,379000,
11 Oct 2024,0.6000,0.6500,0.4300,0.4700,0.1618,513800,
4 Oct 2024,0.4250,0.6600,0.4250,0.5850,0.2014,506700,
27 Sep 2024,0.2400,0.4800,0.2400,0.4250,0.1463,407800,
20 Sep 2024,0.2250,0.2400,0.2250,0.2400,0.0826,14800,
13 Sep 2024,0.2950,0.3000,0.2450,0.2450,0.0843,250900,
11 Sep 2024,,,,,,,0.0281 Dividend
6 Sep 2024,0.2900,0.2950,0.2850,0.2900,0.0416,138800,
30 Aug 2024,0.3200,0.3350,0.3050,0.3050,0.0438,83100,
23 Aug 2024,0.3200,0.3200,0.3200,0.3200,0.0459,0,
16 Aug 2024,0.3200,0.3200,0.3200,0.3200,0.0459,300,
9 Aug 2024,0.3600,0.3600,0.3550,0.3550,0.0509,1000,
2 Aug 2024,0.3500,0.3600,0.3500,0.3600,0.0517,100,
26 Jul 2024,0.3800,0.3800,0.3500,0.3500,0.0502,15100,
19 Jul 2024,0.3850,0.3850,0.3650,0.3650,0.0524,3500,
