Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,8.1200,8.1500,7.7700,7.9700,7.9700,2597100,
31 Jul 2026,7.7900,8.4800,7.7900,8.1200,8.1200,11362200,
24 Jul 2026,7.6100,7.8400,7.4900,7.7700,7.7700,10643200,
17 Jul 2026,7.3100,7.6500,7.0600,7.6500,7.6500,9568700,
10 Jul 2026,7.2200,7.3500,7.1100,7.3200,7.3200,6737500,
3 Jul 2026,7.1300,7.3300,7.0600,7.2700,7.2700,9915300,
26 Jun 2026,7.0500,7.4400,6.9900,7.1000,7.1000,16243584,
19 Jun 2026,7.4400,7.5400,6.9600,7.0600,7.0600,17414100,
12 Jun 2026,7.3000,7.3400,7.1200,7.3300,7.3300,8891000,
5 Jun 2026,7.4000,7.6800,7.3000,7.3700,7.3700,9001400,
29 May 2026,8.0200,8.0800,7.4500,7.6200,7.6200,19715704,
22 May 2026,8.2500,8.2500,7.7600,8.0100,8.0100,9830800,
15 May 2026,8.2800,8.5000,8.1600,8.2100,8.2100,15018800,
8 May 2026,7.9600,8.7000,7.7800,8.2500,8.2500,19078100,
1 May 2026,7.6600,8.0100,7.4600,7.8900,7.8900,13650600,
24 Apr 2026,7.9900,8.0400,7.4500,7.6600,7.6600,16476100,
17 Apr 2026,8.0000,8.1800,7.8200,8.0400,8.0400,11718900,
10 Apr 2026,7.8400,8.3900,7.8200,8.0800,8.0800,10937123,
3 Apr 2026,7.8400,8.1400,7.7500,7.7900,7.7900,10882799,
27 Mar 2026,7.8500,8.1500,7.7400,7.8500,7.8500,13064200,
20 Mar 2026,8.7000,8.7500,7.9800,8.0200,8.0200,17441800,
19 Mar 2026,,,,,,,0.1900 Dividend
13 Mar 2026,8.2600,8.8100,7.8600,8.8100,8.6163,17821600,
6 Mar 2026,8.4500,8.5000,7.8500,8.3800,8.1957,15850437,
27 Feb 2026,8.5300,8.7800,8.4500,8.6700,8.4793,14754400,
20 Feb 2026,8.5300,8.7600,8.4300,8.5100,8.3229,6397500,
13 Feb 2026,8.2200,8.8800,8.2200,8.5200,8.3326,14975200,
6 Feb 2026,8.5600,9.1200,8.1700,8.1800,8.0001,22240333,
30 Jan 2026,8.2500,8.5400,8.2000,8.4900,8.3033,14903900,
23 Jan 2026,8.3000,8.4300,8.0900,8.1700,7.9903,12364800,
16 Jan 2026,7.7400,8.3300,7.6500,8.2600,8.0784,18548800,
9 Jan 2026,7.0800,7.7700,6.9400,7.7300,7.5600,17392100,
2 Jan 2026,7.0100,7.0700,6.9400,7.0500,6.8950,5109400,
26 Dec 2025,6.9500,7.0800,6.8000,7.0200,6.8656,5744091,
19 Dec 2025,7.2000,7.2000,6.8400,6.9200,6.7678,15700700,
12 Dec 2025,6.7200,7.3100,6.4900,7.1700,7.0123,21801879,
5 Dec 2025,6.3800,6.7200,6.3400,6.6800,6.5331,13436500,
28 Nov 2025,6.3100,6.6200,6.2900,6.3500,6.2104,15911239,
21 Nov 2025,6.3500,6.4200,6.2200,6.3300,6.1908,10152600,
14 Nov 2025,6.0300,6.5200,5.9200,6.3400,6.2006,22120400,
7 Nov 2025,6.1200,6.2400,6.0100,6.0500,5.9170,11557100,
31 Oct 2025,6.2200,6.2400,6.0800,6.1100,5.9756,10608200,
24 Oct 2025,6.2700,6.2900,6.1100,6.2100,6.0734,14668892,
17 Oct 2025,6.3500,6.4300,6.1200,6.1800,6.0441,10759051,
10 Oct 2025,6.5400,6.5500,6.3100,6.4000,6.2593,7987200,
3 Oct 2025,6.3000,6.5700,6.3000,6.5500,6.4060,14384900,
26 Sep 2025,6.7800,6.7900,6.2400,6.2500,6.1126,17770909,
19 Sep 2025,6.4200,7.4500,6.4200,6.7300,6.5820,29389748,
12 Sep 2025,6.3800,6.4600,6.2900,6.4200,6.2788,9507600,
5 Sep 2025,6.1600,6.4400,6.1600,6.3800,6.2397,15151121,
29 Aug 2025,6.1700,6.2400,6.0500,6.2000,6.0637,11619063,
22 Aug 2025,6.2300,6.2300,5.8600,6.1600,6.0245,14284027,
21 Aug 2025,,,,,,,0.0600 Dividend
15 Aug 2025,6.1300,6.2900,6.0900,6.2000,6.0041,7520900,
8 Aug 2025,5.9500,6.2500,5.8700,6.1400,5.9460,11583500,
1 Aug 2025,6.2100,6.4000,5.7800,5.9300,5.7426,18263600,
25 Jul 2025,6.2600,6.4200,6.1600,6.1900,5.9944,11432929,
18 Jul 2025,6.2700,6.3800,6.2200,6.2500,6.0525,11149500,
11 Jul 2025,6.3400,6.3400,6.1000,6.2700,6.0719,15089200,
4 Jul 2025,5.8300,6.4400,5.7500,6.3400,6.1397,20867300,
27 Jun 2025,5.4300,5.8500,5.4100,5.8400,5.6555,17499000,
20 Jun 2025,5.6000,5.7500,5.4900,5.4900,5.3165,12823500,
13 Jun 2025,5.4400,5.6100,5.4100,5.6100,5.4328,11382400,
6 Jun 2025,5.2100,5.4600,5.1600,5.4600,5.2875,15788826,
30 May 2025,5.2100,5.3000,5.1100,5.1700,5.0067,16806200,
23 May 2025,5.1800,5.2900,5.0600,5.2700,5.1035,13061194,
16 May 2025,5.0500,5.2400,5.0000,5.1800,5.0163,15961600,
9 May 2025,4.9400,5.1400,4.8600,5.0200,4.8614,17957000,
2 May 2025,4.6400,4.9600,4.5600,4.9100,4.7549,15404000,
25 Apr 2025,4.1100,4.7000,4.1000,4.6400,4.4934,16452500,
18 Apr 2025,4.0600,4.1700,3.9800,4.1200,3.9898,10478900,
11 Apr 2025,4.2700,4.2800,3.8100,4.0500,3.9220,17215600,
4 Apr 2025,4.3200,4.6800,4.3200,4.3900,4.2513,12838300,
28 Mar 2025,4.2500,4.4800,4.2500,4.3200,4.1835,16928500,
21 Mar 2025,4.4100,4.5100,4.2100,4.2900,4.1545,21919900,
20 Mar 2025,,,,,,,0.1700 Dividend
14 Mar 2025,4.4500,4.4800,4.3200,4.3900,4.0885,13960500,
7 Mar 2025,4.5000,4.6200,4.4300,4.4600,4.1537,15497300,
28 Feb 2025,4.4900,4.6500,4.4500,4.5200,4.2096,16506200,
21 Feb 2025,4.3900,4.5300,4.3400,4.5200,4.2096,13249862,
14 Feb 2025,4.3400,4.3700,4.1000,4.3500,4.0513,15483000,
7 Feb 2025,4.2900,4.4300,4.2700,4.3600,4.0606,12100500,
31 Jan 2025,4.2600,4.4500,4.2500,4.3600,4.0606,6766400,
24 Jan 2025,4.1800,4.3000,4.1800,4.2700,3.9768,8678400,
17 Jan 2025,4.2900,4.3000,4.1300,4.1800,3.8929,9094800,
10 Jan 2025,4.4600,4.4900,4.2600,4.2800,3.9861,7299400,
3 Jan 2025,4.4200,4.5200,4.4200,4.4500,4.1444,4536300,
27 Dec 2024,4.3200,4.4700,4.3200,4.4100,4.1072,4352300,
20 Dec 2024,4.5600,4.5700,4.2600,4.3200,4.0233,24169700,
13 Dec 2024,4.7100,4.9200,4.5600,4.5600,4.2468,18035708,
6 Dec 2024,4.5300,4.8000,4.4700,4.7300,4.4052,22770300,
29 Nov 2024,4.6500,4.7200,4.4500,4.5500,4.2375,21498549,
22 Nov 2024,4.6900,4.7700,4.5000,4.6700,4.3493,13232700,
15 Nov 2024,4.6300,4.7300,4.3400,4.6700,4.3493,17706700,
8 Nov 2024,4.5200,5.0000,4.5200,4.6300,4.3120,37405300,
1 Nov 2024,3.9300,4.5600,3.8900,4.4800,4.1723,44102785,
25 Oct 2024,3.9900,4.0600,3.9100,3.9300,3.6601,16188046,
18 Oct 2024,3.9400,4.1000,3.9000,4.0200,3.7439,14899000,
11 Oct 2024,3.9400,4.2800,3.9100,3.9200,3.6508,22701200,
4 Oct 2024,3.6900,3.9900,3.6400,3.9300,3.6601,31021442,
27 Sep 2024,3.6600,3.7700,3.5900,3.6900,3.4366,18971100,
20 Sep 2024,3.6300,3.7400,3.6100,3.6700,3.4180,15990100,
13 Sep 2024,3.6600,3.8000,3.6000,3.6300,3.3807,14702100,
6 Sep 2024,3.7600,3.8000,3.5400,3.6700,3.4180,7454200,
30 Aug 2024,3.5700,3.8100,3.5500,3.7500,3.4925,14381565,
23 Aug 2024,3.4800,3.6100,3.4600,3.5500,3.3062,11044700,
22 Aug 2024,,,,,,,0.0600 Dividend
16 Aug 2024,3.3200,3.5000,3.3100,3.4700,3.1777,10021400,
9 Aug 2024,3.1700,3.4000,3.1600,3.3400,3.0586,12557700,
2 Aug 2024,3.3700,3.3900,3.1700,3.2100,2.9396,8065700,
26 Jul 2024,3.3400,3.3800,3.3000,3.3600,3.0770,4599800,
19 Jul 2024,3.3600,3.4500,3.3100,3.3700,3.0861,7973700,
12 Jul 2024,3.2000,3.3600,3.1700,3.3400,3.0586,6486500,
5 Jul 2024,3.2100,3.3400,3.1400,3.2200,2.9488,7424300,
28 Jun 2024,3.2500,3.2700,3.1500,3.2300,2.9579,8411300,
21 Jun 2024,3.2500,3.2800,3.1800,3.2600,2.9854,8804300,
14 Jun 2024,3.4100,3.4100,3.2100,3.2200,2.9488,9270500,
