Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.6100,1.6300,1.6000,1.6000,1.6000,13000,
31 Jul 2026,1.6100,1.6300,1.5800,1.6000,1.6000,128200,
24 Jul 2026,1.6000,1.6300,1.6000,1.6100,1.6100,66300,
17 Jul 2026,1.6200,1.6300,1.6100,1.6100,1.6100,65800,
10 Jul 2026,1.6600,1.6700,1.5900,1.6300,1.6300,107800,
3 Jul 2026,1.6200,1.6800,1.6200,1.6500,1.6500,107800,
26 Jun 2026,1.6700,1.6700,1.6200,1.6400,1.6400,111900,
19 Jun 2026,1.6200,1.6800,1.6200,1.6700,1.6700,238200,
12 Jun 2026,1.6000,1.6800,1.5700,1.6200,1.6200,200800,
5 Jun 2026,1.5500,1.6100,1.5400,1.5900,1.5900,118900,
29 May 2026,1.7100,1.7100,1.5600,1.5700,1.5700,418400,
26 May 2026,,,,,,,0.1030 Dividend
22 May 2026,1.7000,1.7100,1.6700,1.7100,1.6064,482200,
15 May 2026,1.6800,1.7200,1.6600,1.7100,1.6064,430200,
8 May 2026,1.5200,1.6800,1.5100,1.6700,1.5688,753000,
1 May 2026,1.5300,1.5300,1.5000,1.5200,1.4279,59100,
24 Apr 2026,1.4800,1.5200,1.4700,1.5100,1.4185,213000,
17 Apr 2026,1.4800,1.5000,1.4500,1.4800,1.3903,119300,
10 Apr 2026,1.4500,1.4900,1.4300,1.4800,1.3903,106300,
3 Apr 2026,1.4500,1.4800,1.4200,1.4800,1.3903,74200,
27 Mar 2026,1.4200,1.4500,1.4000,1.4500,1.3621,43200,
20 Mar 2026,1.4000,1.4900,1.4000,1.4400,1.3528,112800,
13 Mar 2026,1.4100,1.4200,1.4000,1.4200,1.3340,96400,
6 Mar 2026,1.4800,1.4900,1.4000,1.4200,1.3340,107700,
27 Feb 2026,1.4700,1.5300,1.4300,1.4800,1.3903,289800,
20 Feb 2026,1.4200,1.4500,1.4100,1.4500,1.3621,55000,
13 Feb 2026,1.4500,1.4500,1.4200,1.4200,1.3340,71400,
6 Feb 2026,1.4300,1.4600,1.4100,1.4200,1.3340,137100,
30 Jan 2026,1.4000,1.4400,1.3900,1.4300,1.3434,52200,
23 Jan 2026,1.4000,1.4100,1.3800,1.4000,1.3152,140100,
