Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1920,0.1940,0.1870,0.1880,0.1880,20539200,
31 Jul 2026,0.1940,0.1970,0.1810,0.1930,0.1930,46541600,
28 Jul 2026,,,,,,,0.0064 Dividend
24 Jul 2026,0.1850,0.1960,0.1840,0.1940,0.1858,44891600,
17 Jul 2026,0.1790,0.1870,0.1770,0.1860,0.1781,21384400,
10 Jul 2026,0.1810,0.1810,0.1760,0.1780,0.1704,20492400,
3 Jul 2026,0.1870,0.1890,0.1700,0.1790,0.1714,39392500,
26 Jun 2026,0.1890,0.1980,0.1830,0.1860,0.1781,32381400,
19 Jun 2026,0.1970,0.2000,0.1890,0.1890,0.1810,39912100,
12 Jun 2026,0.2050,0.2050,0.1950,0.1970,0.1886,21430400,
5 Jun 2026,0.2050,0.2100,0.2000,0.2050,0.1963,15577700,
29 May 2026,0.2100,0.2100,0.2050,0.2050,0.1963,16119600,
22 May 2026,0.2050,0.2100,0.2050,0.2100,0.2011,13116800,
15 May 2026,0.2050,0.2100,0.2050,0.2100,0.2011,8622600,
8 May 2026,0.2100,0.2100,0.2050,0.2100,0.2011,12423200,
1 May 2026,0.2050,0.2100,0.2000,0.2100,0.2011,32749300,
24 Apr 2026,0.2000,0.2100,0.1990,0.2050,0.1963,13687200,
17 Apr 2026,0.2100,0.2150,0.1970,0.2000,0.1915,54657500,
10 Apr 2026,0.2050,0.2150,0.2050,0.2150,0.2059,20050700,
3 Apr 2026,0.2100,0.2150,0.2050,0.2050,0.1963,22152632,
27 Mar 2026,0.2200,0.2200,0.2050,0.2050,0.1963,28603100,
20 Mar 2026,0.2050,0.2200,0.2000,0.2200,0.2107,58593002,
13 Mar 2026,0.1950,0.2100,0.1900,0.2100,0.2011,24112400,
6 Mar 2026,0.2200,0.2250,0.1870,0.2000,0.1915,81121300,
27 Feb 2026,0.2200,0.2300,0.2150,0.2250,0.2154,37395900,
20 Feb 2026,0.2150,0.2200,0.2100,0.2200,0.2107,11018900,
13 Feb 2026,0.2150,0.2250,0.2100,0.2100,0.2011,26141200,
12 Feb 2026,,,,,,,0.0083 Dividend
6 Feb 2026,0.2250,0.2300,0.2100,0.2200,0.2005,18821500,
30 Jan 2026,0.2050,0.2300,0.2050,0.2300,0.2096,55228800,
23 Jan 2026,0.2100,0.2100,0.2000,0.2100,0.1914,13294600,
16 Jan 2026,0.2050,0.2150,0.2000,0.2100,0.1914,10470200,
9 Jan 2026,0.2150,0.2200,0.2000,0.2050,0.1868,43816500,
2 Jan 2026,0.2200,0.2200,0.2100,0.2150,0.1959,11086000,
26 Dec 2025,0.2150,0.2200,0.2100,0.2150,0.1959,12603520,
19 Dec 2025,0.2100,0.2200,0.2050,0.2200,0.2005,35989900,
12 Dec 2025,0.2050,0.2100,0.1990,0.2100,0.1914,27892000,
5 Dec 2025,0.2150,0.2150,0.2000,0.2000,0.1823,29837400,
