Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0260,0.0260,0.0260,0.0260,0.0260,0,
31 Jul 2026,0.0270,0.0280,0.0250,0.0260,0.0260,1380300,
24 Jul 2026,0.0250,0.0260,0.0250,0.0260,0.0260,768600,
17 Jul 2026,0.0240,0.0260,0.0220,0.0250,0.0250,2271200,
10 Jul 2026,0.0280,0.0280,0.0240,0.0240,0.0240,3216100,
3 Jul 2026,0.0280,0.0280,0.0260,0.0280,0.0280,3376300,
26 Jun 2026,0.0300,0.0310,0.0280,0.0280,0.0280,4317800,
19 Jun 2026,0.0300,0.0310,0.0290,0.0290,0.0290,3973900,
12 Jun 2026,0.0300,0.0320,0.0280,0.0300,0.0300,15153600,
5 Jun 2026,0.0300,0.0360,0.0300,0.0310,0.0310,34722500,
29 May 2026,0.0300,0.0310,0.0300,0.0300,0.0300,2583100,
22 May 2026,0.0310,0.0320,0.0290,0.0310,0.0310,4619600,
15 May 2026,0.0310,0.0340,0.0310,0.0320,0.0320,16090400,
8 May 2026,0.0320,0.0330,0.0310,0.0320,0.0320,8723700,
1 May 2026,0.0330,0.0340,0.0310,0.0330,0.0330,8240800,
24 Apr 2026,0.0330,0.0350,0.0320,0.0340,0.0340,26965600,
17 Apr 2026,0.0340,0.0380,0.0330,0.0340,0.0340,33442500,
10 Apr 2026,0.0310,0.0390,0.0300,0.0350,0.0350,54300000,
3 Apr 2026,0.0290,0.0330,0.0280,0.0310,0.0310,12467300,
27 Mar 2026,0.0310,0.0340,0.0300,0.0300,0.0300,7888600,
20 Mar 2026,0.0320,0.0350,0.0290,0.0320,0.0320,9004400,
13 Mar 2026,0.0320,0.0330,0.0280,0.0310,0.0310,4824600,
6 Mar 2026,0.0380,0.0380,0.0290,0.0320,0.0320,8608400,
27 Feb 2026,0.0410,0.0410,0.0380,0.0390,0.0390,14578100,
20 Feb 2026,0.0420,0.0430,0.0400,0.0400,0.0400,9591400,
13 Feb 2026,0.0420,0.0450,0.0410,0.0410,0.0410,35956500,
6 Feb 2026,0.0410,0.0440,0.0380,0.0420,0.0420,22698200,
30 Jan 2026,0.0410,0.0460,0.0400,0.0400,0.0400,42783600,
23 Jan 2026,0.0410,0.0420,0.0390,0.0410,0.0410,32504200,
16 Jan 2026,0.0470,0.0530,0.0410,0.0410,0.0410,96573200,
9 Jan 2026,0.0400,0.0470,0.0400,0.0440,0.0440,48546800,
2 Jan 2026,0.0300,0.0440,0.0290,0.0400,0.0400,53602000,
26 Dec 2025,0.0310,0.0310,0.0280,0.0310,0.0310,14270700,
19 Dec 2025,0.0300,0.0320,0.0290,0.0310,0.0310,25139900,
12 Dec 2025,0.0280,0.0300,0.0260,0.0290,0.0290,10789900,
5 Dec 2025,0.0290,0.0300,0.0270,0.0290,0.0290,20003600,
28 Nov 2025,0.0270,0.0300,0.0260,0.0290,0.0290,19356300,
21 Nov 2025,0.0270,0.0300,0.0240,0.0260,0.0260,21257900,
14 Nov 2025,0.0280,0.0310,0.0270,0.0270,0.0270,22517600,
7 Nov 2025,0.0310,0.0310,0.0270,0.0280,0.0280,21973200,
31 Oct 2025,0.0330,0.0350,0.0300,0.0300,0.0300,45321600,
24 Oct 2025,0.0350,0.0360,0.0300,0.0330,0.0330,45478000,
17 Oct 2025,0.0240,0.0370,0.0230,0.0330,0.0330,134012500,
10 Oct 2025,0.0240,0.0260,0.0230,0.0250,0.0250,31058500,
3 Oct 2025,0.0230,0.0270,0.0230,0.0250,0.0250,61045500,
26 Sep 2025,0.0250,0.0270,0.0230,0.0230,0.0230,55774500,
19 Sep 2025,0.0140,0.0290,0.0140,0.0250,0.0250,163102200,
12 Sep 2025,0.0140,0.0160,0.0130,0.0140,0.0140,24388100,
5 Sep 2025,0.0130,0.0150,0.0120,0.0130,0.0130,16192000,
29 Aug 2025,0.0130,0.0140,0.0120,0.0130,0.0130,8926200,
22 Aug 2025,0.0120,0.0140,0.0120,0.0140,0.0140,2746400,
15 Aug 2025,0.0120,0.0140,0.0120,0.0120,0.0120,7076000,
8 Aug 2025,0.0130,0.0160,0.0130,0.0130,0.0130,22172500,
1 Aug 2025,0.0160,0.0170,0.0130,0.0140,0.0140,28347800,
25 Jul 2025,0.0100,0.0140,0.0100,0.0140,0.0140,48773800,
18 Jul 2025,0.0080,0.0110,0.0080,0.0100,0.0100,50986000,
11 Jul 2025,0.0080,0.0090,0.0070,0.0090,0.0090,35848500,
4 Jul 2025,0.0080,0.0080,0.0080,0.0080,0.0080,3314000,
27 Jun 2025,0.0080,0.0080,0.0080,0.0080,0.0080,100000,
20 Jun 2025,0.0090,0.0090,0.0080,0.0080,0.0080,1861500,
13 Jun 2025,0.0090,0.0090,0.0090,0.0090,0.0090,20000,
6 Jun 2025,0.0090,0.0090,0.0080,0.0090,0.0090,623500,
30 May 2025,0.0090,0.0090,0.0090,0.0090,0.0090,700000,
23 May 2025,0.0090,0.0100,0.0090,0.0090,0.0090,2645600,
16 May 2025,0.0090,0.0090,0.0090,0.0090,0.0090,0,
