Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.6400,0.6650,0.6400,0.6600,0.6600,7356700,
31 Jul 2026,0.6850,0.6850,0.6200,0.6450,0.6450,20219200,
24 Jul 2026,0.6200,0.7550,0.6200,0.6750,0.6750,29916200,
17 Jul 2026,0.6400,0.6900,0.6200,0.6250,0.6250,18857400,
10 Jul 2026,0.6850,0.6850,0.6200,0.6450,0.6450,19249400,
6 Jul 2026,,,,,,,0.0053 Dividend
3 Jul 2026,0.6750,0.7400,0.6550,0.6850,0.6797,35488100,
26 Jun 2026,0.7450,0.7850,0.6700,0.6750,0.6698,40625800,
19 Jun 2026,0.7800,0.8200,0.7300,0.7450,0.7392,41438900,
12 Jun 2026,0.6700,0.7850,0.6650,0.7750,0.7690,71070800,
5 Jun 2026,0.7250,0.7300,0.6650,0.6900,0.6847,26918600,
29 May 2026,0.6900,0.7500,0.6600,0.7350,0.7293,60142600,
22 May 2026,0.6950,0.7250,0.6300,0.6750,0.6698,61839500,
15 May 2026,0.7300,0.7750,0.6300,0.6350,0.6301,58487500,
8 May 2026,0.6150,0.7450,0.5950,0.7300,0.7244,51832400,
1 May 2026,0.4900,0.6350,0.4750,0.6100,0.6053,58285200,
24 Apr 2026,0.4150,0.5450,0.4050,0.4850,0.4812,49505700,
17 Apr 2026,0.4000,0.4200,0.3900,0.4150,0.4118,5954500,
10 Apr 2026,0.3800,0.4050,0.3700,0.4050,0.4019,3572600,
3 Apr 2026,0.3700,0.3850,0.3700,0.3800,0.3771,559000,
27 Mar 2026,0.3700,0.3800,0.3550,0.3750,0.3721,2383600,
20 Mar 2026,0.3750,0.3850,0.3600,0.3750,0.3721,1659000,
13 Mar 2026,0.3600,0.3800,0.3350,0.3750,0.3721,4971900,
6 Mar 2026,0.3950,0.4000,0.3600,0.3700,0.3671,5298300,
27 Feb 2026,0.4000,0.4200,0.3950,0.4150,0.4118,5492700,
20 Feb 2026,0.4000,0.4050,0.4000,0.4050,0.4019,488200,
13 Feb 2026,0.3900,0.4100,0.3900,0.4050,0.4019,3411800,
6 Feb 2026,0.3950,0.3950,0.3850,0.3900,0.3870,2016200,
30 Jan 2026,0.3850,0.4100,0.3850,0.4000,0.3969,6148300,
23 Jan 2026,0.3850,0.3950,0.3800,0.3900,0.3870,2590100,
16 Jan 2026,0.3850,0.3900,0.3750,0.3900,0.3870,997100,
9 Jan 2026,0.3850,0.3900,0.3750,0.3850,0.3820,1518300,
2 Jan 2026,0.3850,0.3900,0.3750,0.3900,0.3870,665100,
26 Dec 2025,0.3750,0.3900,0.3750,0.3850,0.3820,718500,
19 Dec 2025,0.3750,0.3800,0.3650,0.3750,0.3721,1363800,
12 Dec 2025,0.3800,0.3850,0.3750,0.3750,0.3721,1972900,
5 Dec 2025,0.3950,0.3950,0.3750,0.3800,0.3771,2333000,
28 Nov 2025,0.3950,0.4000,0.3850,0.3950,0.3919,1922800,
